MAT.1.1	Tcgãyas Jeso Krestem dis qhàòs di sa, Dafitem ka tsgõose-coa ba, Abrahamam ka tsgõose-coa ba.
MAT.1.2	Abrahama ba kò Isakam ka xõò me e,
MAT.1.2	me Isaka ba Jakobem ka xõò me e,
MAT.1.2	me Jakobe ba Jutam ka xõò me e,
MAT.1.2	káíkhoe ga xu hẽé naka qõese ga xu hẽéthẽé di ba.
MAT.1.3	Me kò Juta ba Perese ba hẽé
MAT.1.3	naka Sera ba hẽéthẽé tsara ka xõò me e
MAT.1.3	(gatsara ka xõò sa kò Tamara si i).
MAT.1.3	Me Perese ba Heseronem ka xõò me e,
MAT.1.3	me Heserone ba Ramem ka xõò me e,
MAT.1.4	me Rame ba Aminadabem ka xõò me e,
MAT.1.4	me Aminadabe ba Nasonem ka xõò me e,
MAT.1.4	me Nasone ba Salemonem ka xõò me e,
MAT.1.5	me kò Salemone ba Boasem ka xõò me e
MAT.1.5	(gam ka xõò sa kò Rahabe si i),
MAT.1.5	me kò Boase ba Obetem ka xõò me e
MAT.1.5	(gam ka xõò sa kò Rute si i),
MAT.1.5	me Obete ba Jesem ka xõò me e,
MAT.1.6	me Jese ba x'aigam Dafitem ka xõò me e.
MAT.1.6	Dafite ba kò Solomonem ka xõò me e
MAT.1.6	(xõò sa kò Uriam ka kò séèèas khóè si i).
MAT.1.7	Me kò Solomone ba Rehoboamem ka xõò me e,
MAT.1.7	Me Rehoboame ba Abiam ka xõò me e,
MAT.1.7	me Abia ba Asam ka xõò me e,
MAT.1.8	me Asa ba Jehosafatem ka xõò me e,
MAT.1.8	me Jehosafate ba Joramem ka xõò me e,
MAT.1.8	me Jorame ba Usiam ka xõò me e,
MAT.1.9	me Usia ba Jotamem ka xõò me e,
MAT.1.9	me Jotame ba Ahasem ka xõò me e,
MAT.1.9	me Ahase ba Hesekiam ka xõò me e,
MAT.1.10	me Hesekia ba Manasem ka xõò me e,
MAT.1.10	me Manase ba Amosem ka xõò me e,
MAT.1.10	me Amose ba Josiam ka xõò me e,
MAT.1.11	me kò Josia, Jekonia ba hẽé
MAT.1.11	naka qõese ga xu hẽéthẽé ka xõò me e,
