MAT.1.1	'Crɩɛn ‑bʋ, ‑Yusu 'Klɩsʋ a ‑tɩ ɛ nɛ ‑mɔ lɛ. ‑Yusu 
MAT.1.2	Abrahamʋ a 'mʋ, ɛ nɔ‑ kɔ 
MAT.1.2	Yisakɩ 'ɛ kɔ 
MAT.1.2	Sakɔbʋ 'ɛ kɔ 
MAT.1.3	Juda kɔ Tama 'hʋɛn‑, 'ʋ kɔ Falɛsɩ kɔ Sala,
MAT.1.3	Falɛsɩ 'ɛ kɔ Ɛsrɔmʋ,
MAT.1.3	Ɛsrɔmʋ 'ɛ kɔ Alamʋ,
MAT.1.4	Alamʋ 'ɛ kɔ Aminada,
MAT.1.4	Aminada 'ɛ kɔ Naasɔ,
MAT.1.4	Naasɔ 'ɛ kɔ Sala,
MAT.1.5	Sala kɔ Rahabʋ 'hʋɛn‑ 'ʋ kɔ Bʋasɩ,
MAT.1.5	Bʋasɩ kɔ Rutɩ 'hʋɛn‑ 'ʋ kɔ Jobɛdɩ,
MAT.1.5	Jobɛdɩ 'ɛ kɔ 
MAT.1.6	Yisai 'ɛ kɔ Dafidɩ,
MAT.1.6	Dafidɩ kɔ Uyri a nʋgba 'hʋɛn‑, 'ʋ kɔ 
MAT.1.7	Salomɔ 'ɛ kɔ Rʋbʋamʋ,
MAT.1.7	Rʋbʋamʋ 'ɛ kɔ Abia,
MAT.1.7	Abia 'ɛ kɔ Asafʋ,
MAT.1.8	Asafʋ 'ɛ kɔ Sosafatɩ,
MAT.1.8	Sosafatɩ 'ɛ kɔ Solamʋ,
MAT.1.8	Solamʋ 'ɛ kɔ Osiasɩ,
MAT.1.9	Osiasɩ 'ɛ kɔ Sʋatamʋ,
MAT.1.9	Sʋatamʋ 'ɛ kɔ Akasɩ,
MAT.1.9	Akasɩ 'ɛ kɔ Esekiasɩ,
MAT.1.10	Esekiasɩ 'ɛ kɔ Manase,
MAT.1.10	Manase 'ɛ kɔ Amɔ,
MAT.1.10	Amɔ 'ɛ kɔ Sosiasɩ,
MAT.1.11	Sosiasɩ 'ɛ kɔ Yekonia kɔ 'a 'dɩayɩnʋ 'hʋɛn‑.
MAT.1.11	Ti a 'mʋ 'yri, ‑ɛ ‑bɩ tʋ klɔ la 
MAT.1.12	‑Tɛ ʋ gba ꞊nʋ, ‑ɛ ‑bɩ
MAT.1.12	Yekonia kɔ Salatiɛlɩ,
MAT.1.12	Salatiɛlɩ 'ɛ kɔ Solobabɛlɩ,
MAT.1.13	Solobabɛlɩ 'ɛ kɔ Abiudɩ,
MAT.1.13	Abiudɩ 'ɛ kɔ Eliakimʋ,
MAT.1.13	Eliakimʋ 'ɛ kɔ Asɔ,
MAT.1.14	Asɔ 'ɛ kɔ Sadɔkɩ,
MAT.1.14	Sadɔkɩ 'ɛ kɔ Akimʋ,
MAT.1.14	Akimʋ 'ɛ kɔ Eliudɩ,
MAT.1.15	Eliudɩ 'ɛ kɔ Ɛlɩasa,
MAT.1.15	Ɛlɩasa 'ɛ kɔ Mata,
MAT.1.15	Mata 'ɛ kɔ Sakɔbʋ,
MAT.1.15	Sakɔbʋ 'ɛ kɔ 
MAT.1.15	Sosɛfʋ, ɛ nɔ‑ mɔ 
MAT.1.16	‑Yusu a 'mʋ, ɛ nɔ‑ mɔ 
MAT.1.17	Kʋɛ 'lɩ Abrahamʋ ‑mɔ bʋ, ‑bʋ yɛ bodɩɔ Dafidɩ kɩ, ‑tonyibli a ꞊hrɩn nɩ ‑pu ꞊tu 'ʋ ‑hɛn, nʋ‑ nɩ 'ʋ 'waa ‑gbati. Kʋɛ 'lɩ Dafidɩ ‑mɔ bʋ, ‑bʋ yɛ ti ‑mʋ' ‑kɔ 'yri ʋ gba la 'lɩ Yisraɛkʋɛ Babilɔnɩblʋgba 'kwli, ‑tonyibli a ꞊hrɩn nɩ ‑pu ꞊tu 'ʋ ‑hɛn, ʋ nʋ‑ nɩ 'ʋ 'waa ‑gbati. Ɛ kɔ, kʋɛ 'lɩ ti a 'mʋ 'yie bʋ, ‑bʋ yɛ ‑Yusu a kʋkɔti kɩ, ‑tonyibli a ꞊hrɩn nɩ ‑pu ꞊tu 'ʋ ‑hɛn, ʋ nʋ‑ nɩ 'ʋ 'waa ‑gbati.
MAT.1.18	‑Tɛ ‑mʋ', ʋ nu la ‑Yusu 'Klɩsʋ a kʋkɔ, ɛ nɔ‑ ‑bʋ: 'A 'dii 
