GEN.1.1	Talfut kese ding dim bakate, Sunbin-Got e abiil so kawin so mesesem alik alik be kilkese kale. 
GEN.1.2	Kate, kawin so abiil so be mililiw so bonggubi biliwi, Sunbin-Got em kitil e inim finik atew ete kuw fukafuka kebomi, okmun fian tikin dim boktak tiw kalote alenale kale.
GEN.1.3	Beli, Sunbin-Got e bokolomele: “Felet mak angoka!”, angei, fein felet fak angse kale.
GEN.1.4	Angei, e atemeko, “Felet be ken kele kai!”, angse kale. Angei, mililiw akal amen kelei, felet akal amen ka da, ka da kelewse kale. 
GEN.1.5	Kelewsomi, felet beem wiin e bokolomele: “Be taw!”, angse kale. Angeko, mililiw beem wiin akal bokolomele: “Be kutiliw!”, angse kale. Angeko, kutiliw teleko, uneko, taw kikis mak matem teleko, emisik ding banimse kale.
GEN.1.6	Keko beli, Sunbin-Got e iti weng mak bokolomele: “Ok katiw da, kalak da, dolon kelew kelew kelina!”, angse kale.
GEN.1.7	Angesomi, ok katiw da, kalak da beem mutuk e dolon mak dukuse kasike, ok katiw so, ok kalak so singam singam keyemse kale. 
GEN.1.8	Keyemsomelei, e dolon beem wiin e “Abiil te!”, angse kale. Angei, kutiliw teleko, uneko, taw kikis mak matem teleko, emteben ding banimse kale.
GEN.1.9	Keko beli, Sunbin-Got e bokolomele: “Ok abiil afak kel be mutuk makmak kuw kelomele kano, aneng kale tiow dim keloka!”, angse kale. Angesomelei, em angse weng be fein kelewse kale. 
GEN.1.10	Keko beli, e aneng tiow beem wiin e “Kawin te!”, angesomi, ok mutuk makmak kele beem wiin e “Okmun alelbin fian te!”, angse kale. Angesomelei, e diw atemeko, “Ken kele kai!”, angse kale. 
GEN.1.11+GEN.1.12	Angesomelei, Sunbin-Got e bokolomele: “Kame, itel so kanemin kanemin ais dem so mesesem mesesem eisneng kawin dim talfut keloka!”, angse kale. Angei, em angse weng be fein kesomelei, ais mesesem mesesem eisneng banso talfut kese kale. Keko beli, Sunbin-Got e mesesem mesesem eisneng be diw atemete: “Ken keli kai!”, angse kale. 
GEN.1.13	Angei, kutiliw teleko, uneko, taw kikis mak matem teleko, yemamas ding kel banimse kale.
GEN.1.14	Keko beli, Sunbin-Got e bokolomele: “Abiil dolon dim kel ailbin banban mak fitewina! Ailbin be amen amen keko, taw so mililiw so beem ding ailsomi, ding akal amen amen kuw ke koyemo ya! 
GEN.1.15	Keko beli, ailbin angom bi abiil kel tebeko, kawin dim kalak elo ailboliwka!”, angse kale. Angei, em angse weng be fein kese kale. 
GEN.1.16	Kesomelei, Sunbin-Got e ailbin fian alew mak dukuse kale. Ailbin fian mak e, taw ding em kamok kese kale. E ataan te. Ailbin fong mak e kutiliw em kak kese kale. E kayow te. Kelei, fial galgul ban ikal dukuse kale. 
