MAT.1.1	Abraham tapa David, tapa Jesu Krist khangthu bu.
MAT.1.2	Abraham in Isak asuang a, Isak in Jakob asuang a, tualeh Jakob in Judah leh asanggam pasalte asuang a, 
MAT.1.3	Judah in Tamar tawh Perez leh Zorah asuang a, Perez in Hezrom asuang a, tualeh Hezrom in Ram asuang a, 
MAT.1.4	Ram in Amminadab, asuang a, Amminadab in Nahshon asuang a, Nahshon in Salmon asuang a, 
MAT.1.5	Salmon in Rahab tawh Boaz asuang a, Boaz in Ruth tawh Obed asuang a, Obed in Jessai asuang a,
MAT.1.6	tualeh Jessai in Kumpipa David asuang. Kumpipa David in Uriah zi tawh Solomon asuang, 
MAT.1.7	tualeh Solomon in Rehoboam asuang a, Rehoboam in Abijah asuang a, Abijah in Asa asuang, 
MAT.1.8	Asa in Jehoshaphat asuang a, Jehoashaphat in Joram asuang a, tualeh Joram in Uzziah asuang. 
MAT.1.9	Uzziah in Jotham asuang a, Jotham in Ahaz asuang a, tualeh Ahaz in Hezekiah asuang, 
MAT.1.10	Hezekiah in Manasseh asuang a, Manasseh in Amon asuang a, tualeh Amon in Josiah asuang hi. 
MAT.1.11	Bebilon sal a puia aomlai un Josiah in Jekoniah leh a sanggam pasalte asuang hi.
MAT.1.12	Tualeh Bebilon sal a puia a omzoh nung un, Jekoniah in Shealtiel asuang a, Shealtiel in Zerubbabel asuang, 
MAT.1.13	Zerubbabel in Abiud asuang a, Abiud in Eliakim asuang a, tualeh Eliakim in Azor asuang, 
MAT.1.14	Azor in Zadok asuang a, Zadok in Achin asuang a, tualeh Achin in Eliud asuang, 
MAT.1.15	Eliud in Eleazer asuang a, Eleazer in Mathan asuang a, tualeh Mathan in Jakob asuang, 
MAT.1.16	Jakob in Krist kichi Jesu pianna Mari pasal Joseph asuang hi.
MAT.1.17	Tuachi`n suan tengteng ahihleh Abraham a pat David tan khang sawmlehli ahi; David a pan Bebilon sal a puia aom tan uh khang sawmlehli a hi a, Bebilon sal a pan Krist tan khang sawmlehli ahi.
MAT.1.18	Tualeh Jesu Krist hung piandan ahihleh hihbang ahi. Anu Mari pen Joseph tawh kikham khin ahi a, a omkhawm masang un, Khasiangthou a pat nauvop ahi chih ahung kitheikhiata hi. 
MAT.1.19	Tualeh apasal Joseph pen midiktak ahi a, Mari pen mipi maiah mualphousak louin; dap tawpsan a sawmta hi. 
MAT.1.20	Hinanleh hihbang silte a ngaihsut laiin, ngaiin, amang in Pasian vantungmi khat akiang ah ahung kilak a, “Joseph, David tapa, nazi Mari neihding lauken, a naupai pen Khasiangthou a kipan ahi. 
MAT.1.21	Aman tapa anei ding a, amin ding in Jesu naphuak ding, Aman amite akhialhna ua pan a hutdam ding jiak in.” 
MAT.1.22	Hihte tengteng Toupa`n Jawlnei kam a anagensa ahung tangtunna ding a hung om ahi, 
MAT.1.23	Ngaiin, “Nungak siangthou agai ding a tapa anei ding a, amin ding in Immanuel” aphuak ding uh, (tuapen, “I kiang uah Pasian a om, chihna ahi”). 
MAT.1.24	Tuachi`n Joseph ihmu hung thoukhia in, Toupa vantungmi thupiak bangin abawl a azi akiang ah apuita hi. 
MAT.1.25	Hinanleh Tapa masa aneih masiah a luppih kei hi. Tuachi`n Joseph in amin Jesu a phuakta hi. 
MAT.2.1	Kumpi Herod lalhun laiin Judea gam Bethlehem khua a Jesu hung pianzoh in, ngaiin, suahlam a pan mipilte Jerusalem ah a hungpai ua, 
MAT.2.2	“Judahte kumpipa hungpiang amah khoisan a om ahia? Suahlam ah a aksi kamu ua, amah biading a hungpai ka hi uh,” achi uhi.
MAT.2.3	Kumpi Herod in hih a jaktakin, a lungkham mahmah a, Jerusalem a tengteng zong a lungkham chiat uhi. 
MAT.2.4	Tuachi`n Herod in siampite leh laigelhmite a samkhawm a, “Krist khoisan a piang kichi ahia?” chi`n a kanchian hi.
MAT.2.5	Tuachi`n amauhte`n a kiangah, “Judea gam a Bethlehem khua ah, Jawlneite`n hihbang in a gelh uh,
MAT.2.6	‘Nang, Judea gam a Bethlehem aw,
MAT.2.6	Judah khuapite lak ah na neupen tuam kei;
MAT.2.6	Nang a kipan ukpa hung piang ding ahihjiak in
MAT.2.6	Ka mi Israelte ching ding in.’ ” 
MAT.2.7	Tuachi`n hihthu ajak khit in Herod in mipilte a samdap a, bang hun a hih aksi hung kilang ahia chi`n kichiantak in adong hi. 
MAT.2.8	Tuakhit in aman, Bethlehem khua ah: “Pai unla hoihtak in nausen vazongkhia unla; amah na muhkhit chiang un kei hunghilh kik un, ken zong kava biaktheihna dingin,” chi`n a sawlta hi.
MAT.2.9	Kumpi thugen ajakkhit takun, apaikhiatsan ta ua; ngaiin, aksi suahlam a amuhpen mah uh, nausen omna tung atun a akhawl masiah, amai uah anapai hi. 
MAT.2.10	Aksi amuh takun a kipak ua, kipahna in adimta uhi. 
MAT.2.11	Tualeh innsung a aluttak un, nausen anu Mari tawh amuta ua, khupbok in amah abiata uhi. Tuakhit in agoubawmte uh ahong ua, kipahna silpiak, Khamte, Chiimte leh Murahte apia uhi.
MAT.2.12	Herod kiang a kilehkik nawnlou ding a amang ua Pasian in taihilh ahihman in, lamtuam ah agam lam uah apaita uhi.
MAT.2.13	Tuachi`n amauhte`n apaisan nungin, ngaiin, Joseph mang in Toupa vantungmi ahung kila`k a, “Thou inla, naungek leh anu zohpih inla, Izipt gam ah taipih inla, thu kungpiak masangsiah huamun ah om un, Herod in naungek thahding in zongding ahihman in,” achi hi.
MAT.2.14	Tuachi`n amahzong a thoukhia a, aja`n aja`n in naungek leh anu a zohpih a, Izipt gam juan in ataipihta a, 
MAT.2.15	Herod sih masiah huamun ah a omden ta uhi. Tuapen Toupa`n Jawlnei kam a, “Ka Tapa Izipt gam a pan ka samkhia,” chia agen a tangtun theihna ding ahi. 
MAT.2.16	Tualeh Herod in mipilte`n hungkhem uh ahi chih a theihtak in, aheh mahmah a, Tuachi`n mi asawl a, Bethlehem leh akim a om pasal naupang kumnih a pat anuailam athatsak hi, tuapen mipilte adokna pan a ahun azonkhiat dungjuia asep ahi.
MAT.2.17	Tuachi`n Jawlnei Jeremiah in:
MAT.2.18	“Rama khua ah aw akija,
MAT.2.18	Lusu`nna, kah leh mauna thu.
MAT.2.18	Rachel in a tate akah;
MAT.2.18	Amau a om nawnlouh jiak un,
MAT.2.18	hehnepzoh hinawnlou ding chia agen a tangtungta hi.” 
MAT.2.19	Herod a sihkhit in, ngaiin, Izipt gam a om Joseph mang in Toupa vantungmite ahung kilak a 
MAT.2.20	“Thou inla, naungek leh anu zohpih inla, Israel gam ah paita in, naungek thahsawmpa a sita hi,” achi hi. 
MAT.2.21	Tuachi`n amah zong a thoukhia a, naungek leh anu Mari azohpih a, Israel gam ah ahung paita uhi.
MAT.2.22	Hinanleh apa Herod tang in Arkelaus in Judea gam ah vai ahawm chih ajaktak un, huamun a pai alauta uhi. Tuachi`n Pasian in amanglam ua a taihilh mahbang in, Galili gam ninglam ahung juanta uhi. 
MAT.2.23	Tuachi`n Nazareth kichi khuapi ah hungtung in, huamun ah a tengta ua, “Amahpen Nazarethmi akichi ding,” chih Jawlneite`n agen a tangtun theihna ding ahi. 
MAT.3.1	Tuahunlai in baptispa Johan Judea gamdai ah, thugen in a hungpai a. 
MAT.3.2	“Kisik un, Van gam anaita!” achi hi. 
MAT.3.3	Amah ahi Jawlnei Isaiah in,
MAT.3.3	“Gamdai a mi kikou aw khat in,
MAT.3.3	‘Toupa lampi sial unla;
MAT.3.3	Lampi tangsak un!’ ” achi, chia anagen. 
MAT.3.4	Tualeh Johan in sangawngsau mul puan in asilh a savun kawnggak tawh akawng agak a, tualeh a annek pen kauphe leh khuaiju ahi. 
MAT.3.5	Tuachi`n Jerusalem khuate, Judea gamte leh Jordan luikim gam a pan mi amah kiangah a hungpai ua. 
MAT.3.6	A khialhnate uh a phuangkhia ua Johan in Jordan luiah amauhte ana baptis hi.
MAT.3.7	Hinanleh aman Pharisaite leh Sadukaite tampi akiang a baptisma tang ding a hungpai amuhtak in, aman akiang uah, “Nou, gul suante aw, thangpaihna hungtung ding taisan ding a kuan hung taihilh ahia? achi hi. 
MAT.3.8	Tuajiakin kisik chinna gah hungnei khia phot un. 
MAT.3.9	Abraham kapa uh ahi chi`n noumauh in ngaihsutna nei kei un. Pasian in suangtang neute zong Abraham tate suaksakthei hi! 
MAT.3.10	Tualeh tu mahmah in heipi singzung teng ah kikoihkhin hi; tuajiakin singkung gahhoih neilou jousiah sattan a meilak a paih ahi ding hi. 
