GEN.1.1	En el comienzo de todo, Dios creó
GEN.1.2	La tierra no tenía entonces forma alguna; todo era un mar profundo
GEN.1.3	Dios dijo:
GEN.1.3	Y hubo luz. 
GEN.1.4	Al ver Dios que la luz era buena,
GEN.1.5	y la llamó “día”, y a la oscuridad la llamó “noche”. De este modo se completó
GEN.1.6	Después Dios dijo: “Haya una bóveda que separe las aguas, para que queden separadas.”
GEN.1.6	Y así fue.
GEN.1.7	Dios hizo una bóveda que separó las aguas: una parte de ellas quedó debajo de la bóveda y otra parte quedó encima. 
GEN.1.8	A la bóveda la llamó “cielo”. De este modo se completó el segundo día.
GEN.1.9	Entonces Dios dijo: “Júntense en un solo lugar las aguas que están debajo del cielo, para que aparezca lo seco.”
GEN.1.9	Y así fue.
GEN.1.10	A lo seco, Dios lo llamó “tierra”, y a las aguas que se habían juntado las llamó “mar”.
GEN.1.10	Al ver Dios que todo estaba bien, 
GEN.1.11	dijo: “Produzca la tierra
GEN.1.11	Y así fue. 
GEN.1.12	La tierra produjo toda clase de plantas: hierbas que dan semilla y árboles que dan fruto. Y Dios vio que todo estaba bien. 
GEN.1.13	De este modo se completó el tercer día.
GEN.1.14+GEN.1.15	Entonces Dios dijo: “Haya lumbreras en la bóveda celeste, que alumbren la tierra y separen el día de la noche, y que sirvan también para señalar los días, los años y las fechas especiales.”
GEN.1.14+GEN.1.15	Y así fue. 
GEN.1.16	Dios hizo las dos lumbreras: la grande para alumbrar de día y la pequeña para alumbrar de noche. También hizo las estrellas. 
GEN.1.17	Y puso Dios las lumbreras en la bóveda celeste para alumbrar la tierra 
GEN.1.18	de día y de noche, y para separar la luz de la oscuridad, y vio que todo estaba bien.
GEN.1.19	De este modo se completó el cuarto día.
GEN.1.20	Luego Dios dijo: “Produzca el agua toda clase de seres vivos, y haya también aves que vuelen sobre la tierra.”
GEN.1.20	Y así fue.
GEN.1.21	Dios creó los grandes monstruos del mar,
GEN.1.21	Y al ver Dios que todo estaba bien, 
GEN.1.22	bendijo a los seres que había hecho. Les dijo: “Tened muchas crías y llenad los mares, y haya muchas aves en el mundo.”
GEN.1.23	De este modo se completó el quinto día.
GEN.1.24	Entonces Dios dijo: “Produzca la tierra toda clase de animales domésticos y salvajes, y los que se arrastran por el suelo.”
GEN.1.24	Y así fue. 
GEN.1.25	Dios hizo estos animales y vio que todo estaba bien.
GEN.1.26	Entonces dijo: “Ahora hagamos al hombre. Será semejante a nosotros,
GEN.1.27	Cuando Dios creó al hombre,
GEN.1.27	lo creó semejante a Dios mismo.
GEN.1.27	Hombre y mujer los creó,
GEN.1.28	y les dio su bendición:
GEN.1.28	“Tened muchos, muchos hijos;
GEN.1.28	llenad el mundo y gobernadlo;
GEN.1.28	dominad sobre los peces, las aves
GEN.1.28	y todos los animales que se arrastran.”
GEN.1.29	Después les dijo: “Mirad, yo os doy todas las plantas de la tierra que producen semilla, y todos los árboles que dan fruto. Todo eso os servirá de alimento. 
GEN.1.30	Pero a los animales salvajes, a los que se arrastran por el suelo y a las aves, les doy la hierba como alimento.”
GEN.1.30	Así fue, 
GEN.1.31	y Dios vio que todo lo que había hecho estaba muy bien.
GEN.2.1	El cielo y la tierra, y todo lo que hay en ellos, quedaron terminados. 
GEN.2.2	El séptimo día terminó Dios lo que había hecho, y descansó.
GEN.2.3	Entonces bendijo el séptimo día
GEN.2.4	Esta es la historia de la creación del cielo y de la tierra.
GEN.2.4	Cuando Dios el Señor
GEN.2.5	aún no había plantas ni había brotado la hierba, porque Dios el Señor todavía no había hecho llover sobre la tierra, ni había nadie que la trabajara. 
GEN.2.6	Sin embargo, de la tierra salía agua
