MAT.1.1	Βίβλος γενέσεως Ἰησοῦ Χριστοῦ, υἱοῦ Δαυῒδ υἱοῦ Ἀβραάμ. 
MAT.1.2	Ἀβραὰμ ἐγέννησε τὸν Ἰσαάκ, Ἰσαὰκ δὲ ἐγέννησε τὸν Ἰακώβ, Ἰακὼβ δὲ ἐγέννησε τὸν Ἰούδαν καὶ τοὺς ἀδελφοὺς αὐτοῦ, 
MAT.1.3	Ἰούδας δὲ ἐγέννησε τὸν Φαρὲς καὶ τὸν Ζαρὰ ἐκ τῆς Θάμαρ, Φαρὲς δὲ ἐγέννησε τὸν Ἐσρώμ, Ἐσρὼμ δὲ ἐγέννησε τὸν Ἀράμ, 
MAT.1.4	Ἀρὰμ δὲ ἐγέννησε τὸν Ἀμιναδάβ, Ἀμιναδὰβ δὲ ἐγέννησε τὸν Ναασσών, Ναασσὼν δὲ ἐγέννησε τὸν Σαλμών, 
MAT.1.5	Σαλμὼν δὲ ἐγέννησε τὸν Βοὸζ ἐκ τῆς Ῥαχάβ, Βοὸζ δὲ ἐγέννησε τὸν Ὠβὴδ ἐκ τῆς Ῥούθ, Ὠβὴδ δὲ ἐγέννησε τὸν Ἰεσσαί, 
MAT.1.6	Ἰεσσαὶ δὲ ἐγέννησε τὸν Δαυῒδ τὸν βασιλέα. Δαυῒδ δὲ ὁ βασιλεὺς ἐγέννησε τὸν Σολομῶνα ἐκ τῆς τοῦ Οὐρίου, 
MAT.1.7	Σολομὼν δὲ ἐγέννησε τὸν Ῥοβοάμ, Ῥοβοὰμ δὲ ἐγέννησε τὸν Ἀβιά, Ἀβιὰ δὲ ἐγέννησε τὸν Ἀσά, 
MAT.1.8	Ἀσὰ δὲ ἐγέννησε τὸν Ἰωσαφάτ, Ἰωσαφὰτ δὲ ἐγέννησε τὸν Ἰωράμ, Ἰωρὰμ δὲ ἐγέννησε τὸν Ὀζίαν, 
MAT.1.9	Ὀζίας δὲ ἐγέννησε τὸν Ἰωάθαμ, Ἰωάθαμ δὲ ἐγέννησε τὸν Ἄχαζ, Ἄχαζ δὲ ἐγέννησε τὸν Ἐζεκίαν, 
MAT.1.10	Ἐζεκίας δὲ ἐγέννησε τὸν Μανασσῆ, Μανασσῆς δὲ ἐγέννησε τὸν Ἀμών, Ἀμὼν δὲ ἐγέννησε τὸν Ἰωσίαν, 
MAT.1.11	Ἰωσίας δὲ ἐγέννησε τὸν Ἰεχονίαν καὶ τοὺς ἀδελφοὺς αὐτοῦ ἐπὶ τῆς μετοικεσίας Βαβυλῶνος.
