MAT.1.1	Issá Masih, 
MAT.1.2	Esháke Ebráhém, Ákube Eshák, Yahudá o áiay brát ke Ákubay chokk atant. 
MAT.1.3	Páres o Zárahe Yahudá ke áyáni mátay nám Támár at. Hesrune Páres, Arame Hesrun, 
MAT.1.4	Aminádábe Aram, Nahshune Aminádáb, Salmune Nahshun, 
MAT.1.5	Buáze Salmun ke áiay mátay nám Raháb at, Óbayde Buáz ke mátay námi Rut at, Yassie Óbayd, 
MAT.1.6	bádsháh 
MAT.1.7	Rehobáme Solaymán, Abiáe Rehobám, Ásáe Abiá, 
MAT.1.8	Yehushápáte Ásá, Yuráme Yehushápát, Ozziáe Yurám, 
MAT.1.9	Yutáme Ozziá, Áháze Yutám, Hezekiáe Áház, 
MAT.1.10	Manassie Hezekiá, Ámune Manassi, Yusiáe Ámun, 
MAT.1.11	Yekuniáe Yusiá o áiay sajjahén brát, ke é wahdá Yahudi Bábelá darándhéh
MAT.1.12	Cha Bábelay darándhéhiá rand, Shiáltiále Yekuniá, Zerubábele Shiáltiál, 
MAT.1.13	Abihude Zerubábel, Elyákime Abihud, Ázure Elyákim, 
MAT.1.14	Saduke Ázur, Ákime Saduk, Elihude Ákim, 
MAT.1.15	Eliázare Elihud, Mattáne Eliázar, Ákube Mattán, 
MAT.1.16	Issope Ákub ke Maryamay mard at. Cha Maryamá Issá pédá but ke 
MAT.1.17	É dhawlá, cha Ebráhémá beger tán 
MAT.1.18	Issá Masihay pédáesh é dhawlá at: Issáay mát Maryam, Issopá sáng kortagat bale cha áyáni sur o árósá pésar, zántesh ke cha 
MAT.1.19	Maryamay lógwájah Issop, rást o pahrézkárén mardomé at, nalótheti Maryamá bannám bekant, paméshká wati delá shawri kort: “Pa bétawári é sángá bepróshán.” 
MAT.1.20	É bárawá angat pegr kanagá at ke áiay wábá anágat
MAT.1.21	Á, mardénchokkéay sará chellaga bit o áiay námá Issá
MAT.1.22	É sajjahén kár paméshká chosh butant tán Hodáwanday hamá habar rást o paddar
MAT.1.23	 ke eshiay máná “Hodá gón má” ent. 
MAT.1.24	Wahdé Issop cha wábá ágáh but, hamá dhawlá ke Hodáwanday préshtagá hokm dátagat, wati jani zort, 
MAT.1.25	bale tán á wahdá ke chokk pédá nabutagat, gón áiá wapt o wábi nakort o chokkay námi Issá per bast.
