GEN.1.1	O konmansman, Bondye ti kree lesyel ek later. 
GEN.1.2	Later ti san okenn laform e vid; partou ti fernwanr. Lespri Bondye ti bouze par lao delo.
GEN.1.3	Alor, Bondye ti dir: I ava annan lalimyer. E lalimyer ti aparet. 
GEN.1.4	Bondye ti war ki lalimyer ti bon e i ti separ lalimyer avek fernwanr. 
GEN.1.5	Bondye ti apel lalimyer lizour, e fernwanr aswar. Aswar ti fer e apre, lizour ti arive. Sa ti premye zour.
GEN.1.6	Alor, Bondye ti dir: I ava annan en twa pour separ bann delo! 
GEN.1.7	Bondye ti separ delo an de parti: Bann delo ki ti anba avek bann delo ki ti lao. Sa ti arive. 
GEN.1.8	Bondye ti apel sa twa lesyel. Aswar ti fer e bomaten ti arive. Sa ti dezyenm zour.
GEN.1.9	Alor, Bondye ti dir: Bann delo ki anba lesyel ava rasanble dan en sel landrwa e later ferm ava aparet! Sa ti arive. 
GEN.1.10	Bondye ti apel landrwa ferm later, e delo ki ti'n rasanble ansanm, lanmer. Bondye ti war ki sa ti bon.
GEN.1.11	Apre, Bondye ti dir: Later ava prodwir verdir, bann plant ki annan lagrenn dapre sak lespes, bann pye dibwa ki aport fri avek lagrenn ladan dapre sak lespes! Sa ti arive. 
GEN.1.12	Later ti prodwir verdir: Bann plant avek lagrenn dapre sak lespes, e bann pye dibwa ki aport fri avek lagrenn ladan dapre sak lespes. Bondye ti war ki sa ti bon. 
GEN.1.13	Aswar ti fer e bomaten ti arive. Sa ti trwazyenm zour.
GEN.1.14	Alor, Bondye ti dir: I ava annan bann lalimyer dan lesyel pour separ lizour avek aswar; zot ava servi koman siny pour endik bann lafet, bann zour ek bann lannen. 
GEN.1.15	Bann lalimyer dan lesyel ava donn laklerte lo later! Sa ti arive.
GEN.1.16	Bondye ti fer de gran lalimyer: Sa pli gran lalimyer, soley, pour kontrol lizour e sa pli pti lalimyer, lalin, pour kontrol aswar. I ti osi fer bann zetwal. 
GEN.1.17	Bondye ti plas zot dan lesyel pour ekler later, 
GEN.1.18	pour kontrol lizour ek aswar, pour separ lalimyer avek fernwanr. Bondye ti war ki sa ti bon. 
GEN.1.19	Aswar ti fer e bomaten ti arive. Sa ti katriyenm zour.
GEN.1.20	Bondye ti dir: Bann delo ava ranpli avek toudsort kreatir vivan, e i ava annan bann zwazo ki anvole dan lesyel par lao sirfas later! 
GEN.1.21	Alor, Bondye ti kree osi bann gran mons maren ek tou lespes kreatir ki viv dan delo. I ti osi kree tou zwazo avek lezel dapre sak lespes. Bondye ti war ki sa ti bon. 
GEN.1.22	Bondye ti beni zot. I ti dir: Zot ava ogmante e ranpli delo lanmer, e bann zwazo ava ogmante lo later! 
GEN.1.23	Aswar ti fer e bomaten ti arive. Sa ti senkyenm zour.
GEN.1.24	Alor, Bondye ti dir: Later ava prodwir bann et vivan dapre sak lespes: Zannimo domestik, pti bebet, zannimo sovaz, sakenn dapre son lespes. Sa ti arive. 
GEN.1.25	Bondye ti kree tou kalite zannimo dapre sak lespes: Zannimo sovaz, dapre sak lespes, zannimo domestik, dapre sak lespes, bann pti bebet, dapre sak lespes. Bondye ti war ki sa ti bon.
GEN.1.26	Apre, Bondye ti dir: Annou kree et imen dan nou limaz e dan nou resanblans. I ava soumet anba son dominasyon, tou pwason dan lanmer, tou zwazo dan lesyel ek tou bann zannimo lo later!
GEN.1.27	Alor, Bondye ti kree et imen dan son limaz; dan limaz Bondye i ti kree zot, zonm ek fanm. 
GEN.1.28	Bondye ti beni zot. I ti dir: Zot ava fer zanfan, zot ava ogmante e ranpli later; zot ava soumet anba zot dominasyon, tou pwason dan lanmer, tou zwazo dan lesyel ek tou zannimo ki bouze lo later!
GEN.1.29	Bondye ti dir: Mon donn zot, tou plant avek lagrenn lo later ek tou pye ki raport fri avek lagrenn ladan. Zot ava servi tousala pour zot nouritir. 
GEN.1.30	Mon donn tou verdir koman nouritir pour tou bann zannimo lo later, pour tou bann zwazo e pour tou bann kreatir ki annan lavi lo later. Sa ti arive. 
GEN.1.31	Bondye ti regard tou sa ki i ti'n fer; tou ti tre bon. Aswar ti fer, lizour ti arive. Sa ti sizyenm zour.
GEN.2.1	Alor, lesyel, later ek tou sa ki ti ladan ti'n fini ganny kree. 
GEN.2.2	Setyenm zour, Bondye ti'n fini tou travay ki i ti'n fer. Apre tou travay ki i ti'n fer, i ti repoze. 
GEN.2.3	Bondye ti beni setyenm zour, e i ti fer sa zour en zour sakre, akoz sa zour, i ti repoze apre ki i ti'n fini tou travay kreasyon.
GEN.2.4	Sa i lorizin lesyel ek later kan zot ti ganny kree.
GEN.2.4	Kan SENYER
GEN.2.5	ti napa okenn vezetasyon lo later. Okenn plant pa ti ankor pouse e okenn lagrenn pa ti ankor zermen. SENYER Bondye pa ti ankor anvoy lapli lo later e ti napa dimoun pour kiltiv later. 
GEN.2.6	Me ti annan sours delo ki ti monte sorti dan later pour aroz tou sirfas later.
GEN.2.7	SENYER Bondye ti form zonm avek lapousyer later. I ti soufle en souf lavi dan son nennen e i ti vin en et vivan. 
GEN.2.8	Apre, SENYER Bondye ti plant en zarden dan Edenn, dan kote Les, e la, i ti plas sa zonm ki i ti'n formen. 
GEN.2.9	SENYER Bondye ti fer pouse tou kalite zoli pye dibwa; zot fri ti bon pour manze. Dan milye zarden, i ti plas pye dibwa ki donn lavi e pye dibwa ki donn konnesans lebyen ek lemal.
GEN.2.10	En larivyer ti sorti Edenn pour aroz sa zarden, e i ti diviz an kat lebra. 
GEN.2.11	Premye larivyer ki ti apel Pisonn ti koul otour pei Havila, kot ti annan lor. 
GEN.2.12	Lor sa pei, ti en bon kalite; ti osi annan bann plant parfimen ek pyer presyez. 
GEN.2.13	Dezyenm larivyer ki apel Gihonn, ti koul otour pei Kous.
GEN.2.14	Trwazyenm larivyer ti apel Tig, ki ti koul dan kote Les Asiri. Katriyenm larivyer ti apel Efrat.
GEN.2.15	SENYER Bondye ti pran sa zonm e met li dan Zarden Edenn pour kiltiv li e pran swen avek li. 
GEN.2.16	SENYER Bondye ti donn zonm sa lord: Ou kapab manz tou fri ki dan zarden; 
GEN.2.17	me fodre pa ki ou manz fri sa pye ki donn konnesans lebyen ek lemal, akoz zour ki ou manz sa fri, ou pou mor.
GEN.2.18	SENYER Bondye ti dir: I pa bon pour zonm reste tousel. Mon pou fer en led ki pou byen dakor avek li koman son konpannyon. 
GEN.2.19	Alor, avek later, SENYER Bondye ti form tou bann zannimo ek tou zwazo. I ti anmenn zot kot zonm pour li donn zot en non. Konmsa, tou et vivan ava port non ki zonm ava donn li. 
GEN.2.20	Zonm ti donn non tou bann zannimo domestik, bann zannimo sovaz ek bann zwazo. Me i pa ti trouv en led ki ti dakor avek li pour son konpanny.
GEN.2.21	Alor, SENYER Bondye ti fer zonm tonm dan en profon sonmey e letan i ti pe dormi, i ti tir enn son kot e referm laser. 
GEN.2.22	Avek sa kot, SENYER Bondye ti form en fanm, e i ti anmenn li kot sa zonm. 
GEN.2.23	Sa zonm ti dir:
GEN.2.23	La aprezan sa enn ki mon lezo e mon laser.
GEN.2.23	I pou apel fanm, akoz i'n ganny tire avek zonm.
GEN.2.24	Pour sa rezon, en zonm i kit son papa ek son manman pour atas li avek son fanm, e tou le de zot vin en sel laser.
GEN.2.25	Sa zonm ek sa fanm ti touni, san ki zot ti onte.
GEN.3.1	Serpan ti pli rize parmi tou bann zannimo sovaz ki SENYER Bondye ti'n kree. I ti demann sa fanm, “Eski Bondye in vreman dir: Ou pa devre manz tou bann fri lo bann pye ki dan zarden?”
GEN.3.2	Sa fanm ti dir serpan, “Nou kapab manz bann fri lo bann pye ki dan zarden. 
GEN.3.3	Me kanta fri sa pye dibwa ki dan milye zarden, Bondye in dir: Pa manz li, pa ni tous li, sankwa ou pou mor.”
GEN.3.4	Serpan ti dir sa fanm, “Zot pa pou mor. 
GEN.3.5	Bondye i konnen ki letan zot pou manz sa fri, zot lizye pou ouver, zot pou vin parey Bondye, e zot pou konn lebyen ek lemal.”
GEN.3.6	Sa fanm ti war ki fri sa pye dibwa ti zoli e bon pour manze. I ti donn li lanvi manze pour li ganny konnesans. I ti pran enn e i ti manze. I ti donn osi en morso son mari ki ti obor li, e i ti manze. 
GEN.3.7	Zot lizye ti ouver, e zot ti remarke ki zot ti touni. Zot ti koud fey fig ansanm pour kouver zot.
GEN.3.8	Dan pti labrin, zot ti antann SENYER Bondye pe pronmnen dan zarden. Zot ti al kasyet parmi bann pye dibwa pour li pa war zot. 
GEN.3.9	SENYER Bondye ti apel sa zonm, “Kote ou ete?”
GEN.3.10	Sa zonm ti reponn, “Mon ti antann ou dan zarden, mon ti per, akoz mon ti touni. Alor, mon'n al kasyet.”
GEN.3.11	SENYER Bondye ti demande, “Lekel ki'n dir ki ou touni? Eski ou'n manz sa fri pye dibwa ki mon ti defann zot manze?”
GEN.3.12	Sa zonm ti reponn, “Sa fanm ki ou'n donn mwan koman konpanny, ki'n donn mwan sa fri e mon'n manze.”
GEN.3.13	SENYER Bondye ti dir avek sa fanm, “Akoz ou'n fer sa?”
GEN.3.13	I ti reponn, “Serpan in anbet mwan e mon'n manze.”
GEN.3.14	Alor, SENYER Bondye ti dir avek serpan:
GEN.3.14	Akoz ou'n fer sa,
GEN.3.14	ou pou ganny modi parmi tou bann zannimo.
GEN.3.14	Ou pou ranpe lo later.
GEN.3.14	Ou pou manz lapousyer tou le zour ou lavi.
GEN.3.15	Mon pou met ostilite ant ou e sa fanm,
GEN.3.15	ant ou desandans ek son desandans:
GEN.3.15	I pou kraz ou latet e ou pou mord son talon.
GEN.3.16	Apre, SENYER Bondye ti dir avek sa fanm,
GEN.3.16	“Mon pou ogmant ou douler lakousman.
GEN.3.16	Ou pou soufer bokou pour ganny zanfan.
GEN.3.16	Ou pou ganny atire ver ou mari,
GEN.3.16	me i pou domin lo ou.”
GEN.3.17	Avek Adan i ti dir,
GEN.3.17	“Akoz ou'n ekout ou fanm,
GEN.3.17	ou'n manz fri sa pye dibwa ki mon ti defann ou manze,
GEN.3.17	later pou ganny modi, akoz ou.
GEN.3.17	Ou pou bezwen trimouse tou le zour ou lavi antye
GEN.3.17	pour ou fer li prodwir manze.
GEN.3.18	I pou prodwir rons ek pikan
GEN.3.18	e ou ava manz bann plant ki pous dan laplenn.
GEN.3.19	Ou pou bezwen trimouse pour ganny ou nouritir
GEN.3.19	ziska ki ou retourn dan lapousyer, kot ou sorti.
GEN.3.19	Annefe, ou ou'n ganny tire dan lapousyer, ou pou retourn dan lapousyer.”
GEN.3.20	Adan ti apel son fanm Ev, savedir vivan, akoz i ti manman tou bann vivan lo later. 
GEN.3.21	SENYER Bondye ti fer lenz avek lapo zannimo pour Adan ek Ev e i ti abiy zot.
GEN.3.22	Apre, SENYER Bondye ti dir, “Zonm in vin parey nou avek konnesans lebyen ek lemal. Fodre anpes li manz fri sa pye dibwa ki donn lavi, sankwa i pou viv pour touzour.”
GEN.3.23	SENYER Bondye ti sas zonm dan Zarden Edenn pour ki i al kiltiv later kot in ganny tire. 
GEN.3.24	Apre ki i ti'n sas zonm, SENYER Bondye ti plas bann seriben
GEN.4.1	Adan ti ganny relasyon avek Ev. Ev ti ansent e i ti ganny Kaen. I ti dir, “Mon'n fer en zonm avek led SENYER.” 
GEN.4.2	Ev ti ganny en lot garson, son frer Abel. Abel ti en berze e Kaen ti en fermye.
GEN.4.3	Apre en serten letan, Kaen ti ofer SENYER en lofrann fri ki later ti'n prodwir. 
GEN.4.4	Abel li, ti ofer en sakrifis bann premye zannimo ki son troupo ti'n prodwir. SENYER ti aksepte Abel ek son lofrann. 
GEN.4.5	Me i pa ti aksepte Kaen ek son lofrann. Alor, Kaen ti tre ankoler e i ti boude.
GEN.4.6	SENYER ti dir li, “Akoz ou ankoler e ou annan en lanmin lo ou figir? 
GEN.4.7	Si ou fer sa ki byen, ou ava refer, si ou pa fer sa ki byen, pese pou dormi devan ou laport. Me ou, fodre ou kontrol li.”
GEN.4.8	En zour, Kaen ti dir son frer Abel, “Annou al pronmnen.” Kan zot ti deor, Kaen ti sot lo son frer Abel e touy li.
GEN.4.9	SENYER ti demann Kaen, “Oli ou frer Abel?”
GEN.4.9	Kaen ti reponn, “Mon pa konnen. Eski mwan mon gardyen mon frer?”
GEN.4.10	SENYER ti dir, “Ki ou'n fer? Disan ou frer pe kriy ver mwan depi later. 
GEN.4.11	Dezormen, ou anba malediksyon, ou pou ganny sase lo later ki'n ouver labous pour resevwar disan ou frer ki ou'n touye avek ou lanmen. 
GEN.4.12	Akoz sa, ou pou kiltiv later, me i pa pou prodwir nanryen. Ou pou vin eran e vagabon lo later.”
GEN.4.13	Kaen ti dir SENYER, “Mon pinisyon i tro lour pour mwan. 
GEN.4.14	Ou sas mwan dan sa landrwa, lwen avek ou prezans. Mon pou vin en vagabon. Sa ki zwenn mwan pou touy mwan.”
GEN.4.15	SENYER ti dir li, “Non. Si en dimoun i touy Kaen, vanzans pou set fwa.” SENYER ti met en mark lo Kaen, pour ki personn ki zwenn li pa touy li. 
GEN.4.16	Alor, Kaen ti sorti dan prezans SENYER. I ti al reste Nod, dan kote Les avek Edenn.
GEN.4.17	Kaen ti ganny relasyon avek son fanm ki ti vin ansent, e ti donn nesans Henok. Kaen ti konstri en lavil ki i ti apel Henok, menm non avek son garson. 
GEN.4.18	Henok ti papa Irad e Irad ti papa Mehouyael. Mehouyael ti papa Metousael, ki ti papa Lemek. 
GEN.4.19	Lemek ti annan de fanm. Enn ti apel Ada e lot Sila. 
GEN.4.20	Ada ti donn nesans Yabal, zanset bann dimoun ki ti viv anba latant e sonny zannimo. 
GEN.4.21	Son frer ti apel Youbal ki ti zanset bann zwer laarp ek laflit. 
GEN.4.22	Sila osi ti annan en garson, Toubal-Kaen, en forzron ki ti fer bann zouti an bronz e an fer. Toubal-Kaen ti annan en ser ki ti apel Naama.
GEN.4.23	Lemek ti dir avek son bann fanm:
GEN.4.23	Ada ek Sila ekout mwan.
GEN.4.23	Zot bann fanm Lemek ekout byen sa ki mon dir:
GEN.4.23	Mon'n touy en zonm pour blesir ki mon'n gannyen,
GEN.4.23	e en zanfan pour bate ki mon gannyen.
GEN.4.24	Si lanmor Kaen i ganny vanze set fwa
GEN.4.24	lanmor Lemek ava ganny vanze 77 fwa.
