MAT.1.1	Jesucristo e-dadgan-siki ilekwaa-danikid e-garda. Jesucristo, David-e-wagwa, degi, Abraham-e-wagwabar.
MAT.1.2	Abraham-machidi nuga Isaac,
MAT.1.2	Isaac-machidi Jacob,
MAT.1.2	Jacob-machidi Judá,
MAT.1.2	degi, Judá urbamarde.
MAT.1.3	Judá-machidi Fares,
MAT.1.3	degi, e-machi-baiddi Zara,
MAT.1.3	We-machi-warbogwad-e-nandi nuga Tamar.
MAT.1.3	Fares-machidi nuga Esrom,
MAT.1.3	Esrom-machidi Aram.
MAT.1.4	Aram-machidi Aminadab,
MAT.1.4	Aminadab-machidi Naasón,
MAT.1.4	Naasón-machidi Salmón.
MAT.1.5	Salmón, Rahab-ebo Booz-baksad,
MAT.1.5	Booz, Rut-ebo Obed-baksamogad,
MAT.1.5	degi, Obed-machidi nuga Isaí.
MAT.1.6	Isaí-machidi Rey-David,
MAT.1.6	Rey-David-machidi Salomón,
MAT.1.6	Salomón-e-nandi Urías-e-omega-gusad.
MAT.1.7	Salomón-machidi nuga Roboam,
MAT.1.7	Roboam-machidi Abías,
MAT.1.7	Abías-machidi Asa,
MAT.1.8	Asa-machidi Josafat,
MAT.1.8	Josafat-machidi Joram,
MAT.1.8	Joram-machidi Uzías,
MAT.1.9	Uzías-machidi Jotam,
MAT.1.9	Jotam-machidi Acaz,
MAT.1.9	Acaz-machidi Ezequías,
MAT.1.10	Ezequías-machidi Manasés,
MAT.1.10	Manasés-machidi Amón,
MAT.1.10	Amón-machidi Josías.
MAT.1.11	Judiomar gales Babiloniase ebipilesmargu,
MAT.1.11	Josías machimala-nikunoni,
MAT.1.11	Jeconías, degi, e-urbamar.
MAT.1.12	Judiomar gales Babiloniase e-bipilesmalad-sorba,
MAT.1.12	Jeconías, Babiloniagi,
MAT.1.12	Salatiel-nikunonimogad,
MAT.1.12	Salatiel-machidi nuga Zorobabel.
MAT.1.13	Zorobabel-machidi Abiud,
MAT.1.13	Abiud-machidi Eliaquim,
MAT.1.13	Eliaquim-machidi Azor.
MAT.1.14	Azor-machidi Sadoc,
MAT.1.14	Sadoc-machidi Aquim,
MAT.1.14	Aquim-machidi Eliud.
MAT.1.15	Eliud-machidi Eleazar,
MAT.1.15	Eleazar-machidi Matán,
MAT.1.15	Matán-machidi Jacob.
MAT.1.16	Jacob-machidi José,
MAT.1.16	José, María-e-sui,
MAT.1.16	geb Jesús agi gwalulesad.
MAT.1.16	We-Jesús, Cristoye nugad.
MAT.1.17	Degisoggu, Jesús-e-dadgan, Abraham-akar Davidse, e-ambe-gakabake gued, degi, David-akar, Judiomar gales Babiloniase ebipilesmaladse, e-ambe-gakabakebalid, degi, Judiomar gales Babiloniase ebipilesmalad-akar Cristose e-ambe-gakabakebardo.
MAT.1.18	Jesucristo weyob gwalulesad: María, Jesús-e-nan, deun José-ebo igar nabosmalad na nikumaloye. Na nikued-idu, María daklealid, bato gurgin-nika gudii, Bab Dummad Burba Nued egi ataksadba. 
MAT.1.19	José, María-sui, dule-gwage-nuedsoggu, yapa-María-obingesaedba arbakee mete-sokalinad.
MAT.1.20	Ar José degi-binsadii, gabgi Bab-Dummad-e-anger ese nonikid, ega sognonikid: “José, David-wagwa, mer be dobgu, be-ome-María na be abingae, ar María-bonigwar be dakedi, we Bab-Dummad-Burba-Nued-sogedba deyob gusad. 
MAT.1.21	María, machi-wargwen-nikuoed, Jesúsye be onugsao, ar ade iskuedgi e-neggwebur abonogoed.”
MAT.1.22	Ar José, degi, Maríaga weyob bela ibmar-gusadi, deyob gusdo, adi Bab Dummad, na E-gaya-burba-berbegedba, na ibmar-sogsadba guegar, deun sogsa-gusgu:
MAT.1.23	Emi be dake, yagwa-wargwen gurgin-nika guo,
MAT.1.23	machi-nikunoniko, Emanuelye nugsalegoed.
MAT.1.23	Is. 7:14
MAT.1.23	Emanuel sogleged, “Bab Dummad anmarba gudiiye.”
MAT.1.24	José gabdakmaid-sorba ataksagu, ar igi Bab-Dummad-e-anger ega sogsa, deyob imaksad, José, María-nikunonisunnad. 
