GEN.1.1	Naãrãed̶a Ãcõrẽba bajãda idjab̶a naʌ̃ ẽjũãda osia. 
GEN.1.2	Maʌ̃ne naʌ̃ ẽjũãra mĩã cawaiẽ́ b̶asia idjab̶a ne neẽ́ b̶asia. Pusa nãbuada pãĩmaba pãĩsosoa ũmasia. Maʌ̃ne Ãcõrẽ Jaureda pusa ʌ̃rʌ̃ domica b̶abadjia.
GEN.1.3	Maʌ̃be Ãcõrẽba jarasia:
GEN.1.3	–Ʌ̃nadua.–
GEN.1.3	Ara maʌ̃da ʌ̃nasia. 
GEN.1.4	Maʌ̃ ʌ̃naara Ãcõrẽba bia unusia. Maʌ̃be Ãcõrẽba ʌ̃naara pãĩma umebemada awara b̶ʌsia. 
GEN.1.5	Ʌ̃naara trʌ̃ b̶ʌsia “ãsa.” Pãĩmara trʌ̃ b̶ʌsia “diamasi.” Ãcõrẽba nabema ewarid̶e mãwã osia.
GEN.1.6	Maʌ̃be Ãcõrẽba jarasia:
GEN.1.6	–Baido ẽsi ded̶aada b̶aya baido ab̶a ʌ̃taa wãmãrẽã, ab̶a edre b̶emãrẽã.–
GEN.1.7	Ara mãwã jarabʌrʌba Ãcõrẽba maʌ̃ ded̶aara osia. Maʌ̃ne baidora ab̶a ʌ̃taa wãsia. Ab̶a edre b̶esia. 
GEN.1.8	Ãcõrẽba maʌ̃ ded̶aara trʌ̃ b̶ʌsia “bajã.” Umébema ewarid̶e mãwã osia.
GEN.1.9	Maʌ̃be Ãcõrẽba jarasia:
GEN.1.9	–Ded̶aa edrebema baidora jũma ãbaa ũmedua ẽjũã põãsada odjamãrẽã.–
GEN.1.9	Ara maʌ̃da ẽjũã põãsada odjasia. 
GEN.1.10	Maʌ̃ra Ãcõrẽba bia unusia. Ẽjũã põãsara Ãcõrẽba trʌ̃ b̶ʌsia “egoro.” Baido ãbaa ũmenada trʌ̃ b̶ʌsia “pusa.”
GEN.1.11+GEN.1.12	Maʌ̃be Ãcõrẽba jarasia:
GEN.1.11+GEN.1.12	–Egorod̶e ne quĩrãtanoa tununadua; chirua ta zaubari b̶eada idjab̶a nejõ bacuru sid̶a. Jũma maʌ̃ra ta zaud̶ia ara ãdji b̶ea quĩrãca tununamãrẽã.–
GEN.1.11+GEN.1.12	Ara maʌ̃da egorod̶e ne quĩrãtanoa tunusid̶aa. Jũma chirua ta diabari b̶eara idjab̶a bacuru nejõ zaubari b̶ea sid̶a ãdji ta bara tunusid̶aa ara ãdji b̶ea quĩrãca tununamãrẽã. Maʌ̃ra Ãcõrẽba bia unusia. 
GEN.1.13	Ũbeabema ewarid̶e mãwã osia.
GEN.1.14+GEN.1.15	Maʌ̃be Ãcõrẽba jarasia:
GEN.1.14+GEN.1.15	–Urua b̶eada bajãne b̶ead̶adua naʌ̃ ẽjũã ʌ̃na b̶amãrẽã idjab̶a ãsara, diamasi ume quĩrã awara b̶amãrẽã. Maʌ̃gʌba cawabi b̶aya ewarida, poada idjab̶a sãʌ̃be ewari dromada od̶ida panʌda.–
GEN.1.16	Ara mãwã jarabʌrʌba Ãcõrẽba ʌ̃mãdauda ãsabema carea osia. Jed̶ecoda diamasibema carea osia. Idjab̶a chĩdau sid̶a ocuasia. 
GEN.1.17+GEN.1.18	Ãcõrẽba maʌ̃ra jũma bajãne b̶ʌcuasia naʌ̃ ẽjũã ʌ̃na b̶amãrẽã, ãsa beseamãrẽã, diamasi ʌ̃na b̶amãrẽã, idjab̶a ãsara diamasi ume quĩrã awara b̶amãrẽã. Maʌ̃ra idjia bia unusia. 
GEN.1.19	Quĩmãrẽbema ewarid̶e mãwã osia.
GEN.1.20	Maʌ̃be Ãcõrẽba jarasia:
GEN.1.20	–Dojãne ne jũma zocai b̶eada baraa baya. Idjab̶a ʌ̃tʌ wãb̶aribada sid̶a baraa baya.–
GEN.1.21	Ara mãwã jarabʌrʌba Ãcõrẽba b̶eda waib̶ʌga b̶eada ocuasia. Dojãne zocai b̶eada quĩrãtanoa ocuasia. Idjab̶a i bara b̶eada quĩrãtanoa ocuasia. Maʌ̃ra idjia bia unusia. 
GEN.1.22	Maʌ̃be ãdjirãra nãwã bia jarasia:
GEN.1.22	–Zocãrã yõnadua. Pusara, do sid̶a birad̶adua. Idjab̶a ĩbana sid̶a naʌ̃ ẽjũãne zocãrã yõnadua.–
GEN.1.23	Ãcõrẽba juesumabema ewarid̶e mãwã osia.
