GEN.1.1	Mugaeai mugaeai tau, Deo ikado bubur ga tano ga iuot. 
GEN.1.2	Be tano ianun eta mao. Ienono sapaean. Tibur toa ngada oa dodom, be eau kekelen. Be Deo Itautau Tutui iroro gadae ngan eau igogo.
GEN.1.4	Deo igera mambe taranga eiua kemi. Ta idol taranga idio iadag, be dodom idio iadag. 
GEN.1.5	Deo iuato taranga eine “ado,” be iuato dodom eine “bong.” Io, bong ila, be gaisala iuot. Eine ado ede.
GEN.1.7	Io, kalakalanga tota iuot. Deo ikado kalakalanga toa oa ta ipoga eau gadae ga eau gadio ngan kalakalanga. 
GEN.1.8	Deo iuato kalakalanga toa oa “mariamba.” Io, bong ila, be gaisala iuot. Eine ado rua aea.
GEN.1.9	Ga kus ta Deo ikeo, “Eau ienono gadio ngan mariamba, manta ila iluplup ngan tibur kelede, ta tibur mamasa iuot.” Io, tota iuot. 
GEN.1.10	Deo iuato tibur mamasa eine “tano.” Be eau toa ila iluplup ngan tibur kelede, iuato “tad.” Ta Deo igera gid danga toa oa eine kemi.
GEN.1.11	Ga kus ta Deo ikeo, “Manta tano ipapot gid abei ga gilgilnga ga annga imata ede ga ede toman ngan ipuapua. Ta gid abei kelede kelede itautau ga iuot toman ngan ipuapua.” Io, tota iuot. 
GEN.1.12	Tano ipapot gid abei ga gilgilnga ga annga imata ede ga ede toman ngan ipuapua. Ga gid abei kelede kelede itautau iuot toman ngan ipuapua. Deo igera gid danga toa oa eine kemi. 
GEN.1.13	Io, bong ila, be gaisala iuot. Eine ado tol aea.
GEN.1.14	Ga kus ta Deo ikeo, “Gid taranga manta titara mariambai ta tikado bong ila ga kus ta ado inasi, ta timan kilala ngan gid rai ga taun ga ado. 
GEN.1.15	Gid taranga toa oa ga ienono mariambai ta titara ga isulug tanoeai.” Io, tota iuot. 
GEN.1.16	Deo ikado taranga kapeipei rua. Taranga kapei eine ngan itara ado, be kakauede ngan itara bong. Ga ikado gid gigima pade. 
GEN.1.17	Ta idol gid taranga toa oa mariambai ta titara ga isulug tanoeai 
GEN.1.18	ado ga ado ga bong ga bong. Ga tikado tibur meremere iadag ga tibur dodom iadag. Deo igera gid danga toa oa eine kemi. 
GEN.1.19	Io, bong ila, be gaisala iuot. Eine ado pange aea.
GEN.1.20	Ga kus ta Deo ikeo, “Tad manta iuon ngan gid masilau imata ede ga ede matad bibita. Ga gid man pade manta tiuot ga tiroro alele mariambai gadae ngan tano.” 
