MAT.1.1	Ay niy de dawét i de katufua Jesu Kristo, sani ségétéwe séfu Datu Dabide séfu Abraham. 
MAT.1.2	I Abrahamey boh Isake. Atin i Isakey boh Jakobe. Atin i Jakobey boh Judahe brab de dumo no sétiman boh. 
MAT.1.3	Atin i Judahey boh Farese brab Sarawe. (Tamar i idéng ruwe.) Atin i Faresey boh Esrome. Atin i Esromey boh Rame. 
MAT.1.4	Atin i Ramey boh Aminadabe. Atin i Aminadabey boh Nasone. Atin i Nasoney boh Salmone. 
MAT.1.5	Atin i Salmoney boh Boose. (Rahab i idéng ne.) Atin i Boosey boh Obede. (Rut i idéng ne.) Atin i Obedey boh Jesewe. 
MAT.1.6	Atin i Jesewey boh Datu Dabide. Atin i Dabidey boh Solomone. (I idéng ne been i bawag Uriase bé do gétah.) 
MAT.1.7	Atin i Solomoney boh Roboame. Atin i Roboamey boh Abiase. Atin Abias i boh Asawe. 
MAT.1.8	Atin i Asawey boh Josefate. Atin i Josefatey boh Jorame. Atin i Joramey boh Osiase. 
MAT.1.9	Atin i Osiasey boh Jotame. Atin i Jotamey boh Akase. Atin i Akasey boh Esekayawe. 
MAT.1.10	Atin i Esekayawey boh Manasese. Atin i Manasesey boh Amone. Atin i Amoney boh Josiase. 
MAT.1.11	Atin i Josiasey boh Jekoniase brab de dumo no sétiman boh. Kéluhana ro mén-uwit mangéy dob mérayue ingéd féndawét Babilonia amun ténabanan i karowe ingéd bé girawe. 
MAT.1.12	Amun diyo ron bati dob Babilonia, i Jekoniase wén i ngaén féndawét Salatiel. Atin i Salatieley boh Sorobabele. 
MAT.1.13	Atin i Sorobabeley boh Abiude. Atin i Abiudey boh Eliakime. Atin i Eliakimey boh Asore. 
MAT.1.14	Atin i Asorey boh Sadoke. Atin i Sadokey boh Akime. Atin i Akimey boh Eliude. 
MAT.1.15	Atin i Eliudey boh Eleasare. Atin i Eleasarey boh Matane. Atin i Mataney boh Jakobe. 
MAT.1.16	Atin i Jakobey boh Josehe, sani bawag Mariahe. Atin i Mariawey idéng Jesuse féndawét Kristo non Been i fénémili i Tuluse méguléw. 
MAT.1.17	Mélaw folo bra fot gékansad i de katufuan tidéw dob Abrahame taman dob Dabide. Atin tidéw dob Dabide taman dob gaiwe mén-uwit i de Judio mangéy Babilonia folo bra fot so gékansad i de katufuan. Atin tidéw béno taman bé kéumah Kristowe folo bra fot so gékansad i de katufuan.
MAT.1.18	Ay ni urete fantag bé kéumah Jesu Kristowe. I idéng ne Maria. Atin i Mariahe ténlaana nén fébawagén dob ségétéwe lagéy féndawét Jose. Endob amun énda séna sébawag ro de, ménwaléy obor i Mariahe non fénobor i Rémogor i Tuluse. Enggétiga Mariahey ni. 
