MAT.1.1	Nigaj ijkuilijtoꞌ ito̱ka̱mej yej iyikyapatajwe̱wejmej Jesucristo,
MAT.1.2	Abraham mochij te̱taj iga Isaac, iwá̱n Isaac mochij te̱taj iga Jacob, iwá̱n Jacob mochij te̱taj iga Judá iwá̱n iyikni̱wa̱n. 
MAT.1.3	Judá iwá̱n isiwa̱ꞌ yej ito̱ka̱ꞌ Tamar mochijkej te̱tajmej iga Fares iwá̱n Zara. Fares mochij te̱taj iga Esrom. Esrom mochij te̱taj iga Aram. 
MAT.1.4	Aram mochij te̱taj iga Aminadab, iwá̱n Aminadab mochij te̱taj iga Naasón, iwá̱n Naasón mochij te̱taj iga Salmón. 
MAT.1.5	Salmón mochij te̱taj iga Booz, te̱ye̱ꞌ ito̱ka̱ꞌ Rahab. Booz mochij te̱taj iga Obed, te̱ye̱ꞌ ito̱ka̱ꞌ Rut. Obed mochij te̱taj iga Isaí. 
MAT.1.6	Isaí mochij te̱taj iga rey David, David kipiáꞌ se̱ ipiltzi̱n yej ito̱ka̱ꞌ Salomón yej kitaꞌ iwá̱n inó̱n siwa̱ꞌ yej isíwa̱ꞌpa katka Urías.
MAT.1.7	Salomón mochij te̱taj iga Roboam, iwá̱n Roboam mochij te̱taj iga Abías, iwá̱n Abías mochij te̱taj iga Asa. 
MAT.1.8	Asa mochij te̱taj iga Josafat, iwá̱n Josafat mochij te̱taj iga Joram, iwá̱n Joram mochij te̱taj iga Uzías. 
MAT.1.9	Uzías mochij te̱taj iga Jotam, iwá̱n Jotam mochij te̱taj iga Acaz, iwá̱n Acaz mochij te̱taj iga Ezequías. 
MAT.1.10	Ezequías mochij te̱taj iga Manasés, iwá̱n Manasés mochij te̱taj iga Amón, iwá̱n Amón mochij te̱taj iga Josías. 
MAT.1.11	Jeconías iwá̱n iyikni̱wa̱n itajmej ito̱ka̱ꞌ Josías. Ini̱mej ipilowa̱n onokoj kua̱ꞌ rey de país Babilonia kipre̱sojwij israeli̱tajmej iga kiwi̱gakej Babilonia.
MAT.1.12	Kua̱ꞌ kí̱skeja Babilonia, Jeconías kipiáꞌ ipiltzi̱n yej ito̱ka̱ꞌ Salatiel. Iwá̱n Salatiel kipiáꞌ ipiltzi̱n yej ito̱ka̱ꞌ Zorobabel. 
MAT.1.13	Zorobabel mochij te̱taj iga Abiud, iwá̱n Abiud mochij te̱taj iga Eliaquim, iwá̱n Eliaquim mochij te̱taj iga Azor. 
MAT.1.14	Azor mochij te̱taj iga Sadoc, iwá̱n Sadoc mochij te̱taj iga Aquim, iwá̱n Aquim mochij te̱taj iga Eliud. 
MAT.1.15	Eliud mochij te̱taj iga Eleazar, iwá̱n Eleazar mochij te̱taj iga Matán, iwá̱n Matán mochij te̱taj iga Jacob. 
MAT.1.16	Jacob mochij te̱taj iga José, yej iwe̱wej María. Ini̱nya María yej iye̱ꞌ Jesús, ini̱nya Jesús yej tikto̱ka̱wiáj Cristo.
