MAT.1.1	Ni rguixogueꞌn quie ja xuzixtaꞌo Jesucristo. Naca Abraham len rey David xuzixtaꞌo Jesucristo. 
MAT.1.2	Abraham guquëꞌ xuzi Isaac, naꞌ Isaac guquëꞌ xuzi Jacob, naꞌ Jacob guquëꞌ xuzi Judá len ja bichinëꞌ. 
MAT.1.3	Naꞌ Judá guquëꞌ xuzi Fares len Zara, naꞌ lao z̃naꞌjëꞌ Tamar. Naꞌ Fares guquëꞌ xuzi Esrom, naꞌ Esrom guquëꞌ xuzi Aram. 
MAT.1.4	Naꞌ Aram guquëꞌ xuzi Aminadab, naꞌ Aminadab guquëꞌ xuzi Naasón, naꞌ Naasón guquëꞌ xuzi Salmón. 
MAT.1.5	Naꞌ Salmón guquëꞌ xuzi Booz, naꞌ lao z̃naꞌnëꞌ Rahab. Naꞌ Booz guquëꞌ xuzi Obed, naꞌ lao z̃naꞌnëꞌ Rut. Naꞌ Obed guquëꞌ xuzi Isaí. 
MAT.1.6	Naꞌ Isaí guquëꞌ xuzi rey David, naꞌ rey David lënëꞌ z̃gula Urías gucajëꞌ xuzi z̃naꞌ Salomón.
MAT.1.7	Naꞌ Salomón guquëꞌ xuzi Roboam, naꞌ Roboam guquëꞌ xuzi Abías, naꞌ Abías guquëꞌ xuzi Asa. 
MAT.1.8	Naꞌ Asa guquëꞌ xuzi Josafat, naꞌ Josafat guquëꞌ xuzi Joram, naꞌ Joram guquëꞌ xuzi Uzías. 
MAT.1.9	Naꞌ Uzías guquëꞌ xuzi Jotam, naꞌ Jotam guquëꞌ xuzi Acaz, naꞌ Acaz guquëꞌ xuzi Ezequías. 
MAT.1.10	Naꞌ Ezequías guquëꞌ xuzi Manasés, naꞌ Manasés guquëꞌ xuzi Amón, naꞌ Amón guquëꞌ xuzi Josías. 
MAT.1.11	Naꞌ Josías guquëꞌ xuzi Jeconías len ja bichinëꞌ tiempo cati unitaꞌ benꞌ Babilonia cati yahuaꞌajëꞌ preso benꞌ Israel lao yedyi quiejëꞌ.
MAT.1.12	Te beyudyi naꞌ, Jeconías guquëꞌ xuzi Salatiel, naꞌ Salatiel guquëꞌ xuzi Zorobabel. 
MAT.1.13	Naꞌ Zorobabel guquëꞌ xuzi Abiud, naꞌ Abiud guquëꞌ xuzi Eliaquim, naꞌ Eliaquim guquëꞌ xuzi Azor. 
MAT.1.14	Naꞌ Azor guquëꞌ xuzi Sadoc, naꞌ Sadoc guquëꞌ xuzi Aquim, naꞌ Aquim guquëꞌ xuzi Eliud. 
MAT.1.15	Naꞌ Eliud guquëꞌ xuzi Eleazar, naꞌ Eleazar guquëꞌ xuzi Matán, naꞌ Matán guquëꞌ xuzi Jacob. 
MAT.1.16	Naꞌ Jacob guquëꞌ xuzi José, benꞌ quie María, naꞌ María guquëꞌ z̃naꞌ Jesús, benꞌ naca Cristo.
MAT.1.17	Lao tiempo uzu Abraham hasta bdyinnan tiempo uzu rey David, udaohue chidaꞌ tiempo unitaꞌjëꞌ. Lëscanꞌ lao tiempo uzu rey David hasta bdyinnan tiempo yehuaꞌa benꞌ Babilonia benꞌ Israel preso yedyi quiejëꞌ, udaohue itu chidaꞌ tiempo unitaꞌjëꞌ. Lëscanꞌ lao tiempo yehuaꞌa benꞌ Babilonia benꞌ Israel preso yedyi quiejëꞌ hasta bdyinnan tiempo golo Cristo, udaohue itu cueꞌ chidaꞌ tiempo unitaꞌjëꞌ.
MAT.1.18	Caora cati golo Jesucristo guca caniga: Z̃naꞌnëꞌ María napëꞌ compromiso utzaganaꞌlënëꞌ José. Pero antes binesiꞌ laguedyijëꞌ sujëꞌ tuz̃e, caora naꞌ gucabëꞌ José banuꞌa María xcuidiꞌ. Pero por nun quie Bichi Be quie Diuzi nuꞌanëꞌ xcuidiꞌ. 
MAT.1.19	José naquëꞌ benꞌ huen bireꞌennëꞌ gaohuëꞌ María xquia lao yedyi. Reꞌennëꞌ usannëꞌ lenëꞌ sin que inezi ja benëꞌ. 
MAT.1.20	Tu racanëꞌ pensari bi huenëꞌ, cati ptilalao tu ángel quie Diuzi lenëꞌ lao bichi gala quiëꞌ. Naꞌra una ángel rëbinëꞌ lëbëꞌ:
MAT.1.20	―José, z̃iꞌi suba David luëꞌ, bidzeboꞌ siuꞌ María gacanëꞌ z̃guloꞌ, porque nun quie Bichi Be quie Diuzi banuꞌanëꞌ xcuidiꞌ. 
MAT.1.21	Lëbëꞌ su tu z̃iꞌinëꞌ, naꞌ hueloꞌ laobiꞌ JESUS. Canaꞌ hueloꞌ laobiꞌ porque z̃iꞌinëꞌ ute uselabiꞌ dulaꞌ xquia quie benꞌ yedyi quiebiꞌ.
MAT.1.22	Yugulu cabëꞌ guca naꞌ, bzunan diꞌidzaꞌ quie Diuzi cabëꞌ una Diuzi lao naꞌa tu benꞌ udixogueꞌ xtiꞌidzaꞌnëꞌ tiempote. Cani unëꞌ dza naꞌ:
MAT.1.23	Huazu tu nigula cuidiꞌ, benꞌ binesulë beꞌmbyu, huaꞌanëꞌ tu z̃iꞌinëꞌ.
MAT.1.23	Naꞌ siꞌ laobiꞌ Emanuel.
MAT.1.23	Ta inaro xtiꞌidzaꞌro: Zëlë Diuzi raꞌo.
MAT.1.24	Cati udëlebë José lao bichi gala quienëꞌ, bënëꞌ cabëꞌ gudyi ángel quie Diuzi lëbëꞌ. Aoz̃iꞌnëꞌ María para z̃gulanëꞌ. 
MAT.1.25	Pero biuzulënëꞌ lëbëꞌ cabëꞌ rzulë ja benëꞌ z̃gulajëꞌ hasta que golo z̃iꞌinëꞌ nëro. Naꞌ bëꞌnëꞌ lao z̃iꞌinëꞌ JESUS.
MAT.2.1	Cati golo Jesús lao yedyi Belén ga nebaba Judea, caora naꞌ uzu tu benꞌ lao Herodes naquëꞌ rey. Naꞌra bdyin ja benꞌ zaꞌ zacaꞌ ga rlë obidza, bdyinjëꞌ ciudad Jerusalén. Nacajëꞌ benꞌ psëdi quie bélo. 
MAT.2.2	Naꞌra unabajëꞌ:
MAT.2.2	―¿Gaz̃i zu rey quie benꞌ Israel, benꞌ zagolo? Nitaꞌndoꞌ zacaꞌ ga rlë obidza blëꞌëndoꞌ bélo ta naca seña golobiꞌ. Quie lenaꞌ zaꞌndoꞌ ta gapalaꞌnndoꞌbiꞌ.
MAT.2.3	Cati unezi rey Herodes cabëꞌ unayaquëꞌ, lega ptëbi pensari quienëꞌ lëbëꞌ. Lëscanꞌ yugulu ja benꞌ ciudad Jerusalén, lega ptëbi pensari quiejëꞌ lëjëꞌ. 
MAT.2.4	Naꞌra guz̃i rey Herodes yugulu ja xanꞌ pxuzi len ja benꞌ rusëdi ja ley rnao benꞌ Israel. Naꞌ unabanëꞌ rëbinëꞌ lëjëꞌ:
MAT.2.4	―¿Ganꞌ galo benꞌ naca Cristo?
MAT.2.5	Naꞌ ra unajëꞌ rëbijëꞌ lëbëꞌ:
MAT.2.5	―Galoguëꞌ yedyi Belén ga nebaba Judea, porque cani rnën lëꞌë guichi bë profeta dza naꞌte:
MAT.2.6	Leꞌe benꞌ yedyi Belén quie yu nebaba Judá, baꞌalaꞌcazi naca yedyi quiele yedyi daoꞌ, hualo ladole tu benꞌ inabëꞌra, benꞌ inabëꞌ benꞌ Israel, benꞌ quie Diuzi.
MAT.2.6	Canaꞌ rnën lëꞌë guichi.
MAT.2.7	Naꞌra balarazi guz̃i rey Herodes yaca benꞌ psëdi quie bélo. Unabanëꞌ lëjëꞌ dyëꞌëdi bi tiempo golo bélo. 
MAT.2.8	Naꞌ useꞌelaꞌnëꞌ lëjëꞌ Belén rëbinëꞌ lëjëꞌ:
MAT.2.8	―Uletzio Belén inabale dyëꞌëdi bi raca quie xcuidiꞌ. Cati babedzelelebiꞌ nadetixogueꞌle nëꞌëdiꞌ tacuenda guidariaꞌ gapalaꞌnaꞌbiꞌ. ―Canaꞌ unanëꞌ rëbinëꞌ lëjëꞌ.
MAT.2.9	Te beyudyi una rey Herodes gudyijëꞌ lëjëꞌ canaꞌ, naꞌra zio benꞌ psëdi quie bélo. Naꞌra lëbélo blëꞌëjëꞌ caora nitaꞌjëꞌ zacaꞌ ga rlë obidza, udyialaona laojëꞌ hasta que bdyinnan laohue ga zu xcuidiꞌ. 
MAT.2.10	Cati blëꞌëjëꞌ ga bdyin bélo, lega bedaohuetzeguejëꞌ. 
MAT.2.11	Caora uyuꞌujëꞌ luꞌu yuꞌu, blëꞌëjëꞌ xcuidiꞌ lëbiꞌ z̃naꞌbiꞌ María. Naꞌra uditzuz̃ibijëꞌ udapalaꞌnjëꞌ bdaoꞌ naꞌ. Naꞌra laosalotejëꞌ caja quiejëꞌ nuꞌajëꞌ, bëꞌjëꞌbiꞌ regalo ta nuꞌajëꞌ, bëꞌjëꞌbiꞌ oro len yalo len ja aceite z̃io. 
MAT.2.12	Beyudyi naꞌ, guca tu chopa dza nitaꞌjëꞌ naꞌ cati uxusajëꞌ de que bireyaꞌalaꞌ yeyojëꞌ ganꞌ uzaꞌjëꞌ, ganꞌ reꞌ rey Herodes. Quie lenaꞌ uz̃iꞌjëꞌ neza tula zeyojëꞌ yedyi quiejëꞌ.
MAT.2.13	Ude beyudyi bezaꞌ ja benꞌ psëdi quie bélo yenaꞌjëꞌ xcuidiꞌ, naꞌra uxusa José blëꞌënëꞌ tu ángel quie Diuzi rëbinëꞌ lëbëꞌ:
MAT.2.13	―Uyasabachiꞌ udëꞌëlaꞌ bdaoꞌ naꞌ len z̃naꞌbiꞌ. Uz̃unolëloꞌbiꞌ tziolaꞌobiꞌ yu nebaba Egipto. Naꞌ yegaꞌnlaꞌobiꞌ hasta que iniaꞌ luëꞌ gala tzioꞌ, porque rey Herodes hueguiloguëꞌbiꞌ ta gutiëꞌbiꞌ.
MAT.2.14	Naꞌra udëlebë José, uyasanëꞌ, uz̃iꞌnëꞌ xcuidiꞌ len z̃naꞌbiꞌ lao rëla ziojëꞌ yu nebaba Egipto. 
MAT.2.15	Naꞌzi begaꞌnjëꞌ ulezajëꞌ uzujëꞌ hasta que bdyin hora guti rey Herodes. Canaꞌ guca tacuenda bzu diꞌidzaꞌ quie Diuzi cabëꞌ gudyinëꞌ profeta rëbinëꞌ lëbëꞌ cani: “Yu nebaba Egipto babeyëz̃aꞌ z̃iꞌinaꞌ yerobiꞌ.”
MAT.2.16	Cati gucabëꞌ rey Herodes uz̃iꞌ ja yëꞌ benꞌ psëdi quie bélo, naꞌra bdzaꞌnëꞌ, bënëꞌ mandado gati ja xcuidiꞌ de chopa iza huio para z̃anle, biꞌ necuaꞌ Belén len ja biꞌ necuaꞌ yedyi regaꞌn gaꞌalaꞌ. Canaꞌ bënëꞌ mandado según cabëꞌ tiempo una ja benꞌ psëdi quie bélo gudyijëꞌ lënëꞌ. 
MAT.2.17	Canaꞌ bzu diꞌidzaꞌ quie profeta Jeremías caora unëꞌ:
MAT.2.18	Yero tu rchiꞌ ja benꞌ yedyi Ramá, rbedyijëꞌ rnayaꞌjëꞌ.
MAT.2.18	Naꞌ rbedyi ja nigula quie ja benꞌ Israel por nun quie z̃iꞌijëꞌ.
MAT.2.18	Bireyudyicazi cuedyijëꞌ ta yezujëꞌ gusto danꞌ aguti z̃iꞌijëꞌ.
MAT.2.19	Pero bëꞌ beyudyi guti rey Herodes, caora naꞌ ptilalao tu ángel quie Diuzi lao bichi gala quie José ga zunëꞌ yedyi nebaba Egipto. Naꞌra gudyinëꞌ lëbëꞌ:
MAT.2.20	―Uyasa, uz̃iꞌlë xcuidiꞌ len z̃naꞌbiꞌ. Uleyozi lao yedyi nebaba Israel, porque aguti yaca benꞌ reꞌen guti xcuidiꞌ.
MAT.2.21	Naꞌra uyasa José uz̃iꞌnëꞌ xcuidiꞌ len z̃naꞌbiꞌ, ziolënëꞌ lëbiꞌ lao yedyi ga nebaba Israel. 
MAT.2.22	Pero cati unezi José rnabëꞌ Arquelao lao laza xuzinëꞌ Herodes, naꞌra bdzebinëꞌ yeyonëꞌ naꞌ. Bdzebinëꞌ como danꞌ aoxusanëꞌ ta bitzionëꞌ estado Judea. Quie lenaꞌ zionëꞌ estado Galilea. 
MAT.2.23	Caora bdyinnëꞌ naꞌ, naꞌra zionëꞌ tzesunëꞌ yedyi Nazaret. Canaꞌra bzu diꞌidzaꞌ quie ja profeta ca unajëꞌ de quie ina ja benëꞌ naca Jesús benꞌ yedyi Nazaret.
MAT.3.1	Naꞌra uyo Juan bautista yu nebaba Judea ga naca lato dachi. Uyonëꞌ yetixogueꞌnëꞌ ja benëꞌ xtiꞌidzaꞌ Diuzi. 
MAT.3.2	Naꞌra nëꞌ rëbinëꞌ lëjëꞌ:
MAT.3.2	―Reyaꞌalaꞌ utzaꞌle pensari quiele usanle ca tamala ruele, porque baruen bago dza inabëꞌ Diuzi lao yedyi layu.
MAT.3.3	Quie Juan unë profeta Isaías caora unëꞌ:
MAT.3.3	Huazu benꞌ naꞌ lao lato dachi ga bidyia yuꞌu.
MAT.3.3	Huanëꞌ zidzo rëbinëꞌ laguedyinëꞌ caniga:
MAT.3.3	“Huele hueluba neza quiele cuenda huida benꞌ naca xaꞌnro, usalole tu neza li.”
MAT.3.4	Guco Juan laꞌariꞌ de guitzaꞌ quie z̃aba camello. Naꞌ tu cincho guidi bdzeꞌnëꞌ lëꞌënëꞌ. Udaonëꞌ bëchiꞌzu, hueꞌenëꞌ bdyinꞌdaoꞌ quie bezu cera ta rdzela guixiꞌ daoꞌ. 
MAT.3.5	Naꞌ rio ja benꞌ Jerusalén renaꞌjëꞌ ruzënagajëꞌ quienëꞌ. Lëzi rio ja benꞌ yedyi nebaba Judea len ja benꞌ nitaꞌ gaꞌalaꞌ ga de yao Jordán. 
MAT.3.6	Caora naꞌ cati uxubalëpijëꞌ dulaꞌ xquia quiejëꞌ, naꞌra bëꞌ Juan laojëꞌ luꞌu yao Jordán.
MAT.3.7	Cati blëꞌë Juan bdyin ja benꞌ partido fariseo len ja benꞌ partido saduceo zaꞌjëꞌ ganꞌ ruꞌe Juan lao ja benëꞌ, naꞌra nëꞌ rëbinëꞌ lëjëꞌ:
MAT.3.7	―¡Ca bëla rguiꞌidyiꞌ benëꞌ nacale! ¿Nuz̃i udixogueꞌ leꞌe ta te ilale cabëꞌ castigo quie Diuzi bazaꞌ gaꞌalaꞌzi? 
MAT.3.8	Ulehue dyaꞌa ta uluꞌen nacan li aotzaꞌ pensari quiele, aruele quie Diuzi. 
MAT.3.9	Bihuele pensari bihue Diuzi leꞌe castigo por nun quie nacale z̃iꞌi suba Abraham. Porque rniaꞌ leꞌe hasta yo huaca hue Diuzi benꞌ gaca z̃iꞌi Abraham. 
MAT.3.10	Ca quie yebandyo baden listo para ichugon yaga ta birbia taz̃ixi ta tzeina, canaꞌ nacarën quiele. Chi bihue quiele xtiꞌidzaꞌ Diuzi ca rnënëꞌ, huataꞌ castigo quiele tziole lao guiꞌ gabila. 
MAT.3.11	Nëꞌëdiꞌ tali ruꞌa lao benëꞌ conlë nisa yelaꞌ gacajëꞌ seña de que aotzaꞌ pensari quiejëꞌ aruejëꞌ quie Diuzi. Pero bazaꞌ tu benꞌ zazaꞌra zenao nëꞌëdiꞌ. Lëbëꞌ udzeꞌnëꞌ Bichi Be quie Diuzi luꞌu guicho laxtaꞌo ja benꞌ rale quienëꞌ. Lëzi huenëꞌ mandado tzei yaca benꞌ birale quienëꞌ lao guiꞌ gabila. Nacarëꞌ benꞌ z̃e ca nëꞌëdiꞌ. Tanto nacarëꞌ benꞌ z̃e ca nëꞌëdiꞌ, ni siquiera biyeyaz̃ogaꞌ cuiogaꞌ guidi yuꞌu niꞌanëꞌ. 
MAT.3.12	Bazënëꞌ becueꞌ ta uchaꞌanëꞌ trigo len bëbi quien. Naꞌra yeziꞌchiꞌnëꞌ trigo luꞌu lidyin. Yeyudyin naꞌ uzeinëꞌ bëbi quien lao guiꞌ ta biyeyulacazi.
MAT.3.13	Naꞌra uzaꞌ Jesús yu nebaba Galilea bdyinnëꞌ ga de yao Jordán ga zu Juan cuenda hueꞌ Juan laonëꞌ lëbëꞌ. 
MAT.3.14	Naꞌ biguꞌun Juan hueꞌnëꞌ lao Jesús. Lenaꞌ unëꞌ gudyinëꞌ Jesús:
