MAT.1.2	Abalaam hako noow Isak, tonde Isak hako Yaakop, tonde Yaakop hako Yuda-so halindin, 
MAT.1.3	tonde Yuda hako Peles ayuuh Sila, yuuhate tangganaan Tema, tonde Peles hako noow Heslon, tonde Heslon hako noow Lam, 
MAT.1.4	de Lam hako noow Aminadap, tonde Aminadap hako noow Naason, tonde Naason hako Salmon, 
MAT.1.5	de Salmon hako Boas sen tangganaan Lehap-ato, tonde Boas hako Obet sen tangganaan Lut-ato, tonde Obet hako noow Jesi, 
MAT.1.6	tonde Jesi hako noow Devit sen tu omaaho lulemak-ato.
MAT.1.6	Tonde Devit hako noow Solomon, tonde Solomon tangganaan-anju ond Ulia vane bôôy. 
MAT.1.7	Tonde Solomon hako noow Liaboam, Liaboam hako Abaisa, Abaisa hako Esa, 
MAT.1.8	tonde Esa hako noow Yosapat, de Yosapat hako Jolam, Jolam hako Usia, 
MAT.1.9	Usia hako Jotam, Jotam hako Ehas, Ehas hako Hesekia, 
MAT.1.10	tonde Hesekia hako Manase, de Manase hako Amos, Amos hako Yosia, 
MAT.1.11	tonde Yosia hako Jekonaia-so halindin, tonde hôôk busin-anju hil Babilon landuuh hil Islel-ambe lako sil-ambe lala
MAT.1.11	dando Babilon.
MAT.1.13	Selababel hako Abaiat, Abaiat hako Elaiakim, Elaiakim hako Eso, 
MAT.1.14	tonde Eso hako Sedok, de Sedok hako Ekim, Ekim hako Elaiat, 
MAT.1.15	tonde Elaiat hako Eleasa, de Eleasa hako Matan, tonde Matan hako Yaakop, 
MAT.1.16	tonde Yaakop hako Yusep sen Malia layaa-to, ond Maliaa-ju sen hako noow Yesu sen danêêl nambe Kalisii-to.
MAT.1.17	Omaahonôôn pin-anju sen lapumak Abalaam-ambe laam lôôt-ambe tok laam Devit-anju, ond silate danggakook nomaayuuh-ambe laam yumbeyuuh. Tonde vu Devit-ambe tok laam busin sen lala dando taaku Babilon-ato, ond yik silate danggakook nomaayuuh-ambe laam yumbeyuuh. Tonde vu busin sen lala dando Babilon-ato be tok laam Kalisi-te busin, ond yik danggakook nomaayuuh-ambe laam yumbeyuuh nambêênju having.
MAT.1.19	De laya Yusep ond omaaho nivalok, ondeey me-wiingin nambe naanêêl vakasin langaah-ambe Malia ninaamum e, nganjo yoo wiingin nambe gavuuh Malia kaatokin amu. 
MAT.1.20	Yusep ka monavu vakasin-anju tombe yi mavin-ande Omaaho Bop-ate angela ti laam nêêl vu nambe, “Yusep, hong sen gate danggakook neep vu Devit-ato, game ganjêênin e. Onggako gate vêêh Malia be naas mando gaving hong, in unoopasiv sen lukaale lopayôô-ju ond Vavi Vaambuung vu vu yi. 
