MAT.1.1	Ani sén i dad dagit i gutambul Dyisas Krayst, i bel Harì Dabid, dunan i bel Abraham. 
MAT.1.2	Mdà Abraham, kenen i mà Isaak, na Isaak i mà Dyékob, na Dyékob i mà Dyuda na i dad flanekan. 
MAT.1.3	Na Dyuda i mà Péris na Sérah, na yé dagit i yêla Tamar. Na mdà Péris, kenen i mà Hésron, i mà Ram. 
MAT.1.4	Na Ram i mà Aminadab, na Aminadab i mà Nason, na Nason i mà Salmon. 
MAT.1.5	Na Salmon i mà Boas, na yé dagit i yê Boas dunan Rahab. Na mdà Boas, kenen i mà Obéd, na yé dagit i yê Obéd dunan Rut. Na mdà Obéd, kenen i mà Dyési. 
MAT.1.6	Na Dyési i mà Harì Dabid. Na mdà Harì Dabid, kenen i mà Solomon, na yé yê Solomon i yaan Uraya. 
MAT.1.7	Na mdà Solomon, kenen i mà Rihoboam, na Rihoboam i mà Abadya, na Abadya i mà Asa. 
MAT.1.8	Na Asa i mà Dyihosafat, na Dyihosafat i mà Dyoram, na Dyoram i mà Usaya. 
MAT.1.9	Na Usaya i mà Dyotam, na Dyotam i mà Ahas, na Ahas i mà Hésékaya. 
MAT.1.10	Na Hésékaya i mà Manasi, na Manasi i mà Amon, na Amon i mà Dyosaya. 
MAT.1.11	Na Dyosaya i mà Dyékonaya, na i dad flanekan lagi. Di dad du atù, i dad to mdà di banwe Babilon, kanfèla ale gagin i dademela Dyu, na nebela ale ditù di Babilon.
MAT.1.12	Na kanto ale kel di Babilon, nun ngà Dyékonaya, na yé dagitan Saltiyél. Na Saltiyél i mà Sorubabél. 
MAT.1.13	Na Sorubabél i mà Abayud, na Abayud i mà Ilaykim, na Ilaykim i mà Asor. 
MAT.1.14	Na Asor i mà Sadok, na Sadok i mà Akim, na Akim i mà Ilayud. 
MAT.1.15	Na Ilayud i mà Éliasar, na Éliasar i mà Matan, na Matan i mà Dyékob. 
MAT.1.16	Na Dyékob i mà Dyosip, i yaan Méri, dunan i yê Dyisas, i dnagit Krayst.
MAT.1.17	Yé duenam man, yé kdee kastugad i to mdà di ku Abraham kel di ku Harì Dabid dunan sfalò fat. Na mdà di ku Harì Dabid kel di kgebe i dad to Israél salu ditù di Babilon, yé kdee kastugad i to lê sfalò fat. Na mdà di kgebe i dad to Israél salu di Babilon kel di ksut Dyisas Krayst, lê sfalò fat i kdee kastugad.
MAT.1.18	Ani santulen gablà di ksut Dyisas Krayst. Mdà i yêan, Méri, nun yaan ton, yé dagitan Dyosip. Bay di lamla là swè, gadèan ta maltien kenen fagu di Mtiu Tulus Dwata. 
MAT.1.19	Na Dyosip i satu to too tluh, bay là mayèan ku fyàan Méri di kanfe i kdee dad to, taman, yé fandaman là fanlesan dun di landè dademe to gmadè. 
MAT.1.20	Bay di lam Dyosip famdam ani, nun satu kasaligan i Dwata msut di kenen fagu di kna, manan, “E Dyosip, bel Harì Dabid, nang ge likò msong ku Méri du i ngà lantienan mdà di Mtiu Tulus. 
MAT.1.21	Mngà kenen lagi, na yé dagitam dun Dyisas, du falwàan i dad ton di dad salàla.” 
MAT.1.22	Na mgimò i kdee ayé du fye gdohò i ta gman Dwata di munan fagu di satu tugadan, manan, 
MAT.1.23	“Tadè maltien i satu sawang libun, na mngà kenen lagi, na yé katlola kenen Imanyuél.” Na yé gumtatek Imanyuél dunan, “Ta dini Dwata sagin di gito.”
MAT.1.24	Kanto mukat Dyosip, ta nimenan i flau i kasaligan Dwata di kenen na nsongan Méri. 
MAT.1.25	Bay silang sgafat i lawehla ta fnge sut i ngà Méri. Na kanto sut i ngà ayé, yé dagit Dyosip dun Dyisas.
MAT.2.1	Na sut Dyisas ditù di Bétléhém, i satu lunsud glam di Dyudiya di dad du i kagot Harì Hérod. Na kanto kenen sut, nun dad to salu ditù di Dyérusalém mdà di gusut i du fulung meye dad blatik. 
MAT.2.2	Na kanto ale kel di Dyérusalém, smalek ale, manla, “Nè gumnè i ngà sut, i mgimò Harì i dad Dyu? Ta teenmi i blatik di gusut i du ilè i ta ksutan. Na yé duenmi salu dini du mangamfù gami di kenen.”
MAT.2.3	Na kanto linge Harì Hérod ani, too msamuk i nawan, na balù i kdee dademe dad to di Dyérusalém. 
MAT.2.4	Na fastifun Harì Hérod i kdee dad ganlal di kafaglut i dad Dyu, na lê man i dad to gal tamdò dad uldin Dwata fagu di ku Mosis du snalekan ale, manan, “Nè gusut i Mgalék Dwata?” 
MAT.2.5	Na tmimel ale, manla, “Ditù di Bétléhém glam di Dyudiya, du ani man i tugad Dwata di sulatan di munan,
MAT.2.6	‘Ge, Bétléhém, glam di banwe Dyuda, ise ku ge i too mdanà di kdee dad banwe nagot i dad ganlal di Dyuda du too nun btasam, du mdà di ge i satu ulu, na kenen malak i dad togu, dunan Israél.’ ”
MAT.2.7	Na fatlo Harì Hérod i dad to too fulung ayé di landè to gmadè dun, du snalekan ale ku kilen kitela i blatik. 
MAT.2.8	Na dekan ale salu ditù di Bétléhém, na manan dale, “Mdà gamu, na tooyu fanngabal i ngà ayé. Na ku ta teenyu, fgadèyu di do i gusablàan du fye lê agu do gatù mangamfù di kenen.”
MAT.2.9	Na kantola linge i man Harì Hérod, ta mdà ale. Na i blatik ta teenla di gusut i du, magu gsen munala, na silang fanak di sablà gumnè i ngà. 
MAT.2.10	Na di kitela i blatik ayé, too ale lehew. 
MAT.2.11	Na kanto ale kel di gumnè ayé, teenla i ngà di saféd i yêan Méri, na lkuad ale mangamfù di kenen. Na nukalla i dad mabtas nebela du bléla di ngà ayé. Yé bléla dun blawen, na dad fangbun dnagit insénso, na mira. 
MAT.2.12	Na kafnge ayé, mulê ale di banwela, bay ta mahal i dalanla du ta fgadè Dwata di dale fagu di kna nang ale samfulê di ku Harì Hérod.
MAT.2.13	Na kanto mdà i dad to fulung ayé, nun kasaligan i Dwata msut di ku Dyosip fagu di kna, manan, “Mték ge. Nebem i ngà na i yêan, na milah gamu ditù di banwe Idyip du fanngabal Hérod i ngà du kayèan fnati. Silang gamu mulê dini ku ta man-gu di gamu.”
MAT.2.14	Na yé duenam man, mték Dyosip, na neben i ngà na yêan, na mdà ale milah di lam i kifuh salu ditù di Idyip. 
MAT.2.15	Na déé gufanakla kel di kfati Hérod. Na fagu déé, gdohò i man Dwata fagu di tugadan di munan, “Tlogu i Ngàgu lamwà fdu di banwe Idyip.”
MAT.2.16	Na yé duenam man, kanto gadè Harì Hérod ta mafgaw kenen du mdà di nimò i dad to fulung meye dad blatik, too kenen malbut. Na fafatin i kdee dad ngà lagi mdà di dad ngà falami sut kel di dad ngà lwe fali i ktuala mnè di Bétléhém, na lê man di dademe banwe mdadong déé. Lalòan i man dad to fulung meye dad blatik du fye gadèan ku dét ta kalbong i ngà kayèan fafati. 
MAT.2.17	Na mdà di kfati i kdee dad ngà ayé, ta gdohò i man Dwata di munan fagu di satu tugadan dnagit Dyérimaya, manan,
MAT.2.18	“Nun mugak linge di banwe Rama du nun dad to too mngel na lmanu. Nngel Rakél i dad ngàan, na landè gamlala kenen du ta mati ale.”
MAT.2.19	Kanto mati Hérod, nun kasaligan i Dwata msut di ku Dyosip déé di Idyip fagu di kna, 
MAT.2.20	na manan, “Mték ge, nebem i ngà na i yêan, na mulê gamu ditù di banwe Israél du ta mati i dad to mayè fmati i ngà ayé.”
MAT.2.21	Na yé duenam man, mték Dyosip, na neben i ngà na yêan, na mulê ale ditù di Israél. 
MAT.2.22	Bay linge Dyosip ta yé tamlas ku Harì Hérod di kagotan di Dyudiya dunan i ngàan Arkilas, na yé duenam man, likò kenen mnè ditù di Dyudiya. Na mdà di kaflau Dwata kenen fagu di kna, baling ale salu ditù di banwe Galili. 
MAT.2.23	Na yé banwe balingla gumnè di Galili dunan i lunsud Nasarét. Na fagu déé, gdohò i man Dwata fagu di dad tugadan di munan, “Yé katlola kenen to Nasarét.”
MAT.3.1	Na di dad du atù, nun to gatù di Dyudiya di banwe landè to mnè ditù, yé dagitan Dyan. Tdòan i dad to salu di kenen, 
MAT.3.2	na manan, “Nsalyu na tnagakyu i dad salàyu, du ta mdadong i Kagot Dwata.” 
MAT.3.3	Na Dyan ayé i ta man Dwata fagu di ku Isaya, i satu tugadan di munan,
MAT.3.3	“Nun to tamlo di banwe landè to mnè ditù, ani manan fagu di fléd, ‘Fatlagadyu i dalan i Amu, na tanluhyu i gumagun.’ ”
MAT.3.4	Yé gal lsak Dyan bul i lmanaf kamél, na yé galingan kulit lmanaf. Na yé knaanan tlangas na tnab. 
MAT.3.5	Na nun dad to salu déé di gutamdò Dyan mdà di Dyérusalém na di kabal probinsya Dyudiya, na balù kel di kdee dad banwe mdadong di Éél Dyordan. 
MAT.3.6	Na kanto ale kel déé, tulenla i dad salàla, na fbunyag ale di kenen.
MAT.3.7	Bay nun dee dad to mdà di lwe kafaglut i dad Dyu, dunan i dad Farisi na dad Sadusi, na fdadong ale ditù du mayè ale fbunyag di kenen. Na di kiten dale, manan, “Gamu dad ulad. Simto man dun di gamu na galwà gamu di flayam fan kel febe Dwata ku lo gamu fbunyag? 
MAT.3.8	Ku ta msal gamu di dad salàyu, fiteyu i ta ksalyu fagu di dad fye nimòyu. 
MAT.3.9	Na nangyu fdatah i ktoyu di kmanyu dun, ‘Gami bel Abraham, na balù là msal gami, là gagin gami di flayam febe Dwata.’ Ani man-gu di gamu, balù fa i dad batu ani, gagan Dwata fambaling dale bel Abraham ku kayèan tamlas gamu. 
MAT.3.10	Ku fkahta di to mbek kayu, ta déé i balyung di foon i kayu. Na kat satu kayu là menge fye, nbekan na snakufan di lifoh. 
MAT.3.11	Bnunyagta gamu di éél du ilè i ta ksalyu, bay nun tmadol di do. Là gablà agu kmitin talumfàan du too agu mdanà di kenen. Kenen i munyag gamu di Mtiu Tulus na di lifoh. 
MAT.3.12	Na fakayta man ta sanan nagot i taaf du tmaaf. I fali ta magtaaf, busekan di folan, bay i kdee dad afa, snakufan di lifoh landè sen.”
MAT.3.13	Na lê salu Dyisas di Éél Dyordan mdà di Galili du fye fbunyag ku Dyan. 
MAT.3.14	Bay fan là mayè Dyan munyag dun, na manan, “Gablà ge i munyag do. Kan ku baling ge fbunyag di do?” 
MAT.3.15	Na tmimel Dyisas, manan, “Faloham i knayègu du fye gimenta i kdee knayè Dwata.” Na yé duenam man, ta mayè Dyan, na bnunyagan Dyisas. 
MAT.3.16	Na kanto fbunyag Dyisas, di kalwàan di lam éél, tadè mgukà i langit, na teenan i Tulus Dwata tufa na mdaf di kenen gambet abun. 
MAT.3.17	Na nun talù mdà di langit, manan, “Ani Ngàgu i toogu kando. Too fye nawagu dun.”
MAT.4.1	Na kafnge ayé, nebe i Mtiu Tulus Dyisas salu di banwe landè to mnè ditù du tnilew Satanas kenen. 
MAT.4.2	Na fat falò du na fat falò butang là kmaan Dyisas, taman ta bitil kenen. 
MAT.4.3	Na kafnge ayé, salu Satanas di kenen du tnilewan, manan dun, “Ku ge Ngà i Dwata, fagu di talùam, fanbalingam fan i dad batu ani.” 
MAT.4.4	Bay tmimel Dyisas, manan, “Ta gsulat di Tnalù i Dwata, ‘Ise ku lo knaan gamlawil i dad to, bay lê man i tnalù Dwata.’ ” 
MAT.4.5	Na kafnge ayé, lê nebe Satanas kenen salu di Dyérusalém, na ftadagan kenen di sangal tah ataf i Bong Gumnè Gumangamfù di Dwata. 
MAT.4.6	Na manan di kenen, “Ku ge i Ngà Dwata, kamyaf ge mdà dini, du ta gsulat sa di Tnalù Dwata, ‘Dek Dwata i dad kasaliganan mifat ge, du snamalla ge fye là gtadè i blìam di dad batu, na landè glumfakam.’ ” 
MAT.4.7	Bay tmimel Dyisas, manan, “Ta lê gsulat sa di Tnalù Dwata, manan, ‘Nangam tnilew i Amu, dunan i Dwatam.’ ” 
MAT.4.8	Na lê nebe Satanas kenen di satu bulul too mdatah, na fiten dun i kdee dad banwe nagot i dad to di tah tanà, na i bong kafyela. 
MAT.4.9	Na manan di ku Dyisas, “Blégu di ge i kdee ani syan ku lkuad ge, na mangamfù ge di do.” 
MAT.4.10	Bay tmimel Dyisas, manan, “Nang ge dini, Satanas! Du ta lê gsulat sa di Tnalù i Dwata, manan, ‘Mangamfù ge di Amu, dunan i Dwatam, na lo kenen i nimenam.’ ” 
MAT.4.11	Na kafnge ayé, tnagak Satanas Dyisas, na nun dad kasaligan Dwata kel du nifatla kenen.
MAT.4.12	Di là mlo, fablanggùla Dyan. Na kanto gadè Dyisas, samfulê kenen di Galili. 
MAT.4.13	Na ta là mnèan di Nasarét, bay ditù gumnèan di lunsud Kapernaum di kilil i bong lanaw Galili mdadong di Sibulun na Néftali. 
MAT.4.14	Na fagu déé gdohò i man Dwata fagu di ku Isaya di munan,
MAT.4.15	“Déé di Sibulun na Néftali, yé gumnè i dad to ise Dyu mdadong di bong lanaw Galili ditù di faltù Dyordan. 
MAT.4.16	Na i dad to ayé, balù ku tagnè ale mnè di gukmifuhan, teenla i bong lwa. Na balù ku mlo ale mnè di kakifuh i fati, ta gafat di dale i neng salò.”
MAT.4.17	Na mdà di du ayé, tambù Dyisas tamdò, manan, “Msal gamu du ta mdadong i Kagot Dwata.”
MAT.4.18	Di satu du, magu Dyisas di kilil i bong lanaw Galili, na nun teenan lwe lagi saflanek. Yé dagit i satu Simon Piter, na i flanekan Andru. Na yé nimòla fmukat ale du yé knalamla nimò. 
MAT.4.19	Na man Dyisas di dale, “Yé galyu nimò ani fmukat nalaf. Fye fa ku baling gamu magin di do du tdòta gamu fmukat dad to du fye magin ale di do.” 
MAT.4.20	Na di kman Dyisas ayé, tadèla tnagak i dad fukatla, na magin ale di kenen.
MAT.4.21	Na kanto ale fles magu, lê nun teen Dyisas lwe lagi saflanek. Yé dagitla Dyém na Dyan, i dad ngà Sébidi. Na yé gusudengla di aweng magin di màla du fatlagadla dad fukatla. Lê tlo Dyisas ale, 
MAT.4.22	na tadèla tnagak i aweng na i màla du magin ale di ku Dyisas.
MAT.4.23	Na lanngab Dyisas i probinsya Galili du tamdò di dad gumnè gal gustifun i dad Dyu. Yé tdòan i Fye Tulen gablà di Kagot i Dwata na fan-gulêan i kdee dad to nun sahal tduk. 
MAT.4.24	Na mbel i santulen gablà di kenen di kabal i probinsya Sirya. Na yé duenam man, nebela di kenen i kdee dad to nun sahal tduk, na i dad to maflayam du mdà di sasè katduk, na i dad nun busaw, na i dad banlak, na i dad to là galyak i lawehla, na fan-gulê Dyisas ale. 
MAT.4.25	Na too dee dad to magin di ku Dyisas mdà di dad sahal banwe. Nun mdà di Galili, na Dikapolis
MAT.5.1	Na kanto teen Dyisas i kdee dad to, mnagad kenen di satu bulul, na sudeng déé. Na stifun di safédan i dad to galan tdò. 
MAT.5.2	Na tambù kenen tamdò di dale, manan, 
MAT.5.3	“Nun kafye i dad to dmilè i ktola na landè dale gnagan lmalò di Dwata, du gagin ale di Kagotan ditù di langit. 
MAT.5.4	Nun kafye i dad to mlidù nawa du lnala Dwata ale. 
