MAT.1.1	Yayto i ginikanan-na si Jesu-Kristo, i Dadi'-na si David pati' si Abraham:
MAT.1.2+MAT.1.3	Si Abraham i tatay-na si Isaac nga iya i tatay-na si Jacob nga tatay-na si Juda pati' i mga bugtu'-na lalla.
MAT.1.2+MAT.1.3	Si Juda i tatay-na kas Fares pati' Sara, ngan si Tamar i nana-na mga iya.
MAT.1.2+MAT.1.3	Si Fares i tatay-na si Esrom nga tatay-na si Aram.
MAT.1.4	Si Aram i tatay-na si Aminadab nga iya i tatay-na si Naason nga tatay-na si Salmon.
MAT.1.5	Si Salmon i tatay-na si Boas, ngan si Rahab i nana-na.
MAT.1.5	Si Boas i tatay-na si Obed, ngan si Ruth i nana-na.
MAT.1.5	Si Obed i tatay-na si Jesse 
MAT.1.6	nga tatay-na si Hadi' David.
MAT.1.6	Si David i tatay-na si Solomon, ngan i nana-na, alla-na dahulo si Urias.
MAT.1.7	Si Solomon i tatay-na si Rehoboam nga iya i tatay-na si Abias nga tatay-na si Asa.
MAT.1.8	Si Asa i tatay-na si Jehosapat nga iya i tatay-na si Jehoram nga tatay-na si Usias.
MAT.1.9	Si Usias i tatay-na si Jotam nga iya i tatay-na si Ahas nga tatay-na si Esekias.
MAT.1.10	Si Esekias i tatay-na si Manases nga iya i tatay-na si Amon nga tatay-na si Josias.
MAT.1.11	Si Josias i tatay-na si Jeconias pati' i mga bugtu'-na lalla
MAT.1.11	si uras si kadistirru-na si mga a'a-na si Israel pan Babilonia bilang mga bihag.
MAT.1.12	Pagkatapos si kadistirru-na mga iya pan Babilonia, si Jeconias i tatay-na si Salatiel nga tatay-na si Sorobabel.
MAT.1.13	Si Sorobabel i tatay-na si Abiud nga iya i tatay-na si Eliakim nga tatay-na si Asor.
MAT.1.14	Si Asor i tatay-na si Sadok nga iya i tatay-na si Akim nga tatay-na si Eliud.
MAT.1.15	Si Eliud i tatay-na si Eleasar nga iya i tatay-na si Matan nga tatay-na si Jacob.
MAT.1.16	Si Jacob i tatay-na si Jose nga iya i sa'alla-na si Maria nga iya i nana-na si Jesus, i nag'arunan liwat Kristo.
MAT.1.17	Sanglit bali katursi lut'o si ka'uru'ampuhan i tikang si Abraham pada'iray si David ngan katursi liwat gihapon i tikang namay si David pada'iray si kadistirru-na si mga a'a-na si Israel pan Babilonia. Tikang namay si uras si kadistirro, katursi gihapon lut'o tubtob si ka'allum-na si Tinu'inan Mannanalwas.
MAT.1.18	Da'ito sito i isturya hi'unong si ka'allum-na si Jesu-Kristo: Agpahanda-na si Jose i nanay-na nga si Maria. Ngan karaslon pa hamok mga iya, aniya' magpakatu'anan nga burod nayto dina pero yayto pagburod pina'agi si Espirito Santo. Ahinabo' to myintras pa aglabutan-na iya si Jose. Sanglit bali kuri si kamutangan-na si Jose kay si bala'ud-na mga iya kwintado nga agdangallahan na mga iya. 
MAT.1.19	Ngan tungod kay si Jose matadong a'a, agplano iya pagsunod si bala'ud-na mga iya nga agtugot pagbawi' si dati nagkasarabutan si pagdangallahan pero si sikrito pama'agi dina kay ga'i iya aruyag nga akamalu'an si Maria.
MAT.1.20	Pero si kaliyat-liyatan si pagparapinsar-na sinan, agpakulaw i anghel-na si Paragdalom ari si upi, ngan agpinugad, “Jose, dadi'-na si David, dakaw agruha-duha pagpa'istar si Maria si ruma'-mo bilang alla-mo, kay i magtudok anan si iya tikang si Espirito Santo. 
MAT.1.21	Sigurado lalla i ma'allom ngan kinahanglan Jesus i pina'arun-bi, kay iya i tisalbar si mga a'a-na basi' gana' na mga iya baratunun-na si sala' ngan basi' ga'i na mga iya sadaluman-na pa si sala'.”
MAT.1.22	Ahinabo' nan dimu'an basi' atuman i nagpahalling-na si Paragdalom, pina'agi si paragsumat-na: 
MAT.1.23	“Aniya' magburod dangkanda nga ga'i pa akalabutan, ngan lalla i ma'allom dadi'-na. ‘Emmanuel’
MAT.1.24	Sanglit pakakallat-na si Jose, agtuman-na i mandu'-na si anghel-na si Paragdalom ngan agkumpli-na dayon i dati pagkasarabutan si pagdangallahan-na mga iya. Agpa'istar-na si Maria si ruma'-na 
MAT.1.25	pero ga'i aglabutan-na tubtob nga a'allom i dadi'-na, ngan ag'arunan-nay to Jesus.
MAT.2.1	Ngan panahun-na si Hadi' Herodes, a'allom si Jesus ari si Betlehem, Judea. Kahuman sinan hinabo', aniya' magpanakka si Jerusalem mga mata'o a'a tikang si sirangan, 
MAT.2.2	nga agpamatilaw, “Singnga i dadi' ma'allom nga tihadi' si mga Hebro? Sakulawan kami' i bitu'on magpakatu'an si ka'allum-na nga agsirak ari si sirangan, ngan pada'ito kami' pagbuwan katalahuran si iya.”
MAT.2.3	Si pakabati'-na sinan si Hadi' Herodes, aburong iya huwang si mga sakup-na ari si Jerusalem. 
MAT.2.4	Agtiripun-na i dimu'an mga puno' paraghalad-na si mga Hebro pati' mga paragturo' si bala'ud-na mga iya ngan agpantilaw-na, “Singnga ba' kuno' lugara a'allom i Tinu'inan Mannanalwas?” Anaruman mga iya, 
MAT.2.5	“Si Betlehem, Judea, kay yayto i nagsurat-na siray si paragsumat-na si Diyos:
