MAT.1.1	Tuhca̱ cochi nda̱ta yahn Dihvo vo Jesucristo. Ihyan ndico yahn ye ne, David ma̱n, Abraham ma̱n.
MAT.1.2	Da̱ya Abraham ne, Isaac. Da̱ya Isaac ne, Jacob. Da̱ya Jacob ne, Judá nduco dihno se. 
MAT.1.3	Da̱ya Judá nduco Tamar ne, Fares ma̱n, Zara ma̱n. Da̱ya Fares ne, Esrom. Da̱ya Esrom ne, Aram. 
MAT.1.4	Da̱ya Aram ne, Aminadab. Da̱ya Aminadab ne, Naasón. Da̱ya Naasón ne, Salmón. 
MAT.1.5	Da̱ya Salmón nduco Rahab ne, Booz. Da̱ya Booz nduco Rut ne, Obed. Da̱ya Obed ne, Isaí. 
MAT.1.6	Da̱ya Isaí ne, rey David. Da̱ya rey David nduco nda̱hta yahn Urías ne, Salomón.
MAT.1.7	Da̱ya Salomón ne, Roboam. Da̱ya Roboam ne, Abías. Da̱ya Abías ne, Asa. 
MAT.1.8	Da̱ya Asa ne, Josafat. Da̱ya Josafat ne, Joram. Da̱ya Joram ne, Uzías. 
MAT.1.9	Da̱ya Uzías ne, Jotam. Da̱ya Jotam ne, Acaz. Da̱ya Acaz ne, Ezequías. 
MAT.1.10	Da̱ya Ezequías ne, Manasés. Da̱ya Manasés ne, Amón. Da̱ya Amón ne, Josías. 
MAT.1.11	Da̱ya Josías ne, Jeconías nduco dihno se. Ta̱hn min che din sanda̱do yahn Babilonia preso ihyan nación yahn Israel, quenda se ihyan.
MAT.1.12	Cuahn che chenan ihyan chahn nación yahn Babilonia, chihndeya̱n Salatiel, da̱ya Jeconías. Da̱ya Salatiel ne, Zorobabel. 
MAT.1.13	Da̱ya Zorobabel ne, Abiud. Da̱ya Abiud ne, Eliaquim. Da̱ya Eliaquim ne, Azor. 
MAT.1.14	Da̱ya Azor ne, Sadoc. Da̱ya Sadoc ne, Aquim. Da̱ya Aquim ne, Eliud. 
MAT.1.15	Da̱ya Eliud ne, Eleazar. Da̱ya Eleazar ne, Matán. Da̱ya Matán ne, Jacob. 
MAT.1.16	Da̱ya Jacob ne, José, ihyan min che chihneva̱co nduco María, chaco Dihvo vo Jesucristo. Dihvo vo ne, a ihyan min che a va ca̱de che dechuh Dendiohs, ndedevahn ye ihyan iyehnse.
MAT.1.17	Ri ndichecun ihyan ndico che cochi rihco nda̱ta ye nde cuahn che quenan Abraham iyehnse nde nda̱ ro che quenan David. Me nde ro che quenan David ne, te ndichecun ihyan ndico nde nda̱ ro che chahtenan ihyan nación yahn Israel preso nación yahn Babilonia. Me nde ro min ne, te ndichecun ihyan ndico nde nda̱ ro che chihndeya̱n Dihvo vo Jesucristo, ihyan min che a va ca̱de che dechuh Dendiohs, ndedevahn ye ihyan iyehnse.
MAT.1.18	Tuhca̱ chi che chihndeya̱n Dihvo vo Jesucristo: Chaco ye, María ne, a va ndudo yahn ye che cahneva̱co ye nduco José. Numanahn che metah cahneva̱co ye ne, nduco vederihquentiyon yahn Vaco Ndah yahn Dendiohs nda̱ca da̱ya ye. 
MAT.1.19	Nducote ndah ihyan José ne, cuahn che checadino ye che quenun da̱ya María ne, hua nahn ye che cora vedecuihno yahn ihyan min. Chemin che chihco da̱ma ino ye che decuihno ye ndudo yahn ye nduco vih, tin dema̱n no ye, ca̱va che hua cadino ihyan. 
MAT.1.20	Ate ndihchero ye va̱n ya̱hnde yahn ye a̱ma ángel yahn Dihvo vo Dendiohs, ne ra̱hn ángel me ri ye ihyan:
MAT.1.20	―José, nda̱ta yahn David, hua dehve rahque, co cahnevaque nduco María. Hua ndeh ndedecadine, te che quenun da̱ya ye ne, a nduco vederihquentiyon yahn Vaco Ndah yahn Dendiohs. 
MAT.1.21	Cuahn che cuhndeya̱n decua̱h me ne, cuaconehn che duche JESUS, te a ihyan min che ndedevahn ye ihyan yahn ye, ca̱va che hua conda ihyan chahn, din nunde yahn ye.
MAT.1.22	Tihca̱ chi nducuahn chemin ca̱va che conahn che chihquentiyon Dihvo vo Dendiohs, dirun ihyan profeta tuhca̱:
MAT.1.23	A̱ma nda̱hta ntuhco ne, conun da̱ya ye.
MAT.1.23	Cuahn che cuhndeya̱n ne, conan che duche Emanuel.
MAT.1.23	Che tihca̱ duche ne, conahn che Dendiohs nduco ye uvo.
MAT.1.24	Cuahn che ntuche José ne, dinahn ye nduhca̱ che chihquentiyon ángel me ihyan, ne chihneva̱co ye nduco María. 
MAT.1.25	Ate metah conan cuma ye ihyan nde chuh ro che chihndeya̱n decua̱h me. Cuahn che chihndeya̱n decua̱h me ne, JESUS chaconahn ye che duche.
MAT.2.1	Chihndeya̱n Dihvo vo Jesucristo ya̱n Belén, esta̱do yahn Judea, cuahn che quenan rey Herodes rihquentiyon ye esta̱do min. Ta̱hn min ne, o ino ihyan devano che chica ye ya̱hn yahn cua̱hn na̱n che riquenda̱h ya̱hn ne, nda̱ ye ya̱n Jerusalén, 
MAT.2.2	ne tumerune ye:
MAT.2.2	―¿Ti quenan rey yahn ihyan nación yahn Israel che a chihndeya̱n ye ne? A devano nuhn che a va ye, te a ndihchero nuhn iyon che rihco ro che a chihndeya̱n ye. Chemin che cochi nuhn ndeva nuhn yavena̱n ye.
MAT.2.3	Cuahn che checadino rey Herodes che tihca̱ ne, a̱ma ndeh ndedecadino se. Namin nducoya̱ca ihyan ya̱n Jerusalén a̱ma ndeh ndedecadino ye. 
