GEN.1.1	Fɔlɔfɔlɔ, Alla ka sankolo dan ka duukolo dan, 
GEN.1.2	kɔni duu rajani tɛrɛ tɛ waati wo rɔ. Fen fen tɛrɛ sa a kan. Ji dunba le tɛrɛ a yɔrɔ bɛɛ rɔ, a ni dibi. Alla la Ni tɛrɛ ye taa ni seyi kɛla ji kunna san ma. 
GEN.1.3	Alla ka a fɔ ko: «Kɛnɛ ye bɔ!» Kɛnɛ bɔra. 
GEN.1.4	Alla ka a yen ko kɛnɛ ka ɲi. A ka kɛnɛ ni dibi fara i ɲɔɔn na. 
GEN.1.5	A ka kɛnɛ kili ko tele, ka dibi kili ko su. Nba, su kora ka kɛnɛ bɔ. Wo kɛra lon fɔlɔ ri.
GEN.1.6	Alla kumara ikɔ ko: «Dan ye kɛ jilu tɛma, ka alu fara i ɲɔɔn na.» 
GEN.1.7	Wo kɛra. Ji mɛn tɛrɛ san ma, a ni mɛn tɛrɛ duu ma, a ka woilu fara i ɲɔɔn na, ka kɛnɛgbɛ ladan alu tɛma. Alla ka a fɔ ɲa mɛn ma, a kɛra ten. 
GEN.1.8	A ka kɛnɛgbɛ kili ko san. Nba, su kora ka kɛnɛ bɔ. Wo kɛra lon filana ri.
GEN.1.9	Alla kumara ikɔ ko: «Ji mɛn ye san kɔrɔ, wo bɛɛ ye ladɛn yɔrɔ kelen dɔ, kosa gbelemala ri bɔ gbɛ ma.» A ka a fɔ ɲa mɛn ma, a kɛra ten. 
GEN.1.10	A ka gbelemala wo kili ko duu, ka ji ladɛnni kili ko kɔɔji. Alla ka a yen ko wo ka ɲi.
GEN.1.11	Nba, a ka a fɔ ko: «Binilu ni sumanilu ye fɛrɛn duu kan ka alu kisɛilu labɔ ka kɛ si ri. Jiri denta su bɛɛ fanan ye bɔ, mɛn ye kisɛ ni kolo kɛla alu den dɔ.» Alla ka a fɔ ɲa mɛn ma, a kɛra ten. 
GEN.1.12	Duu ka bin su bɛɛ labɔ, mɛn ye kisɛ kɛla. Jiri denta su bɛɛ fanan bɔra, mɛn ye kisɛ ni kolo kɛla alu den dɔ. Alla ka a yen ko wo ka ɲi. 
GEN.1.13	Nba, su kora ka kɛnɛ bɔ. Wo kɛra lon sawana ri.
GEN.1.14	Alla kumara ikɔ ko: «Kɛnɛbɔlan ye bɔ san dɔ, ka tele ni su fara i ɲɔɔn na. Woilu ye sali lonilu yiraka, a ni lon damira ni san damira. 
GEN.1.15	Woilu ye kɛ san dɔ, ka kɛnɛ labɔ duu kan.» Alla ka a fɔ ɲa mɛn ma, a kɛra ten. 
GEN.1.16	Alla ka kɛnɛbɔlan belebele fila rabɛn, tele ni karo. Woilu rɔ bonba ba, tele kɔnin, Alla ka wo lasii lon kun na. Mɛn dooman, karo kɔnin, a ka wo lasii su kun na. A ka loloilu fanan dan. 
GEN.1.17	A ka kɛnɛbɔlan woilu kɛ san dɔ, kosa alu ri kɛnɛ labɔ duu kan. 
GEN.1.18	A ka alu lasii tele ni su kun na, ka kɛnɛ ni dibi fara i ɲɔɔn na. Alla ka a yen ko wo ka ɲi. 
GEN.1.19	Nba, su kora ka kɛnɛ bɔ. Wo kɛra lon naaninna ri.
GEN.1.20	Alla kumara ikɔ ko: «Nimafen ye kɛ ji rɔ ka siyaya kosɛbɛ. Kɔnɔilu ye alu gban san ni duu tɛ.» 
GEN.1.21	A ka ji rɔ nimafen belebelebailu dan, a ni ji rɔ nimafen tɔ bɛɛ. Fen woilu bɛɛ kɛra ji rɔ ka siyaya, a bɛɛ ni a su. A ka kɔnɔ su bɛɛ fanan dan. Alla ka a yen ko wo ka ɲi. 
GEN.1.22	A kumara ka baraka don alu rɔ. A ka a fɔ ko: «Ai ye jiri ka siyaya kɔɔji fan bɛɛ rɔ.» A ka a fɔ kɔnɔilu yɛ ko: «Ai ye jiri ka siyaya duukolo kan.» 
GEN.1.23	Nba, su kora ka kɛnɛ bɔ. Wo kɛra lon looluna ri.
GEN.1.24	Alla kumara ikɔ ko: «Nimafen su bɛɛ ye kɛ duu kan, so kɔndɔ kolofenilu wo, waa rɔ soboilu wo, ni nimafen misɛn mɛn ye taamala duu ma, a bɛɛ ni a su!» A ka a fɔ ɲa mɛn ma, a kɛra ten. 
GEN.1.25	Waa rɔ sobo ni so kɔndɔ kolofen ni nimafen misɛn mɛn ye taamala duu ma, a ka woilu su bɛɛ dan. Alla ka a yen ko wo ka ɲi.
GEN.1.26	Wo kɔ, Alla ka a fɔ ko: «An di adamaden dan ka a kɛ an munuɲa ri, ka a su sudunya an ɲɔɔn na. Alu ri alu sii duu bɛɛ kun na, ka alu sii jɛɛ kun na, a ni kɔnɔilu ni kolofenilu ni nimafen misɛn mɛn ye taamala duu ma.» 
GEN.1.27	Nba, Alla ka adamaden dan ka a kɛ a jɛrɛ munuɲa le ri. Wo rɔ, a ka cɛ dan, ka muso fanan dan. A ka adamaden dan ten de. 
GEN.1.28	Alla kumara ka baraka don alu rɔ. A ka a fɔ ko: «Ai ye jiri ka jɛnsɛn duu fan bɛɛ rɔ, ka ai la fanka sii duu kan. Ai ye ai sii jɛɛ ni kɔnɔilu ni nimafen tɔilu bɛɛ kun na.»
GEN.1.29	A ka a fɔ alu yɛ ko: «Duu suman su su, n da wo bɛɛ di ai ma. Ka a la wo kan, jiri denta fen fen ye duu kan, n da wo fanan bɛɛ di ai ma, mɛn ye kisɛ ni kolo kɛla alu denilu rɔ. Wo bɛɛ ri kɛ ai balo ri. 
GEN.1.30	So kɔndɔ kolofenilu ni waa rɔ soboilu ni kɔnɔilu ni nimafen misɛn mɛn ye taamala duu ma, nimafen bɛɛ kɔnin, n da bin ni fira bɛɛ di woilu ma ka kɛ alu balo ri.» Nba, a ka a fɔ ɲa mɛn ma, a kɛra ten. 
GEN.1.31	Alla ka dalifen mɛn dan, a ka a yen ko wo ka ɲi bakɛ. Nba, su kora ka kɛnɛ bɔ. Wo kɛra lon wɔɔrɔna ri.
GEN.2.1	Nba, sankolo ni duukolo ni ie kɔndɔfen bɛɛ danda ɲa mɛn ma, wo le wo ri. 
GEN.2.2	Tele wɔrɔnwulana sera ka a tɛrɛn Alla ra ban baarala. A ka a la baara bɛɛ ban tele wɔɔrɔ wo le kɔrɔ. Tele wɔrɔnwulana lon, a ka ɲɔɲɔn wo lon. 
GEN.2.3	Alla ka tele wɔrɔnwulana bonya ka a bɔ lon tɔilu ma, ka a masɔrɔn a ma baara si kɛ wo lon.
GEN.2.4	Nba, Alla ka sankolo ni duukolo dan ɲa mɛn ma, wo le ye ɲin di. Allabatala Alla ka sankolo ni duukolo dan tuma mɛn na, 
GEN.2.5	bin ni jiri tun tɛ duukolo kan fɔlɔ, baa Allabatala Alla tun ma sanci lana duu kan fɔlɔ. Mɔɔ si tun tɛ ye fɔlɔ ka duu sɛnɛ fanan. 
GEN.2.6	Ji le tɛrɛ bɔla duu kɔrɔ ka duu yɔrɔ bɛɛ sɔ.
GEN.2.7	Allabatala Alla ka duu buuri ta ka adamaden dabɛn wo la. A ka ɲɛnɛmaya fɔɲɔ fɛ adamaden nunwo rɔ. Wo rɔ, adamaden wo kɛra nima ri.
GEN.2.8	Nba, Allabatala Alla ka nakɔ labɔ Edɛni jamana rɔ, mɛn ye telebɔ fan fɛ. A tun ka adamaden mɛn dan, a ka wo bila nakɔ wo kɔndɔ. 
GEN.2.9	Allabatala Alla ka jiri su bɛɛ lafɛrɛn yɔrɔ wo rɔ, jiri mɛnilu ka ɲi kosɛbɛ. Alu den duman. A ka jiri su fila gbɛrɛ lafɛrɛn nakɔ tɛma. Kelen tɛrɛ ɲɛnɛmaya jiri ri. A tɔ kelen tɛrɛ mɔɔ lalɔnniɲala koɲuma ni kojuu faranfaasi la.
GEN.2.10	Ba do tɛrɛ bɔni Edɛni jamana rɔ ka latamin nakɔ wo rɔ, mɛn ye a yɔrɔ bɛɛ sɔla ji la. A bɔ mɛn kɛni nakɔ wo rɔ, a farara ka kɛ ba bolo naanin di. 
GEN.2.11	Ba fɔlɔ tɔɔ ko Pisɔn. Wo ye woyenna ka Habila jamana laminin. Sanin ye bɔla jamana wo rɔ. 
GEN.2.12	Sanin wo ye sanin jɛrɛwolo le ri. Jiri kasila latikɔlɔnnaman fanan ye ye. Kaba do fanan ye bɔla ye, mɛn tɔɔ ko onikisi. 
GEN.2.13	Ba filana tɔɔ ko Kiyɔn. Wo le ye woyenna ka Kusi bɔnsɔn na jamana bɛɛ laminin. 
GEN.2.14	Ba sawana tɔɔ ko Tikire. Wo le ye woyenna ka wa Asiri so telebɔ fan fɛ. Ba naaninna tɔɔ ko Efirati.
GEN.2.15	Nba, Allabatala Alla ka adamaden bila Edɛni nakɔ ɲuma rɔ, ko a ye a sɛnɛ ka a janto a rɔ. 
GEN.2.16	Allabatala Alla ka a fɔ a yɛ ko, «Jiriden damunta fen fen ye yan, i ye wo bɛɛ damun. 
GEN.2.17	Kɔni, jiri mɛn ye mɔɔ lalɔnniɲala koɲuma ni kojuu faranfaasi la, i kana wo den damun de! Ni i ka a damun lon mɛn na, i ri faa.»
GEN.2.18	Wo kɔ, Allabatala Alla ka a fɔ ko, «Ka cɛ to a kelen na, wo ma ɲi. N di a dɛmɛnba rabɛn, mɛn di bɛn a ma.»
GEN.2.19	Wo rɔ, Allabatala Alla ka sobo su bɛɛ ni kɔnɔ su bɛɛ dan duu buuri la, ka alu bɛɛ lana cɛ ma, kosa a ri alu kelen kelenna bɛɛ tɔɔ la. A ka tɔɔ mɛnilu fɔ, woilu kɛra alu tɔɔilu ri. 
GEN.2.20	Cɛ ka tɔɔ la so kɔndɔ kolofen ni kɔnɔilu, ni waa rɔ soboilu bɛɛ la. Kɔni a dɛmɛnba ma sɔrɔn woilu rɔ, mɛn bɛnni a ma kɔnin.
GEN.2.21	Wo rɔ Allabatala Alla ka sunoo ba don cɛ ɲa rɔ. A sunoora. Ka a to sunoo rɔ, Allabatala Alla ka barasa kolo kelen ta cɛ fari rɔ, ka sobo bila wo nɔ rɔ ka a da tuun wo la. 
GEN.2.22	Allabatala Alla ka barasa kolo wo ta ka muso rabɛn, ka na muso di cɛ ma. 
GEN.2.23	Cɛ kan ko: «A koloilu bɔni n koloilu le rɔ. A fari bɔni n fari le rɔ. N di a tɔɔ la ko muso, ka a masɔrɔn a bɔni cɛ le rɔ.»
GEN.2.24	Wo le kosɔn, cɛ ri mataa a fa ni a na la, ka to a muso fɛ. A fila ri kɛ mɔɔ kelen di.
GEN.2.25	Nba, wo tuma cɛ ni a muso fila bɛɛ fari makolon de tɛrɛ, kɔni fari makolontɔya maleya tun tɛ alu la.
GEN.3.1	Nba, Allabatala Alla ka waa rɔ sobo mɛnilu dan, duuma sa le kiwoyani tɛrɛ wo tɔ bɛɛ ri. Lon do rɔ, sa ka a fɔ muso yɛ ko: «Tuɲa le, Alla ka a fɔ ko, ‹Ai kana nakɔ ɲuma jiriden si damun?›» 
GEN.3.2	Muso ka a jabi: «A sɔnni an ye nakɔ ɲuma jiriden damun. 
GEN.3.3	Kɔni jiri mɛn ye nakɔ ɲuma tɛma, Alla ka a fɔ an yɛ ko, ‹Ai kana wo le den damun. Ai kana ai maa a la. Ni ai ka ai maa a la, ai ri faa.›» 
GEN.3.4	Sa ka a fɔ muso yɛ ko: «Tuɲa tɛ wo rɔ. Ai tɛ faa fɛwu! 
