GEN.1.1	Diyà te keteboan te kedita, mig-inang se Timanem te langit aw keneyonan. 
GEN.1.2	Wedad pa bawa te tanà, aw wedad pa awop niyan, aw tomalag mengitngit se kebelad te dagat. Gayed miniwal se Espiritu Santo diyà te lanto te wayeg.
GEN.1.3	Minikagi se Timanem, “Megkedoen den kelowahan.” Penga niyan, doen kelowahan. 
GEN.1.4	Kinità te Timanem te mèpiya se kelowahan, aw tinani din se kelowahan aw kengitngitan. 
GEN.1.5	Se kelowahan, yan se iningedanan din aldaw. Se kengitngitan, yan se iningedanan din delem. Migkemeapon aw migkeiselem, aw yan nepenga se tagnà aldaw.
GEN.1.6	Minikagi se Timanem, “Megkedoen elet diyà te wayeg amon doen wayeg diatas te tanà aw doen wayeg kidoen te ongan.” 
GEN.1.7	Yan ininang te Timanem se elet diyà te wayeg diatas te tanà aw wayeg kidoen te tanà. Neinang iyan. 
GEN.1.8	Se lenged diatas te tanà, yan se iningedanan te Timanem langit. Migkemeapon aw migkeiselem, aw yan nepenga se ikedowa te aldaw.
GEN.1.9	Minikagi se Timanem, “Metipon se wayeg te ongan amon doen mepangkag.” Neinang iyan. 
GEN.1.10	Se mepangkag, yan se iningedanan te Timanem tanà. Se wayeg netipon, yan se iningedanan din dagat. Kinità te Timanem te mèpiya iyan.
GEN.1.11	Penga niyan, minikagi se Timanem, “Megkedoen medita kemolò te tinemunun kidoen te tanà, aw medita kemolò te kayo. Megkedoen pongo niyan doen didalem amon todà iyan tomobò.” Neinang iyan. 
GEN.1.12	Timobò se medita kemolò te tinemunun doen benì, aw medita kemolò te kayo doen pongo. Kinità te Timanem te mèpiya iyan. 
GEN.1.13	Migkemeapon aw migkeiselem, aw yan nepenga se iketelo te aldaw.
GEN.1.14	Minikagi se Timanem, “Megkedoen menge somenang doton te langit amon doen elet te aldaw aw delem. Yan se pengilala te menge bolan, menge aldaw, aw menge omay. 
GEN.1.15	Yan heman se somenang doton te langit amon melowa se tanà.” Neinang iyan. 
GEN.1.16	Dowa se dakel lowa ininang te Timanem. Se aldaw, yan se egsenang dalem te aldaw. Se bolan, yan se egsenang dalem te delem. Ininang din heman se menge bitoen. 
GEN.1.17	Yan se insawol te Timanem doton te langit amon melowa se tanà. 
GEN.1.18	Yan se egsenang te aldaw aw delem, amon doen elet diyà te kelowahan aw kengitngitan. Kinità te Timanem te mèpiya iyan. 
GEN.1.19	Migkemeapon aw migkeiselem, aw yan nepenga se ikeepat te aldaw.
GEN.1.20	Minikagi se Timanem, “Megkedoen medita kinemoloan meg-ogpà doton te wayeg aw dagat, aw manok lomayang diatas te tanà.” 
GEN.1.21	Yan ininang te Timanem se kedita te menenanap te dagat, aw kedita te kinemoloan eg-ogpà doton te wayeg aw dagat, aw kedita te kinemoloan te manok. Kinità te Timanem te mèpiya iyan. 
