MAT.1.1	Annayan mansùsùnufan na nginkanà an Jesu Cristu wi kanà David wi kanà ako Abraham.
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	Nanipud an Abraham ingkanan Ali David, anchanayan lunap wi nansùnusùnub: Abraham, Isaac, Jacob, Juda wi mansusunud, cha Fares an Zara wi Tamar na inacha, Esrom wi Fares na amana, Aram, Aminadab, Naason, Salmon, Boaz wi Rahab na inana, Obed wi Ruth na inana, Jesse ya Ali David.
MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Ad nanipud an David ingkana ta timpuy nilayawan chachi kanà Israel wi naiyoy ad Babilonia, anchanayan lunap wi nansùnusùnub: David, Solomon (wi na inana, chi asawan Urias), Roboam, Abias, Asa, Josafat, Joram, Ozias, Joatam, Acaz, Ezekias, Manases, Amon, Josias ya Jeconias wi mansusunud.
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	Ad nanipud ta sachi naiyayanchad Babilonia ingkana ta niyanaan Jesus, anchanayan lunap wi nansùnusùnub: Jeconias, Salatiel, Zorobabel, Abiud, Eliakim, Azor, Sadoc, Akim, Eliud, Eleazar, Matan, Jacob, ya Jose wi asawan Maria wi nan-inan Jesus. À Jesus, siyan Cristu wi impustan Apudyus wi ipaalina ad asnay lutà manturay.
MAT.1.17	Siyan nanipud an Abraham ingkanan David, nasawaran à opat wi umapu. Ad nanipud an David ingkana ta naiyayan chachi kanà Israel ad Babilonia, nasawaran akò opat wi umapu. Ad nanipud ta sachi timpu ingkana ta niyanaan Cristu wi impustan Apudyus wi umali, nasawaran akò opat wi umapu.
MAT.1.18	Amasnan nànàwa wi mipangkop ta niyanaan Jesu Cristu. À Maria wi inana, nampagtachan Jose. Ngim na chaancha pù mantipunan, inakammun Maria wi nafukì siya mipakapu ta mannakafalin na Ispiritun Apudyus. 
MAT.1.19	Ngim à Jose wi pagtana, mamfaru ya lawingonay mafainan à Maria, pionay mansinacha à maid osà mangakammu. 
MAT.1.20	Ustuy mammomammò à Jose nu sinun in-inona, nampailan osay anghel Apudyus an siya ta nan-in-inpana ad anana, “Siay Jose wi kanà David, achia mafain wi mangasawan Maria, tan na nafukiyana, Ispiritun Apudyus na nangwa. 
MAT.1.21	Iyanànan larai ad ngachananyù Jesus tan siyan manaraknib an chiayuy asintatakuna ta machusaanyu kapu ta fasuryu.”
MAT.1.22	Nàwan anchanayà tumuttuwaan na impaifakan Apudyus ta profeta ta awi, wi anana, 
MAT.1.23	“Mafukin osay fafarasang wi foon pù nasagsakid, ad iyanànan larai wi maawakan à Emmanuel” (Na miningna, “Annà Apudyus an chitau ta sana”).
MAT.1.24	Ad fummangon pù Jose, tinungparnan imfakan na anghel an siya, ad inasawanà Maria. 
MAT.1.25	Ngim achicha pu nantipun ingkanà ummanà. Ad na ummanaana, nginachanan Jose na anà à Jesus.
MAT.2.1	Timpun ad na aaliyan Herod, niyanà à Jesus ad Betlehem wi osay ilid Judea. Na sachi ko, chummatong ad Jerusalem na uchumi nangad-achar ta fituwon wi namparpu ta apot ta sumingitan na init. 
MAT.2.2	Ad inimuscha anani, “Sinun niyanaan na anà wi niyanà à man-alin chiayuy Judio? Tan innilanin fituwon wi singyar na niyanaana ta sumingitan na init, ad sachin ummaliyannisna ta chayawonnì siya.”
MAT.2.3	Chingngor pun Ali Herod na sachi, nalifuk na somsomòna ya uray akon chachi uchumi iJerusalem. 
MAT.2.4	Siyan impaarus Herod na losani pangpangun na papachi ya mangitudtuchu ta Lintog, ad inimusnan chicha, “Sinun miyanaan na Cristu wi umali nu manturay?”
MAT.2.5	Ad ananchay summongfat, “Ilid Betlehem wi sakup Judea, tan siyan anan na inyug-is na profeta ta awi wi anana,
MAT.2.6	‘Na sachi kàiti ilid Betlehem wi sakup Judea,
MAT.2.6	namfalin à angatuwani ili ta losani il-ilid Judea,
MAT.2.6	tan siyan lumoswaan na mangituray
MAT.2.6	ta takù wi kanà Israel.’”
MAT.2.7	Sachi ad inyagkaaw Herod wi nangayag ta chachi kaili wi nangad-achar ta fituwon, ad inimusnan chicha nu naanun ustuustuy lummoswaan na sachi fituwon. Ad imfakachan siya. 
MAT.2.8	Sachi ad impaligwatna chicha ta umoychad Betlehem ad anana, “Ing-ayu anapon na sachi anà, ta nu ochasanyu, umaliyun saon ifaka ta inyà ako chayawon à siya.”
MAT.2.9+MAT.2.10	Ad lummigwatcha wi umoy ad Betlehem. Ingkawcha pun ta charan, amod na lagsakcha tan nampaila ko asin na sachi fituwon wi innilacha ta chamuy lummigwatancha. Siyan inun-unudchan sachi fituwon ingkanà ummillong ta fatug na iningkawan na anà.
MAT.2.11	Ad linumnòcha ta sachi foroy, ad innilachan anà ya inanay Maria. Ad nampalintumongchay nanayaw an siya. Ad in-archan atodchan siya wi nan-anginay falituk ya fangfanguy insenso ya lana wi ananchay mirra.
MAT.2.12	Ad impain-inop Apudyus an chicha wi achicha pu mangulin an Herod, siyan nangoychà safalì charan wi nangulin ta ilicha.
MAT.2.13	Lummayaw pun chachi nangad-achar ta fituwon, nampain-inop akon anghel Apudyus an Jose ad anana, “Fumangon-ayu ta ilayawnun anà ya inana tan anapon Herod na anà ta papatoyna. Siyan mamfakwit-ayud Egipto ad ingkaw-ayud aschi ingkanà ifakà na lumayawanyu.”
MAT.2.14	Ad fummangon à Jose ad illayawnan man-ina ta sachi lafi wi ummoychad Egipto. 
MAT.2.15	Ad iningkawchad Egipto ingkana ta natayan Herod.
MAT.2.15	Nàwa losan chachì tummuttuwaan na impaifakan Apudyus ta profeta ta awi wi anana, “Inayakà na anàu ta lumayaw ad Egipto.”
