GEN.1.1	 Khangla Mühghaüei müh si kaodak yaükei. 
GEN.1.2	Hobaje kaodak kho ai ayeienko kongkong kiteikei, hoba nakthühbü kho yungnyu thüka kikei hoba Mühghaü soushou deitaka shongeiko kikei. 
GEN.1.3	 Hobaje Mühghaüei laukei, “Ngesakbü kiashi” hoba ngesakbü kikei. 
GEN.1.4	Mühghaüei ngesakbü maia dogo chühenkei, hoba nakthüh ka ngesakbü janyinkei. 
GEN.1.5	Hobaje Mühghaüei ngesakbü to “Chalou” hoba nakthühbü to “Nangnak” dogo ngakei. Hobaje kho chasem si ngeyang kho shaangbounyet kikei. 
GEN.1.6	Hobaje Mühghaüei laukei, “Dei kho chela dangshuoktiashi hoba kho ka dei ka dei janyintiashi.” 
GEN.1.7	Hobaje Mühghaüei dangshuokbü kho küman thükkabou ka phangkabou kho bangnyintikei. 
GEN.1.8	Hobaje Mühghaüei mühkom khoto “Müh” dogo ngakei hoba chasem si ngeyang kikei. Hobaje kho nyibounyet kikei.
GEN.1.9	 Kheijinei Mühghaüei laukei, “Müh phanga kibü dei pendou kaoen chenei takshattiashi, hoba kaolin longtiashi,” hoba kho tegü kikei. 
GEN.1.10	Hobaje Mühghaüei kaolin kho to “Kaodak” dogo laukei hoba dei takshatbü kho to “Yungnyu” dogo laukei, hoba Mühghaüei kho maia dogo chühenkei. 
GEN.1.11	Hobaje Mühghaüei laukei, “Kaoei langshangbü buhekdeihek, busidei hoba sang phang penko longtiashi” hoba kho tegü kikei. 
GEN.1.12	Hobaje kaoei buhekdeihek luluei lulu phang langshangko hekbü buhekdeihek, busidei hoba sang den lulu yemtikukei, hoba Mühghaüei kho maia dogo chühenkei. 
GEN.1.13	Hobaje nangnak si chasem kho sembounyet chalou kikei.
GEN.1.14	Hobaje Mühghaüei laukei, “Müha mühkom khünei nangnak ka chalou bangnyinla shanga ngesakbü shuong kitiashi; hoba habü shangshen shanga, poanghongjih shanga hoba chalou hoba po shanga, 
GEN.1.15	hoba kaodak ngesakla shanga mühkoma ngesakbü kiashi,” hoba kho tegü kikei. 
GEN.1.16	Mühghaüei ngesak yaangbü penyi kümbei, yaangshangbou kho chanyu, kho chaloua songdakla, hoba hanshangbou ngesakbü kho litnyu, kho nangnak songdakla shanga; haoei tokei khanshoulitshou shuongkei kümbei. 
GEN.1.17	Mühghaüei kaodak ngesakla shanga, 
GEN.1.18	hoba chalou si nangnak songdakla shanga hoba nakthüh ka ngesakbü janyinla mühkoma khübü kho küman phokei, hoba Mühghaüei maian hapbei. 
GEN.1.19	Hobaje chasem si ngeyang ham kho chalou leiboubü kikei.
GEN.1.20	Hobaje Mühghaüei laukei, “Dei lang kibü yangsikok den pendouei shentiashi, hoba aushuong mühkoma sengeitiashi.” 
GEN.1.21	Hobaje Mühghaüei yungmang kabü molo dei yangsikok hoba deikabü yangsikok hoba kaakyembü au phang phang pakentikei; hoba Mühghaüei kho maiakei dogo chühenkei. 
GEN.1.22	Hobaje Mühghaüei haoen haükuko laukei, “Lang hekko haayaangashi hoba deiei yungnyu shentiashi, hoba kaodaka aushuong haashi.” 
GEN.1.23	Hobaje nangnak si ngeyang kho chalou ngaobounyet kikei.
GEN.1.24	Hobaje Mühghaüei laukei, “Kaodaka meisiau haoen lulu phang, samkeisamuk phang lulu hoba kaoa shanbü hoba haoen phang phang lulu longtiashi,” hoba kho tegü kikei. 
GEN.1.25	Hobaje Mühghaüei meisiau phang lulu lulu hoba samkeisamuk shatsinam hoba kaoa shanbü yangsikok haoen lulu phang ajanjan pendou kümbei, hoba Mühghaüei kho maiakei dogo chühenkei.
