GEN.1.1	Aino luai God kata asinong na mete kuku na kuli rina. 
GEN.1.2	Katapo kovek luai ta bil e kuli rina. Keve bil aongos kitapo kovek i pukun. Vong lava katapo pakut a keve bil aongos. Malanganto i God katapo ngoi angpok palau e kuli laman.
GEN.1.3	Au na God kala antok, “Malangas, ku tu aserei.” Na kala malangas. 
GEN.1.4	Na God kala arai ta malangas vola roron na kala posong angtaliungai ani malangas pelek a vong. 
GEN.1.5	Na God kala atuk a malangas ang ta tenei ias, na kala atuk a vong ang ta tenei vong. Au, vong kala serei le na kala tenei vauk pok. Asukang na ainoai i taun kala pasal suai.
GEN.1.6+GEN.1.7	Au na God kala antok, “Laman, ku tapagal ane si pongua na palpal. Mang palpal ane pangkul na mang palpal ane kevkev. Nei liuan i ngono palpal ke, ka atogon ta pangau si pagal ani ngono laman ke.” Au na kala asukang. 
GEN.1.8	Na God kala atuk a pangau ang ta kuku. Au, vong kala serei le na kala tenei vauk pok. Asukang na vapongua i taun kala pasal suai.
GEN.1.9	Au, na God kala antok, “Laman ang e kevkev i mete kuku, ku ago kuvul si sikei a oring na numai kuli roe, ku tu aserei.” Na kala asukang. 
GEN.1.10	Na God kala atuk a laman po ago kuvul ang ta nei laman, na kala atuk a ring kolo ang ta kuli roe. God kala arai ania ta vola roron. 
GEN.1.11	Na God kala antok, “Kuli roe, ku apolokai ani mamain ta sukal atogon katui na mamain ta ei atogon uai na katui neiria ani mi uai asereai ani manik imi akorong ta matan uai.” Na kala asukang. 
GEN.1.12	Ri sukal angpetpetekai na ri ei angpetpetekai kila polok kuli vunep. Kita uai asereai akorong ani kari keve mamain ta uai. Keve katui iria kita apolokai akorong pok ani keve tukulai iria. Na God kala arai ania ta vola roron. 
GEN.1.13	Au, vong kala serei le na kala tenei vauk pok. Asukang na vapotol i taun kala pasal suai.
GEN.1.14	Na God kala antok, “Keve malangas, mi tu aserei e mete kuku ani mi akalit ta angpetpetekai i tenei ias ve tenei vong. Keve malangas ke kapa ki akanangai ani angpetpetekai i keve taun na keve ulen na keve matas. 
GEN.1.15	Ani keve malangas ke e metekuku ki mang amalangasai ani kuli rina aongos.” Na kala asukang. 
GEN.1.16	God kata asinong a pongua na malangas lava. Ri makarap ve ulen. Makarap vo tavirimok ang, ani nia ka saupai ani tenei ias, na ulen ani ka saupai ani tenei vong. Kata asinong kapa ri kalto. 
GEN.1.17	God kata asinong a keve malangas ang asi mang ani kuli rina. 
GEN.1.18	Ani ki saupai ani tenei ias na tenei vong, na ki pagal akipai ani malangas na vong. Na God kala arai ania ta vola roron. 
GEN.1.19	Au, vong kala serei le na kala tenei vauk pok. Asukang na vapuat i taun kala pasal suai.
GEN.1.20	Na God kala antok, “Nei laman, mi duk ta mamain ta manmanik to. Na ri mani, mi ngoi angpok neite kuku e pangkul i kuli roe. 
GEN.1.21	Asukang na God kala asinong ri ie lava kuvul ve mamain ta manmanik aongos kipo to na kipo duk na kipo sang angpok nei laman val si kari keve laulauan angpetpetekai. Na ani ri mani vap po ngoi korong ang, asukang palau val kari keve laulauan angpetpetekai. Na God kala arai ania ta vola roron. 
GEN.1.22	God kala poso atauia iria ta mengen asukang ke, “Mi apitus na mi serei aduk si kami tataot ani nei laman ka duk tatami. Ri mani, mi kun apolokai pok animi ani mi duk si kuli rina ke.” 
GEN.1.23	Au, vong kala serei le na kala tenei vauk pok. Asukang na vapalpalima i taun kala pasal suai.
GEN.1.24	Na God kala antok, “Ri manmanik anglok i kuli roe, mi serei aduk e kuli rina, na mi apitus asereai pok animi si kami keve kuvkuvulan angpetpetekai. Ri vongo asi aiveven, ri manmanik palis e kuli roe na ri kei i nei uten, mi apitus angkokoai singimi pok. Na kala asukang. 
GEN.1.25	God kata asinong a ri kei, ri vongo asi aiveven e rina na ri manmanik po palis e kuli roe. Kata asereai aniria ani ki apolokai pok aniria akorong. Na God kala arai ta vola roron.
GEN.1.26	Na God kala antok, “Tara asinong a ri vap si lilinau na kankanuai ira. Tara alis iria ta kitmat si saupai aongos ani mamain ta ien i nei laman na mamain ta mani i nei pangau ke. Ki saupai kapa ani mamain ta vongo ipo aiveven na ani kuli rina aongos ke na ki saupai kapa ani mamain ta manmanik ipo palis na pasal anglok kuli rina. 
GEN.1.27	Asukang vanang na God kata asinong ri vap si kankanuai ina akorong pok. Io, si kankanuai ina pok God kata asinong ri vap. Kata asinong ri vap ani ki tauan na aina. 
GEN.1.28	Na God kala poso atauia iria ta mengen asukang ke, “Mi apolokai pok animi. Kami inatus ki aduk na kuli rina ke na ki saupai ania. Mi saupai aongos ani ri ien nei laman na ri mani nei pangau na ani ri manmanik aongos kipo ago kuli roe.
