GEN.1.1	Kjok ëre dämär, l̇l̇ëye l̇l̇ëm obishko ga Sbö kjok shäryono uunkong, kjopkwo, kl̈ung bakoe. 
GEN.1.2	Kl̈ung ëre ĩgöy l̇l̇ëm obi, dl̈ung rong, kjing yẽt eröe. Eshko ga Sbö Sëya wir pjang dl̈ung kjing pjl̈uk wl̈eni erä.
GEN.1.3	Eshko ga Sbö tjl̈ẽ ga «Kjok, pja ber shjiye» l̈e. L̈ara sorë ga shäryono beno eni. 
GEN.1.4+GEN.1.5	Ĩya ga kjok shjiy l̈i beno pjl̈úe. Kjok shjiy l̈i kowara «dba», kjok sĩ l̈i kowara «shkë», ga iara beno tjeng dboy dboye. Eshko ga öötong dbar kjwara.
GEN.1.6	Wẽshko ga tjl̈ẽ ga «Dl̈ung, pja opkjos ber dboye» l̈e. 
GEN.1.7	L̈ara sorë ga shäryono beno eni. Dl̈ung l̈i iara beno buk töshko, dira iara beno pjang kjomo, 
GEN.1.8	beno pjang ba tjrëko l̈i kowara «kjok dogo». Eshko ga öötong dbar pjök.
GEN.1.9	Wẽshko ga tjl̈ẽ ga «Dl̈ung, pja tönzong ber tjeng shtor, kjok dogro l̈i wen wl̈o» l̈e. L̈ara sorë ga shäryono beno eni. 
GEN.1.10	Kjok dogro l̈i kowara beno «kl̈ung», dl̈ung l̈i kowara beno «dl̈ung». Eshko ga ĩya ga beno pjl̈úe.
GEN.1.11	Eshko ga tjl̈ẽ ga «Kl̈ung, pja kjing go kjl̈o sho wenzong, kjl̈o sho l̇l̇ërba pogo dwl̈ayo tjok wl̈eniyo, kjor botjyë wl̈eniyo bakoe» l̈e. L̈ara sorë ga shäryono beno eni. 
GEN.1.12	Kl̈ung l̈i kjing go kjl̈o sho weno obl̈ë obl̈ë dwl̈ayo tjok wl̈eniyo, kjor weno bo tjok wl̈eniyo bakoe. Eshko ga ĩya ga beno pjl̈úe. 
GEN.1.13	Eshko ga öötong dbar mya.
GEN.1.14	Wẽshko ga tjl̈ẽ ga «Kjopkwo, pja goshko iök wenzong, shkë, dba, e ber tjeng dboy dboy wl̈o, dbar l̇l̇ë, mok l̇l̇ë, l̈u l̇l̇ë, e miydokl̈o wl̈o bakoe. 
GEN.1.15	Iök, pjãy ber kãl̈ã shjiy kl̈ung kong» l̈e. L̈ara sorë ga shäryono beno eni. 
GEN.1.16	Iök shäryara pjök, kjwara kësbang ber shjiy dba wl̈o, kjwara chirawa ber shjiy shkë wl̈o. Dbala shäryara uunkong bakoe. 
GEN.1.17	Iök l̈i iara beno l̈ok kjopkwo go, kl̈ung kjing l̈i ber shjiy wl̈o. 
GEN.1.18	Iara beno tjeng shjiy dba wl̈o, shkë wl̈o bakoe. Ga kjok shjiy l̈i, kjok ro sĩ l̈i, e kjara beno tjeng dboy dboy eni. Eshko ga ĩya ga beno pjl̈úe. 
GEN.1.19	Eshko ga öötong dbar pkëng (4).
GEN.1.20	Wẽshko ga tjl̈ẽ ga «Dl̈ung, di, pjãy roshko mã wenzong obl̈ë obl̈ëe. Kjok dogo, pja go sënwa wenzong l̇l̇ërba pogo» l̈e. L̈ara sorë ga shäryono beno eni. 
GEN.1.21	Äya këskës chila dl̈ung roy so, di roy so, e shäryara uunkong, sënwa, e shäryara uunkong bakoe. Eshko ga ĩya ga beno pjl̈úe.
