GEN.1.1	Kotiyamale sitali dla Godtapo ta꞉lamo mate pepele di mate mimita꞉piyo. 
GEN.1.2	Epame oloma edla ta꞉lamota ala ya꞉ mila꞉pi pohimilalo halemama koko pa꞉le halaiyo. Epalati kaula patoye amtuwaleta bodepo ellati God ya꞉ Sokota yú di dla sela꞉iyo. 
GEN.1.3	Epalati Godta epo atlaiyo, “Hela꞉dleye hallepe,” diyo. Epalati hela꞉dleta ma-halaiyo. 
GEN.1.4	Epame Godta natili dla hela꞉dleta ka꞉pi halaiyo. Epalati ya꞉tapo amtuwale mate hela꞉dle mate duka gladepame amtuwale ma meyelo himi epo hela꞉dle ma meyelo himi diyo. 
GEN.1.5	Epame Godtapo hela꞉dleye semama alila diyo, epame amtuwaleye semama utula꞉la diyo. Epo itapu alilata ma-tlati ma alila amko haleta ma-alaliyo.
GEN.1.6+GEN.1.7+GEN.1.8	Epame Godta epo atlaiyo, “Yú duka gladlalo alisisita hallepe,” diyo. Epalati yú duka gladlalo alisisita ma-halaiyo. Epapalati Godtapo yú duka gladlalo alisisi iye semama omapla diyo. Epedeme Godtapo yú duka glademama yú semeye omapla di dla hetlati asiyama semeye ta꞉lamo dla pomeliyo. Epame namba 2 alilata ma-tlati ma alila amko haleta ma-alaliyo. 
GEN.1.9	Epame Godta ma epo atlaiyo, “Ta꞉la sekelleta woyamama ta꞉la ma meyelo hallepe, epalati yú ma meyelo hallepe,” diyo. Epalati koko eta ma-halaiyo. 
GEN.1.10	Epalati Godtapo ta꞉la sekelle semama ta꞉lamo diyo. Epame yú hatlo alupo pamelleye semama kaula diyo. Epame Godta koko e natipame ka꞉pi diyo. 
GEN.1.11	Epedeme Godta ma epo atlaiyo, “Ta꞉lamo dla alisisi hapuloma mila꞉pi meyelope meyelope dletapo matelepe,” diyo. 
GEN.1.12	Epalati alisisi mila꞉pi meyelope meyelope dletapo mataiyo. Epame Godta ya꞉ta mimita꞉pele alisisi i tlapame ka꞉pi diyo. 
GEN.1.13	Epame namba 3 alilata ma-tlati ma alila amko haleta ma-alaliyo.
GEN.1.14	Epame Godta ma epo atlaiyo, “Omapla di dla hela꞉dlalo alisisita ha꞉ha꞉lepe. Yia꞉tapo alila mate epo utula꞉la mate duka gladlalo ha꞉ha꞉lepe. Epame yia꞉tapo alilata pololemta mate epo sokomokota pololemta mate imalalo ha꞉ha꞉lepe,” diyo. 
