MAT.1.1	Este libro es el registro de Jesús el Mesías
MAT.1.2	Abraham fue el padre
MAT.1.3	y Judá fue el Padre de Fares y Zarah (su madre fue Tamar); y Fares fue el padre de Esrom; y Esrom el padre de Ram; 
MAT.1.4	y Ram fue el padre de Aminadab; y Aminadab el padre de Nasón; y Nasón el padre de Salmón; 
MAT.1.5	y Salmón el padre de Booz (su madre fue Rahab); y Booz el padre de Obed (su madre fue Rut); y Obed el padre de Isaí; 
MAT.1.6	e Isaí el padre del Rey David. David fue el padre de Salomón (su madre había sido la esposa de Urías); 
MAT.1.7	y Salomón el padre de Roboam; y Roboam el padre de Abías; y Abías el padre de Asa; 
MAT.1.8	y Asa fue el padre de Josafat; y Josafat el padre de Yoram; y Yoram el padre de Uzías; 
MAT.1.9	y Uzías fue el padre de Jotam; y Jotam el padre de Acaz; y Acaz el padre de Ezequías; 
MAT.1.10	y Ezequías el padre de Manasés; y Manasés el padre de Amón; y Amón el padre de Josías; 
MAT.1.11	y Josías el padre de Joaquín y de sus hermanos, durante el tiempo del exilio a Babilonia. 
MAT.1.12	Después del exilio a Babilonia, Joacím fue el padre de Salatiel; y Salatiel el padre de Zorobabel; 
MAT.1.13	y Zorobabel el padre de Abiud; y Abiud fue el padre de Eliaquim; y Eliaquim el padre de Azor; 
MAT.1.14	y Azor el padre de Sadoc; y Sadoc el padre de Aquim; y Aquim el padre de Eliud; 
MAT.1.15	y Eliud fue el padre de Eleazar; y Eleazar el padre de Matán; y Matán el padre de Jacob;
MAT.1.16	y Jacob fue el padre de José, quien fue el esposo de María, de quien nació Jesus, el que es llamado el Mesías.
MAT.1.17	Así que todas las generaciones desde Abraham hasta David suman catorce; desde David hasta el exilio de babilonia, catorce; y desde el exilio de Babilonia hasta el Mesías, catorce.
MAT.1.18	Así fue como ocurrió el nacimiento de Jesús el Mesías: su madre, María, estaba comprometida con José, pero antes de que durmieran juntos ella quedó embarazada por obra del Espíritu Santo. 
MAT.1.19	José, su prometido, era un buen hombre y no quería avergonzarla públicamente, de modo que decidió romper el compromiso de manera discreta.
MAT.1.20	Mientras José pensaba en todo esto, un ángel del Señor se le apareció en un sueño y le dijo: “José, hijo de David, no temas casarte con María porque ella está embarazada por obra del Espíritu Santo. 
MAT.1.21	Ella tendrá un hijo y tú le llamarás Jesús, porque él salvará a su pueblo de sus pecados.” 
MAT.1.22	Y todo esto ocurrió para cumplir lo que el Señor dijo a través del profeta: 
MAT.1.23	‘Una virgen quedará embarazada y tendrá un hijo. Y le llamarán Emanuel,’ que significa ‘Dios con nosotros.’”
MAT.1.24	José se despertó e hizo lo que el ángel del Señor le dijo que hiciera. 
MAT.1.25	José se casó con María, pero no durmió con ella hasta después que tuvo un hijo, a quien llamó Jesús.
MAT.2.1	Después que Jesús nació en Belén de Judea, durante el reinado del rey Herodes, unos hombres sabios
MAT.2.2	“¿Dónde está el Rey de los judíos que ha nacido?” preguntaron. “Vimos su estrella en el oriente y hemos venido a adorarlo.”
MAT.2.3	Cuando el rey Herodes escuchó esto, se preocupó mucho, y toda Jerusalén con él. 
MAT.2.4	Entonces Herodes llamó a todos los jefes de los sacerdotes y a los maestros religiosos del pueblo, y les preguntó dónde se suponía que nacería el Mesías.
MAT.2.5	“En Belén de Judea,” le dijeron ellos, “pues eso fue lo que escribió el profeta: 
MAT.2.6	‘y tu, Belén, en la tierra de Judea, no eres la menor entre las ciudades reinantes de Judea
MAT.2.7	Entonces Herodes llamó a los sabios y se reunió con ellos en privado, y logró saber por medio de ellos el momento exacto en que había aparecido la estrella. 
MAT.2.8	Los envió a Belén, diciéndoles: “cuando lleguen allí, busquen al niño, y cuando lo encuentren, háganmelo saber para yo ir a adorarlo también.”
MAT.2.9	Después que los sabios escucharon lo que el rey iba a decirles, siguieron su camino, y la estrella que habían visto en el oriente los guió hasta que se detuvo justo sobre el lugar donde estaba el niño. 
MAT.2.10	Cuando los sabios vieron la estrella,
MAT.2.11	Entraron a la casa y vieron al niño con María, su madre. Se arrodillaron y lo adoraron. Entonces abrieron sus bolsas de tesoros y le obsequiaron regalos de oro, incienso y mirra. 
MAT.2.12	Advertidos por un sueño de no regresar ante Herodes, se marcharon a su país tomando otro camino.
MAT.2.13	Después que se fueron los sabios, un ángel del Señor se le apareció a José en un sueño, y le dijo: “Levántate, toma al niño y a su madre, y huyan a Egipto. Quédense allí hasta que yo se los diga, porque Herodes está intentando buscar al niño para matarlo.”
MAT.2.14	Entonces José se levantó y tomó al niño y a su madre, y partió hacia Egipto en medio de la noche. 
MAT.2.15	Permanecieron allí hasta que Herodes murió. Esto cumplió lo que el Señor dijo a través del profeta: “De Egipto llamé a mi hijo.”
MAT.2.16	Cuando Herodes se dio cuenta que había sido engañado por los sabios, se enojó mucho. Entonces envió hombres para que matasen a todos los niños de Belén y de las regiones cercanas, que tuvieran menos de dos años de edad. Esto se basaba en el marco de tiempo que escuchó de los sabios
MAT.2.17	Así se cumplió la profecía del profeta Jeremías: 
MAT.2.18	“En Ramá se oyó una voz, llanto y gran lamento. Raquel llora por sus hijos, se niega a que la consuelen, porque están muertos.”
MAT.2.19	Después que Herodes murió, el ángel del Señor se le apareció en un sueño a José en Egipto, y le dijo: 
MAT.2.20	“¡Levántate! Toma al niño y a su madre y regresa a la tierra de Israel, porque los que trataban de matar al niño están muertos.”
MAT.2.21	Entonces José se levantó y tomó al niño y a su madre, y regresó a la tierra de Israel. 
MAT.2.22	Pero José tenía miedo de ir allá después que supo que Arquelao había sucedido a su padre, el rey Herodes, como rey de Judá. Habiendo sido advertido por medio de un sueño, José se fue a Galilea, 
MAT.2.23	y se estableció en Nazaret. Esto cumplió lo que los profetas habían dicho: “Él será llamado Nazareno.”
MAT.3.1	Tiempo después, apareció en escena Juan el Bautista, predicando en el desierto de Judea: 
