GEN.1.1	En el comienzo de todo, Dios creó
GEN.1.2	La tierra no tenía entonces ninguna forma; todo era un mar profundo
GEN.1.3	Entonces Dios dijo:
GEN.1.3	Y hubo luz. 
GEN.1.4	Al ver Dios que la luz era buena,
GEN.1.5	y la llamó «día», y a la oscuridad la llamó «noche». De este modo se completó
GEN.1.6	Después Dios dijo: «Que haya una bóveda que separe las aguas, para que estas queden separadas.»
GEN.1.6	Y así fue.
GEN.1.7	Dios hizo una bóveda que separó las aguas: una parte de ellas quedó debajo de la bóveda, y otra parte quedó arriba. 
GEN.1.8	A la bóveda la llamó «cielo». De este modo se completó el segundo día.
GEN.1.9	Entonces Dios dijo: «Que el agua que está debajo del cielo se junte en un solo lugar, para que aparezca lo seco.»
GEN.1.9	Y así fue.
GEN.1.10	A la parte seca Dios la llamó «tierra», y al agua que se había juntado la llamó «mar».
GEN.1.10	Al ver Dios que todo estaba bien, 
GEN.1.11	dijo: «Que produzca la tierra
GEN.1.11	Y así fue. 
GEN.1.12	La tierra produjo toda clase de plantas: hierbas que dan semilla y árboles que dan fruto. Y Dios vio que todo estaba bien. 
GEN.1.13	De este modo se completó el tercer día.
GEN.1.14+GEN.1.15	Entonces Dios dijo: «Que haya luces en la bóveda celeste, que alumbren la tierra y separen el día de la noche, y que sirvan también para señalar los días, los años y las fechas especiales.»
GEN.1.14+GEN.1.15	Y así fue. 
GEN.1.16	Dios hizo las dos luces: la grande para alumbrar de día y la pequeña para alumbrar de noche. También hizo las estrellas. 
GEN.1.17	Dios puso las luces en la bóveda celeste para alumbrar la tierra 
GEN.1.18	de día y de noche, y para separar la luz de la oscuridad, y vio que todo estaba bien.
GEN.1.19	De este modo se completó el cuarto día.
GEN.1.20	Luego Dios dijo: «Que produzca el agua toda clase de animales, y que haya también aves que vuelen sobre la tierra.»
GEN.1.20	Y así fue.
GEN.1.21	Dios creó los grandes monstruos del mar,
GEN.1.21	Al ver Dios que así estaba bien, 
GEN.1.22	bendijo con estas palabras a los animales que había hecho: «Que tengan muchas crías y llenen los mares, y que haya muchas aves en el mundo.»
GEN.1.23	De este modo se completó el quinto día.
GEN.1.24	Entonces Dios dijo: «Que produzca la tierra toda clase de animales: domésticos y salvajes, y los que se arrastran por el suelo.»
GEN.1.24	Y así fue. 
GEN.1.25	Dios hizo estos animales y vio que todo estaba bien.
GEN.1.26	Entonces dijo: «Ahora hagamos al hombre a nuestra imagen.
GEN.1.27	Cuando Dios creó al hombre,
GEN.1.27	lo creó a su imagen;
GEN.1.27	varón y mujer los creó,
GEN.1.28	y les dio su bendición:
GEN.1.28	«Tengan muchos, muchos hijos;
GEN.1.28	llenen el mundo y gobiérnenlo;
GEN.1.28	dominen a los peces y a las aves,
GEN.1.28	y a todos los animales que se arrastran.»
GEN.1.29	Después les dijo: «Miren, a ustedes les doy todas las plantas de la tierra que producen semilla, y todos los árboles que dan fruto. Todo eso les servirá de alimento.
GEN.1.30	Pero a los animales salvajes, a los que se arrastran por el suelo y a las aves, les doy la hierba como alimento.»
GEN.1.30	Así fue, 
GEN.1.31	y Dios vio que todo lo que había hecho estaba muy bien.
GEN.2.1	El cielo y la tierra, y todo lo que hay en ellos, quedaron terminados. 
GEN.2.2	El séptimo día terminó Dios lo que había hecho, y descansó.
GEN.2.3	Entonces bendijo el séptimo día
GEN.2.4	Esta es la historia de la creación del cielo y de la tierra.
GEN.2.4	Cuando Dios el Señor
GEN.2.5	aún no había plantas ni había brotado la hierba, porque Dios el Señor todavía no había hecho llover sobre la tierra, ni había nadie que la trabajara. 
GEN.2.6	Sin embargo, de la tierra salía agua
GEN.2.7	Entonces Dios el Señor formó al hombre de la tierra misma,
GEN.2.8	Después Dios el Señor plantó un jardín en la región de Edén,
GEN.2.9	Hizo crecer también toda clase de árboles hermosos que daban fruto bueno para comer. En medio del jardín puso también el árbol de la vida
GEN.2.10	En Edén nacía un río que regaba el jardín, y que de allí se dividía en cuatro. 
GEN.2.11	El primero se llamaba Pisón, que es el que da vuelta por toda la región de Havilá, donde hay oro. 
GEN.2.12	El oro de esa región es fino, y también hay resina fina y piedra de ónice. 
GEN.2.13	El segundo río se llamaba Guihón, y es el que da vuelta por toda la región de Cus. 
GEN.2.14	El tercero era el río Tigris, que es el que pasa al oriente de Asiria. Y el cuarto era el río Éufrates.
GEN.2.15	Cuando Dios el Señor puso al hombre en el jardín de Edén para que lo cultivara y lo cuidara,
GEN.2.16	le dio esta orden: «Puedes comer del fruto de todos los árboles del jardín, 
GEN.2.17	menos del árbol del bien y del mal. No comas del fruto de ese árbol,
GEN.2.18	Luego, Dios el Señor dijo: «No es bueno que el hombre esté solo. Le voy a hacer alguien que sea una ayuda adecuada para él.» 
GEN.2.19+GEN.2.20	Y Dios el Señor formó de la tierra todos los animales y todas las aves, y se los llevó al hombre para que les pusiera nombre. El hombre les puso nombre a todos los animales domésticos, a todas las aves y a todos los animales salvajes, y ese nombre se les quedó.
GEN.2.21	Entonces Dios el Señor hizo caer al hombre en un sueño profundo y, mientras dormía, le sacó una de las costillas y le cerró otra vez la carne. 
GEN.2.22	De esa costilla Dios el Señor hizo una mujer, y se la presentó al hombre, 
