GEN.1.1	En 
GEN.1.2	Y la tierra eſtaua deſadornada y vazia, y las tinieblas 
GEN.1.3	Y dixo Dios, 
GEN.1.4	Y vido Dios que la luz 
GEN.1.5	Y llamó Dios à la luz Dia, y à las tinieblas llamó Noche: y fue la tarde y la mañana Vn dia. 
GEN.1.6	Y dixo Dios, 
GEN.1.7	Y hizo Dios 
GEN.1.8	Y llamó Dios al eſtendimiento Cielos: y fue la tarde y la mañana el dia Segundo. 
GEN.1.9	Y dixo Dios, 
GEN.1.10	Y llamó Dios à la ſeca Tierra, y al ayuntamiento de las aguas llamó Mares: y vido Dios que 
GEN.1.11	Y dixo Dios, Produzga la tierra yerua verde, yerua que haga ſimiẽte: arbol de fruto, que haga fruto ſegũ ſu naturaleza, que ſu ſimiẽte 
GEN.1.12	Y produxo la tierra yerua verde, yerua que haze ſimiente ſegun ſu naturaleza, y arbol que haze fruto, que ſu ſimiente 
GEN.1.13	Y fue la tarde y la mañana el dia Tercero.
GEN.1.14	¶ Y dixo Dios, 
GEN.1.15	Y ſean por luminarias enel eſtendimiẽto de los cielos para alumbrar ſobre la tierra: y fue anſi. 
GEN.1.16	Y hizo Dios las dos luminarias grandes: la luminaria grãde para que ſeñoreaſſe enel dia, y la luminaria pequeña para que ſeñoreaſſe en la noche, y las eſtrellas. 
GEN.1.17	Y puſolas Dios en el eſtendimiẽto de los cielos, para alumbrar ſobre la tierra. 
GEN.1.18	Y para ſeñorear enel dia y enla noche, y para apartar la luz y las tinieblas: y vido Dios que 
GEN.1.19	Y fue la tarde y la mañana el dia Quarto.
GEN.1.20	¶ Y dixo Dios, Produzgan las aguas 
GEN.1.21	Y crió Dios 
GEN.1.22	Y bendixo los Dios diziendo, Frutificad y multiplicad, y henchid las aguas en las mares: y las aues ſe multipliquen en la tierra. 
GEN.1.23	Y fue la tarde y la mañana el dia Quinto.
GEN.1.24	¶ Y dixo Dios, Produzga la tierra
GEN.1.25	Y hizo Dios animales de la tierra ſegun ſu naturaleza, y beſtias ſegũ ſu naturaleza, y todas ſerpientes de latierra ſegun ſu naturaleza: y vido Dios que 
GEN.1.26	¶ Y dixo Dios,
GEN.1.27	Y crio Dios àl hombre à ſu ymagen, à ymagen de Dios lo crió:
GEN.1.28	Y bendixo los Dios, y dixo les Dios, Frutificad y multiplicad, y henchid la tierra, y ſojuzgalda, y ſeñoread en los peces de la mar, y en las aues de los cielos, y en todas las beſtias que ſe mueuẽ ſobre la tierra. 
GEN.1.29	Y dixo dios, Heaqui os he dado toda yerua que haze ſimiente, que 
