GEN.1.1	En el principio creó Dios los cielos y la tierra. 
GEN.1.2	Y la tierra estaba desordenada y vacía, y las tinieblas estaban sobre la faz del abismo, y el Espíritu de Dios se movía sobre la faz de las aguas.
GEN.1.3	Y dijo Dios: Sea la luz;
GEN.1.4	Y vio Dios que la luz era buena; y separó Dios la luz de las tinieblas. 
GEN.1.5	Y llamó Dios a la luz Día, y a las tinieblas llamó Noche. Y fue la tarde y la mañana un día.
GEN.1.6	Luego dijo Dios: Haya expansión en medio de las aguas, y separe las aguas de las aguas. 
GEN.1.7	E hizo Dios la expansión, y separó las aguas que estaban debajo de la expansión, de las aguas que estaban sobre la expansión. Y fue así. 
GEN.1.8	Y llamó Dios a la expansión Cielos.
GEN.1.9	Dijo también Dios: Júntense las aguas que están debajo de los cielos en un lugar, y descúbrase lo seco. Y fue así. 
GEN.1.10	Y llamó Dios a lo seco Tierra, y a la reunión de las aguas llamó Mares. Y vio Dios que era bueno. 
GEN.1.11	Después dijo Dios: Produzca la tierra hierba verde, hierba que dé semilla; árbol de fruto que dé fruto según su género, que su semilla esté en él, sobre la tierra. Y fue así. 
GEN.1.12	Produjo, pues, la tierra hierba verde, hierba que da semilla según su naturaleza, y árbol que da fruto, cuya semilla está en él, según su género. Y vio Dios que era bueno. 
GEN.1.13	Y fue la tarde y la mañana el día tercero.
GEN.1.14	Dijo luego Dios: Haya lumbreras en la expansión de los cielos para separar el día de la noche; y sirvan de señales para las estaciones, para días y años, 
GEN.1.15	y sean por lumbreras en la expansión de los cielos para alumbrar sobre la tierra. Y fue así. 
GEN.1.16	E hizo Dios las dos grandes lumbreras; la lumbrera mayor para que señorease en el día, y la lumbrera menor para que señorease en la noche; hizo también las estrellas. 
GEN.1.17	Y las puso Dios en la expansión de los cielos para alumbrar sobre la tierra, 
GEN.1.18	y para señorear en el día y en la noche, y para separar la luz de las tinieblas. Y vio Dios que era bueno. 
GEN.1.19	Y fue la tarde y la mañana el día cuarto. 
GEN.1.20	Dijo Dios: Produzcan las aguas seres vivientes, y aves que vuelen sobre la tierra, en la abierta expansión de los cielos. 
GEN.1.21	Y creó Dios los grandes monstruos marinos, y todo ser viviente que se mueve, que las aguas produjeron según su género, y toda ave alada según su especie. Y vio Dios que era bueno. 
GEN.1.22	Y Dios los bendijo, diciendo: Fructificad y multiplicaos, y llenad las aguas en los mares, y multiplíquense las aves en la tierra. 
GEN.1.23	Y fue la tarde y la mañana el día quinto.
GEN.1.24	Luego dijo Dios: Produzca la tierra seres vivientes según su género, bestias y serpientes y animales de la tierra según su especie. Y fue así. 
GEN.1.25	E hizo Dios animales de la tierra según su género, y ganado según su género, y todo animal que se arrastra sobre la tierra según su especie. Y vio Dios que era bueno.
GEN.1.26	Entonces dijo Dios: Hagamos al hombre a nuestra imagen,
GEN.1.27	Y creó Dios al hombre a su imagen, a imagen de Dios lo creó; varón y hembra los creó.
GEN.1.28	Y los bendijo Dios,
GEN.1.29	Y dijo Dios: He aquí que os he dado toda planta que da semilla, que está sobre toda la tierra, y todo árbol en que hay fruto y que da semilla; os serán para comer. 
GEN.1.30	Y a toda bestia de la tierra, y a todas las aves de los cielos, y a todo lo que se arrastra sobre la tierra, en que hay vida, toda planta verde les será para comer. Y fue así. 
GEN.1.31	Y vio Dios todo lo que había hecho, y he aquí que era bueno en gran manera. Y fue la tarde y la mañana el día sexto.
GEN.2.1	Fueron, pues, acabados los cielos y la tierra, y todo el ejército de ellos. 
GEN.2.2	Y acabó Dios en el día séptimo la obra que hizo; y reposó el día séptimo de toda la obra que hizo.
GEN.2.3	Y bendijo Dios al día séptimo, y lo santificó,
GEN.2.4	Éstos son los orígenes de los cielos y de la tierra cuando fueron creados, el día que Jehová Dios hizo la tierra y los cielos, 
GEN.2.5	y toda planta del campo antes que fuese en la tierra, y toda hierba del campo antes que naciese; porque Jehová Dios aún no había hecho llover sobre la tierra, ni había hombre para que labrase la tierra, 
GEN.2.6	sino que subía de la tierra un vapor, el cual regaba toda la faz de la tierra. 
GEN.2.7	Entonces Jehová Dios formó al hombre del polvo de la tierra, y sopló en su nariz aliento de vida, y fue el hombre un ser viviente.
GEN.2.8	Y Jehová Dios plantó un huerto en Edén, al oriente; y puso allí al hombre que había formado. 
GEN.2.9	Y Jehová Dios hizo nacer de la tierra todo árbol delicioso a la vista, y bueno para comer; también el árbol de vida
GEN.2.10	Y salía de Edén un río para regar el huerto, y de allí se repartía en cuatro brazos. 
GEN.2.11	El nombre del uno era Pisón; éste es el que rodea toda la tierra de Havila, donde hay oro; 
GEN.2.12	y el oro de aquella tierra es bueno; hay allí también bedelio y ónice. 
GEN.2.13	El nombre del segundo río es Gihón; éste es el que rodea toda la tierra de Cus. 
GEN.2.14	Y el nombre del tercer río es Hidekel; éste es el que va al oriente de Asiria. Y el cuarto río es el Éufrates.
GEN.2.15	Tomó, pues, Jehová Dios al hombre, y lo puso en el huerto de Edén, para que lo labrara y lo guardase. 
GEN.2.16	Y mandó Jehová Dios al hombre, diciendo: De todo árbol del huerto podrás comer; 
GEN.2.17	mas del árbol de la ciencia del bien y del mal no comerás; porque el día que de él comieres, ciertamente morirás.
GEN.2.18	Y dijo Jehová Dios: No es bueno que el hombre esté solo; le haré ayuda idónea para él. 
GEN.2.19	Jehová Dios formó, pues, de la tierra toda bestia del campo, y toda ave de los cielos, y las trajo a Adán para que viese cómo las había de llamar; y todo lo que Adán llamó a los animales vivientes, ése es su nombre. 
GEN.2.20	Y puso Adán nombre a toda bestia y ave de los cielos y a todo ganado del campo; mas para Adán no se halló ayuda idónea para él. 
GEN.2.21	Entonces Jehová Dios hizo caer sueño profundo sobre Adán, y mientras éste dormía, tomó una de sus costillas, y cerró la carne en su lugar. 
GEN.2.22	Y de la costilla que Jehová Dios tomó del hombre, hizo una mujer, y la trajo al hombre. 
GEN.2.23	Dijo entonces Adán: Esto es ahora hueso de mis huesos y carne de mi carne; ésta será llamada Varona,
GEN.2.24	Por tanto, dejará el hombre a su padre y a su madre, y se unirá a su mujer, y serán una sola carne.
GEN.2.25	Y estaban ambos desnudos, Adán y su mujer, y no se avergonzaban.
GEN.3.1	Pero la serpiente
GEN.3.2	Y la mujer respondió a la serpiente: Del fruto de los árboles del huerto podemos comer; 
GEN.3.3	pero del fruto del árbol que está en medio del huerto dijo Dios: No comeréis de él, ni le tocaréis, para que no muráis. 
GEN.3.4	Entonces la serpiente dijo a la mujer: No moriréis; 
GEN.3.5	sino que sabe Dios que el día que comáis de él, serán abiertos vuestros ojos, y seréis como Dios, sabiendo el bien y el mal. 
GEN.3.6	Y vio la mujer que el árbol era bueno para comer, y que era agradable a los ojos, y árbol codiciable para alcanzar la sabiduría; y tomó de su fruto, y comió; y dio también a su marido, el cual comió así como ella. 
GEN.3.7	Entonces fueron abiertos los ojos de ambos, y conocieron que estaban desnudos; entonces cosieron hojas de higuera, y se hicieron delantales.
GEN.3.8	Y oyeron la voz de Jehová Dios que se paseaba en el huerto, al aire del día; y el hombre y su mujer se escondieron de la presencia de Jehová Dios entre los árboles del huerto. 
GEN.3.9	Mas Jehová Dios llamó al hombre, y le dijo: ¿Dónde estás tú? 
GEN.3.10	Y él respondió: Oí tu voz en el huerto, y tuve miedo, porque estaba desnudo; y me escondí. 
GEN.3.11	Y Dios le dijo: ¿Quién te enseñó que estabas desnudo? ¿Has comido del árbol del que yo te mandé no comieses? 
GEN.3.12	Y el hombre respondió: La mujer que me diste por compañera me dio del árbol, y yo comí. 
GEN.3.13	Entonces Jehová Dios dijo a la mujer: ¿Qué es lo que has hecho? Y dijo la mujer: La serpiente me engañó,
GEN.3.14	Y Jehová Dios dijo a la serpiente: Por cuanto esto hiciste, maldita serás entre todas las bestias y entre todos los animales del campo; sobre tu pecho andarás, y polvo comerás todos los días de tu vida. 
GEN.3.15	Y pondré enemistad entre ti y la mujer, y entre tu simiente y la simiente suya; ésta te herirá en la cabeza, y tú le herirás en el calcañar. 
GEN.3.16	A la mujer dijo: Multiplicaré en gran manera los dolores en tus preñeces; con dolor darás a luz los hijos; y tu deseo será para tu marido,
GEN.3.17	Y al hombre dijo: Por cuanto obedeciste a la voz de tu mujer, y comiste del árbol de que te mandé diciendo: No comerás de él; maldita será la tierra por tu causa; con dolor comerás de ella todos los días de tu vida. 
GEN.3.18	Espinos y cardos te producirá,
GEN.3.19	Con el sudor de tu rostro comerás el pan hasta que vuelvas a la tierra, porque de ella fuiste tomado; pues polvo eres, y al polvo volverás. 
GEN.3.20	Y llamó Adán el nombre de su mujer, Eva,
GEN.3.21	Y Jehová Dios hizo al hombre y a su mujer túnicas de pieles, y los vistió.
GEN.3.22	Y dijo Jehová Dios: He aquí el hombre es como uno de nosotros, sabiendo el bien y el mal; ahora, pues, que no alargue su mano, y tome también del árbol de la vida,
GEN.3.23	Y lo sacó Jehová del huerto de Edén, para que labrase la tierra de que fue tomado. 
GEN.3.24	Echó, pues, fuera al hombre, y puso al oriente del huerto de Edén querubines, y una espada encendida que se revolvía por todos lados, para guardar el camino del árbol de la vida.
GEN.4.1	Conoció Adán a su mujer Eva, la cual concibió y dio a luz a Caín, y dijo: Por voluntad de Jehová he adquirido
GEN.4.2	Después dio a luz a su hermano Abel. Y Abel fue pastor de ovejas, y Caín fue labrador de la tierra. 
GEN.4.3	Y aconteció andando el tiempo, que Caín trajo del fruto de la tierra una ofrenda a Jehová. 
GEN.4.4	Y Abel trajo también de los primogénitos de sus ovejas, de lo más gordo de ellas. Y miró Jehová con agrado a Abel y a su ofrenda;
GEN.4.5	pero no miró con agrado a Caín y a la ofrenda suya. Y se ensañó Caín en gran manera, y decayó su semblante. 
GEN.4.6	Entonces Jehová dijo a Caín: ¿Por qué te has ensañado, y por qué ha decaído tu semblante? 
GEN.4.7	Si bien hicieres, ¿no serás enaltecido? y si no hicieres bien, el pecado está a la puerta; con todo esto, a ti será su deseo, y tú te enseñorearás de él.
GEN.4.8	Y dijo Caín a su hermano Abel: Salgamos al campo. Y aconteció que estando ellos en el campo, Caín se levantó contra su hermano Abel, y lo mató.
GEN.4.9	Y Jehová dijo a Caín: ¿Dónde está Abel tu hermano? Y él respondió: No sé. ¿Soy yo acaso guarda de mi hermano? 
GEN.4.10	Y él le dijo: ¿Qué has hecho? La voz de la sangre de tu hermano clama a mí desde la tierra. 
GEN.4.11	Ahora, pues, maldito seas tú de la tierra, que abrió su boca para recibir de tu mano la sangre de tu hermano. 
GEN.4.12	Cuando labres la tierra, no te volverá a dar su fuerza; errante y extranjero serás en la tierra. 
GEN.4.13	Y dijo Caín a Jehová: Grande es mi castigo para ser soportado. 
GEN.4.14	He aquí me echas hoy de la tierra, y de tu presencia me esconderé, y seré errante y extranjero en la tierra; y sucederá que cualquiera que me hallare, me matará. 
GEN.4.15	Y le respondió Jehová: Ciertamente cualquiera que matare a Caín, siete veces será castigado. Entonces Jehová puso señal en Caín, para que no lo matase cualquiera que le hallara.
GEN.4.16	Salió, pues, Caín de delante de Jehová, y habitó en tierra de Nod,
GEN.4.17	Y conoció Caín a su mujer, la cual concibió y dio a luz a Enoc; y edificó una ciudad, y llamó el nombre de la ciudad del nombre de su hijo, Enoc. 
GEN.4.18	Y a Enoc le nació Irad, e Irad engendró a Mehujael, y Mehujael engendró a Metusael, y Metusael engendró a Lamec. 
GEN.4.19	Y Lamec tomó para sí dos mujeres; el nombre de la una fue Ada, y el nombre de la otra, Zila. 
GEN.4.20	Y Ada dio a luz a Jabal, el cual fue padre de los que habitan en tiendas y crían ganados. 
GEN.4.21	Y el nombre de su hermano fue Jubal, el cual fue padre de todos los que tocan arpa y flauta. 
GEN.4.22	Y Zila también dio a luz a Tubal-caín, artífice de toda obra de bronce y de hierro; y la hermana de Tubal-caín fue Naama.
GEN.4.23	Y dijo Lamec a sus mujeres:
GEN.4.23	Ada y Zila, oíd mi voz;
GEN.4.23	Mujeres de Lamec, escuchad mi dicho:
GEN.4.23	Que un varón mataré por mi herida,
GEN.4.23	Y un joven por mi golpe.
GEN.4.24	Si siete veces será vengado Caín,
GEN.4.24	Lamec en verdad setenta veces siete lo será.
GEN.4.25	Y conoció de nuevo Adán a su mujer, la cual dio a luz un hijo, y llamó su nombre Set:
GEN.4.26	Y a Set también le nació un hijo, y llamó su nombre Enós. Entonces los hombres comenzaron a invocar el nombre de Jehová.
GEN.5.1	Éste es el libro de las generaciones de Adán. El día en que creó Dios al hombre, a semejanza de Dios lo hizo. 
GEN.5.2	Varón y hembra los creó;
GEN.5.3	Y vivió Adán ciento treinta años, y engendró un hijo a su semejanza, conforme a su imagen, y llamó su nombre Set. 
GEN.5.4	Y fueron los días de Adán después que engendró a Set, ochocientos años, y engendró hijos e hijas. 
GEN.5.5	Y fueron todos los días que vivió Adán novecientos treinta años; y murió. 
GEN.5.6	Vivió Set ciento cinco años, y engendró a Enós. 
GEN.5.7	Y vivió Set, después que engendró a Enós, ochocientos siete años, y engendró hijos e hijas. 
GEN.5.8	Y fueron todos los días de Set novecientos doce años; y murió.
GEN.5.9	Vivió Enós noventa años, y engendró a Cainán. 
GEN.5.10	Y vivió Enós, después que engendró a Cainán, ochocientos quince años, y engendró hijos e hijas. 
GEN.5.11	Y fueron todos los días de Enós novecientos cinco años; y murió.
GEN.5.12	Vivió Cainán setenta años, y engendró a Mahalaleel. 
GEN.5.13	Y vivió Cainán, después que engendró a Mahalaleel, ochocientos cuarenta años, y engendró hijos e hijas. 
GEN.5.14	Y fueron todos los días de Cainán novecientos diez años; y murió.
GEN.5.15	Vivió Mahalaleel sesenta y cinco años, y engendró a Jared. 
GEN.5.16	Y vivió Mahalaleel, después que engendró a Jared, ochocientos treinta años, y engendró hijos e hijas. 
GEN.5.17	Y fueron todos los días de Mahalaleel ochocientos noventa y cinco años; y murió.
GEN.5.18	Vivió Jared ciento sesenta y dos años, y engendró a Enoc. 
GEN.5.19	Y vivió Jared, después que engendró a Enoc, ochocientos años, y engendró hijos e hijas. 
GEN.5.20	Y fueron todos los días de Jared novecientos sesenta y dos años; y murió.
GEN.5.21	Vivió Enoc sesenta y cinco años, y engendró a Matusalén. 
GEN.5.22	Y caminó Enoc con Dios, después que engendró a Matusalén, trescientos años, y engendró hijos e hijas. 
GEN.5.23	Y fueron todos los días de Enoc trescientos sesenta y cinco años. 
GEN.5.24	Caminó, pues, Enoc con Dios,
