MAT.1.1	Yə̀mē sē lə̀tafē yə̀ mə̀sān mə̄cici Yɛso Krisəti, ywâ 
MAT.1.2	Bərayi sē tĕ Yishaku,
MAT.1.2	Yishaku sē tĕ Yakubu,
MAT.1.2	Yakubu ngrìn Yahuda wān sē bə̄ nywɛngyə̀ywə̄ nə̄mān.
MAT.1.3	Yahuda sē tĕ bə Pəreza bə̄ Zera, bān gyə̆r bə sē Tamara.
MAT.1.3	Pəreza sē tĕ Hɛzɔn,
MAT.1.3	Hɛzɔn sē tĕ Ramu,
MAT.1.4+MAT.1.5	Ramu sē tĕ Mənada,
MAT.1.4+MAT.1.5	Mənada sē tĕ Nashɔn,
MAT.1.4+MAT.1.5	Nashɔn sē tĕ Salmu,
MAT.1.4+MAT.1.5	Salmu sē tĕ Buza wān sān gyə̀ywə̄ re Raha.
MAT.1.4+MAT.1.5	Buza sē tĕ Wɔbida, wān sān gyə̀ywə̄ re Rutu
MAT.1.4+MAT.1.5	Wɔbida sē tĕ 
MAT.1.6	Jese sē tĕ Doda wān nyə̄ sē cun bān Sərela.
MAT.1.6	Doda sē tĕ Solomu wān gyə̀ywə̄ sə̀ sē mbə̄ Wuriya anrīn,
MAT.1.7	Solomu sē tĕ Rehobuwa,
MAT.1.7	Rehobuwa sē tĕ Yabija,
MAT.1.7	Yabija sē tĕ Yasa,
MAT.1.8	Yasa sē tĕ Yɛhoshafa,
MAT.1.8	Yɛhoshafa sē tĕ Yoramu,
MAT.1.8	Yoramu sē tĕ Yazariya,
MAT.1.9	Yazariya sē tĕ Yotamu,
MAT.1.9	Yotamu sē tĕ Hazu,
MAT.1.9	Hazu sē tĕ Hezekiya,
MAT.1.10	Hezekiya sē tĕ Mənase,
MAT.1.10	Mənase sē tĕ Yamon,
MAT.1.10	Yamon sē tĕ Josiya,
MAT.1.11	Josiya sē tĕ Jəkoniya wān sē bə̄ nywɛngyə̀ywə̄ nə̄mān.
MAT.1.11	Mkpān yəmē, mə̄nē bān mə̀mē 
MAT.1.12	Mkpān yə̄ bə sē ə mə̀mē yə̀ mə̄nē bān Babila,
MAT.1.12	Jəkoniya ngrìn Shatilu,
MAT.1.12	Shatilu ngrìn Zɛrubabɛl,
MAT.1.13	Zɛrubabɛl ngrìn Yabihu,
MAT.1.13	Yabihu ngrìn Ləyakim,
MAT.1.13	Ləyakim ngrìn Yazurɔ,
MAT.1.14	Yazurɔ ngrìn Saduku,
MAT.1.14	Saduku ngrìn Yakimu,
MAT.1.14	Yakimu ngrìn Yaliyuda,
MAT.1.15	Yaliyuda ngrìn Ləyazara,
MAT.1.15	Ləyazara ngrìn Matana,
MAT.1.15	Matana ngrìn və̄lɔn gyə̄r nzɔ̆ wān re Yakubu,
MAT.1.16	də̀ sē Yakubu gu mē wān ngrìn Yusuwu,
MAT.1.16	lɔn Məryamu gyə̆r Yɛso wān bə là gyɔ gu de Krisəti. 
MAT.1.17	Mə̄ywa Bərayi kə sū ngrin Doda sə̄ sē mə̄ywa gur nlyɛ̄. Də̀ sē mə̄ywa Doda kə sū ə mkpān yə̄ bə nyə vu bə lwe ywe ə mə̀mē yə̀ mə̄nē bān Babila, sə̄ sē mə̄ywa gur nlyɛ̄ nə̀nàn. Dōglo ə mkpān yə̄ mə̄nē bə mē sə̄ sē ə Babila mâ nyə sū mkpān yə̄ bə ngrin gu wān sē 
MAT.1.18	Yə̀mē sē nkɔ̄n yə̄ Rì nə̄ bə ngrin Yɛso Krisəti. Və̄nggə̄ wān sān gu re de Məryamu, wān Yusuwu sə̀ gə̀r tè nɛ̄n. Sē nkɔ̄n ndu yə̄ 
MAT.1.19	Yusuwu wān sə̀ gə̀r Məryamu, sə̀ tèkə de gu lə la kpān ngə̄ bə̄ gu nzɔ̆ yo anrɛ̀n gu sə̄ tsə de gu lwe nɛ̄n, də̀ sē anrɛ̀n gu Yusuwu sē nē wān là nan zəze. Gu fɔ̀ nkɔ̄n yə̄ gu lə kà gu də̀ lə la nan yə ə nkɔ̄n yə̄ gu lə gbō mùmwɔ̀n gyɔ̄ gu ə nggà bēshi mə̄nē yo.
MAT.1.20	Də̀ rìgyə̀r, mkpān yə̄ Yusuwu sə̀ sē ətù tekə yəmē, 
MAT.1.21	Gu lə ngrin vɛ̄n və̄lɔn də̀ wə̄ lə tə̄r gu sān de Yɛso anrɛ̀n gu lə sē wān lə kpə̄ mə̄nē bān mə̄gu cūngwɔn ə nkɔ̄n rɛn 
MAT.1.22	Kī yəmē kūkwār sə̄ te də̀tswē yə man shɛ̄ rɛn yə̄ nē wān dɔ̀n rɛn Rì dan de yə lə nyə̄ te. 
MAT.1.23	Dan rɛn yəmē ə lə̀tafē yə̀ rɛn Rì de, “Və̄nggə̄ wān la tsə lə̄lɔn gbàngyə̀r yo lə te nɛ̄n də̀ lə ngrin vɛ̄n və̄lɔn, də̀ bə lə tər gu sān de Manuwɛl.” (Sān yə̄ Manuwɛl mē sē mgborɛn yə̄ bān Yahuda yə̄ bə là dan de, “Rì sē gìgyə̀r bə̄ tə̀.”)
MAT.1.24	Mkpān yə̄ Yusuwu gu shɛn nə̀nə̄, gu nàn kì yə̀ mə̀lɛkā yə̀ Rì dan gu de nə̄ gu nàn, də̀ kàn nyə̄ kpān ngə̄ bə̄ Məryamu. 
MAT.1.25	Mkpān yə̄ Yusuwu kpān ngə̄ bə̄ Məryamu, gu la tsə gu tè mbə̄ywə̄ yo, mâ mkpān yə̄ Məryamu gu nyə̄ ngrìn, də̀ Yusuwu kàn gyɔ sān vɛ̄n gu de Yɛso.
MAT.2.1	Ngrin Yɛso ə gbù yə̀ Bətəlami ə mə̀mē yə̀ Yahudeya ə mkpān yə̄ 
MAT.2.2	“Vɛ̄n wān bə ngrin wān lə sē cūn bān 
MAT.2.3	Mkpān yə̄ Hiridu bə̄ mə̄nē bān Wurisheliman bān gwɔ rɛn yəmē nə̀nàn, də̆r kan tsu bə. 
MAT.2.4	Hiridu kàn gyɔ nggɔn nggɔn bān tɔ̀ kī nə̄ Rì bə̄ bān là tsar mə̄nē Bān yə̀ bān Yahuda tè mgbɔ̀, də̀ kàn rì bə tswē yə̄ bə dan de lə ngrin gu wān sē 
MAT.2.5	Mə̄nē bə bān gu gyɔ tè mgbɔ̀ sə̄ dan gu de, “Sē ə gbù yə̀ Bətəlami ə mə̀mē yə̀ Yahudeya yə̀ bə dan de lə ngrin gu. Sē ənə̀mē wān dɔ̀n rɛn sū mə̄nē car də̀ dan de yə lə tē ə gbù yə̀ Bətəlami. Yə̀mē sē rɛn yə̄ gu sə̄ car də̀ dan de,
MAT.2.6	‘Gyə̄ mə̄nē bān gbù Bətəlami, bān sē ə mə̀mē yə̀ mə̄nē bān Yahuda,
MAT.2.6	gbù gyə̄ sē gyə̀r ənywī gbūgbu nggɔ̀n nggɔ̀n yə̀ bān Yahuda;
MAT.2.6	nē gyə̄r ənywī gyə̄ lə ngrin wān lə sē nggɔn mə̄nē bān mə̄nggə̀ bān Sərela.’ ”
MAT.2.7	Də̀ mkpān yə̄ Hiridu gwɔ rɛn yəmē, gu kàn gyɔ mə̀cə̄cə̀r bə tè lə̀gə̀r də̀tswē gu man nàn gwɔ mkpān yə̄ bə ngrɛ̄n ntsɛ̄ yə̀ tsar bə rɛn yə̄ ngrin cūn gu mē. 
MAT.2.8	Də̀ gu gwɔ rɛn yə krɛ̀ bə̄ bə, gu kàn dàn bə de, “Kān gyə̄ ywè ə gbù yə̀ Bətəlami də̀ man nàn vɛ̄n gu wān bə ngrin fɔ̀ kyɛn. Gyə̄ də̀ ngrɛ̄n gu, gyə̄ man nyə̀ dan nggə̄ tswē yə̄ gu sē mān, də̀tswē nggə̄ man ywe kə bɛ̀ gu mān tswē ywə̄ nə̀nàn.”
