MAT.1.1	Iesu Keriso ena rama kupu torina Aberahamo mai Davida bibirakiai emai.
MAT.1.2	Aberahamo ehore Isako ebaramana,
MAT.1.2	Isako ehore Iakobo ebaramana,
MAT.1.2	Iakobo ehore Iuda uaho'abana kipokia ebaramanakia.
MAT.1.3	Iuda ehore Perese mai Sera ebaramanakia, hinakia hanona Tamar,
MAT.1.3	Perese ehore Hesarona ebaramana,
MAT.1.3	Hesarona ehore Ram ebaramana.
MAT.1.4	Ram ehore Aminadab ebaramana,
MAT.1.4	Aminadab ehore Nasona ebaramana,
MAT.1.4	Nasona ehore Salmon ebaramana.
MAT.1.5	Salmon ehore Boa ebaramana, hinana hanona Rahab rama haeai babi'ena.
MAT.1.5	Boa ehore Obeda ebaramana, hinana hanona Ruta rama haeai babi'ena.
MAT.1.5	Obeda ehore Iese ebaramana.
MAT.1.6	Iese ehore Obia 'arana Davida ebaramana.
MAT.1.6	Davida ehore Solomon ebaramana, ia hinana hanona 'uainai Uria atawana.
MAT.1.7	Solomon ehore Rehoboam ebaramana,
MAT.1.7	Rehoboam ehore Abia ebaramana,
MAT.1.7	Abia ehore Asa ebaramana.
MAT.1.8	Asa ehore Iehosabat ebaramana,
MAT.1.8	Iehosabat ehore Ioram ebaramana,
MAT.1.8	Ioram ehore Usia ebaramana.
MAT.1.9	Usia ehore Iotam ebaramana,
MAT.1.9	Iotam ehore Ahasa ebaramana,
MAT.1.9	Ahasa ehore Hesekia ebaramana.
MAT.1.10	Hesekia ehore Manase ebaramana,
MAT.1.10	Manase ehore Amon ebaramana,
MAT.1.10	Amon ehore Iosia ebaramana.
MAT.1.11	Iosia ehore Iekonia mai uaho'abana ebaramanakia,
MAT.1.11	rani weianai Babulono haukia tehore Isaraela haukia tea'inakia teaoainakia ekia hanopakai.
MAT.1.12	Baika teaoainakia Babulono murinai Iekonia ehore Sealtiel ebaramana, Sealtiel ehore Serubabel ebaramana.
MAT.1.13	Serubabel ehore Abiud ebaramana,
MAT.1.13	Abiud ehore Eliakima ebaramana,
MAT.1.13	Eliakima ehore Asoro ebaramana.
MAT.1.14	Asoro ehore Sadok ebaramana,
MAT.1.14	Sadok ehore Akim ebaramana,
MAT.1.14	Akim ehore Eliud ebaramana.
MAT.1.15	Eliud ehore Eleasara ebaramana,
MAT.1.15	Eleasara ehore Matan ebaramana,
MAT.1.15	Matan ehore Iakobo ebaramana.
MAT.1.16	Iakobo ehore Iosefa ebaramana.
MAT.1.16	Iosefa atawana Maria ehore Iesu ebaramana, maearima atana teaparina Keriso
