GEN.1.1	Ndee jaxtnañuꞌu ja ni junkoo ñuyiu, ni saꞌa ia Dios andivi jin ñuyiu. 
GEN.1.2	Te ñuyiu yaꞌa, chi tu ni oyukun, ni tu saꞌun nagua ni oo, chi ninoꞌo ndute ni okuu nii nii ñuyiu, te nii nii ni oo inee, tu ni ondijin maintnoꞌo Espíritu maa Dios, guaa ni okanda nii nuu ndute yun. 
GEN.1.3	Yun te ni kaꞌan Dios: “Ja na yeꞌe niꞌnu”.
GEN.1.3	Te ni yeꞌe. 
GEN.1.4	Te ni ndiaꞌa Dios ja guaꞌa kuu ja yeꞌe niꞌnu, te ni saꞌa siin ya jin janee. 
GEN.1.5	Te ni xnani Dios jayeꞌe niꞌnu nduu, te ja inee jakuaa. Te saa ni kuu ja mañini vi ndee neꞌe kiuu xtnañuꞌu.
GEN.1.6	Yun te jiñaꞌa ia Dios: “Ja nune maꞌñu ndute”.
GEN.1.6	Te na kuu siin de. 
GEN.1.7	Te ni saꞌa Dios ja ni nune, chi sava ndute mandaa ndee sukun, te sava de ni kendoo. Te saa ni kuu. 
GEN.1.8	Te ni xnani Dios ichi nuu ni nune yun andivi. Te saa ni kuu ja mañini vi ndee neꞌe kiuu kuu uu.
GEN.1.9	Te jiñaꞌa tuku Dios: “Ndututu ndiꞌi ndute ni kendoo ichi chii andivi invaa ni nuu, te ndatuu jayichi”.
GEN.1.9	Te saa ni kuu. 
GEN.1.10	Te ni xnani Dios nuu yichi yun ñuꞌu, te ndute ni ndututu yun ni xnani ya mar. Te ni ndiaꞌa Dios ja ndiꞌi ja ni saꞌa ya oo guaꞌa. 
GEN.1.11	Yun te saa jiñaꞌa Dios: “Ja na koo ndinuu nuu yuku kuii, te na koo ndikin vi ndinuu nuu yutnu kuun javixin tnu. Te ndiꞌi ndiaꞌa tnu na koo ndikin nuu ñuꞌu yaꞌa”, ni kaꞌan Dios.
GEN.1.11	Te vi saa ni kuu. 
GEN.1.12	Ni jite ndinuu nuu yuku kuii ja oo ndikin vi suni ndinuu nuu yutnu kuun ndiaꞌa, te ndiꞌi tnu ka oo ndikin ja na jinkoo nuu ñuꞌu yaꞌa. Te ni ndiaꞌa Dios ja ndiꞌi ja ni saꞌa ya oo guaꞌa. 
GEN.1.13	Te saa ni kuu ja mañini vi ndee neꞌe kiuu kuu uni.
