MAT.1.1	Ингье, Иса 
MAT.1.2	Гьа икӀ Ибрагьималай 
MAT.1.3	Ягьудалай ПерецӀни Зерагь хьана, абурун диде Тамар тир. ПерецӀалай Гьесран хьана, Гьесраналай Арам хьана. 
MAT.1.4	Арамалай Аминадаб хьана, Аминадабалай Нагьшун хьана. Нагьшуналай Салман хьана. 
MAT.1.5	Салманалай Багьас хьана, Багьасан диде 
MAT.1.6	Ишаялай Давуд пачагь хьана. Давуд пачагьдилай 
MAT.1.7	Сулейман пачагьдилай Регьабам хьана. Регьабамалай Аби хьана. Абидилай Асеф хьана. 
MAT.1.8	Асефалай Яшафат хьана. Яшафаталай Ярам хьана. Ярамалай Узи хьана. 
MAT.1.9	Узидилай Ятам хьана, Ятамалай Ахаз хьана. Ахазалай Гьизкьи хьана.
MAT.1.10	Гьизкьидилай Манаше хьана, Манашедилай Аман хьана. Аманалай Яши хьана.
MAT.1.11	Яшидилай Ягьиагьакин ва адан стхаяр хьана. (Им 
MAT.1.12	Бабилдиз куьч хьайидалай кьулухъ Ягьиагьакиналай Шалатил хьана. Шалатилалай Зарубабел хьана.
MAT.1.13	Зарубабелалай Абигьуд хьана, Абигьудалай Элиаким хьана, Элиакималай Азур хьана.
MAT.1.14	Азуралай Садикь хьана. Садикьалай Ахим хьана, Ахималай Элигьуд хьана.
MAT.1.15	Элигьудалай Элазар хьана. Элазаралай МатӀан хьана, МатӀаналай Якьуб хьана.
MAT.1.16	Якьубалай 
MAT.1.17	Гьа икӀ Ибрагьималай Давуд пачагьдал къведалди цӀукьуд несил авай. Давуд пачагьдин девирдилай та чувудар Бабилдиз есирвиле тухудалди цӀукьуд несил авай; чувудар Бабилдиз тухвай девирдилай та Месигьдал къведалдини цӀукьуд несил авай.
MAT.1.18	Иса 
MAT.1.19	Майраман чам Юсуф гьахъ-михьи кас тир, адаз Майрам беябур тавуна, ам чинеба элкъуьр хъийиз кӀан хьана. 
MAT.1.20	И фикирар ийизвайла, ахварай адан патав 
MAT.1.20	– 
MAT.1.21	Майрама Хва хада, тӀварни Адал Иса эцига: Ада Вичин халкь 
MAT.1.22	Ибур вири 
MAT.1.23	«Яб це! Рушвал гумайди кӀвачел залан жеда, ада Хва хада, Адазни Имануэл, яни чахъ Аллагь гала, лагьана тӀвар гуда»
MAT.1.24	Ахварай аватайла, Юсуфа Реббидин малаикди лагьайвал авуна. Ада Майрам пабвиле къачуна. 
MAT.1.25	Амма папа Хва хадалди, Юсуф адав агатнач. Майрамаз Хва хьайила, Юсуфа Адаз Иса тӀвар гана.
MAT.2.1	Иса 
MAT.2.2	– Гьинава 
MAT.2.3	И гафарин ван хьайила, Гьируд пачагьдик ва адахъ галаз санал вири Ярусалимдик къалабулух акатна. 
MAT.2.4	Гьируда вири чӀехи 
MAT.2.4	– 
MAT.2.5	– Ягьудатда авай Бетлегьем шегьерда, – жаваб гана абуру. – 
MAT.2.6	«Эй Бетлегьем, Ягьудатдин чилел алай шегьер! Вун Ягьудатдин чӀехи шегьеррин арада виридалайни гъвечӀиди туш. Ви инсанрин арадай Зи халкь, яни 
MAT.2.7	Гьа чӀавуз Гьируд пачагьди арифдарриз чинеба эверна, абурувай гъед экъечӀдай дуьз чӀав чирна. 
MAT.2.8	Ахпа ада, абур Бетлегьемдиз ракъурдайла, лагьана:
MAT.2.8	– Алад, фена БицӀекдикай галай-галайвал хабарар яхъ. Ам квез акурла, Зани Адаз икрам ийидайвал, заз хабар це.
MAT.2.9+MAT.2.10	Абур, пачагьдиз яб гана, фена. Рекье абуруз чпиз рагъэкъечӀдай патай акур гъед ингье мад ахкуна. Ам акурла, абуруз гзаф хвеши хьана. Гъетре абур вичихъ галаз тухвана. Эхирни гъед атана Аял авай кӀвалин винел акъвазна. 
MAT.2.11	КӀвализ гьахьайла, абуруз БицӀек Адан диде 
MAT.2.12	Абуруз ахварай Аллагьди Гьируд пачагьдин патав хъфин тавуникай виликамаз лагьанай. Гьавиляй абур чпин уьлкведиз маса рекьяй хъфена.
MAT.2.13	Арифдарар хъфейдалай кьулухъ 
MAT.2.13	– Къарагъ! Аялни Адан диде къачуна 
MAT.2.14	Ам къарагъна, Аялни Адан диде къачуна, йифиз Мисридиз рекье гьатна. 
MAT.2.15	Гьана абур Гьируд пачагь рекьидалди амукьна. Гьа и саягъда 
MAT.2.16	Абур Мисридиз катай чӀавуз Гьируд пачагь арифдарар хкведа лугьуз акъвазнавай. Абур тахтана акурла, Гьирудаз абуру вичиз таб авурди чир хьана. Пис хъел акатна, ада Бетлегьемда ва адан патав гвай чкайра авай кьван кьве йис хьанвай ва адалай гъвечӀи вири гадаяр терг авун эмирна. БицӀек дидедиз жедай чӀав ада арифдаррин гафарай чирна. 
MAT.2.17	Гьа чӀавуз Ермиягь 
MAT.2.18	«Вири Рама тирвал йикь-шуван гьатна. 
MAT.2.20	– Къарагъ, Аялни Адан диде къахчуна, 
MAT.2.21	Ада, къарагъна, Аялни Адан диде къахчуна, абур Исраилдин чилел хтана. 
MAT.2.22	 бубадин чкадал Гьируд пачагьдин хва Архела пачагьвал ийизвай. И кардикай хабар хьайила, адаз аниз физ кичӀе хьана. Амма Юсуф ахвара авай чӀавуз, адаз вуч авуна кӀандатӀа Аллагьди лагьайла, ам 
MAT.2.23	Гьана ам Назарет лугьудай шегьерда акъвазна. Гьа икӀ, 
MAT.3.1	Гьа йикъара 
MAT.3.2	Ада икӀ лугьузвай:
MAT.3.2	– Ша Аллагьдин рекьел элячӀ, Цаварин 
MAT.3.3	Яшай 
MAT.3.4	Ягьядал деведин сун пекер алай, адан юкьвани тумаждин чӀул авай. Ада незвайди цицӀерни чӀуру чӀижерин вирт тир.
MAT.3.5	Гьа чӀавуз адан патав Ярусалимдайни вири Ягьудатдай ва Ярдан вацӀун къерехра авай чкайрай инсанар къвезвай. 
MAT.3.6	Абуру чпин 
MAT.3.7	Вичин патав цик акахьун къачун патал къвезвай гзаф 
MAT.3.7	– Эй гъуьлягъдин къеняй акъатайбур! Аллагьди хъиляй ацӀана квез гудай жазадикай квевай катиз жеда лагьай фикир куь кьилера ни туна? 
MAT.3.8	Къуй куь хъсан крарин майвайри куьн Аллагьдин рекьел 
MAT.3.9	«Чи буба 
MAT.3.10	ЯкӀвни датӀана тарарин пунарив гьазур я: хъсан майваяр тегъидай гьар са тар атӀана цӀуз гадарда.
MAT.3.11	Квез Аллагьдин рекьел къвез кӀан хьайила, за квев цик акахьун къачуз тада. Амма залай кьулухъ къведайди залайни гзаф къудрат авайди жеда. Зун Адан кӀвачин къапар гваз къекъуьнизни лайих туш. Ада квев Пак 
MAT.3.12	Адан йирф Вичин гъиле ава, Ада Вичин рат михьда, гатай къуьл Вичин бегьер хуьдай чкадиз кӀватӀда, нагъварни хкахь тийидай цӀал куда.
MAT.3.13	Гьа чӀавуз Иса 
MAT.3.14	Ягья Ам акъвазариз алахъна.
MAT.3.14	– Зав Вуна цик акахьун къачуз туна кӀандай чкадал Вун цик акахьун къачуз зи патав вучиз атанва? – лагьана ада.
MAT.3.15	– Исятда гьакӀ хьурай, – жаваб гана Исади. – Исятда чна Аллагьдиз кӀанзавайди кьилиз акъудайтӀа дуьз жеда.
MAT.3.15	Гьа икӀ, Ягьяди Адав цик акахьун къачуз туна. 
MAT.3.16	Иса, цик акахьун къачуна, цяй экъечӀдайла, цавар ахъа хьана. Ягьядиз Исадал лифрен шикилда аваз Аллагьдин 
MAT.3.17	Цаварай рахадай ван атана:
MAT.3.17	– Ам Зи рикӀ алай Хва я, Зи шадвал Гьадалди я.
MAT.4.2	ЯхцӀур юкъузни яхцӀур йифиз сив 
MAT.4.3	Иса рекьяй акъудиз кӀанзавай иблис Адав агатна.
MAT.4.3	– Вун Аллагьдин 
MAT.4.4	Амма Исади жаваб гана:
MAT.4.4	– 
MAT.4.5+MAT.4.6	Ахпа Ам иблисди 
MAT.4.5+MAT.4.6	– Вун Аллагьдин Хва яз хьайила, агъуз хкадра, – лагьана ада. – Каламда кхьенва:
MAT.4.7	– Каламда мадни кхьенва, – жаваб гана Исади, – «Виридан Ребби тир Аллагь синагъ ийимир»
MAT.4.8	Иблисди Иса мад са кьакьан дагъдал тухвана. Ада Исадиз дуьньядин вири пачагьлугъар чпин зурбавиле къалурна.
MAT.4.9	– МетӀерал акъвазна заз икрам авуртӀа, ибур вири за Ваз гуда, – лагьана иблисди.
MAT.4.10	Гьа чӀавуз Исади лагьана:
MAT.4.10	– Алат Залай, иблис, Каламда кхьенва: «Реббидиз, ви Аллагьдиз, икрама, са Гьадаз къуллугъни ая»
MAT.4.11	Гьанлай иблисди Ам секиндиз туна. 
MAT.4.12	Исадиз 
MAT.4.13	Назаретдай акъатна, Ам Забулунанни Нифталидин чилер хьайи чкада вирин къерехда авай Кефернагьум шегьерда акъвазна. 
MAT.4.14	Гьа икӀ, Яшай 
MAT.4.15	«Вирел фидай рекье Ярдандин атӀа пата авай чил! Эй, Забулунан чил, эй, Нифталидин чил! Эй 
MAT.4.16	МичӀивилик ацукьнавай халкьдиз чӀехи нур акуна, уьлкведа ажалдин хъендик ацукьнавайбурузни нурди экв гана»
MAT.4.17	Гьа чӀавалай Исади вязер ийиз хьана:
MAT.4.17	– Ша Аллагьдин рекьел элячӀ, Цаварин 
MAT.4.18	Садра Галилейдин 
MAT.4.19	Исади абуруз лагьана:
MAT.4.19	– Зи гуьгъуьнаваз ша. За квекай инсанар кьадай гъетягъар ийида.
MAT.4.20	Чпин чилерни туна, абур гьасятда Адан гуьгъуьнаваз фена.
MAT.4.21	Са кьадар мад фейила, Исадиз маса кьве стха – Зебедеян хва 
MAT.4.22	Чпин бубани луьткве туна, Якьубни Ягья гьасятда Адан гуьгъуьна аваз фена.
MAT.4.23	Иса вири 
MAT.4.24	Суьрия тирвал Адакай ван-сес чкӀана; Адан патав гьар жуьредин азарар квайбур, 
MAT.4.25	Адан гуьгъуьна Галилейдайни 
MAT.5.1	Къвезвай кьван халкь акурла, Иса пелел хкаж хьана. Ам анал ацукьайла, Адан патав 
MAT.5.2	Ам абуруз чирвилер гуз эгечӀна:
MAT.5.3	– 
MAT.5.4	Бахтавар я шехьзавайбур, Аллагьди абуруз теселли гуда!
MAT.5.5	Бахтавар я умунбур, абуруз ирсинай чил акъатда!
MAT.5.6	Бахтавар я 
MAT.5.7	Бахтавар я регьим гвайбур, абуруз Аллагьди регьим ийида!
MAT.5.8	Бахтавар я михьи рикӀ авайбур, абуруз Аллагь аквада!
MAT.5.9	Бахтавар я ислягьвал гъизвайбур, абуруз Аллагьдин веледар лугьуда!
