MAT.1.1	Leꞌa bexa ndee bexa ngok usan gox polta ten Jesucristo, dub xa ras David no xa ras Abraham.
MAT.1.2	Leꞌa Abraham ngop Isaac, Isaac ngop Jacob, Jacob ngop Judá no stapla be wit xa. 
MAT.1.3	Judá cha ngop Fares no Zara, leꞌa xnaꞌa bexa usaleaꞌ Tamar. Fares ngop Esrom, Esrom ngop Aram, 
MAT.1.4	Aram ngop Aminadab, Aminadab ngop Naasón, Naasón ngop Salmón. 
MAT.1.5	Salmón ngop Booz, leꞌa xnaꞌa Booz usaleaꞌ Rahab. Booz ngop Obed, leꞌa xnaꞌa Obed usaleaꞌ Rut. Obed ngop Isaí, 
MAT.1.6	Isaí ngop David xa nibeꞌe, David ngop Salomón, leꞌa xnaꞌa Salomón xa ngok xagots ten Urías.
MAT.1.7	Salomón ngop Roboam, Roboam ngop Abías, Abías ngop Asa, 
MAT.1.8	Asa ngop Josafat, Josafat ngop Joram, Joram ngop Uzías. 
MAT.1.9	Uzías ngop Jotam, Jotam ngop Acaz, Acaz ngop Ezequías. 
MAT.1.10	Ezequías ngop Manasés, Manasés ngop Amón, Amón ngop Josías. 
MAT.1.11	Josías ngop Jeconías no be wit xa, zha na lajuers mbiꞌi bexa Babilonia bexa Israel.
MAT.1.12	Tsoꞌo na li ngwaꞌa bexa Israel gast Babilonia wa, leꞌa Jeconías ngop Salatiel, Salatiel ngop Zorobabel. 
MAT.1.13	Zorobabel ngop Abiud, Abiud ngop Eliaquim, Eliaquim ngop Azor. 
MAT.1.14	Azor ngop Sadoc, Sadoc ngop Aquim, Aquim ngop Eliud. 
MAT.1.15	Eliud ngop Eleazar, Eleazar ngop Matán, Matán ngop Jacob. 
MAT.1.16	Jacob ngop Kosé. Leꞌa xagots ten Kosé usaleaꞌ Marí, xa ngop Jesús, xa nak Cristo, xa mtuꞌub Dios.
MAT.1.17	Li leꞌa Abraham no gast David leꞌa ta wa dub tidaꞌ bexa. Leꞌa David no gast zha na ngwaꞌyoꞌo bexa Israel gast Babilonia wa, leꞌa zha weꞌe uyoꞌo stub stidaꞌgal bexa. No zha na ngwaꞌa bexa Babilonia no gast zha na ngol Jesucristo wa uyoꞌo stub stidaꞌgal bexa.
MAT.1.18	Lndeꞌe ngol Jesús xa nak Cristo: Leꞌa dub xagots nsaleaꞌ Marí yá msaꞌala diꞌizh uchilyaꞌano xa dub xabgiꞌi nsaleaꞌ Kosé. Parea zha biseata ikaꞌa xa Kosé, leꞌa xa nsoꞌnola dub meꞌed, leꞌa meꞌed wa meꞌed msaꞌa Espíritu ten Dios. 
MAT.1.19	Leꞌa Kosé wa mbinbeꞌe ulaꞌa xa Marí, ná leꞌa ta na wen nak xa ta weꞌe xagaꞌtsa ndiꞌizh ulaꞌa xa Marí, ndontsa naꞌanpa ido ladna Marí. 
MAT.1.20	Leꞌa zha na mbinbeꞌela Kosé li gun, leꞌa dub angel ten Dios mlundoꞌla ndoꞌ xa cuent dub ta mcheꞌa ladna xa, ndab angel ndoꞌ xa:
MAT.1.20	—Kosé xin David, lá yuꞌ ladna lu ikaꞌa lu Marí gak xagots ten lu, leꞌa meꞌed nsoꞌno Marí leꞌa meꞌed wa meꞌed msaꞌa Espíritu ten Dios. 
MAT.1.21	Leꞌa Marí gap dub meꞌed bgiꞌi, cha usaleaꞌ lu meꞌed wa Jesús, geal leꞌa meꞌed wa koꞌo be xmen Dios ndoꞌ be ke ten bexa.
MAT.1.22	Leꞌa ta wa li ngok lak ndab dub xabgiꞌi mbidiꞌizh sakndoꞌ Dios tiemp polta, ndab xa:
MAT.1.23	Blaꞌach bego, leꞌa dub xagots ben
MAT.1.23	gol ugal xabgiꞌi isoꞌno dub meꞌed.
MAT.1.23	Cha gap xa dub meꞌed bgiꞌi,
MAT.1.23	cha isaleaꞌ meꞌed Emanuel.
MAT.1.23	(Leꞌa Emanuel dub diꞌizh hebreo gab: Dios nsoꞌ wats beuna.)
MAT.1.24	Leꞌa gor uban Kosé ndoꞌ ta mcheꞌa ladna xa wa, cha mbin xa lak unibeꞌe angel ten Dios, ukaꞌa xa Marí gak xagots ten xa. 
MAT.1.25	Ná leꞌa xa naꞌanpa ugal Marí zha biseata gap Marí meꞌed ned ten xa wa. Cha msaleaꞌ Kosé meꞌed wa Jesús.
MAT.2.1	Leꞌa Jesús ngol gezh Belén ten distrit Judea, zha na nak Herodes xa nibeꞌe Judea. Weꞌe leꞌa lad nlen wizh utoꞌo pla bexa ndák, ulayaꞌ bexa gezh Jerusalén. 
MAT.2.2	Cha unabdiꞌizh bexa ndoꞌ be men, ndab bexa:
MAT.2.2	—¿Ma meꞌed ngol gak xa nibeꞌe ten bega xa judio zha? Leꞌa besa uniꞌí ulen mbeal ten xa lad nlen wizh. Ta weꞌe nseabe besa yankea besa xa.
MAT.2.3	Leꞌa Herodes nsea itea bexa ndencho Jerusalén wa ni ko lá iniꞌí xteꞌe gun gor na mbiꞌín bexa ta wa. 
MAT.2.4	Cha mchealte Herodes itea be uleꞌay nibeꞌe no be mech ten ley ten bexa judio. Cha unabdiꞌizh Herodes ndoꞌ bexa ná pa nsabndoꞌ gal Cristo xa na ndiꞌizh ga utuꞌubka Dios. 
MAT.2.5	Leꞌa bexa wa cha ukaꞌab ndab:
MAT.2.5	—Leꞌa xa wa gal gezh Belén ten Judea, lak mkeꞌa dub xa mbidiꞌizh sakndoꞌ Dios tiemp polta, ndab Dios:
MAT.2.6	Lu Belén, gezh ten Judá,
MAT.2.6	nsakka lu ndoꞌ itea be gezh ten Judá,
MAT.2.6	geal leꞌa Belén itoꞌo dub xa nibeꞌe,
MAT.2.6	xa ulaꞌach be xmen naꞌ bexa Israel.
MAT.2.7	Leꞌa Herodes cha xgaꞌach utezh bexa ndák wa, cha unabdiꞌizh Herodes ná xá wizh na ned uniꞌí bexa mbeal wa. 
MAT.2.8	Cha mtuꞌub Herodes bexa wa gezh Belén, ndab xa:
MAT.2.8	—Waꞌbe bego, cha bkwaꞌan bega pa ncho meꞌed wa. Leꞌa gor mzheal bega meꞌed, cha gidyab bega‑yá ndoꞌ naꞌ, ndontsa no naꞌ gaa sa wa, cha gankeꞌa naꞌ meꞌed.
MAT.2.9	Leꞌa gor na mbiꞌín bexa ta li ndab Herodes wa, leꞌa bexa cha utoꞌo nchaꞌbe. Leꞌa mbeal na li uniꞌí bexa lad nlen wizh wa cha nchaꞌa ned ndoꞌ bexa, cha ngwaꞌisaꞌab‑a sa ncho meꞌed wa. 
