GEN.1.1	Hapo mwanzo, Mungu aliumba mbingu na dunia.
GEN.1.2	Dunia ilikuwa bila umbo na tupu. Giza lilikuwa limefunika vilindi vya maji na roho ya Mungu ilikuwa ikitanda juu ya maji.
GEN.1.3	Mungu akasema, “Mwanga uwe.” Mwanga ukawa. 
GEN.1.4	Mungu akauona mwanga kuwa ni mwema. Kisha Mungu akautenganisha mwanga na giza, 
GEN.1.5	mwanga akauita “Mchana” na giza akaliita “Usiku.” Ikawa jioni, ikawa asubuhi; siku ya kwanza.
GEN.1.6	Mungu akasema, “Anga liwe katikati ya maji, liyatenge maji sehemu mbili.” 
GEN.1.7	Mungu akalifanya anga, akayatenga maji yaliyo juu ya anga na yale yaliyo chini ya anga hilo. Ikawa hivyo. 
GEN.1.8	Mungu akaliita anga “Mbingu.” Ikawa jioni, ikawa asubuhi; siku ya pili.
GEN.1.9	Mungu akasema, “Maji yaliyo chini ya mbingu na yakusanyike mahali pamoja, nchi kavu itokee.” Ikawa hivyo. 
GEN.1.10	Mungu akapaita mahali pakavu “Nchi” na kusanyiko la maji akaliita “Bahari.” Mungu akaona kuwa ni vyema.
GEN.1.11	Kisha Mungu akasema, “Nchi na ioteshe mimea. Mimea izaayo mbegu, na miti izaayo matunda yenye mbegu.” Ikawa hivyo. 
GEN.1.12	Basi, nchi ikaotesha mimea izaayo mbegu kwa jinsi yake, na miti izaayo matunda yenye mbegu kwa jinsi yake. Mungu akaona kuwa ni vyema. 
GEN.1.13	Ikawa jioni, ikawa asubuhi; siku ya tatu.
GEN.1.14	Mungu akasema, “Mianga na iweko angani, itenge mchana na usiku, ioneshe nyakati, majira, siku na miaka, 
GEN.1.15	na ingae angani na kuiangazia dunia.” Ikawa hivyo. 
GEN.1.16	Basi, Mungu akafanya mianga miwili mikubwa; ule mkubwa utawale mchana na ule mdogo utawale usiku; akafanya na nyota pia. 
GEN.1.17	Mungu akaiweka mianga hiyo angani iiangazie dunia, 
GEN.1.18	ipate kutawala mchana na usiku, na kuutenga mwanga na giza. Mungu akaona kuwa ni vyema. 
GEN.1.19	Ikawa jioni, ikawa asubuhi; siku ya nne.
GEN.1.20	Mungu akasema, “Maji na yatoe makundi ya viumbe hai na ndege waruke angani.” 
GEN.1.21	Basi, Mungu akaumba wanyama wakubwa sana wa baharini na aina zote za viumbe vyote hai viendavyo na kujaa majini; akaumba na aina zote za ndege wote. Mungu akaona kuwa ni vyema. 
GEN.1.22	Mungu akavibariki, akasema, “Zaeni, muongezeke, muyajaze maji ya bahari; nao ndege waongezeke katika nchi.” 
GEN.1.23	Ikawa jioni, ikawa asubuhi; siku ya tano.
GEN.1.24	Mungu akasema, “Nchi na itoe aina zote za viumbe hai, wanyama wa kufugwa, viumbe vitambaavyo na wanyama wa porini wa kila aina.” Ikawa hivyo. 
GEN.1.25	Basi, Mungu akafanya aina zote za wanyama wa porini, wanyama wa kufugwa, na viumbe vitambaavyo. Mungu akaona kuwa ni vyema.
GEN.1.26	Kisha Mungu akasema, “Tumfanye mtu kwa mfano wetu, kwa sura yetu; atawale samaki wa baharini, ndege wa angani, wanyama wa kufugwa, dunia yote na viumbe vyote vitambaavyo.” 
GEN.1.27	 Basi, Mungu akaumba mtu kwa mfano wake; naam, kwa mfano wake Mungu alimuumba. Aliwaumba mwanamume na mwanamke. 
GEN.1.28	Mungu akawabariki na kuwaambia, “Zaeni muongezeke, mkaijaze nchi na kuimiliki; muwatawale samaki wa baharini, ndege wa angani, na kila kiumbe hai kitembeacho duniani.”
GEN.1.29	Kisha Mungu akasema, “Tazama, nawapeni kila mmea duniani uzaao mbegu, na kila mti uzaao matunda yenye mbegu; mbegu zao au matunda yao yatakuwa chakula chenu. 
GEN.1.30	Nao wanyama wote duniani, ndege wote wa angani, viumbe vyote vitambaavyo, naam, kila kiumbe chenye uhai, chakula chao kitakuwa majani yote ya mimea.” Ikawa hivyo. 
GEN.1.31	Mungu akaona kila kitu alichokifanya kuwa ni chema kabisa. Ikawa jioni, ikawa asubuhi; siku ya sita.
GEN.2.1	Hivyo ndivyo mbingu na dunia zilivyokamilika pamoja na vitu vyote vilivyomo. 
GEN.2.2	Siku ya saba Mungu alimaliza kazi yake yote aliyofanya; siku hiyo ya saba Mungu akapumzika baada ya kazi yake yote aliyofanya. 
GEN.2.3	Mungu akaibariki siku ya saba na kuitakasa, kwa kuwa siku hiyo Mungu alipumzika baada ya kazi yake yote ya kuumba. 
GEN.2.4	Hivyo ndivyo mbingu na dunia zilivyoumbwa.
GEN.2.4	Siku ile Mwenyezi-Mungu
GEN.2.5	Hapakuwa na mimea juu ya nchi wala miti haikuwa imechipua kwani Mwenyezi-Mungu hakuwa ameinyeshea nchi mvua, wala hapakuwa na mtu wa kuilima. 
GEN.2.6	Hata hivyo, maji yalitoka ardhini yakainywesha ardhi yote. 
GEN.2.7	Basi, Mwenyezi-Mungu akamfanya mwanamume kwa mavumbi ya udongo, akampulizia puani pumzi ya uhai, na huyo mwanamume akawa kiumbe hai.
GEN.2.8	Kisha Mwenyezi-Mungu akapanda bustani huko Edeni, upande wa mashariki, na humo akamweka huyo mwanamume aliyemuumba. 
GEN.2.9	Mwenyezi-Mungu akaotesha kutoka ardhini kila aina ya miti mizuri izaayo matunda yafaayo kwa chakula. Katikati ya bustani hiyo kulikuwa na mti wa uhai na mti wa ujuzi wa mema na mabaya.
GEN.2.10	Kulikuwa na mto huko Edeni uliotiririka maji na kuinywesha hiyo bustani; kutoka huko mto huo uligawanyika kuwa mito minne. 
GEN.2.11	Jina la mto wa kwanza ni Pishoni; huo waizunguka nchi yote ya Hawila ambako kuna dhahabu. 
GEN.2.12	Dhahabu ya nchi hiyo ni safi kabisa. Huko pia kuna marashi yaitwayo bedola na vito viitwavyo shohamu. 
GEN.2.13	Jina la mto wa pili ni Gihoni; huo waizunguka nchi yote ya Kushi
GEN.2.14	Jina la mto wa tatu ni Tigri
GEN.2.15	Basi, Mwenyezi-Mungu akamtwaa huyo mwanamume, akamweka katika bustani ya Edeni, ailime na kuitunza. 
GEN.2.16	Mwenyezi-Mungu alimwamuru huyo mwanamume, “Waweza kula matunda ya mti wowote katika bustani; 
GEN.2.17	lakini matunda ya mti wa ujuzi wa mema na mabaya, usile, maana siku utakapokula matunda ya mti huo, hakika utakufa.”
GEN.2.18	Kisha Mwenyezi-Mungu akasema, “Si vizuri huyu mwanamume kuwa peke yake. Nitamfanyia msaidizi wa kumfaa.” 
GEN.2.19	Basi, kutoka katika udongo, Mwenyezi-Mungu akaumba kila mnyama wa porini na kila ndege wa angani, halafu akamletea huyo mwanamume aone atawapa majina gani; na majina aliyowapa viumbe hao, yakawa ndio majina yao. 
GEN.2.20	Basi, huyo mwanamume akawapa majina wanyama wote wa kufugwa, wanyama wa porini na ndege wote wa angani. Lakini hakupatikana msaidizi yeyote wa kumfaa.
GEN.2.21	Basi, Mwenyezi-Mungu akamletea huyo mwanamume usingizi mzito, na alipokuwa usingizini, akatwaa ubavu wake mmoja na kupafunika mahali pale kwa nyama. 
GEN.2.22	Na huo ubavu Mwenyezi-Mungu alioutoa kwa yule mwanamume akaufanya kuwa mwanamke, akamleta kwa huyo mwanamume. 
GEN.2.23	Ndipo huyo mwanamume akasema,
GEN.2.23	“Naam! Huyu ni mfupa kutoka mifupa yangu,
GEN.2.23	na nyama kutoka nyama yangu.
GEN.2.23	Huyu ataitwa ‘Mwanamke
GEN.2.23	kwa sababu ametolewa katika mwanamume.”
GEN.2.24	Ndiyo maana mwanamume humwacha baba yake na mama yake, akaambatana na mkewe, nao wawili huwa mwili mmoja.
GEN.2.25	Huyo mwanamume na mkewe wote walikuwa uchi, lakini hawakuona haya.
GEN.3.1	Nyoka alikuwa mwerevu kuliko wanyama wote wa porini walioumbwa na Mwenyezi-Mungu. Basi, nyoka akamwambia huyo mwanamke, “Ati Mungu alisema msile matunda ya mti wowote bustanini?” 
GEN.3.2	Mwanamke akamjibu huyo nyoka, “Twaweza kula matunda ya mti wowote bustanini; 
GEN.3.3	lakini Mungu alisema, ‘Msile matunda ya mti ulio katikati ya bustani, wala msiuguse, msije mkafa.’” 
GEN.3.4	Nyoka akamwambia mwanamke, “Hamtakufa! 
GEN.3.5	Mungu alisema hivyo kwa sababu anajua kwamba mkila matunda ya mti huo mtafumbuliwa macho, nanyi mtakuwa kama Mungu, mkijua mema na mabaya.”
GEN.3.6	Basi, mwanamke alipoona kuwa mti huo ni mzuri kwa chakula, wavutia macho, na kwamba wafaa kwa kupata hekima, akachuma tunda lake, akala, akampa na mumewe, naye pia akala. 
GEN.3.7	Mara macho yao yakafumbuliwa, wakatambua kwamba wako uchi; hivyo wakajishonea majani ya mtini, wakajifanyia mavazi ya kiunoni.
GEN.3.8	Jioni, wakati wa kupunga upepo, huyo mwanamume na mkewe wakasikia hatua za Mwenyezi-Mungu akitembea bustanini, nao wakajificha kati ya miti ya bustani, Mwenyezi-Mungu asipate kuwaona. 
GEN.3.9	Lakini Mwenyezi-Mungu akamwita huyo mwanamume, “Uko wapi?” 
GEN.3.10	Naye akamjibu, “Nimesikia hatua zako bustanini, nikaogopa na kujificha, maana nilikuwa uchi.” 
GEN.3.11	Mwenyezi-Mungu akamwuliza, “Nani aliyekuambia kwamba uko uchi? Je, umekula tunda la mti nililokuamuru usile?” 
GEN.3.12	Huyo mwanamume akajibu, “Mwanamke uliyenipa akae pamoja nami ndiye aliyenipa tunda la mti huo, nami nikala.”
GEN.3.13	Hapo Mwenyezi-Mungu akamwuliza huyo mwanamke, “Umefanya nini wewe?” Mwanamke akamjibu, “Nyoka alinidanganya, nami nikala.”
GEN.3.14	Kisha Mwenyezi-Mungu akamwambia nyoka,
GEN.3.14	“Kwa kuwa umefanya hivyo,
