MAT.1.1	Hembu omukanda womana owoiheombwale ya
MAT.1.2	Abraham wa yumuka Isak, Isak wa yumuka Jakob, Jakob wa yumuka Juda novanitje novakulwe ovalumentu. 
MAT.1.3	Iya Juda wa yumuka Fares naSera, we ve yumuka naTamar, Fares wa yumuka Hesron, Hesron wa yumuka Aram. 
MAT.1.4	Iya Aram wa yumuka Aminadab, Aminadab wa yumuka Naason, Naason wa yumuka Salmon. 
MAT.1.5	Iya Salmon wa yumuka Boas, we mu yumuka naRahab, Boas wa yumuka Obed, we mu yumuka naRut, Obed wa yumuka Isai.
MAT.1.6	Iya Isai wa yumuka ohamba David. Iya David wa yumuka Salomo, we mu yumuka nomukadhintu waUria. 
MAT.1.7	Iya Salomo wa yumuka Rehabeam, Rehabeam wa yumuka Abia, Abia wa yumuka Asa. 
MAT.1.8	Iya Asa wa yumuka Josafat, Josafat wa yumuka Joram, Joram wa yumuka Usia. 
MAT.1.9	Iya Usia wa yumuka Jotam, Jotam wa yumuka Ahas, Ahas wa yumuka Hiskia. 
MAT.1.10	Iya Hiskia wa yumuka Manasse, Manasse wa yumuka Amos, Amos wa yumuka Josia. 
MAT.1.11	Iya Josia wa yumuka Jekonia novanitje potembu yokutwalwa moupika koBabilon.
MAT.1.12	Iya kon̯ima yokutwalwa moupika koBabilon, Jekonia wa yumuka Salatiel, Salatiel wa yumuka Serubabel. 
MAT.1.13	Iya Serubabel wa yumuka Abiud, Abiud wa yumuka Eliakim, Eliakim wa yumuka Asor. 
MAT.1.14	Iya Asor wa yumuka Sadok, Sadok wa yumuka Akim, Akim wa yumuka Eliud. 
MAT.1.15	Iya Eliud wa yumuka Eleasar, Eleasar wa yumuka Matan, Matan wa yumuka Jakob. 
MAT.1.16	Iya Jakob wa yumuka Josef, omulumentu waMaria, Maria wa yumuka Jesus nguu tiwa o
MAT.1.17	Iya omakula aehe okudha kuAbraham katee kuDavid, omulongo naane, okudha uke kuDavid katee hiva twalwa moupika koBabilon, omulongo naane, okudha uke hiva twalwa moupika koBabilon katee kuMessias, omulongo naane.
MAT.1.18	Okuyumukwa kwa
MAT.1.19	Iya omulumentu we Josef, ngwaa li omulumentu omuvyuuki, hiaa li ahama hala oku mu t̯itha ohon̯i, wa soka oku mu yala meholamo. 
MAT.1.20	Iya Josef tainkolo wa li ama soko nyahi, omweengeli wa
MAT.1.21	Iya Maria ma ka yumuka omudhantu, mo ke mu luka Jesus, mena lyokutya ye ma ka hupitha ovantu ve modhonkali dhawo.”
MAT.1.22	Iya hehi atjihe tja ningwa, opo tji hwithilwe po soka Muhona hiaa popitha 
MAT.1.23	“Taa tuutuu, 
MAT.1.24	Iya Josef hiaa imuka po molupot̯i, wa ninga ngahi a heelwa komweengeli waMuhona. Iya wa ka eta omukadhintu we. 
MAT.1.25	Iya ye ke mu t̯in̯ine
MAT.2.1	Iya 
MAT.2.2	hava tyaa: “Ohamba yOvajuda ndjaa yumukwa napano i li pi? Onyothi ye twe i mono hiya tumbu koutjilo, twe ya okuliyongamena kuye.”
MAT.2.3	Ohamba Herodes hiee tji tee, wa li aa tila, nOvajerusalema wo avehe va li ava tila. 
MAT.2.4	Wa ongedha 
MAT.2.5	Iya ve mu heela hava tyaa: “Ma yumukilwa moBetlehem motjilongo tjaJudea ngahi tja sonekwa k
MAT.2.6	‘Naove wo Betlehem motjilongo tjaJuda
MAT.2.6	haove otjinunu mokati kovatumini womoJuda,
MAT.2.6	mena lyokutya mwoove mamu dhi omutumini
MAT.2.6	nguma ka litha ovantu vandje Ovaisraeli.’ ”
MAT.2.7	Iya Herodes wa ithana ovanongo meholamo, he ve pula nawanawa okutya onyothi ndjoka ye ya potembu patji. 
MAT.2.8	Iya we ve tuma koBetlehem, ha tyaa: “Enden̯i mu ka taendhe ondele, iya andaa mwe mu mono, indjen̯i mu ntjeele, naame wo ndji ye, ndji ke liyongamene kuye.”
MAT.2.9	Ovanongo wokoutjilo hiva tee odhondaka ndhoka dhohamba Herodes, va ya. Onyothi ndjoka ndjiva mona koutjilo, ye ve kambulila komeho katee ye thiki kombanda yonganda moka mumwa li ondele, tjau hai kulama. 
MAT.2.10	Iya hiva mono onyothi, va li ave hulukwa unene nodhonkono. 
MAT.2.11	Va ya monganda, hava mono mo ondele naina Maria. Va twika odhongolo, have liyongamene kondele. Va itha mo ovimbundu vyawo, have mu pa otjingoldo novidhimba oviwa n
MAT.2.12	Kalunga hiee ve londola mondjodhi okutya ahamava tjuna uke kuHerodes, va ya nondjila imo yokuya kotjilongo tjawo.
MAT.2.13	Ovanongo wokoutjilo
MAT.2.14	Josef wa kulama, ha itha ondele naina out̯iku, ha i koEgipiti. 
MAT.2.15	Oko a kala katee ket̯o lyaHerodes, opo odhondaka dhi hwithilwe po, Muhona ndhaa popya okupitila motjinyo tj
MAT.2.17	Iya odhondaka dh
MAT.2.18	“Ondaka mai teeka moRama,
MAT.2.18	otjililo otjinene tjomukoti.
MAT.2.18	Rakel ma lili odhondele dhe,
MAT.2.18	ye kaa hala okunyimithwa,
MAT.2.18	mena lyokutya odhondele dhe
MAT.2.18	kave po uke.”
MAT.2.19	Iya 
MAT.2.20	ha tyaa: “Kulama, itha ondele naina, enda kotjilongo tjaIsrael, mena lyokutya mbenya mbava li amava hala omwenyo wondele, va t̯a.” 
MAT.2.21	Iya wa kulama, ha itha ondele naina, ha i kotjilongo tjaIsrael.
MAT.2.22	Iya Josef hiaa tee okutya Arkelaus oye a vyaala Judea poluvedhe lwaihe Herodes, wa li ama tila okuya ko. Wa ya kotjilongo tjaGalilea ngahi a londolwa kuKalunga mondjodhi. 
MAT.2.23	We ya okukala mondolopa ndjii tiwa oNasaret, hitja popiwa k
MAT.3.1	Pomatango ngenya Johannes Omutjatji we ya, ha teethele mokuti kwaJudea 
MAT.3.2	ha tyaa: “Liteyululen̯i, mena lyokutya otjilongo tjeulu tje ya popedhi.”
MAT.3.3	Johannes oye e li ye nawanawa ngwaa popiwa k
MAT.3.3	“Ondaka yomuwololoki mokuti mai tyaa:
MAT.3.3	‘Undapelen̯i 
MAT.3.3	mu vyuukililithilen̯i ovilila!’ ”
MAT.3.4	Iya Johannes wa dhalele omudhalo mbwaa undapwa nomaenya 
MAT.3.5	Iya okutya ovantu womoJerusalem nowomoulaanganda auhe waJudea nowomoulongo auhe waJordan, va ya kuJohannes, 
MAT.3.6	wo hava tjatjwa kuye momulonga waJordan, hiva hipulula odhonkali dhawo.
MAT.3.7	Iya Johannes hiaa mono 
