MAT.1.1	Liáni áabai lista nashínaa náa'a Jesucristo wérrinaimica, rey David cúuleemi ya Abrahám.
MAT.1.2	Abrahámcala Isaac sálijinaa,
MAT.1.2	Isaac Jacob sálijinaa,
MAT.1.2	Jacob Judá sálijinaa ya náa'a libécanata náajcha náa'a líshiibimica.
MAT.1.3	Judá Fares ya Zérah sálijinaa, natúwa nárra Tamarca.
MAT.1.3	Fares Esrom sálijinaa,
MAT.1.3	Esrom Arám sálijinaa.
MAT.1.4	Arám Aminadab sálijinaa,
MAT.1.4	Aminadab Nahasón sálijinaa
MAT.1.4	ya Nahasón Salmón sálijinaa.
MAT.1.5	Salmón Booz sálijinaa, rucúulee ruá'a Rahab;
MAT.1.5	Booz Obed sálijinaa, rucúulee ruá'a Rut.
MAT.1.5	Obed Isaí sálijinaa.
MAT.1.6	Isaí rey David sálijinaa.
MAT.1.6	Rey David Salomón sálijinaa, ne ruá'a Salomón túwaca ruyáwa líinumi liá'a Uríasca.
MAT.1.7	Salomón Roboam sálijinaa,
MAT.1.7	Roboam Abías sálijinaa,
MAT.1.7	ya Abías Ása sálijinaa.
MAT.1.8	Ása Josafat sálijinaa
MAT.1.8	ya Josafat Joram sálijinaa
MAT.1.8	ya Joram Uzías wérrimi.
MAT.1.9	Uzías Jotam sálijinaa náimi,
MAT.1.9	Jotam Acaz sálijinaa
MAT.1.9	ya Acaz Ezequías sálijinaa.
MAT.1.10	Ezequías Manasés sálijinaa,
MAT.1.10	Manasés Amón sálijinaa
MAT.1.10	ya Amón Josías sálijinaa.
MAT.1.11	Josías Jeconías sálijinaa ya náa'a léenajinaibimi, liyáali éerrimi natée'inaami israelítabini preso Babiloniala.
MAT.1.12	Liáwinaami liá'a presocaica, Jeconías Salatiel sálijinaa ya Salatiel Zorobabel sálijinaa.
MAT.1.13	Zorobabel Abihud sálijinaa,
MAT.1.13	Abihud Eliaquim sálijinaa
MAT.1.13	ya Eliaquim Azor sálijinaa.
