MAT.1.1	Mapalivaisije Jesucristo pijasalinaivimi pelivaisi. Jesucristo rabaja Davidpijinë pemomoxiyajuvënënë. Davidpijinë pijinia Abrahampijinë pemomoxiyajuvënënë. 
MAT.1.2	Copiaya Abrahampijinëmi xaina pexënato. Pevënë Isaac. Isaacpijinë juya pexënato xaina. Pevënë Jacob. Jacobpijinë juya pexi xaina. Pexiyajuvënënë pevënë Judá. Judápijinë pematapijinëbeje, pejuyapijivi ata, xaina. 
MAT.1.3	Judápijinë juya pexënatobeje xaina. Itsanë pevënë Fares. Itsanë Zara. Bajaraponëmibeje penapijiva pevënë Tamar. Farespijinë juya pexënato xaina. Pevënë Esrom. Esrompijinë juya pexënato xaina. Pevënë Aram. 
MAT.1.4	Arampijinë juya pexënato xaina. Pevënë Aminadab. Aminadabpijinë juya pexënato xaina. Pevënë Naasón. Naasónpijinë juya pexënato xaina. Pevënë Salmón. 
MAT.1.5	Salmónpijinë juya pexënato xaina. Pevënë Booz. Boozpijinë penapijiva pevënë Rahab. Boozpijinë juya pexënato xaina. Pevënë Obed. Obedpijinë penapijiva pevënë Rut. Obedpijinë juya pexënato xaina. Pevënë Isaí. 
MAT.1.6	Isaípijinë juya pexënato xaina. Pevënë David. Bajaraponëmi nacuaevetsinëmi. Davidpijinë yacajërëta Uríaspijinë pijavami. Nexata bajarapajivibeje juya pexënato xainabeje. Pevënë Salomón. 
MAT.1.7	Salomónpijinë juya pexënato xaina. Pevënë Roboam. Roboampijinë juya pexënato xaina. Pevënë Abías. Abíaspijinë juya pexënato xaina. Pevënë Asa. 
MAT.1.8	Asapijinë juya pexënato xaina. Pevënë Josafat. Josafatpijinë juya pexënato xaina. Pevënë Joram. Jorampijinë juya pexënato xaina. Pevënë Uzías. 
MAT.1.9	Uzíaspijinë juya pexënato xaina. Pevënë Jotam. Jotampijinë juya pexënato xaina. Pevënë Acaz. Acazpijinë juya pexënato xaina. Pevënë Ezequías. 
MAT.1.10	Ezequíaspijinë juya pexënato xaina. Pevënë Manasés. Manaséspijinë juya pexënato xaina. Pevënë Amón. Amónpijinë juya pexënato xaina. Pevënë Josías. 
MAT.1.11	Josíaspijinë juya pexi xaina. Pexiyajuvënënë pevënë Jeconías. Jeconías pematapijinë, pejuyapijivi ata, xaina. Pamatacabi Israel nacuapijivi cobecëbiaya caponatsi Babilonia nacuayabelia, bajarapamatacabi naexana Jeconíaspijinë.
MAT.1.12	Bajaraxuacujinae Jeconíaspijinë juya pexënato xaina. Pevënë Salatiel. Salatielpijinë juya pexënato xaina. Pevënë Zorobabel. 
MAT.1.13	Zorobabelpijinë juya pexënato xaina. Pevënë Abiud. Abiudpijinë juya pexënato xaina. Pevënë Eliaquim. Eliaquimpijinë juya pexënato xaina. Pevënë Azor. 
MAT.1.14	Azorpijinë juya pexënato xaina. Pevënë Sadoc. Sadocpijinë juya pexënato xaina. Pevënë Aquim. Aquimpijinë juya pexënato xaina. Pevënë Eliud. 
MAT.1.15	Eliudpijinë juya pexënato xaina. Pevënë Eleazar. Eleazarpijinë juya pexënato xaina. Pevënë Matán. Matánpijinë juya pexënato xaina. Pevënë Jacob. 
MAT.1.16	Jacobpijinë juya pexënato xaina. Pevënë José. Bajaraponëmi María pamona. Bajarapovami Jesús pena, ponë yabara: “Cristo, ponë Dioso athëbëvetsica itorobatsi jivi pecapanepaenexa,” jaitsi.
MAT.1.17	Nexata Abrahampijinëmita petaxuxuabicujinae jivi penaexanaponaejava, trecenëta naexana Davidpijinë. Bajaraxuacujinae icatsia Davidpijinëmita petaxuxuabicujinae jivi penaexanaponaejava, trecenëta icatsia naexana Jeconíaspijinë. Pamatacabi Israel nacuapijivi cobecëbiaya caponatsi Babilonia nacuayabelia, naexana Jeconíaspijinë. Bajaraxuacujinae icatsia Jeconíaspijinëmita petaxuxuabicujinae jivi penaexanaponaejava, trecenë pijavata naexana Jesucristo jane baja, ponë Dioso athëbëvetsica itoroba jivi pecapanepaenexa.
MAT.1.18	Jesucristo itsa naexana mapanacuataje, naexana mapacueniaje. Copiata Josébeje Maríabeje najumejaitabeje penapitsinexabeje. Nexata baja María jejai Josébeje penapitsinexabeje. Bajaraxuacujinae penapitsivajënaeyabeje, María nayapëtane penacoxitsijava Espíritu Santo pejamatabëcueneta. 
MAT.1.19	José, María jane baja pamonanexa, bitso penajamatabëcuenereviabinë. Bajaraxuata José apo jitsipae daxitajivi pitabarata pevajunupaebijava María penacoxitsijava. Nexata picani José bëpënëa jamatabëjumai tsaponaponae:
MAT.1.19	—Itsanëjavabelia María nacoxita. Nexata ajumejibia copatsianajë. Apo pitsinë baja tsane María tajavanexa, jamatabëjai picani bëpënëa tsaponaponae José.
MAT.1.20	Pamatacabi abaxë José bajarapacuenia najamatabëxainaponapona, majitsinaebota José tsitanaitajëtatsi Dioso pitorobinëtsica, ángel. Nexata ángel jumaitsi Joséjavabelia:
