MAT.1.1	A Yesu Kɩrɩsɩto sãakpãmɩne nɩ nyã, wʊ yin a Nãa David nɩ Abraham bal pɔ, 
MAT.1.2	Abraham lɛ ɩ Isaakɩ sãa, ka Isaakɩ mɩ ɩ Jekɔb sãa, ka Jekɔb mɩ dɔ̃ɔ ɩ Juda sãa nɩ a wʊ yɛɛr, 
MAT.1.3	ka Juda mɩ ɩ Perejɩ nɩ Jera sãa, ka ba ma di Tamar, nɩ Perejɩ na ɩ Hejoron sãa, ka Hejoron mɩ ɩ Aram sãa, 
MAT.1.4	ka Aram mɩ ɩ Aminadab sãa, ka Aminadab mɩ ɩ Nason sãa, ka Nason mɩ ɩ Salmon sãa, 
MAT.1.5	ka Salmon mɩ ɩ Boajɩ sãa, ka a wʊ ma di Worahab, ka Boajɩ mɩ ɩ Obed sãa, a wʊ ma lɛ Wʊruf, ka Obed mɩ ɩ Jesɩ sãa, 
MAT.1.6	ka Jesɩ mɩ ɩ a Nãa David sãa. David lɛ ɩ a Solomon sãa, ka a wʊ ma dɔ̃ɔ ɩ a Yurɩya pɔɔ. 
MAT.1.7	Ka a Solomon mɩ ɩ Wʊrehobom sãa, ka Wʊrehobom mɩ ɩ Abija sãa, ka Abija mɩ ɩ Asa sãa, 
MAT.1.8	ka Asa mɩ ɩ Jehosafatɩ sãa, ka a Jehosafatɩ mɩ ɩ Jehoram sãa, ka Jehoram mɩ ɩ Yujiya sãa, 
MAT.1.9	ka Yujiya mɩ ɩ Jotam sãa, ka Jotam mɩ ɩ Ahajɩ sãa, ka Ahajɩ mɩ ɩ Hɛjɩkiya sãa, 
MAT.1.10	ka Hɛjɩkiya mɩ ɩ Manasɛ sãa, ka Manasɛ mɩ ɩ Amɔn sãa, ka Amɔn mɩ ɩ Josiya sãa, 
MAT.1.11	ka Josiya mɩ ɩ Jekoniya sãa, nɩ a wʊ yɛɛr a sɔ̃ɔ 'lɔ ban bar a ba tẽe tɩ chen tɩ kpɩɛrɛ Babilon tẽe. 
MAT.1.12	Ban wa tɩ be a Babilon tẽe pɔ, Jekoniya lɛ ɩ a Sealtɩɛl sãa, ka Sealtɩɛl ɩ Jerubabel sãa, 
MAT.1.13	ka Jerubabel mɩ ɩ Abiud sãa, ka Abiud mɩ ɩ Eliyakim sãa, ka Eliyakim mɩ ɩ Ajor sãa, 
MAT.1.14	ka Ajor mɩ ɩ Jadɔk sãa, ka Jadɔk mɩ ɩ Achɩm sãa, ka Achɩm mɩ ɩ Ɛliud sãa, 
MAT.1.15	ka Ɛliud mɩ ɩ Elɩyajar sãa, ka Elɩyajar mɩ ɩ Matan sãa, ka Matan mɩ ɩ Jekɔb sãa, 
MAT.1.16	Jekɔb mɩ lɛ ɩ a Josefʊ sãa na ɩ Mɛɛr sɩrɛ 'lɔ lɛ ɩ a Yesu ma, a Yesu nyã lɛ ɩ a Nɩ-iraa.
