GEN.1.1	I cakirok Were ocweyo polo gi piny. 
GEN.1.2	Piny oyido ongoye gi cal aka oyido nitie nono. Mudho oyido oumo wakawaka madongo, aka Cuny pa Were oyido waya wi pi.
GEN.1.3	Kenyo Were owodho or ni, “Weyi kenyo wobedi lero.” Aka lero omenyere. 
GEN.1.4	Aka Were oneno ni lero ber, ameno opoko lero kwoŋ mudho. 
GEN.1.5	Were olwoŋo lero ni odieceŋ, aka mudho ni wor. Piny oyutho to piny yawere; meno obedo ndelo marapena.
GEN.1.7	Ameno Were ocweyo thwolo m'opoko pi ma pendi lowo gi pi ma wiye. 
GEN.1.8	Were olwoŋo thwolo no ni pondeponde. Piny oyutho to piny yawere; meno obedo ndelo mar'ario.
GEN.1.9	Kenyo Were owaco ni, “Weyi pi ma pendi polo wocokere kanyacel i kabedo acel, aka lowo m'othwo wonen.” Aka obedo ameno. 
GEN.1.10	Were olwoŋo lowo m'othwo ni piny, aka pi m'ocokere kanyacel ni nam. Were oneno ni oyido ber. 
GEN.1.11	Were owaco ni, “Weyi piny wonywol dudi, ma nyak nyinge gi ma nyak olemo.” Aka obedo ameno. 
GEN.1.12	Piny onywolo dudi nger gi nger, aka Were oneno ni oyido ber. 
GEN.1.13	Piny oyutho to piny yawere, meno obedo ndelo mar'adek.
GEN.1.14	Were owaco ni, “Weyi talin wobedi i pondeponde ma poko odieceŋ gi wor; aka weyi jowobedi ma nyutho ndir, ndelo gi oro. 
GEN.1.15	Weyi jowoliel i pondeponde ma miyo piny lero.” Aka obedo ameno. 
GEN.1.16	Ameno Were ocweyo talin ario madongo. Madwoŋ mere dhumo odieceŋ, aka mathin mere dhumo wor; go ocweyo micalin bende. 
GEN.1.17	Aka Were oketho jo i pondeponde miyo piny lero, 
GEN.1.18	dhumo odieceŋ gi wor, gi poko lero kwoŋ mudho. Aka Were oneno ni oyido ber. 
GEN.1.19	Piny oyutho to piny yawere, meno obedo ndelo mar'aŋwen.
GEN.1.20	Were owaco ni, “Weyi pi wonywol cwec ma nigi kwo, aka weyi koyo wopoŋ gi winyin.” 
