MAT.1.1	In se tocayomej de itajhuehuentzitzihuan Jesucristo yejhuan teicniu itech David niman Abraham. 
MAT.1.2	Abraham tajtli catca itech Isaac,
MAT.1.2	niman Isaac tajtli catca itech Jacob,
MAT.1.2	niman Jacob tajtli catca intech Judá
MAT.1.2	niman icnihuan Judá.
MAT.1.3	Judá tajtli catca intech Fares niman Zara,
MAT.1.3	niman innan Fares niman Zara itoca catca
MAT.1.3	Tamar.
MAT.1.3	Fares tajtli catca itech Esrom,
MAT.1.3	niman Esrom tajtli catca itech Aram.
MAT.1.4	Aram tajtli catca itech Aminadab,
MAT.1.4	niman Aminadab tajtli catca itech Naasón,
MAT.1.4	niman Naasón tajtli catca itech Salmón.
MAT.1.5	Salmón tajtli catca itech Booz,
MAT.1.5	niman inan Booz itoca catca Rahab.
MAT.1.5	Booz tajtli catca itech Obed,
MAT.1.5	niman inan Obed itoca catca Rut.
MAT.1.5	Obed tajtli catca itech Isaí,
MAT.1.6	niman Isaí tajtli catca itech rey David.
MAT.1.6	Rey David tajtli catca itech Salomón,
MAT.1.6	niman inan Salomón cahuajli catca itech
MAT.1.6	Urías.
MAT.1.7	Salomón tajtli catca itech Roboam,
MAT.1.7	niman Roboam tajtli catca itech Abías,
MAT.1.7	niman Abías tajtli catca itech Asa.
MAT.1.8	Asa tajtli catca itech Josafat,
MAT.1.8	niman Josafat tajtli catca itech Joram,
MAT.1.8	niman Joram tajtli catca itech Uzías.
MAT.1.9	Uzías tajtli catca itech Jotam,
MAT.1.9	niman Jotam tajtli catca itech Acaz,
MAT.1.9	niman Acaz tajtli catca itech Ezequías.
MAT.1.10	Ezequías tajtli catca itech Manasés,
MAT.1.10	niman Manasés tajtli catca itech Amón,
MAT.1.10	niman Amón tajtli catca itech Josías.
MAT.1.11	Josías tajtli catca intech Jeconías
MAT.1.11	niman icnihuan. Niman yejhuamej nemiyaj
MAT.1.11	ipan on tonaltin ijcuac on hebreos
MAT.1.11	oquimajsiquej niman oquintzacuatoj ne
MAT.1.11	ipan on país itoca Babilonia.
MAT.1.12	Ijcuac on hebreos yoquintzacuatoj ne ipan
MAT.1.12	on país itoca Babilonia,
MAT.1.12	Jeconías onochiu tajtli itech Salatiel,
MAT.1.12	niman Salatiel onochiu tajtli itech
MAT.1.12	Zorobabel.
MAT.1.13	Zorobabel tajtli catca itech Abiud,
MAT.1.13	niman Abiud tajtli catca itech Eliaquim,
MAT.1.13	niman Eliaquim tajtli catca itech Azor.
MAT.1.14	Azor tajtli catca itech Sadoc,
MAT.1.14	niman Sadoc tajtli catca itech Aquim,
MAT.1.14	niman Aquim tajtli catca itech Eliud.
MAT.1.15	Eliud tajtli catca itech Eleazar,
MAT.1.15	niman Eleazar tajtli catca itech Matán,
MAT.1.15	niman Matán tajtli catca itech Jacob.
MAT.1.16	Jacob tajtli catca itech José yejhuan
MAT.1.16	ihuehuentzin catca María,
MAT.1.16	niman María nantli catca itech Jesús.
MAT.1.16	Yejhua no itoca Cristo yejhuan
MAT.1.16	quijtosnequi on yejhuan Dios quitlalia
MAT.1.16	para tlamandaros.
MAT.1.17	Yejhua ica, tej, Abraham hasta David, onochiu majtlactli huan nahui itajhuehuentzitzihuan Cristo. Niman David hasta on tonaltin ijcuac on hebreos oquimajsiquej niman oquintzacuatoj ne Babilonia, no onochiu majtlactli huan nahui itajhuehuentzitzihuan Cristo. Niman desde on tonaltin ijcuac on hebreos oquimajsiquej niman oquintzacuatoj ne Babilonia hasta onen Cristo, no ijqui onochiu majtlactli huan nahui itajhuehuentzitzihuan Cristo.
MAT.1.18	Ijquin otlacat Jesucristo. María, on inan, yoquitlalijca compromiso para nonamictis ihuan José. Pero ijcuac xe san secan nemij, yejhua oquimat ica yocan se conetzintli. On conetzintli quitlacatilis ipampa ipoder on Espíritu Santo. 
MAT.1.19	José, on yejhuan más saquin
MAT.1.20	Niman chica yejhua ijquin quinemiliaya, se ilhuicactequitquetl
MAT.1.20	―José, huejca teixhuiu
MAT.1.21	María quitlacatilis se conetzintli, niman tictocayotis Jesús pampa yejhua quinmaquixtis ican intlajtlacolhuan on yejhuan quineltocasquej.
MAT.1.22	Nochi yejhua in onochiu para otenquisquej on tlen toTeco oquijtoca itechcopa on tiotlajtojquetl. 
MAT.1.23	Yejhua oquijtoj:
MAT.1.23	Sen ichpochtli yejhuan xe yacaj tlacatl quinixmachtia canas iconetzin, niman quitlacatilis se oquichconetl. Niman on oquichconetl itoca yes Emanuel. Emanuel quijtosnequi: Dios tohuan nemi.
MAT.1.24	Ijcuac José otlachix, ihuan ononamictij María quen on ilhuicactequitquetl yejhuan toTeco ocuajtitlan oquinahuatij. 
MAT.1.25	Pero José ihuan María xnemiyaj quen on yejhuan yononamictijquej masqui ihuan nemiya, yej hasta ijcuac otlacat on conetzintli. Niman ijcuac otlacat on conetzintli, José oquitocayotij Jesús.
MAT.2.1	Ijcuac Herodes rey catca, Jesús otlacat ne ipan on pueblo itoca Belén yejhuan oncaj ne Judea. Niman más saquin
MAT.2.2	Yejhuamej otlajtlanquej:
MAT.2.2	―¿Canon nemi inrey on hebreos yejhuan quemach otlacat? Tej, desde ne ipan topaís yejhuan oncaj ne iquisayan on tonajli, otiquitaquej on sitlalin yejhuan otechititij ica yotlacat on rey. Yejhua ica otihualajquej para ticmahuistilisquej.
MAT.2.3	Ijcuac on rey Herodes ijcon ocac, sanoyej
MAT.2.4	Quemaj on rey oquinnotz nochimej on tlayecanquej tiopixquej niman on yejhuan quinmachtiayaj on tlacamej ica on tlanahuatiltin, niman oquintlajtoltij canon tlacatis yejhua on Cristo yejhuan quitenehuaj Dios quitlapejpenia para tlamandaros. 
MAT.2.5	Yejhuamej oquijlijquej:
MAT.2.5	―Tlacatis ipan on pueblo itoca Belén yejhuan oncaj ne Judea, pampa on tiotlajtojquetl ijquin oquijcuiloj:
MAT.2.6	Tejhua Belén yejhuan tioncaj ne ipan iregión Judá xtejhua más tipitentzin intzajlan on ocsequimej huejhueyican niman pueblos, pampa motech Belén quisas se tlayecanquetl yejhuan quinyecanas on noconehuan hebreos.
MAT.2.7	Quemaj Herodes oquimichtacanotz on magos, niman oquintlajtoltij tlen tonajli ones on sitlalin. 
MAT.2.8	Quemaj oquintitlan ne Belén ica in tlanahuatijli, oquimijlij:
MAT.2.8	―Xhuiyan ne Belén, niman cuajli xtejtemocan on conetzintli. Ijcuac nenquinextisquej, xnechijlijtiquisacan para nejhua no nias niconmahuistilis.
MAT.2.9	Ijcuac ocacquej on itlanahuatil on rey, on magos oyajquej. Niman on sitlalin yejhuan oquitaquej ne ipan impaís yejhuan oncaj ne iquisayan on tonajli yaya inyecapan, niman onoteltito ne campa nemiya on conetzintli. 
MAT.2.10	Ijcuac on magos oquitaquej onoteltij on sitlalin, sanoyej ocuelitaquej niman sanoyej opaquilistlamatquej. 
MAT.2.11	Yejhuamej ocalaquitoj ne ipan on cajli, niman oquitaquej on conetzintli ihuan María on inan. Quemaj onotlacuenquetzquej ixpan on conetzintli niman oquimahuistilijquej. Quemaj oquitlapojquej on incaja niman oquitlayocolijquej copajli yejhuan tlatla, incienso niman mirra. 
MAT.2.12	Ijcuac ye quisasquiaj para yasquej ne impaís, Dios oquinnahuatij ipan se temictli ma ca nocuepacan itech on rey Herodes. Yejhua ica on magos onocuepquej ne impaís ipan ocse ojtli.
MAT.2.13	Ijcuac yoyajquej on magos, se ilhuicactequitquetl
MAT.2.13	―Xmoquetztehua niman xcuica on conetzintli niman inan ne Egipto. Ompa xnemican hasta ijcuac nimitzijlis ica cuajli para nenquisasquej, pampa Herodes quitejtemos on conetzintli para quimictis.
