GEN.1.1	Haa fuɗɗam Allah tagi asamanji e lesdi. 
GEN.1.2	Lesdi ɗonno cookri, walaano koo ɗume dow maari, nyiɓre suddino ilamji lugguɗi. Ruuhu Allah ɗonno yiilo dow ndiyamji.
GEN.1.3	Nden Allah wi'i: “Annoora laato
GEN.1.4	Allah yi'i ka wooɗi. Nden o senndi hakkunde annoora e nyiɓre. 
GEN.1.5	O inndi annoora nyalawma, nyiɓre boo o inndi ɗum jemma. Hiiri, weeti, ɗum nyalaade aranndeere.
GEN.1.6	Allah wi'i: “Senndoode laato caka ndiyamji, ngam senndugo hakkunde maaji.” Non ɗum laatori. 
GEN.1.7	Allah waɗi senndoode maajum. O senndiri ndiyamji les bee ndiyamji dow. 
GEN.1.8	Allah inndi senndoode maajum asama. Hiiri, weeti, ɗum nyalaade ɗiɗawre
GEN.1.9	Allah wi'i: “Ndiyam les asama mooɓo nokkuure woore, haa joorɗum waŋga.” Non ɗum laatori. 
GEN.1.10	Allah inndi joorɗum lesdi, mooɓorde ndiyamji boo, o inndi ɗum mbeela. Allah laari ɗum wooɗi. 
GEN.1.11	Nden o wi'i: “Lesdi fuɗna fuɗŋgooji, waato huɗo marko aawdi e haakooji marɗi aawdi, leɗɗe dimooje ɓiɓɓe bee aawdi nder muuɗum'en dow lesdi, koo ɗume fuu fodde asli muuɗum.” Non ɗum laatori. 
GEN.1.12	Lesdi fuɗni huɗo marko aawdi e haakooji marɗi aawdi fodde asli muuɗum'en, non boo leɗɗe dimooje ɓiɓɓe bee aawdi nder muuɗum'en, koo ɗeye fuu fodde asli muuɗum'en. Allah laari ɗum wooɗi. 
GEN.1.13	Hiiri, weeti, ɗum nyalaade tataɓre.
GEN.1.14	Allah wi'i: “Jayli laato haa asama ngam senndindirgo nyalawma bee jemma. Ɗi laato alaamaaji ngam anndugo wakkatiiji juulɗe, non boo nyalɗe e duuɓi. 
GEN.1.15	Jayli ɗi'i laato haa asama ngam yaynango lesdi.” Non ɗum laatori. 
GEN.1.16	Allah waɗi jayli mawɗi ɗiɗi: Jayŋgol ɓurŋgol mawnugo waato: Naaŋge, laami nyalawma, pamarol boo, waato: Lewru, laami jemma. O waɗi boo koode. 
GEN.1.17	O jo'ini ɗi haa asama ngam yaynango lesdi, 
GEN.1.18	ngam laamaago nyalawma e jemma boo ngam senndindirgo annoora bee nyiɓre. Allah laari ɗum wooɗi. 
GEN.1.19	Hiiri, weeti, ɗum nyalaade nayaɓre.
GEN.1.20	Allah wi'i: “Ndiyam heewira kuuje marɗe yoŋki, colli boo piira haa asama, haa dow lesdi” Non ɗum laatori. 
GEN.1.21	Allah tagi kuuje mawɗe nder ndiyam e asli ko wuurata e ko waancata e ko dimmboto fuu nder ndiyam. Non boo colli marɗi bileeji – koo ɗume fuu fodde asli mum. Allah laari ɗum wooɗi. 
GEN.1.22	O barkiɗini ɗum, o wi'i: “Ndimndimne, ɗuuɗe, kebbine ndiyamji nder beeli, colli boo ɗuuɗa dow lesdi.” 
GEN.1.23	Hiiri, weeti, ɗum nyalaade jowaɓre.
GEN.1.24	Allah wi'i: “Lesdi wurtina asli dabbaaji fuu: Ɗi saare, ladooji, dabbaaji ɗi ladde, koo ɗume fuu fodde asli muuɗum.” Non ɗum laatori. 
