MAT.1.1	Ali ni lishauma lyamaimyo lyavanakuluvake Yesu Klistu ndukulugwe Daudi na jojo ndukulugwe Abulaamu.
MAT.1.2	Napanelo Abulaamu ammaleké Ishaki,
MAT.1.2	Ishaki kummaleka Yakobo,
MAT.1.2	Yakobo kummaleka Yuda
MAT.1.2	pamo na vakuluvake na vanung'unuvake.
MAT.1.3	Yuda kummaleka Peleshi namu Shelaa,
MAT.1.3	ava, jujugwave kuva Tamali.
MAT.1.3	Peleshi kummaleka Eshiloni,
MAT.1.3	Eshiloni kummaleka Alamu,
MAT.1.4	Alamu kummaleka Aminadabi,
MAT.1.4	Aminadabi kummaleka Naashoni,
MAT.1.4	Naashoni kummaleka Shalamoni,
MAT.1.5	Shalamoni kummaleka Buwashi,
MAT.1.5	aju, anyoke kuva Laabe.
MAT.1.5	Buwashi kummaleka Obedi,
MAT.1.5	aju, anyoke kuva Luti.
MAT.1.5	Obedi kummaleka Yeshe,
MAT.1.6	kutwala Yeshe kummaleka Umu Daudi.
MAT.1.6	Napanelo Umu Daudi kummaleka Shalomoni,
MAT.1.6	aju, anyoke kuva ndyagwe Uliyashi.
MAT.1.7	Shalomoni kummaleka Loboamu,
MAT.1.7	Loboamu kummaleka Abiyashi,
MAT.1.7	Abiyashi kummaleka Asha,
MAT.1.8	Asha kummaleka Yoshapati,
MAT.1.8	Yoshapati kummaleka Yolamu,
MAT.1.8	Yolamu kummaleka Ushiyashi,
MAT.1.9	Ushiyashi kummaleka Yotamu,
MAT.1.9	Yotamu kummaleka Akashi,
MAT.1.9	Akashi kummaleka Eshekiyashi,
MAT.1.10	Eshekiyashi kummaleka Manasheshe,
MAT.1.10	Manasheshe kummaleka Amomu,
MAT.1.10	Amomu kummaleka Yoshiyashi,
MAT.1.11	Yoshiyashi kummaleka Yekoniyashi
MAT.1.11	pamo na vanung'unuvake.
MAT.1.11	Awo uvele wakati wavavakamulénge vanaishilaeli kuvaukanavo ku Babiloni.
MAT.1.12	Napanelo ling'oto lyavanaishilaeli kukamuligwa kuka ku Babiloni,
MAT.1.12	Yekoniyashi anímmaleka Shalatiyeli,
MAT.1.12	Shalatiyeli kummaleka Shelubabeli,
MAT.1.13	Shelubabeli kummaleka Abiude,
MAT.1.13	Abiude kummaleka Eliyakimu,
MAT.1.13	Eliyakimu kummaleka Asholi,
MAT.1.14	Asholi kummaleka Shadoke,
MAT.1.14	Shadoke kummaleka Akimu,
MAT.1.14	Akimu kummaleka Eliyude,
MAT.1.15	Eliyude kummaleka Eleashali,
MAT.1.15	Eleashali kummaleka Matani,
MAT.1.15	Matani kummaleka Yakobo,
MAT.1.16	kutwala Yakobo kummaleka Yoshe
MAT.1.16	ntwagwe Maliya,
MAT.1.16	Maliya jojo ámmaleke Yesu
MAT.1.16	wavanshema Klistu.
MAT.1.17	Nadoni kutunduvangila Abulaamu mpaka Daudi dindípagwa dimbula dyavanu kumi na nsheshe, kutunduvangila Daudi mpaka pavakamuligwe vanaishilaeli kuka ku Babiloni yadavo dindípagwa dimbula kumi na nsheshe na kutunduvangila pavapagwíte vanaishilaeli ku Babiloni mpaka Klistu dindípagwa momo dimbula kumi na nsheshe.
MAT.1.18	Napanelo Yesu Klistu aju, kuvalekwa kwake kuvele doni. Jujumunu Maliya wantamadíle Yoshe pakulota kunnomba kanji vakanava kulambana, Maliya andíimita kwaindila ya Imumu Wanashwe. 
MAT.1.19	Bai Yoshe alivikíle kunnomba Maliya kwoda avele munu waishaliya na halatíle kuntaa dyoni nkongwe jo, andyámuwa muntima mwake kunneka shipiipii. 
MAT.1.20	Akuno apanga nnugu wake au, njelo wake 
MAT.1.21	Nae anammaleka mwana nnume na wako undamupa lina lya Yesu mwaa alota kuvaposha venentete vake kwamadambi ave.” 
MAT.1.22	Vinu avi uti vinditandeka pakulota liwikile popo lilove lyatangwéle 
MAT.1.23	“Mwenu, mwali ntete anammaleka mwana nnume. Mwana ajo vananshema lina lya Emanuweli,”
MAT.1.24	Bai Yoshe pashishwike andítandela momo mwamwaulidile njelo wake 
MAT.1.25	Napanelo haléle na ndyagwe mpaka pammaleke mwana kutwala nae mwana jo kumupa lina lya Yesu.
MAT.2.1	Napanelo Yesu pavalakwadidye mulikaja lya Beteleemu kulijimbo lya Yudeya muwakati washilangalela Umu Elode, vandíwika pa Yelusalemu vakumanya-dinondo vakwalakela kwalyaloka liduva 
MAT.2.2	kutwala kudya, “Da aijá ávalakwadidye Umu Wavayuda avelé kwashi? Wetu tugwene inondo yake nkono wakwalyalakela liduva, twidilé ndalipudya kwake.”
MAT.2.3	Bai Umu Elode pamo na vanu uti váshinama pa Yelusalemu pavaigwite malove alo, vandyángaikanga. 
MAT.2.4	Nae andívalalika vanang'olo vavakulangalalela-shadaka pamo na vamwalimu vadishaliya vavayuda kuvaudya, “Da Klistu vammalangenge kuvalakwedya kwashi?” 
MAT.2.5	Vanavo kushidoni, “Mulikaja lya Beteleemu mulijimbo lya Yudeya mwaa kwaindila yankúlava yandikigwé doni,
MAT.2.6	“ ‘Wako Beteleemu
MAT.2.6	úvele mushilambo sha Yuda,
MAT.2.6	mwiko haunava shinu undikidiki
MAT.2.6	pakati pavananangalaledi vavayuda
