MAT.1.1	Kou Iesu Keliso buluve deiadaike ko. Iesuu Ebalahamuta Deividita valadamo lohonu.
MAT.1.2	Subuta mole Ebalahamuu Aisiki mamonu.
MAT.1.2	Ige Aisikiu Diekobo mamonu.
MAT.1.2	Ige Diekobou Diuda isi hohuvuiabe houevenu.
MAT.1.3	Ige Diudau Tamati Belesita Silata houevelu.
MAT.1.3	Ige Belesiu Heseloni mamonu.
MAT.1.3	Ige Heseloniu Alamu mamonu.
MAT.1.4	Ige Alamuu Aminadabu mamonu.
MAT.1.4	Ige Aminadabuu Nasoni mamonu.
MAT.1.4	Ige Nasoniu Samoni mamonu.
MAT.1.5	Ige Samoniu Leiabuti Boasi mavolu.
MAT.1.5	Ige Boasiu Lutati Obedi mavolu.
MAT.1.5	Ige Obediu Diesi mamonu.
MAT.1.6	Ige Diesiu kosive Deividi mamonu.
MAT.1.6	Ige Deividiu Ulaia mahina melamei Solomoni mamonu.
MAT.1.7	Ige Solomoniu Liabomu mamonu.
MAT.1.7	Ige Liabomuu Abaisa mamonu.
MAT.1.7	Ige Abaisau Esa mamonu.
MAT.1.8	Ige Esau Diosabati mamonu.
MAT.1.8	Ige Diosabatiu Diolamu mamonu.
MAT.1.8	Ige Diolamuu Usaia mamonu.
MAT.1.9	Ige Usaiau Diotamu mamonu.
MAT.1.9	Ige Diotamuu Ahasi mamonu.
MAT.1.9	Ige Ahasiu Hesekaia mamonu.
MAT.1.10	Ige Hesekaiau Manasa mamonu.
MAT.1.10	Ige Manasau Amoni mamonu.
MAT.1.10	Ige Amoniu Diosaia mamonu.
MAT.1.11	Ige Diosaia keu Diekonaia mamoi hohuvuiabeta houevenu. Vani kela Babulonia ataeau lohoale Iselala ata moaga umudievei malevei abu vatae tilu.
MAT.1.12	Kebia malevei tisege iaeabe Diekonaia keu Siatieli mamonu.
MAT.1.12	Ige Siatieliu Selubabeli mamonu.
MAT.1.13	Ige Selubabeliu Abudi mamonu.
MAT.1.13	Ige Abudiu Eliakimi mamonu.
MAT.1.13	Ige Eliakimiu Eso mamonu.
MAT.1.14	Ige Esou Sadoki mamonu.
MAT.1.14	Ige Sadokiu Akimi mamonu.
MAT.1.14	Ige Akimiu Eludi mamonu.
MAT.1.15	Ige Eludiu Eliesa mamonu.
MAT.1.15	Ige Eliesau Matani mamonu.
MAT.1.15	Ige Mataniu Diekobo mamonu.
MAT.1.16	Ige Diekobou Dioseba mamonu.
MAT.1.16	Ige Diosebau Meli melamenu.
MAT.1.16	Ige Meliu Iesu mamonu.
MAT.1.16	Ige Iesu ke abu ivihai avoe, “Keliso.” Ivi ke ihu koseanu. Keu ata tedaevemale kosive.
MAT.1.17	Ebalahamu isi Deividi kebia vigomo valada bahata votiniu (14) ua. Ige Deividi vanimo lamisi lohoale Iselala ataeau Babuloniae timale ke vigomo valada votini (14) moleta ua. Ige Iselala ataeau Babuloniae timale isi Kelisou uale ke vigotamo valada mole votini (14) keta ua.
MAT.1.18	Iesu Kelisou uale keu koseanu. Diosebau Meli kokovaito avuti ladeveholisege Munanae Tumuu Meli vuvunetige au ese manu. 
MAT.1.19	Ige koliave Dioseba keu inutolotolote ata. Katealemo isiviholinu atae nimo Meli mai matitiliho. Kateaime isiviale tobekai au keate ke halei. 
MAT.1.20	Isi kateai huhuisege Kosive anelu moleu tababumo avue lohoale namihai avoe, “Dioseba, au Deividi valadamo lohonu. Ainaho Meli melameveve ke vabuhavolive. Keu Munana Tumue vuvunemoike au ese ke manu. Iale momoleai melamenela. 
MAT.1.21	Ige au mo mamoge ke ivihai kosea, ‘Iesu.’ Ivi ke ihuu koseanu. Auna au ata tedaevei vaveveabe toelamo malevei.”
MAT.1.22	Kateai louale keu beloveta hoto mole mai selevetinu. Dilavau subuta beloveta ke namihage keu hoto koseale hisalianu. 
MAT.1.23	Avoe, “Ma molena au koliati lahaholisito ese mai. Ige ese keu uge abuna ivihai kosea, ‘Imanuelo.’” Ihuve keu koseanu. Dilavau nahehi ua.
MAT.1.24	Ige Diosebau hovelahai Dilava aneluu namihale ke nahate vai Meli melamenu. 
MAT.1.25	Isito avuti lahaholisege eseveu uge au ke ivihai avoe, “Iesu.”
MAT.2.1	Iesu keu Diudia vatae o mole ivi Betelihamu keve ua. Ke vanimo kosive mole Elodi keu vatae kina baluga. Isege lulele ata degomole didimo deiada kaovamale keau vaniu velemamale keveatae lohoaleau Dielusalemae velehovolu. 
MAT.2.2	Keve velehovoi lohoale ata belagevei avoe, “Lana kove ese moleu gabie Diue kosive holiveve uale ke hilokalu. Vaniu velemamale keveatae no elehasege ese ke didiu velemanu. Ige no didi ke elehai ehovai lohoale isiviale ese ke hoesehavoi.” 
MAT.2.3	Kateige kosive Elodiu isi Dielusalema ata bahata keau hoto ke evisi vikolahalu. 
MAT.2.4	Ige Elodiu dubu nalimale kosive kebia isi Diue menaka loui haivemale kebia bahata hohavege abu lohoge au namigevei avoe, “Bukae Hotou louale Keliso kena o oleve ui.” 
MAT.2.5	Ige abu namihai avoe, “Diudia vatae o mole ivi Betelihamu keve auna ui. Hoto kateale beloveta moleu subuta hisalianu. 
MAT.2.6	Avoe,
MAT.2.6	‘Betelihamu, au Diudia vata kemo o esehame.
MAT.2.6	Isito o kemo umale la iviau eseve holioholisito Diudia ata bahata kebiamo laeau baluga.
MAT.2.6	Kosealemo la o kemo kosi molena lohoniege di ata Iselala kebia nalievei.’”
MAT.2.7	Kateige Elodiu hoto ke evisi lulele ata nehe hohavege abu loholu. Ige au kebia holoevei tiale lilikateve neniai didi keu velemale vaniho belagevege abu namihalu. 
MAT.2.8	Ige Elodiu hanavei abuho loui avoe, “Talive Betelihamue ese ke neniai kaovalive la elehaliege daho hoto hanavoge data talive ese ke hoesehavoi.” 
MAT.2.9	Kateai louge abu halevai tilu. Halevai tisege didi nehe abu elehale keu abuho uli holisi tiale ese keu uale hovadavemo atagai ua. 
MAT.2.10	Ige abu ke elehai vahaeholahai ehovai tialeau o kemo velehovolu. 
MAT.2.11	O kemo velehovoi oe uvue tialeau ese keta neinaveta elehalu. Isime abu kome bokoai vata bisi ese ke hoesehavoi abu busi vavegevei kunai malei omilu. Kunai ibinate koseale golo, idi mole vabele ke nahate hagote, isi idi mole kemo senisi hagote vaevemale ke malei omilu.
MAT.2.12	Iniale vavi kemo Dilavau tababumo kebia haivei avoe, “Lainaho hoidevei talive Elodi namihalive.” Kateige keau humaha molela hoidevei abu vatae tilu.
MAT.2.13	Abu hoidevei tisege iaeabe Kosive anelu moleu tababumo Dioseba namihai avoe, “Hovelahai ese keta neinaveta holoevei detitisi Egubitoe tenela. Talive keve usege di aho louge bae lohonela. Kosealemo Elodiu ese ke hamaliho kaovama.” 
MAT.2.14	Kateai louge Diosebau hovelahai ese keta neinaveta holoevei vavimo detuluvisi Egubitoe tilu. 
MAT.2.15	Abu tiale keve isiviai usege Elodiu hatisege abu bae hoidevei. Abu hoideveveve keu belovetau Dilava hoto louale ke mai selevetinu. Hoto keu koseanu. Avoe, “Di di mo hohavoge au Egubito halei lohonu.”
MAT.2.16	Lulelete ata keau Elodi lobohavoge au itumu baluganu. Isi kateai au esemu hanavei avoe, “Talive Betelihamu moe eseau uale vagana abuita isi valaeabemo ui tiale kebia bahata havehatuve. Isi o ke vavae umale kebia moe eseta haveve.” Elodiu didi kemoike ese kebia vagana hilokai kateale lounu. Au subuta lulele ataemo didi keu velemale vani ke kaovage abu namihalu. Iale kemoike au au esemu hanavege abu tiale ese kebia bahata havehatulu.
MAT.2.17	Abu ese kebia haveale keu beloveta Dielimaiau hoto louale ke mai selevetinu. 
MAT.2.18	Avoe,
MAT.2.18	“Lama vatae abu ese havehatuge keate mole ivi Leisolo keu kekoai nina balugama.
MAT.2.18	Ige ataeau sovavihavoi tatolevage au hotoeabe evioholinu.
MAT.2.18	Kosealemo eseve bahataeau haluvilu.”
MAT.2.19	Elodiu hatige Dilava aneluu tiale tababumo Egubitoe Dioseba namihanu. 
MAT.2.20	Avoe, “Hovelahai ese keta neinaveta holoevei tota hoilahai Iselala vatae tenela. Kosealemo ese ke hamaho vamale keau haluvilu.” 
MAT.2.21	Kateige Diosebau hovelahai ese keta neinaveta holoevei abuhi Iselala vatae tilu.
MAT.2.22	Keve tiale evige Elodi mo Akaleasi keu lovove mai Diudia vata ke kosive holinu. Ige Diosebau keve uliho vabuige Dilavau tababumo namihage abu halevai Galili vatae tilu. 
MAT.2.23	Keve tiale o mole ivi Nasaleta keve ua. Keve uale keu belovetaeau louale ke mai selevetinu. Belovetaeau loui avoe, “Abuna avuho loui kosea, ‘Nasaleta ata.’”
MAT.3.1	Vani kateimalela ata babatisogevemale Dioni keu Diudia botoe tiale Dilava hoto loui ata haivema. 
MAT.3.2	Abuho loui avoe, “La vaveve toela kebia halevei lohove. Kosealemo ataeau Dilava adae vuvunemo uveve vaniu aike vuguvuguanu.” 
MAT.3.3	Iale Dioni vaveve keike beloveta Aisaiau subuta loui hisaliai avoe,
MAT.3.3	“Ata molena bae botoe hoai kosea,
MAT.3.3	‘Kosive humaha ke inuta loive.
MAT.3.3	La uvu hoesegevei vaveve toela halevai vaveve dua vave.’ ”
MAT.3.4	Dioni keu ata nimole. Ogove keu ovo mole ivi kamela ke vomo. Isege beletave keta ovo ke igae vate. Isege lovive abuike kainaku isi vidiae e. 
MAT.3.5	Kateisege ata moagamoagaeau hotove eviliho loholu. Degomoleau Dielusalema o baluga kemo loholu. Ige degomoleau Diudia vatamo loholu. Ige degomoleau Diodani e vavamo umale kebiata loholu. 
MAT.3.6	Loholiale abu vaveve toela louge Dioniu Diodani emo babatisogevenu.
MAT.3.7	Au kebia babatisogevege Balisia ata isi Sadukea ata moaga keau avue lohoale isivilahale au babatisogevei. Ige Dioniu elegevei abuho itumuai loui avoe, “La keau ute nahatea. Laeau isiviholilu Dilava itumuu lae loholiho. Isito laeau hoidevei Dilava ehovaholilu. Katealemoike Dilava itumuu laemo lohoma. 
MAT.3.8	Iale vasohuta la vaveve toela halevai vaveve dua vave. Isi kemo bae babatisolahave. 
MAT.3.9	Isito lainaho huhulahai kosea, ‘Noeau Ebalahamu valada noeabuliko. Dilava itumu keu bae noemo loholivebene.’ Di la namigevege evive. Dilavana isivianiege mune kobia malevei abuemo Ebalahamu valada degomole vaevege abuna la lovomo ui. 
MAT.3.10	Soeu idie umukamo heiliho hemei ua. Iale idi oletena neniai baioholige auna idi ke heisi mai venemo mihatuge auna lahai. 
MAT.3.11	Ataeau abu vaveve toelamo hoideveike vage di emo babatisogevenu. Isito di iae lohoveve Iesu kena Munana Tumuteta veneta la babatisogevei. Di iae lohoale keu ivite. Keu kosive baluga. Isito dau eseve. Iale di baluga holioholialemo tamakave iamoveve keu daemo anekianu. 
MAT.3.12	Iale ata kena lohoniege au keilota laisue i bisi kitoai hatuge momoluve abuna moleve keiolahasege ive abuna moleve keiolahai. Ige auna laisue i malei au valahumo otoveito momoluve ke malei veneu hodovavesite kemo mahoevei.” Dioniu hoto kateale loui namigevenu.
MAT.3.13	Vani kateimalela Iesuu au vata Galili halei Diodanie tinu. Keve tiale isivialeike Dioniu babatisohavoi. 
MAT.3.14	Isito Dioniu vaveve katealeho isiviholinu. Isi namihai avoe, “A kove lohoale isiviale di a babatisohavoi. Isito au di babatisohavoge duave.” 
MAT.3.15	Kateai louge Iesuu avuho loui avoe, “Halege aike kateale vanela. Ige kemo naitiabuna Dilava isivi ke vasa.” Kateale louge Dioniu hotove evisi babatisohavonu.
MAT.3.16	Ige Iesuu emo hovelahai elehage otogou dikolahage Dilava Munanae Tumuu ugu mole imutava ke nahate holisi dobai lohoaleu avuemo ua. 
MAT.3.17	Ige otogomo hoto moleu loui avoe, “Keu di uvue mo seleve. Iale di vahaehove va baluganu.”
MAT.4.1	Vani kela Munanae Tumuu Iesu melamei ataeau uvesiteve tinu. Keve tiale Seteneu isiviale lobohavoge au kemo dobai. 
MAT.4.2	Ige Iesuu vanie ni voti (40) isi vavi voti (40) ke uvumo lovi ioholialelua vae balugatahoanu. 
MAT.4.3	Ige Seteneu ke elehai avue lohoale namihai avoe, “A Dilava mo holiniege mune kobia namigevege abu beledi holige inela.” 
MAT.4.4	Ige Iesuu namihai avoe, “Bukae Hotou loui avoe, ‘Atabeu bae lovi unaha isi kemo negoalivebene. Isito Dilavau hoto bahata louale ketamo ataeabuna negolahai ugei.’”
MAT.4.5	Kateai louge Seteneu melamei oe tumu Dielusalema keve tiale Diue dubu baluga ke kobola laminu. 
MAT.4.6	Isi namihai avoe, “A Dilava mo holiniege komo lamisi heila biloanela. Kosealemo Bukae Hotou loui avoe, ‘Dilavana au anelu hanavege abuna a evudege a bae munemo dobai a velo bokoalivebene.’” 
MAT.4.7	Ige Iesuu namihai avoe, “Hoto keu seleve. Isito Bukae Hotou tota loui avoe, ‘Ainaho heiata a kosive Dilava ke nego kaovalive.”
MAT.4.8	Kateige Seteneu tota Iesu melamei tana baluga koboe tinu. Tiale keve lamisi vata bahata o bahata isi onobenobeabe ke malei haivunu. 
MAT.4.9	Isi avuho loui avoe, “Ana a kome bokoai di hoesehavoge dana uokebia bahata malei aoi.” 
MAT.4.10	Ige Iesuu avuho loui avoe, “Setene, di halei tenela. Bukae Hotou loui avoe, ‘Kosive Dilava ke igae hoesehavoi isivive unaha vanela.’” 
MAT.4.11	Kateige Seteneu halei tisege aneluiau lohoale Iesu nalisi tedaholu.
MAT.4.12	Vani mole abu Dioni mai dibulae mavoge Iesuu ke evisi halei Galilie tinu. 
MAT.4.13	Keve tiale au o seleve Nasaleta kemo uoholisito tiale tabu baluga Galili ke vavamo o mole ivi Kabenumu kemo ua. Vata ke ivi abui. Mole ivilike Sebulani. Isege mole ivilike Natali. 
MAT.4.14	Iesuu keve tai o keve uale keu beloveta mole Aisaiau louale ke mai selevetinu. Iale hoto keu koseanu. 
MAT.4.15	Avoe,
MAT.4.15	“Sebulani vata isi Natali vata keau tabu baluga ke vavae ua.
MAT.4.15	Isege vaki mole Diodani e keu ua.
MAT.4.15	Vata kebia ivi balugalike Galili.
MAT.4.15	Iale Diue ata holioholiale moagaeau keve ua.
MAT.4.16	Ata keau vavie vaveve vamale abuna bae ataga baluga elehai.
MAT.4.16	Ige ataga kena subuta vavimo ui uveve doga maholiale kebiamo atagai.”
MAT.4.17	Vani kemo Iesuu vasohuta au lovi vai ata haivei avoe, “La vaveve toelamo hoidevei lohove. Kosealemo ataeau Dilava adae vuvunemo uveve vaniu aike vuguvuguanu.”
MAT.4.18	Iesuu halei Galili tabue vavala ohanoi tinu. Tialeu abui hohote elegevesege abu abu ugabi hatui avuemo huena malema. Nanave ivilike Saimoni. Ige ivive moleike Bita. Isege hohove Andulu. 
MAT.4.19	Iale abu huena malesege Iesuu namigevei avoe, “Lohoi di ehovage di la haivege lana huena malemale ke nahate ata maleveve.” 
MAT.4.20	Kateai louge abu solekavesite abu ugabi halevai ehovai tilu.
MAT.4.21	Ehovai tige Iesuu tialeu Sebedi mo abui Diemisi isi Dioni kebia elegevesege keau abu boutimo ui abu mamaluvuta uguiavoi abu ugabi adahima. 
MAT.4.22	Ugabi adahisege Iesuu hohavege abu boutita abu mamata halevei Iesuluvuta tilu.
MAT.4.23	Iesuu tiale Galili vata bahata keve Diue dubue ataeau Dilava adae vuvunemo uveve hotoe dua ke loui ata haivema. Isi vavahanite kebia hoesegevege abu momolelahama. 
MAT.4.24	Kateisege vaveveve hoto keu Silia vata ke bahata sonumai gabianu. Ige ataeau ke evisi abu vavahanitebia ata malevei avue loholu. Vavahani baluga koseimalebia. Munana toela malemale, tilogoamale isi velo golote kebia malevei lohoge Iesuu kebia bahata hoesegevege abu momolelahalu. 
MAT.4.25	Ige ata moagatahoeau ehovalu. Degomoleau Galili vatamo loholu. Isege degomoleau Dekaboli vatamo loholu. Isege degomoleau Dielusalema o baluga kemo loholu. Isege degomoleau Diodani e vaki mole keve loholu. Ata keau bahata Iesu vaveve ke elehai ehovalu.
MAT.5.1	Iesuu ata moaga kebia elegevei halevei tanae tinu. Tiale keve ugulamosege esemuiabeau lohoale vavavemo uguiavolu. 
MAT.5.2	Ige Iesuu kebia haivenu.
MAT.5.3	Avoe, “Oleuoleu hilokage uvuiabeu toelale keabuna vahaeholahai. Kosealemo Dilavana ata katealebia malevege abuna otogoe Dilava adae vuvunemo ugei.
MAT.5.4	“Ige oleuoleu uvulahale keabuna vahaeholahai. Kosealemo Dilavana kebia uvu hoesegevege abuna ue dua vai.
MAT.5.5	“Ige uvevete keabuna vahaeholahai. Kosealemo keabuna Dilava vatae doga keve ui.
MAT.5.6	“Ige oleuoleu Dilava vaveve dua keho isivi balugalahamale keabuna vahaeholahai. Kosealemo Dilavana isiviabe ke ovei hoesegevege abuna ue dua vai.
MAT.5.7	“Ige oleuoleu ataho uvulahai tedaevemale keabuna vahaeholahai. Kosealemo Dilavana kebiaho uvuai tedaevei.
MAT.5.8	“Ige oleuoleu uvuiabeau dua vale keabuna vahaeholahai. Kosealemo abuna Dilava elehai.
MAT.5.9	“Ige oleuoleu ata tedaevege abu uveve dua vale keabuna vahaeholahai. Kosealemo Dilavana kebiaho loui kosea, ‘Di esea.’
MAT.5.10	“Ige oleuoleu Dilava vaveve keho isivilahai vatehani maleale keabuna vahaeholahai. Kosealemo Dilavana ata katealebia malevege abuna otogoe Dilava adae vuvunemo ugei.
MAT.5.11	“Ige lata di esemu holiale kemo ataeabuna bae la vavamo lobolahai hotoe toela loui la aiogevei vatehani laovei. Ige lainaho ke huhulahalive. 
MAT.5.12	Isito vahaeholahave. Kosealemo lana bae otogoe ibina baluga maleve. Isi hoto ko huhulahave. Ataeau subuta katelahai beloveta aiogevege abu abuta vatehani malelu.”
MAT.5.13	“La keau vatae ata bahatamo madea nahate. Isito madea kena toelage hevena uoholige auna oleve kateai bae tota heai. Keu anekianu. Ige abuna madea ke mai mihatuge ataeabuna avuela dai tai lohogei.
MAT.5.14	“Isi la keau vatae ata bahata kebia ataga. Iale o mole abu tanamo houge onobeu bamuholiale ke nahate vave. 
MAT.5.15	Atabeu bae lameba hanei mai maua uvue mamolivebene. Isito auna ke mai ehanumage auna oe uvu bahatamo atagage ataeabuna atagavemo ui. 
MAT.5.16	Iale ke nahate di isiviale la ataga kena ataemo atagai. Ige abuna la vaveve dua vale ke elehai la Mamau otogoe umale ke ivi ebagevai hoesehavoi.”
MAT.5.17	“Lainaho huhulahai loui kosea, ‘Kou lohoalemo Mosese menaka isime beloveta hoto keabuna uoholisi.’ Di katealeho lohoholinu. Isito dana hoto kebia malevei selevetievei. 
MAT.5.18	Seleveta di la namigevege evive. Vatana otogoti uoholisege Dilava hoto bahataeabuna ui. Iniege au hoto ke bahata malei selevetievege hisalibehame keau bae uoholilivebene. 
MAT.5.19	Iale olena menakae hoto esehame egumai ata mole haivuge auna avuta ke nahate vage kena otogoe matama dogae tige ivivena esevehame holisi. Isito olena menakae hoto ehomai ata haivege abu ke nahate vage kena otogoe matama dogae tige ivivena balugai. 
MAT.5.20	Diue menaka loui haivemale isi Balisia ata keau nenilahai menaka ehovaholima. Iale lana ata kebia evigevei vaveve dua vaholiliege la bae otogoe matama dogae talivebene.”
MAT.5.21	“La evige subuta menakau loui avoe, ‘Lainaho mole havegelive. Oleu menaka ke egumai ata hamage ke mai kotalahave.’ 
MAT.5.22	Isito aikele di loui la namigevei. Olena au haokati itumuige ke mai kotalahave. Ige oleu au haokaho loui kosea, ‘A kina keu heholinu.’ Au kateige ke mai kanisoloe tige abu avuemo ke kaovai. Ige oleu au nanaho o au hohoho loui kosea, ‘A keu tilogoanu.’ Ata kateimale keabuna veneu hodovavesite keve tai. 
MAT.5.23+MAT.5.24	Kataelemo lana isiviai ono mole mai tai dubue uvue Dilava hoesehavoho valiege mesoho la haokati la moleho loui itumuale ke huhulahaliege vasohuta talive la haoka hoesehavove. Ige itumu keu gabiage bae loholive Dilava hoesehavove.
MAT.5.25	“Ige mesoho ata moleu laheho itumuai isiviai la malevei kotaho tiho vage solekai ke kaovai avuluvuta haokave. Lana solekai ke vaholige auna la malevei kotai. Ige kotae kosive kena la malevei bukate ovege abuna la malevei dibulai. 
MAT.5.26	Iale di la namigevege evive. Lana dibulae uliege ke ibina bahata vahatugeto abuna bae la iovei.”
MAT.5.27	“La evige subuta menakau loui avoe, ‘Lainaho mole keatehi hotohotoai ladevegelive.’ 
MAT.5.28	Isito di aikele loui la namigevei. La oleu keate mole elehai au uvumo huhuai kosea, ‘Di keate uketi hotohotoai lahage duave.’ Iale uvue huhuihuhui kemo au vaveve toela vanu. 
MAT.5.29	Mesoho la nie baiu vaveve toela elehage la ke vage tohoai mai mihatuve. Ige elike la vava bahatau duaveai. Onoilage la ni keau la vava bahata malei venemo hatuma. 
MAT.5.30	Ige mesoho la ada inute keu vaveve toela vage ke heisi etulei mai mihatuve. Lana kateholige la ada keabuna la vava bahata aiogevei malevei venemo hatuevei.”
MAT.5.31	“Subuta menakau loui avoe, ‘Oleu isiviai au mahina haleho vaniege vasohuta haleveve beiba mai omisi.’ 
MAT.5.32	Isito aikele di loui la namigevei. Keate oleu au kolia vavae vaveve toela vaholisege koliaveu halege au tota kolia moleige malaha keu vaveve toelaike au ke au mahinaemo vanu. Ige mesoho malaha moleu keate ke melameale keta vaveve toela vanu.”
MAT.5.33	“La evige subuta menakau loui avoe, ‘La onole Dilava ivimo valiho louliege lainaho ke halevalive. Isito la louale ke vave.’ 
MAT.5.34	Subuta menakau kateanu. Isito di la namigevege evive. Lainaho onole valiho Dilava ivi lougelive. Isi lainaho loui kosea, ‘Otogoe biageu hilokanu.’ Kosealemo otogo keu Dilavau umale matamae tumu. 
MAT.5.35	Isi lainaho vatatamo katelahalive. Kosealemo vata keu Dilavau velo mamomale matama. Isi lainaho Dielusalema ketamo katelahalive. Kosealemo Dielusalema keu oe tumu. Kosive baluga umale matama. 
MAT.5.36	Isi lainaho loui kosea, ‘Di kinamo di huhuige dana ke vai.’ Kosealemo hoto katealeu bae onoige la kinau bukai mesoho sisoalivebene. 
MAT.5.37	Lainaho katelahalive. Isito hoto seleve loui kosea, ‘Ito.’ O mesoho, ‘Ba.’ La hoto kateale louholisito hotoe toela kateimale louge keu Setenemo lohonu.”
MAT.5.38	“Laeau evige subuta menakau loui avoe, ‘Mesoho ata moleu la nimo hamage keduige lata talive nivemo hamage niveu keduai. O mesoho au la aie luhu hamai bokoige talive aive luhu hamai bokoave.’ 
MAT.5.39	Isito aikele di loui la namigevei. Ata moleu vaveve toela vai la aiogevege lainaho ibinave valive. Mesoho au la mono vaki molemo hamage louge au tota vaki moleveatae hamai. 
MAT.5.40	Ige mesoho ata moleu la malevei kotai isiviai la sieti maho vage la dabae ogo keta mai omive. 
MAT.5.41	Ige mesoho gamaniu a hanavoi isiviale a kunaiabe kakavei o moleve otovei. Ige ainaho kemo otovei hoilahagei. Isito tota mai talive o molemo otovenela. 
MAT.5.42	Ige ata oleu onoleho isiviai la namigevege isivive ke mai omive. Isi mesoho isiviai aemo ono mole malive tota mai bae aoge ke mai ominela.”
MAT.5.43	“La evige subuta menakau loui avoe, ‘La haokuvu kebiaho isiviai tedaevei hoesegeveve. Isito la aiogevemale kebia aiogeveve.’ 
MAT.5.44	Isito aikele di loui la namigevei. La aiogevemale kebiaho isiviai tedaevei hoesegeveve. Isi la aiogevei vatehani laovemale kebiaho guligulilahageve. 
MAT.5.45	Kosealemo Dilavau ata bahata tedaevema. Au louge vaniu atae dua isi atae toela kebiamo haluma. Isi louge veniu vaveve dua vamale isi vaveve toela vamale kebiaho lohoma. Iale lana la Mamau otogoe umale ke nahate valiege eseve holive. 
