MAT.1.1	Je² libro xi³ cho⁴ta⁴jchi¹nca³-le⁴ Jesucristo, ˀnti¹-le⁴ David, cˀoa⁴ ˀnti¹-le⁴ Abraham.
MAT.1.2	Abraham nˀai³-le⁴ Isaac, cˀoa⁴ Isaac nˀai³-le⁴ Jacob, cˀoa⁴ Jacob nˀai³-le⁴ Judá cao⁴ ntsˀe⁴. 
MAT.1.3	Judá cao⁴ chjon⁴²-le⁴ xi³ Tamar ˀmi², xi³ nˀai³ xi³ na⁴-le⁴ Fares cao⁴ Zara, cˀoa⁴ Fares nˀai³-le⁴ Esrom, cˀoa⁴ Esrom nˀai³-le⁴ Aram. 
MAT.1.4	Aram nˀai³-le⁴ Aminadab, cˀoa⁴ Aminadab nˀai³-le⁴ Naasón, cˀoa⁴ Naasón nˀai³-le⁴ Salmón. 
MAT.1.5	Salmón cao⁴ chjon⁴²-le⁴ xi³ Rahab ˀmi², xi³ nˀai³ xi³ na⁴-le⁴ Booz, cˀoa⁴ Booz cao⁴ chjon⁴²-le⁴ xi³ Rut ˀmi², xi³ nˀai³ xi³ na⁴-le⁴ Obed, cˀoa⁴ Obed nˀai³-le⁴ Isaí. 
MAT.1.6	Isaí nˀai³-le⁴ David xi³ cho⁴ta⁴ti¹tjon² coan³, cˀoa⁴ je² cho⁴ta⁴ti¹tjon² David cao⁴ je² xi³ chjon⁴²-le⁴ Urías, xi³ nˀai³ xi³ na⁴-le⁴ Salomón. 
MAT.1.7	Salomón nˀai³-le⁴ Roboam, cˀoa⁴ Roboam nˀai³-le⁴ Abías, cˀoa⁴ Abías nˀai³-le⁴ Asa. 
MAT.1.8	Asa nˀai³-le⁴ Josafat, cˀoa⁴ Josafat nˀai³-le⁴ Joram, cˀoa⁴ Joram nˀai³-le⁴ Uzías. 
MAT.1.9	Uzías nˀai³-le⁴ Jotam, cˀoa⁴ Jotam nˀai³-le⁴ Acaz, cˀoa⁴ Acaz nˀai³-le⁴ Ezequías. 
MAT.1.10	Ezequías nˀai³-le⁴ Manasés, cˀoa⁴ Manasés nˀai³-le⁴ Amón, cˀoa⁴ Amón nˀai³-le⁴ Josías. 
MAT.1.11	Josías nˀai³-le⁴ Jeconías cao⁴ ntsˀe⁴, cˀia⁴ nca³ qui³cha³ni² ya⁴ Babilonia. 
MAT.1.12	Xi³ coan³scan³-ni³ nca³ qui³cha³ni² ya⁴ Babilonia, Jeconías nˀai³-le⁴ Salatiel coan³, cˀoa⁴ Salatiel nˀai³-le⁴ Zorobabel. 
