GEN.1.1	Tana vuivuni mai dania God te gonia na kokou mana pari. 
GEN.1.2	Tana bona keri, na maramana te kokoba me aroha, mana pungi te kuvihia na horara oka. Nina tarunga God te saopoa na horara. 
GEN.1.3	Tana bona keri, God te bosa, “Ke mai na marara,” mana marara te tate. 
GEN.1.4	Ma God te righia na marara me nia togotogo. Ma gaia te vilivoka na marara tana pungi, 
GEN.1.5	ma God te vatua nia na marara “na Dani,” me vatua nia na pungi “na Bongi.” Na nulavi te tona mana puipungi te mai. Aeni gaia na diki bongi tana maramana.
GEN.1.6	Mi murina keri, God te bosa, “Lubatia siki totobo ke vilivokara na lei beti. 
GEN.1.7	Me ghaghua igaa. God te vokara na lei beti tana oka, mi rurughuna ghua. 
GEN.1.8	Ma God te vatua nia na totobo eni, “na Parako.” Na nulavi te tona mana puipungi te mai. Aeni gaia eruani na dani tana maramana.
GEN.1.9	Keri ke, God te bosa, “Lubatighi na lei beti sarana na parako kara ghoroghoro kolu ta sakai na bona, ge tate mai na pari mamaha.” Me ghaghua igaa. 
GEN.1.10	Ma God te vatua nia na pari mamaha “na Paritina” mana beti te ghoro kolu mai te vatua nia “na Tahi.” Ma God te righia na hava te nea me nia togotogo. 
GEN.1.11	Keri ge God te bosa, “Lubatia na paritina ke totolo igaa na lei vatavata ni buburu, mana lei ghai vangagha, mana lei ghai vunguvungugha te loghoa na vuavua. Mana lei vauvatu kara puputui na vatavata ni ghai tara pukulaghi mai gaa.” Me ghaghua iga. 
GEN.1.12	Mana paritina te vonughia na lei vata ni ghai. Mana vuavuadira te puputui na lei ghai vaghadira iga. Ma God te righia na hava te nea me nia togotogo. 
GEN.1.13	Na nulavi te tona mana puipungi te mai. Aeni gaia e toluni na dani tana maramana.
GEN.1.14	Ma God te bosa, “Lubatira rana marara sule ma kara tate mai tana oka, ma kara vilivokara na dani mana bongi. Raini na lei vaughilala, kara vokavokai na lei bonani, na lei dani, mana lei niulu. 
GEN.1.15	Lubatighi na lei marara ke marara horua na maramana.” Me ghaghua igaa. 
GEN.1.16	Ma God te gonighi erua na bulu sule, na aho ke marara tana dani te sule, mana vula ke marara tana bongi. Me gonira ghua na lei veitughu. 
GEN.1.17	Ma God te talura na bulu raini tana oka, ge kara mararaa na maramana. 
GEN.1.18	Ge kara haba pungisia na dani mana bongi, ma kara vokaa na marara tana pungi. Ma God te righia na hava te nea me nia togotogo. 
GEN.1.19	Na nulavi te tona mana puipungi te mai. Aeni gaia e vatini na dani tana maramana.
GEN.1.20	Ma God te bosa, “Lubatia na lei beti ke vonughighi na lei igha mana na lei totobo vola, mana oka ke vonughia na lei manu kehakeha.” 
GEN.1.21	Keri ge God te gonighi na lei vata ni totobo vola tana tahi, sule mana pile, mana lei vata ni manu ghua. Ma God te righia na hava te nea me nia togotogo. 
GEN.1.22	Ma God te vautora me ghaghua, “Mi ghau rana lei totobo vola mana lei igha, kau sepalaghi ma kau vonughia na tahi. Mi ghau rana lei manu, kau sepalaghi ma kau vonughia na maramana.” 
GEN.1.23	Na nulavi te tona mana puipungi te mai. Aeni gaia e limani na dani tana maramana.
GEN.1.24	Ma God te bosa, “Lubatia na maramana ke puputu mai ga na lei vata ni maumanu, tara pile mara sule, maia ghua na lei maumanu asi.” 
GEN.1.25	Ma God te gonighi na lei vatavata ni maumanu, tara asi, tara dolo, mara tagutagu tana pari. Sopa gaira kara taonira sopa vinavahuhudira. Ma God te righia na hava te gonia me nia togotogo.
GEN.1.26	Keri ke, God te bosa, “Mai ghita ka gonia na tinoni tana mareda oli. Gaira kara vunaghini na lei totobo vola soko - na lei igha tana tahi, na lei manu tana oka, mana lei maumanu, sule mana pile, maia ghua na lei maumanu asi.” 
GEN.1.27	Keri ge God te gonira na lei tinoni, na mane mana vaivine, tana marena mi tana reireina heghena. 
GEN.1.28	Ma God te vautora me bosa vanira, “Kau sepalaghi ma kau vonughia na maramana, ma kau vatogha, ma kau haba pungisira na lei igha, mana lei manu, mana lei maumanu soko.” 
GEN.1.29	Ma God te bosa, “Kau righia! Inau tu vaheghau tua na lei ghai vavangagha te vuavuagha, mana lei ghai ghania tana maramana, na vatei vanga. 
GEN.1.30	Mi nau tu vahera na lei buburu, mana balu ghai maumauri vanira na lei maumanu mana manu, na ghadira na vanga.” Me ghaghua igaa. 
GEN.1.31	Ma God te ghoi rei olighi na lei totobo te gonighi. Me vaevanei te uto ngangata tana lei levu soko. Na nulavi te tona mana puipungi te mai. Aeni gaia e ononi na dani tana maramana.
GEN.2.1	Keri ke, mete goni sokoi tua na kokou mana pari, mana lei totobo soko igaa. 
GEN.2.2	Mi tana vituni na dani, God te aheahe ilokana, te sokoi tua nina lei lutu. 
GEN.2.3	Ma God te vautoa e vituni na dani, me vaa tabua na pukuna aeni na dani te aheahe iga me sokoi nina lei lutu. 
GEN.2.4	Aeni te ghaghua iga na goniana na kokou mana pari.
GEN.2.4	Mi tana bona God, tara holoa nia Yahweh, te gonia na kokou mana pari, 
GEN.2.5	me taho mua siki ghai pana vuavua ke totolo tana pari, na pukuna Yahweh God te mua nia vetena mai mua na uha. Me taho mua siki sakai igaa ke lutu tana pari. 
GEN.2.6	Mete dato mai na beti vuvungana na pari, me bobona na pari. 
GEN.2.7	Ma Yahweh God te gonia na tinoni, nia na pughu ni pari.
GEN.2.8	Keri ke Yahweh God te suba na leghai Eden iulu, me talua iga na mane te gonia. 
GEN.2.9	Ma Yahweh God te subai na lei vata ni ghai tana leghai - te ghaugharugha, mana vangani te manilu. Mi ghobuna na leghai te talua na ghai ni vola, mana ghai ni manahana na uto mana dika.
GEN.2.10	Na betitina te tave horu tana leghai Eden, me ke vulia na leghai, me vokai gaa e vati na base ni beti tina. 
GEN.2.11	Sakai tadira na base i Pishon, te tave talighutia na butonikomu i Havilah, te ghaha iga na gold. 
GEN.2.12	Na gold keri te uto me marabu. Mi ga ko topoa ghua na vatu utoutoa na ahana onyx, mara loghoa na ghaiuruuru tara holoa nia bdellium. 
GEN.2.13	Na ruani na basena i Gihon, te tave talighutia na butonikomu i Cush. 
GEN.2.14	Na toluni na basena Tigris, te tave talighutia ilevu uluna Asshur.
GEN.2.15	Ma Yahweh God te talua na tinoni tana leghai Eden, ge ke vatoghaa. 
GEN.2.16	Ma Yahweh God te talua vania na bosa pungisi, “Ko tangomana so na ghaniani na lei vuavuani na lei ghai tana leghai eni. 
GEN.2.17	Hauva, mo ko bei ghania gea na vangana na ghai ni manahana na uto mana dika. Ke vagha ko ghania na vavangana ke, tana bongi keri ko mate.”
GEN.2.18	Keri ke, Yahweh God te bosa, “E mua uto ge ke ghana heghena na mane. Inau ku gonia na dolana te ulaghana ge ke hangaa. 
GEN.2.19	Keri ge Yahweh God te gonighi na lei vata ni maumanu mana manu, nia na pari. Me holara vania mai na mane ge ke talu ahadira. Mana mane te vatuahana sasakai tadira. 
GEN.2.20	Keri ke na mane te talu ahadira na lei maumanu dolo, mana lei manu soko, mana maumanu asi ghua. Hauva me mua sodoa na dolana te ulaghana ke kabu kolua me ke hangaa. 
GEN.2.21	Keri ge Yahweh God te nea Adam me maturu mate, me sipa keha sakai na huli kakasana, me mavo olia na bona te lavikeha iga. 
GEN.2.22	Ma Yahweh God te gonia na vaivine nia na huli kakasana na mane, me lavia vania mai. 
GEN.2.23	Keri ge na mane te bosa,
