MRK.1.1	Ne Adaghsaweaghtsera ne Gospel Jesus Christ ne Niyoh Royè‐ah.
MRK.1.2	A‐sé eghnìyoght tsirodighyàdouh ne Prophethògouh, satkàght‐hoh yeakhènháne n’Agwadanhatsera, ne egh‐eaye sahheandeàse, nene Eayesahahhaghseronnyea sah‐heàndou tsiniyàhesenohattye.
MRK.1.3	Ne Oweana ouskagh yeweanodatye et‐ho Karhàgouh, wàdouh ne tsy’adearhàrah tsi‐nondahawenohattye ne Royàner, senihah‐hagwarighsyh ne Raohah‐haògouh.
MRK.1.4	John et‐ho shakoghnegosserah Karhàgouh, neoni wahharighwaghnòdouh tsis‐hakoghnegosseraghs ne onsavondatrèwaghte ikea ne entsyondadderighwiyoghstackwea n’Akorighwanneràksera.
MRK.1.5	Neoni agwègouh ne ne Judea Youghwentsyàde, ne oni ronouhha Jerusalem et‐ho wa‐eaghde raouhàgeh, neoni agwègouh waghsakoghnegosseraghwe Kahyoehhakouh Jordan, waondatrèwaghte n’Akorighwaneràksera.
MRK.1.6	Neoni John Ra‐onèna na‐ah Camel Ononghwèr‐hou, neoni Raodyadanha Oghna ne dehotyagwaranheah: neoni Kweàyoh ìraks neoni ne Tsì‐iks konditsikhèdoh.
MRK.1.7	Neoni wahaderighwaghnòdouh wahheàrou kea dàre oghnàge shayàdah rakes‐hatsdeaghserakannyouh raouha Raonikaghgtsyèna yaghdeàtsyh dewakerhàrats ne dakats‐hàgede neoni akerighsyh.
MRK.1.8	Tihhorighwìyoh wagwaghnekosseraghwe Oghnèganoghs nahhotea: ok ne raouhha, ne eaghtshisewaghnekosseraghwe Ronigoghriyoghstouh eàrade.
MRK.1.9	Neoni et ho yah‐hont‐hewe et‐hòne Wighniseradennyoewe, ne Jesus tayhayeaghtaghgwe Nazareth nongàdyh Galilee, neoni John raouhha wahhoghnekoseraghwe Kaihyoehhakouh Jordan.
MRK.1.10	Neoni agwagh ne oksa hadeskògoh ne Oghne?-?gàge, wahatkaght‐ho ne Karoughyàge ondenhodòenkoh, neoni ne Kanigòera anyogh Oorìde dondàseaghde wahhottyeàhhaghse.
MRK.1.11	Neoni et‐ho Takondàdyh Karoughyàge nonkadih, waìrouh, ìse ne koenoroughkwa Koeyè‐ah, ìsetseràgouh agwagh wakeriendìyoghs.
MRK.1.12	Neoni yokondattye ne Kanigòera raouha wahhotòry Karhàgouh nongàdih.
MRK.1.13	Neoni et‐ho yèresgwe ne Karhàgouh kayèryniwighniseraghsea wat‐hodeanagèraghde ne Sàtan, neoni et‐ho irèse tsikònése ne Kondirryo‐sòe‐ah, neoni ne Karoughyageghrònouh teh‐hoewaghsnyea roewatsterist‐ha.
MRK.1.14	Ne ònea oghnageànkeh Shihoewanaghskouh ne John roewanhòdouh, Jesus wàrawe et‐ho Galilee, rarighwaghnòdouh ne (Gospel) Orighwadogeàghty Raoyanèrtsera Niyoh.
MRK.1.15	Neoni wahheàrouh, ne yakarìne ònea tsinikarìwade, neoni ne Raoyanertsera Nìyoh okhet‐ho tsyadon‐hakanòenyh: tsyadatrèwagh neoni kaseneghdagh’k ne Gospel.
MRK.1.16	Ne ònea okné tsi‐ìre Kaniyàdarakdattye ne Galilee, waghshakot‐kaght‐ho Simon, neoni Andrew Yadadegèa‐ah, vadenìroghs Kaniyadaràge: (Ikea n’itsyakwaghs tsiniyatyérha Katotsyeaght‐ha.)
MRK.1.17	Neoni Jesus waghshakaweahhaghse, kásseneh akenighnonderátyeght, neoni I eakenirihhouh ne Ongwe entsyadenighròghseke.
MRK.1.18	Neoni agwagh oksaok waghyadeweàndeghte ne Raodìtoh neoni wahhonwaghnonderatyeghte.
MRK.1.19	Neoni ne onea oghstòuha suh‐ha isinòe niyahàre, waghshakot‐kaght‐ho James ne Shakoyè‐ah Zebedee, neoni N’yadadegeà‐ah John, eghoni nihontyérha Kahòewagouh radiyàdid shadinik‐houh ne Raodìtoh.
MRK.1.20	Neoni agwagh oksaok yaghshakoroughyehhare: neoni wahoyadòendyh ne roewaniha Zebedee et‐ho Kahhòewagouh ne oksa honadàdeare nok thighshakonhaouhah, neoni waghyaghdeàndy wahoewaghnonderatyeghde.
MRK.1.21	Neoni wahòneghde et‐ho Capernaum, neoni agwagho ksaok et‐ho wàreghde tsiyakotkeanissouh ne (Synagogue) Aweandadogeaghdònke neoni waghshakorìhhonnyeh.
MRK.1.22	Neoni wàkoneghràgo tsinihorihhòdeah: Ikea kea na‐àwea tsiwaghs hakorihhonnyouh an’vogh okthi‐ha‐as‐hatsde thihakowànea, neoni yagheghdèyought tsinìyought Tsiroewadirihhonnyènyh.
