MAT.1.1	Huā'mā' lista ū'tza' ī'xū'nāpap Jesucristo ē xla' ī'xū'nātā'nat David ē nā Abraham.
MAT.1.2	Abraham ixtāta' Isaac ixuanī't ē ū'tza' ixtāta' Jacob ē ū'tza' ixtāta'ca'n Judá ē ixtā'timīn. 
MAT.1.3	Judá ixtāta'ca'n Fares ē Zara ixuanī't ē ixtzī'ca'n ixuanican Tamar. Fares ixtāta' Esrom ixuanī't ē ū'tza' ixtāta' Aram. 
MAT.1.4	Aram ixtāta' Aminadab ixuanī't ē ū'tza' ixtāta' Naasón tī ixtāta' Salmón. 
MAT.1.5	Salmón ixtāta' Booz ixuanī't ē ixtzī' Booz ū'tza' Rahab. Booz ixtāta' Obed ixuanī't ē ixtzī' Obed ixuanican Rut. Obed ixtāta' Isaí ixuanī't. 
MAT.1.6	Isaí ixtāta' rey David ixuanī't. Rey David ē puscāt tī pūla ixpuscāt Urías ixuanī't, xlaca'n ixtāta'ca'n Salomón ixtahuanī't.
MAT.1.7	Salomón ixtāta' Roboam ixuanī't ē ū'tza' ixtāta' Abías tī ixtāta' Asa. 
MAT.1.8	Asa ixtāta' Josafat ixuanī't ē Josafat ixtāta' Joram ē ū'tza' ixtāta' Uzías. 
MAT.1.9	Uzías ixtāta' Jotam ixuanī't ē ū'tza' ixtāta' Acaz ē ū'tza' ixtāta' Ezequías. 
MAT.1.10	Ezequías ixtāta' Manasés ixuanī't ē ū'tza' ixtāta' Amón tī ixtāta' Josías. 
MAT.1.11	Josías ixtāta'ca'n Jeconías ē ixtā'timīn ixuanī't ē a'cxni' ixcāchī'canī't ē cālē'nca israelitas nac ti'ya't jā huanican Babilonia.
MAT.1.12	A'cxni' cālē'ncanī'ttza' a'cxni' Jeconías ixka'lhī ixka'hua'cha Salatiel ē ū'tza' ixtāta' Zorobabel ixuanī't. 
MAT.1.13	Zorobabel ixtāta' Abiud ixuanī't ē ū'tza' ixtāta' Eliaquim tī ixtāta' Azor. 
MAT.1.14	Azor ixtāta' Sadoc ixuanī't ē ū'tza' ixtāta' Aquim tī ixtāta' Eliud. 
MAT.1.15	Eliud ixtāta' Eleazar ixuanī't ē ū'tza' ixtāta' Matán tī ixtāta' Jacob. 
MAT.1.16	Jacob ixtāta' ixuanī't José tī ixkōlu' María. Tzamā' María, xla' ixtzī' Jesús ixuanī't, ū'tza' tī huanican Cristo.
MAT.1.17	Chuntza' ixlīkelhacāujtā'ti' ī'xū'nātā'natna' Abraham a'cxni' tahuī'lh David. Ixlīkelhacāujtā'ti' ī'xū'nātā'natna' David a'cxni' ixcālē'ncanī't israelitas nac ti'ya't jā huanican Babilonia. Ixlīkelhacāujtā'ti' ī'xū'nātā'natna' huampala a'cxni' lacatuncuhuī'lh Cristo.
MAT.1.18	A'cxni' tahuī'lh Jesucristo, chuntza' a'kspulalh. Ixtzī' ixuanican María ē xla' ixtā'lacāxlanī'ttza' natā'tamakaxtoka José. A'cxni' jāna'j ixā'tatā'tahui'la a'cxni' María ixlīka'lhīni'ntza' ixlītli'hui'qui Espíritu Santo. 
MAT.1.19	A'cxni' José ca'tzīlh María ixka'lhīni'ntza', xla' ixmakxtekcu'tun. Tzeya chi'xcu' ixuanī't ē ū'tza' jā ixlīmālacapū'cu'tun na ixlacatīnca'n tachi'xcuhuī't ē jā ixmāmāxanī'cu'tun. Xmān tzē'k ixmakxtekcu'tun. 
MAT.1.20	A'cxni' José ixlacapāstacmā'lh huā'mā' a'cxni' lakahuāna'lh ē tasu'yuni'lh chā'tin ángel tī macamilh Māpa'ksīni' Dios ē xla' huanilh:
MAT.1.20	―José, hui'x tī ī'xū'nātā'nat David, jā catilīmā'xa'na' natā'tamakaxtoka María. Ū'tza' līka'lhīni'lh Espíritu Santo. 
MAT.1.21	Naka'lhī ī'ska'ta' ka'hua'cha ē nahui'lī'ni'ya' ixtacuhuīni' Jesús. Xla' nacāmakapūtaxtū ixtachi'xcuhuī't ē ū'tza' nalīmāpācuhuīcan Jesús ―huanilh ángel.
MAT.1.22	Pō'ktu huā'mā' tū a'kspulalh namākentaxtū chī huanli ixa'kchihuīna' Māpa'ksīni' Dios. Chuntza' tzo'kli:
MAT.1.23	Tzu'ma'jāt naka'lhīni'n ē naka'lhī ixka'hua'cha ē namāpācuhuīcan Emanuel.
MAT.1.23	(Huā'mā' tacuhuīni' huanicu'tun: Dios quincātā'hui'lan.)
MAT.1.24	A'cxni' lakahuanli José, tlahualh ixlīpō'ktu tū māpa'ksīlh ixángel Māpa'ksīni' ē tā'tamakaxtokli María. 
