GEN.1.1	Mwanzo Mwenyezimungu komba bingu na duniya. 
GEN.1.2	Ardhi íkiwa yawaka bila umbo. Íkiwa bahari yakwica na kwinukala, na Roho ya Mwenyezimungu ákidandaza yaaa julu ya maji.
GEN.1.3	Sambi Mwenyezimungu akisema javi: “Iwepo nuru!” Basi ire nuru ikanza kuwapo. 
GEN.1.4	Mwenyezimungu akiwona nuru ire kuwa ngema. Akawanya nuru na kisi. 
GEN.1.5	Mwenyezimungu nuru ire keta “nsana” na kisi keta “usiku”. Ikipita suku ya kwanza, kukica subuu.
GEN.1.6	Sambi Mwenyezimungu akisema: “Uwe-po wasaa kati ya maji, ipate maji awanyike!” 
GEN.1.7	Basi Mwenyezimungu paatendire wasaa akawanya maji ari sini na julu ya wasaa. Kwa javyo, vikikuna novyo. 
GEN.1.8	Mwenyezimungu wasaa keta “bingu”. Ikipita suku ya piri, kukica subuu.
GEN.1.9	Sambi Mwenyezimungu akisema javi: “Maji ari sini ya wasaa akusanyike awe mahala pamoja, iwoneke nrima.” Kwa javyo, vikikuna novyo. 
GEN.1.10	Mwenyezimungu nrima ire keta “ardhi” na maji akusanyike are keta “bahari”. Basi Mwenyezimungu kawona kuwa vyema.
GEN.1.11	Mwenyezimungu tena akisema: “Ardhi iwotese minyani yakupa mbeyu jisijisi na miti ya visumo jisijisi ya kila namuna, na kila kisumo na nango yake.” Kwa javyo, vikikuna novyo. 
GEN.1.12	Ardhi ikiwotesa minyani yakupa mbeyu jisijisi ya kila namuna, na miti ya visumo vya nango jisijisi ya kila namuna. Basi Mwenyezimungu akiwona kuwa vyema. 
GEN.1.13	Ikipita suku ya tatu, kukica subuu.
GEN.1.14	Basi Mwenyezimungu akisema: “Binguni viwepo vyakumwarika, ipate wawanyike usiku na nsana! Viwe alama ya kumanyirisa mirongo ya wakati, suku, na myaka. 
GEN.1.15	Na vyakumwarika sivyo vya binguni vifãi novyo kumwarika ardhi.” Kwa javyo, vikikuna novyo. 
GEN.1.16	Mwenyezimungu katenda vinu viwiri vikulu vyakumwarika. Cakumwarika kikulu pakulu ndi juwa ritaware nsana, na kitoto ndi mwezi utaware usiku. Na katenda novyo nondwa. 
GEN.1.17	Nevyo Mwenyezimungu akitula wasaa ya binguni vimwarike ardhi, 
GEN.1.18	ipate vitaware usiku na nsana, na vyawanye kisi na nlangaza. Basi Mwenyezimungu akiwona kuwa vyema. 
GEN.1.19	Ikipita suku ya ane, kukica subuu.
GEN.1.20	Sambi Mwenyezimungu akisema: “Mmaji ainshi makundi a viyumbe hai na nkati ya wasaa uri kati ya ardhi na bingu ziruke nyuni!” 
GEN.1.21	Mwenyezimungu kawomba manyama wakulu-wakulu na viyumbe hai vya mbahari vikenenda viriga-viriga mmaji nomure fo, piya vya kila namuna jisijisi. Komba nyuni kila namuna jisijisi. Basi Mwenyezimungu akiwona kuwa vyema. 
GEN.1.22	Mwenyezimungu akiwajanliya akisema: “Muwe na rútuba mukure mupongolane na mwijare maji mbahari, na novyo nyuni zipongolane zongezeke muinti!” 
GEN.1.23	Ikipita suku ya tanu, kukica subuu.
GEN.1.24	Sambi Mwenyezimungu akisema javi: “Ardhi ipongore viyumbe hai piya vya kila namuna jisijisi: nyama zakufuwiwa, wadudu wakurikweta pansi, na nyama za nnundu za kila namuna jisijisi.” Kwa javyo vikikuna novyo. 
GEN.1.25	Mwenyezimungu kawomba manyama wa nnundu wa kila namuna jisijisi, manyama wakufuwiwa kila namuna jisijisi, na wadudu piya wakurikweta pansi kila namuna jisijisi. Basi Mwenyezimungu akiwona kuwa vyema.
GEN.1.26	Mwenyezimungu akisema tena: “Timumbe binadamu kwa wajii yetu, wakulandana nofwe, ataware inswi za mbahari, nyuni zakwiruka, manyama wakufuwiwa, wa nnundu, na wadudu piya wakurikweta pansi.” 
GEN.1.27	Basi Mwenyezimungu kamumba binadamu kwa wajii yake, kweli-kwelini kwa wajii yake mwanyewe kamumba munu, mwananlume na mwanamuka kawomba.
GEN.1.28	Mwenyezimungu akiwajanliya, akiwambira javi: “Muwe na rútuba, mukure na mupongolane. Mongezeke na muwe na uwezo julu ya vinu piya. Mutaware inswi za mbahari, nyuni zakwiruka, na manyama piya wakwenenda muinti.” 
GEN.1.29	Mwenyezimungu akiwambira tena: “Onani! Nukupani kila namuna ya minyani yakupa mbeyu ijare muinti-mu piya, na miti piya yakupa visumo vya nango, ipate viwe cakurya cenu. 
GEN.1.30	Na nyama piya za muinti, nyuni piya zakwiruka, na wadudu piya wakurikweta pansi, piya vyenye uhai, cakurya cawo cikuwa minyani miwisi piya.” Kwa javyo, vikikuna novyo. 
GEN.1.31	Mwenyezimungu vyaatendire vire piya kawona kuwa vyema pakulu sana. Ikipita suku ya sita, kukica subuu.
GEN.2.1	Basi viripo binguni na ardhi piya, vikisa kuringana novyo. 
GEN.2.2	Mwenyezimungu kwa kuwa kâmariza kazi zake piya zâtendire, suku ya saba aatendire kinu, akipumula. 
GEN.2.3	Mwenyezimungu akijanliya suku ya saba ire, akitula kuwa suku takatifu, kwa kuwa iye ndi suku yaapumure kwa kazi zake piya za kumba.
GEN.2.3	Eyi ndi hadisi ya mwanzo wa kumbiwa bingu na ardhi. 
GEN.2.4	Wakati Mwenyezimungu Mola wetu wombire bingu na ardhi, 
GEN.2.5	aiwerepo miti wala minyani, konta Mwenyezimungu Mola wetu ákiwa saanamba kwisusa nvula muardhi, wala awerepo munu wa kurima ardhi-yi. 
GEN.2.6	Fala pansi ákibubuka maji akitawanyika akilovya ardhi-yi. 
GEN.2.7	Basi wakati-wo Mwenyezimungu Mola wetu kamumba munu kwa utope. Kamwesézera mmula akimpa mumu yakupumuzika, na munu ire akiwa hai. 
GEN.2.8	Mwenyezimungu Mola wetu katengeza bushtani ya Edeni, upande wa malawira-juwa, akintula kiyumbe wamumbire ire. 
GEN.2.9	Mwenyezimungu Mola wetu akiwotesa muardhi miti jisijisi ya kila namuna, yakupa visumo vyema-vyema vyakwajibisa, vyakunowa kurya. Na kati-kati ya bushtani ire, úkiwapo Muti wa Mainsha na Muti wa Wijiwifu wa cema na kibaya.
GEN.2.10	Kati ya Edeni ákibubuka maji ukilawirira muto mmoja, maji akitawanyikira mbushtani mure piya, ikisa nkati ya nowo muto-wo ilawírira myuto mine yakusiyana. 
GEN.2.11	Zina ra muto wa kwanza Pishoni. Ewo uzungúriza inti piya ya Havila, mahala kairi oru nyingi. 
GEN.2.12	Oru ya noyo ardhi-yo ngema futi, ikisa viwapo vyengine tena kamba sheru yakunuwira pakulu na mawe a pansi akung'anira. 
GEN.2.13	Muto wa piri ndi Giyoni, uzungúriza inti ya Kushi piya. 
GEN.2.14	Muto wa tatu ndi Tigiri, upita upande wa malawira-juwa wa inti ya Ashuru. Muto wa ane ndi Farati.
GEN.2.15	Basi Mwenyezimungu Mola wetu kantula Adamu mbushtani ya Edeni, arime na ekarire. 
GEN.2.16	Mwenyezimungu Mola wetu akinlaizira ámuri kamba ezi akisema javi: “Irya kisumo ca muti usaka kuwa onse mbushtani-mu, 
GEN.2.17	ila usirye kisumo ca Muti wa Wijiwifu wa cema na kibaya. Suku yausaka kurya kisumo-co, kweli-kwelini úhukumiwa kufwa noyo suku-yo.”
GEN.2.18	Ikisa Mwenyezimungu Mola wetu akisema javi: “Sivyo vyema mwananlume-yu kwikala yeka. Níntafitira mwenziwe wakunfãi iye basi.” 
GEN.2.19	Kwa utope Mwenyezimungu Mola wetu kawomba manyama piya wa nnundu na minyani ya kila namuna, akiwokisa ka mwanadamu ipate ammone vyaasaka kuweta. Na kila kiyumbe zina raamwitire ronse ndi zina rake noro mpaka rero. 
GEN.2.20	Kwa javyo, Adamu kawapa mazina manyama wa kufuwiwa, nyuni pamoja na manyama wa nnundu piya, fala kwa noware-ware awerepo mwenziwe wakunfãi iye. 
