MAT.1.1	Yesu Kristo a ofi ɔhene Dawid ne Abraham abusua mu no mpanyimfo din na edidi so yi: 
MAT.1.2	Abraham ba ne Isak; Isak ba ne Yakob; Yakob nso mma ne Yuda ne ne nuanom. 
MAT.1.3	Yuda mma ne Peres ne Sera. Wɔn na ne Tamar. Peres ba ne Hesron, ɛnna Hesron nso ba ne Ram. 
MAT.1.4	Ram woo Aminadab; Aminadab woo Nahson. Nahson nso woo Salmon. 
MAT.1.5	Salmon ne ne yere Rahab woo Boas; Boas ne ne yere Rut woo Obed; Obed nso woo Yisai. 
MAT.1.6	Yisai ba ne ɔhene Dawid. Dawid ba ne Salomo. Dawid ne Bar-Seba a na anka ɔyɛ Uria yere no na wɔwoo Salomo. 
MAT.1.7	Salomo woo Rehaboam; Rehaboam woo Abia; Abia woo Asa. 
MAT.1.8	Asa woo Yehosafat; Yehosafat woo Yoram; Yoram nso woo Usia. 
MAT.1.9	Usia ba ne Yotam; Yotam ba ne Ahas; Ahas ba ne Hisikia. 
MAT.1.10	Hisikia ba ne Manase; Manase ba ne Amon; Amon nso ba ne Yosia. 
MAT.1.11	Yosia woo Yekonia ne ne nuanom. Wɔwoo wɔn bere a na Yudafo te nnomum mu wɔ Babilon no. 
MAT.1.12	Wofi Babilon nnomum mu bae no nso mu awo ntoatoaso ni: Yekonia woo Seatiel; Seatiel woo Serubabel. 
MAT.1.13	Serubabel woo Abihud; Abihud woo Eliakim; Eliakim nso woo Asor. 
MAT.1.14	Asor ba ne Sadok; Sadok ba ne Akim; Akim ba ne Elihud. 
MAT.1.15	Elihud ba ne Eleasar; Eleasar ba ne Matan. Matan nso ba ne Yakob; 
MAT.1.16	Yakob woo Yosef a ɔwaree Maria no. Saa Maria yi na ɔwoo Yesu Kristo.
MAT.1.17	Awo ntoatoaso a efi Abraham so de besi ɔhene Dawid so yɛ dunan. Efi ɔhene Dawid so de besi bere a wɔfaa ɔman no nnomum kɔɔ Babilon no nso awo ntoatoaso yɛ dunan saa ara. Saa ara nso na efi bere a wotu fii Babilon san baa wɔn man mu bio no de besi Kristo awo so nso yɛ awo ntoatoaso dunan.
MAT.1.18	Afei Yesu Kristo awo ho nsɛm ni: Wɔde ne na Maria maa Yosef sɛ ɔnware no. Saa bere no, na Maria yɛ ɔbaabun, ɛne sɛ, na onnim ɔbarima. Nanso Maria nam Honhom Kronkron so nyinsɛnee. 
MAT.1.19	Ɛbaa saa no, ne kunu Yosef a odi ne ho ni no ampɛ sɛ obegu Maria anim ase nti, ɔyɛɛ nʼadwene sɛ obegyaa no aware kokoam.
MAT.1.20	Bere a asɛm no ayɛ Yosef dadwene no, Awurade bɔfo beyii ne ho adi kyerɛɛ no dae mu. Ɔbɔfo no ka kyerɛɛ no se, “Yosef, Dawid aseni, nnyaa Maria aware, efisɛ, ne nyinsɛn no fi Honhom Kronkron. 
MAT.1.21	Ɔbɛwo ɔbabarima na woato ne din Yesu; ase ne Agyenkwa, efisɛ, ɔno na obegye ne nkurɔfo nkwa afi wɔn bɔne mu.” 
MAT.1.22	Eyi nyinaa baa mu de hyɛɛ nea odiyifo no kae no ma se:
MAT.1.23	“Ɔbaabun bi benyinsɛn na wawo ɔbabarima, na wɔato ne din, Immanuel,” a ase ne sɛ, “Onyankopɔn ne yɛn wɔ hɔ.” 
MAT.1.24	Bere a Yosef nyanee no, ɔyɛɛ sɛnea ɔbɔfo no hyɛɛ no sɛ ɔnyɛ no. Enti ɔkɔfaa ne yere Maria baa ne nkyɛn. 
MAT.1.25	Yosef ne Maria anhyia da kosii sɛ Maria woo ɔbabarima maa Yosef too ne din “Yesu”.
MAT.2.1	Bere a ɔhene Herode di ade no, na wɔwoo Yesu wɔ Betlehem a ɛwɔ Yudea. 
MAT.2.2	Saa bere no ara mu na anyansafo bi fi apuei baa Yerusalem bebisae se, “Ɛhe na Yudafo hene a wɔawo no no wɔ? Yehuu ne nsoromma wɔ apuei nohɔ, nti na yɛaba sɛ yɛrebɛsom no.”
MAT.2.3	Ɔhene Herode tee saa asɛm yi no, ɛhaw nʼadwene yiye. Saa ara nso na ɛhaw Yerusalemfo nyinaa adwene. 
MAT.2.4	Ɔhene Herode frɛɛ ɔman no mu asɔfo mpanyin ne kyerɛwsɛm no akyerɛkyerɛfo behyiae. Obisaa wɔn se, “Adiyifo no kyerɛɛ faako a wɔbɛwo Kristo no anaa?” 
MAT.2.5	Wobuaa no se, “Betlehem a ɛwɔ Yudea. Na eyi ne nea adiyifo no kae:
