MAT.1.1	Авраампа Давид йӑхӗнчен ҫуралнӑ Иисус Христосӑн йӑх-несӗл тымарӗ. 
MAT.1.2	Авраам ачи Исаак пулнӑ; Исаак ачи – Иаков; Иаков ачисем Иудӑпа унӑн пӗртӑванӗсем пулнӑ; 
MAT.1.3	Иуда ачисем – Фареспа Зара, вӗсен амӑшӗ Фамарь пулнӑ. Фарес ачи – Есром, Есром ачи Арам пулнӑ; 
MAT.1.4	Арам ачи – Аминадав; Аминадав ачи – Наассон; Наассон ачи Салмон пулнӑ. 
MAT.1.5	Салмон ачи – Вооз, унӑн амӑшӗ Рахава пулнӑ. Вооз Овид ашшӗ пулнӑ, Овид амӑшӗ Руфь пулнӑ. Овид ачи Иессей пулнӑ; 
MAT.1.6	Иессей ачи Давид патша пулнӑ; Давид ачи – Соломон, Соломон амӑшӗ малтан Урия арӑмӗ пулнӑ; 
MAT.1.7	Соломон ачи – Ровоам, Ровоам ачи – Авия, Авия ачи Аса пулнӑ; 
MAT.1.8	Аса ачи – Иосафат, Иосафат ачи – Иорам, Иорам ачи Озия пулнӑ; 
MAT.1.9	Озия ачи – Иоафам, Иоафам ачи – Ахаз, Ахаз ачи Езекия пулнӑ. 
MAT.1.10	Езекия ачи – Манассия, Манассия ачи – Амон, Амон ачи Иосия пулнӑ; 
MAT.1.11	Иосия ачи – Иоаким; Израиль халӑхне Вавилона куҫарса каяс умӗн Иоакимран Иехонияпа унӑн пӗртӑванӗсем ҫуралнӑ.
MAT.1.12	Вавилона куҫарса кайнӑ хыҫҫӑн Иехонияран Салафииль ҫуралнӑ; Салафииль ачи Зоровавель пулнӑ; 
MAT.1.13	Зоровавель ачи – Авиуд, Авиуд ачи – Елиаким, Елиаким ачи Азор пулнӑ; 
MAT.1.14	Азортан Садок ҫуралнӑ; Садок ачи – Ахим, Ахим ачи Елиуд пулнӑ; 
MAT.1.15	Елиудран Елеазар ҫуралнӑ; Елеазар ачи – Матфан, Матфан ачи Иаков пулнӑ; 
MAT.1.16	Иаковран Мариян упӑшки Иосиф ҫуралнӑ, Мария вара Христос теекен Иисуса ҫуратнӑ.
MAT.1.17	Ҫапла вара Авраамран пуҫласа Давида ҫитиччен пурӗ вун тӑватӑ сыпӑк. Давидран пуҫласа Вавилона куҫарса кайиччен те вун тӑватӑ сыпӑк. Вавилона куҫнинчен пуҫласа Христос ҫураличчен те вун тӑватӑ сыпӑк.
MAT.1.18	Иисус Христос ҫурални вара акӑ ҫапла пулса иртнӗ: Иисус Амӑшне, Марияна, Иосиф валли ҫураҫсан, вӗсем пӗрле пурӑнма пуҫличченех, Святой Сывлӑш хӑвачӗпе Мариян ҫие юлнӑ. 
MAT.1.19	Унӑн пулас упӑшки Иосиф тӳрӗ пурӑнакан ҫын пулнӑ. Вӑл, Мариян ятне ярас мар тесе, сас-хура кӑлармасӑр Ӑна пӑрахма шут тытнӑ. 
MAT.1.20	Анчах та вӑл ҫапла шухӑшласанах ӑна тӗлӗкре Хуҫа Туррӑмӑрӑн ангелӗ курӑннӑ. «Давид патша йӑхӗнчи Иосиф, – тенӗ Турӑ ангелӗ, – эсӗ арӑмна, Марияна, ху патна илме ан хӑра, Вӑл Святой Сывлӑш хӑвачӗпе йывӑр ҫын пулнӑ. 
MAT.1.21	Вӑл Ывӑл Ача ҫуратӗ, эсӗ ҫав Ачана Иисус ятлӑ хурӑн, мӗншӗн тесен Вӑл Хӑйӗн халӑхне ҫылӑхӗсенчен ҫӑлӗ». 
MAT.1.22	Ҫак ӗҫсем Хуҫа Турӑ пророк урлӑ калани пурнӑҫланмашкӑн пулса иртнӗ, пророк ҫапла каланӑ пулнӑ: 
MAT.1.23	«Акӑ Хӗр йывӑр ҫын пулса Ывӑл Ача ҫуратӗ, Ӑна Еммануил ятлӑ хурӗҫ». Еммануил тени «Турӑ пирӗнпе» тенине пӗлтерет. 
MAT.1.24	Иосиф ыйхӑран вӑраннӑ. Унтан вӑл, Хуҫа Туррӑмӑрӑн ангелӗ хушнӑ пекех, арӑмне хӑй патне илнӗ. 
MAT.1.25	Анчах вӑл Марияпа ҫывӑрман. Пурӑна-киле Мария Хӑйӗн пӗртен-пӗр Ывӑлне ҫуратнӑ. Иосиф Ӑна Иисус ятлӑ хунӑ.
MAT.2.1	Ирод патша вӑхӑтӗнче, Иудейӑри Вифлеем хулинче Иисус ҫуралсан, хӗвел тухӑҫӗнчи ӑсчахсем Иерусалима пынӑ та халӑхран ҫапла ыйтнӑ: 
MAT.2.2	«Иудейсен Патши пулма ҫуралнӑ Ача ӑҫта-ши? Ӗнтӗ эпир хӗвел тухӑҫӗнче Унӑн ҫӑлтӑрне куртӑмӑр та Ӑна пуҫҫапма килтӗмӗр». 
MAT.2.3	Ҫакна илтсен Ирод патша та, пӗтӗм Иерусалим ҫыннисем те аптӑраса ӳкнӗ. 
MAT.2.4	Вара Ирод аслӑ священниксене, халӑха Моисей саккунне вӗрентекенсене пурне те пухнӑ та: «Христосӑн ӑҫта ҫуралмалла?» – тесе тӗпчесе ыйтнӑ. 
MAT.2.5	«Иудейӑри Вифлеем хулинче, – тенӗ ӑна вӗсем, – мӗншӗн тесен Турӑ пророка ҫапла ҫыртарнӑ: 
MAT.2.6	„Эсӗ те, Вифлеем, Иуда ҫӗрӗ, Иудӑн аслӑ хулисенчен нимӗнпе те кая мар: мӗншӗн тесен санӑн ҫыннусенчен Ҫулпуҫӗ тухӗ, Вӑл Манӑн халӑхӑн, Израиль халӑхӗн, Кӗтӳҫи пулӗ“».
MAT.2.7	Вара Ирод ӑсчахсене вӑрттӑн чӗнсе илтерсе вӗсенчен ҫав ҫӑлтӑр курӑннӑ тӗрӗс вӑхӑта ыйтса пӗлнӗ. 
MAT.2.8	«Кайӑр та пӗчӗк Ача ҫинчен тӗплӗн тӗпчесе ыйтса пӗлӗр. Ӑна тупсан вара мана килсе калӑр, эпӗ те кайса пуҫҫапам Ӑна», – тенӗ Ирод вӗсене Вифлеем хулине кайма хушса. 
MAT.2.9	Патша хушнине итлесе ӑсчахсем кайнӑ. Ҫул ҫинче каллех хайхи хӗвел тухӑҫӗнче асӑрханӑ ҫӑлтӑр курӑннӑ. Ҫав ҫӑлтӑр вӗсем умӗнче куҫса пынӑ-пынӑ та, пӗчӗк Ача тӗлне ҫитсен, тӑпах чарӑннӑ. 
MAT.2.10	Ҫӑлтӑра курсан вӗсем питӗ савӑнса-хӗпӗртесе кайнӑ. 
MAT.2.11	Вара пӳрте кӗнӗ те пӗчӗк Ачапа Унӑн Амӑшне Марияна курнӑ. Вӗсем Ачана чӗркуҫленсех пуҫҫапнӑ, унтан хутаҫӗсенчен кӑларса Ӑна ылтӑн, ладан, смирна парнеленӗ. 
MAT.2.12	Каярахпа Турӑ вӗсене тӗлӗк кӑтартса Ирод патне тавӑрӑнма юраманни ҫинчен пӗлтернӗ. Вара ӑсчахсем хӑйсен ҫӗрне урӑх ҫулпа тавӑрӑннӑ.
MAT.2.13	Ӑсчахсем кайсан Хуҫа Туррӑмӑрӑн ангелӗ Иосифа тӗлӗкре курӑнса ҫапла каланӑ: «Тӑр та пӗчӗк Ачапа Амӑшне илсе Египет ҫӗр-шывне тар. Эпӗ систериччен ҫавӑнтах пурӑн, мӗншӗн тесен Ирод пӗчӗк Ачана шыраса тупса вӗлерттересшӗн». 
MAT.2.14	Иосиф тӑнӑ та пӗчӗк Ачапа Унӑн Амӑшне илсе ҫӗр варринчех Египета тухса кайнӑ; 
MAT.2.15	вара Ирод виличченех унта пурӑннӑ. Ҫапла Хуҫа Турӑ пророк урлӑ: «Ывӑлӑма Эпӗ Египетран чӗнсе илтӗм», – тесе калани пурнӑҫланнӑ.
MAT.2.16	Ӑсчахсем хӑйне улталанине ӑнланса илсен Ирод пит ҫилленсе кайнӑ. Вара вӑл, ӑсчахсенчен тӗпчесе пӗлнӗ вӑхӑт тӑрӑх, Вифлеемпа унӑн таврашӗнче ҫуралнӑ иккӗри тата икӗ ҫултан кӗҫӗнрех пӗчӗк ачасене пурне те вӗлерсе тухма хушнӑ. 
MAT.2.17	Ҫапла майпа Турӑ Иеремия пророк урлӑ калани пурнӑҫланнӑ. Вӑл ҫапла каланӑ пулнӑ: 
MAT.2.18	«Рама хулинче сасӑпах макӑрни, хыттӑн ӳлени, татӑлса йӗни илтӗнет. Ку вӑл ачисем ҫукран лӑпланаймасӑр йӗрекен Рахиль сасси».
MAT.2.19	Ирод вилсен вара Египетра Хуҫа Туррӑмӑрӑн ангелӗ Иосифа тӗлӗкре курӑннӑ та 
MAT.2.20	ҫапла каланӑ: «Ача чунне шыракансем вилчӗҫ ӗнтӗ, ҫавӑнпа тӑр та, Ачапа Амӑшне илсе, Израиль ҫӗрне кай». 
MAT.2.21	Иосиф тӑнӑ та, Ачапа Амӑшне илсе, Израиль ҫӗрне тавӑрӑннӑ. 
MAT.2.22	Анчах та Иудейӑра Ирод ывӑлӗ Архелай ашшӗ вырӑнӗнче патшара ларнине пӗлсен Иосиф унта тавӑрӑнма шикленнӗ. Вара, Турӑ хӑйне тӗлӗкре пӗлтернине итлесе, Галилейӑна кайнӑ. 
MAT.2.23	Унта вӑл хӑйӗн ҫемйипе Назарет ятлӑ хулара пурӑнма пуҫланӑ. Ҫапла Турӑ пророксем урлӑ: «Турӑ Суйласа илнине Назорей тейӗҫ», – тесе калани пурнӑҫланнӑ.
MAT.3.1	Ҫав кунсенче Шыва кӗртекен Иоанн халӑх хушшине тухнӑ, вӑл Иудея пуш хирӗнче ӳкӗтлесе вӗрентнӗ. 
MAT.3.2	«Ҫӳлти Патшалӑх ҫывхарчӗ ӗнтӗ, ҫавӑнпа та ӳкӗнӗр», – тенӗ вӑл ҫынсене. 
MAT.3.3	Исаия пророках ун ҫинчен ҫапла каланӑ пулнӑ: «Пуш хирте чӗнекенӗн сасси илтӗнет: „Хуҫамӑр валли ҫул хатӗрлӗр, Вӑл утас ҫулсене тӳрлетӗр!“» 
MAT.3.4	Ҫӳрессе Иоанн тӗве ҫӑмӗнчен тунӑ тумтир тӑхӑнса, пилӗкне чӗн пиҫиххи ҫыхса ҫӳренӗ. Ҫиессе вӑл хӗрлӗ шӑрчӑк тата хӑвӑлсенче тупкаланӑ пыл ҫисе пурӑннӑ. 
MAT.3.5	Ун патне Иерусалимран, пӗтӗм Иудейӑран тата Иордан шывӗ таврашӗнчен ҫынсем пырсах тӑнӑ. 
MAT.3.6	Иоанн вӗсене ҫылӑхӗсенчен ӳкӗнтерсе Иорданра шыва кӗртнӗ.
MAT.3.7	Фарисейсемпе саддукейсенчен чылайӑшӗ хӑй патне шыва кӗме пынине асӑрхасан Иоанн вӗсене ҫапла каланӑ: «Эй, ҫӗлен ҫурисем! Ҫитес ҫилӗрен тарса хӑтӑлма кам вӗрентрӗ сире? 
MAT.3.8	Эппин хӑвӑр ҫылӑхран ӳкӗннине тивӗҫлӗ ӗҫпе ҫирӗплетсех тӑрӑр. 
MAT.3.9	„Пирӗн мӑн асатте – Авраам!“ – текен шухӑшпа киленсе ан пурӑнӑр. Калатӑп сире: Турӑ ҫак чулсенчен те Авраам ачисем тума пултарать. 
MAT.3.10	Акӑ пуртӑ та йывӑҫ тымарӗ ҫумӗнчех выртать. Ырӑ ҫимӗҫ кӳмен кирек епле йывӑҫа та касса вута пӑрахаҫҫӗ. 
