MAT.1.1	Iya na itu kapangkatan si Isa Almasi, panubu' si Daud iya panubu' si Ibrahim.
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	Min si Ibrahim sampay ni si Sultan Daud, iya na itu kapanubuan na: si Ibrahim ian bayi 'mma' si Isahak, bo' si Isahak ian 'mma' si Ya'kub. Si Ya'kub bayi 'mma' si Yuda maka manga danakan na. Iya Yuda bayi 'mma' si Peres maka si Sera, si Tamar bayi ina' sigam. Iya Peres bayi 'mma' si Hesdon, iya Hesdon bayi 'mma' si Aram. Iya Aram bayi 'mma' si Amminadab, iya Amminadab bayi 'mma' si Nasson. Iya Nasson bayi 'mma' si Salmon, iya Salmon bayi 'mma' si Bowas, ina' na bayi si Rahab. Si Bowas bayi 'mma' si Obed, ina' na bayi si Rut. Si Obed bayi 'mma' si Jesse. Iya Jesse bayi 'mma' si Sultan Daud.
MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Salaitu panubu' min si Daud sampay ni waktu pamakalloan bangsa Israil pahi' ni lahat Babilon: si Daud ian bayi 'mma' si Sulayman, ina' na bayi handa si Uriya. Si Sulayman bayi 'mma' si Robowam, iya Robowam bayi 'mma' si Abiya, iya Abiya bayi 'mma' si Asa. Iya Asa bayi 'mma' si Josapat, iya Josapat bayi 'mma' si Joram, iya Joram bayi 'mma' si Usiyas. Iya Usiyas bayi 'mma' si Jotam, iya Jotam bayi 'mma' si Ahas, iya Ahas bayi 'mma' si Hijikiya. Iya Hijikiya bayi 'mma' si Manasse, iya Manasse bayi 'mma' si Amon, iya Amon bayi 'mma' si Jusiya. Iya Jusiya bayi 'mma' si Jekoniya maka manga danakan na.
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	Salaitu isab panubu' min masa pamakalloan bangsa Israil ni lahat Babilon, sampay ni waktu kalahil si Isa: si Jekoniya bayi 'mma' si Salati, iya Salati bayi 'mma' si Sirubbabil. Iya Sirubbabil bayi 'mma' si Abiyud, iya Abiyud bayi 'mma' si Eliyakim, iya Eliyakim bayi 'mma' si Asor. Iya Asor bayi 'mma' si Sadok, iya Sadok bayi 'mma' si Akim, iya Akim bayi 'mma' si Eliyud. Iya Eliyud bayi 'mma' si Eleyasal, iya Eleyasal bayi 'mma' si Mattan, iya Mattan bayi 'mma' si Ya'kub. Iya Ya'kub bayi 'mma' si Yusup iya halla si Mariyam. Si Mariyam bayi ina' si Isa, iya iyōnan si Almasi.
MAT.1.17	Manjari niya' kapangkatan na sangpu' ka 'mpat min si Ibrahim sampay ni si Sultan Daud. Sangpu' isab ka 'mpat kapangkatan na min si Daud sampay ni waktu bayi pamakalloan manga aa Israil ni Babilon. Sangpu' ka 'mpat isab kapangkatan na minnihi' sampay ni waktu kapag-anak ma si Almasi.
MAT.1.18	Salaitu iya kalangnganan kapag-anak ma si Isa Almasi. Si Mariyam iya ina' si Isa bayi na makapagtunang asal maka si Yusup, suga' ma 'nsa' le' sigam bayi takawin, tasayu si Mariyam in iya ngiram na min kawasa Nyawa Sutsi. 
MAT.1.19	Si Yusup, iya tunang na hi', aa adil asal. Hangkan na, kitauhan peen uk na in battōng na si Mariyam, baya' iya pabutas ma 'nsa' niya' makatau ma iya, sabab 'nsa' baya' muwanan si Mariyam kaiyaan. 
MAT.1.20	Sabu peen si Yusup mikil-mikil pasal itu, niya' paluwas ma diyōm upi ni iya dakayo' malaikat min Tuhan. Uk malaikat, “O Yusup panubu' si Daud, daa kau hawal-hawal magdakayo' maka si Mariyam iyu, sabab min kawasa Nyawa Tuhan iya hangkan niya' bittōngan uk na. 
MAT.1.21	Nganak du iya lalla, bo' si Isa iya pangōn nu iya sabab iya iya ngalappasan bangsa na du min karusahan sigam.”
MAT.1.22	Na, pitakka pakaradjaan itu kamemon bo' niya' katakkahan ma bayi tasulat ma diyōm kitab, iya bayi pilatun uk Tuhan ni kanabihan. Iya uk na,
MAT.1.23	“Niya' ian budjang ngiram, bo' iya nganak lalla,
