MAT.1.1	Jisu Krista ni phagararao ni greng: bo David ni basa, ar David, Abraham ni basa.
MAT.1.2	Abraham ni basa Isak, Isak ni basa Jakob, Jakob ni basa Juda ar boni khaphlungthu. 
MAT.1.3	Juda ni basa Perez ar Zera. Bonsi de Tamar jang hajaiyaba, Perez ni basa Hezron, Hezron ni basa Aram. 
MAT.1.4	Aram ni basa Amminadab, Amminadab ni basa Nashon, Nashon ni basa Salmon. 
MAT.1.5	Salmon ni basa Boaz, Rahab jang hajaiyaba, Boaz ni basa Obed, Ruth jang hajaiyaba, Obed ni basa Jesai. 
MAT.1.6	Jesai ni basa Raja David, David ni basa Solomon, Uriah ni bihih jang hajaiyaba.
MAT.1.7	Solomon ni basa Rehoboam, Rehoboam ni basa Abijah, Abijah ni basa Asa. 
MAT.1.8	Asa ni basa Jehosaphat, Jehosaphat ni basa Jehoram, Jehoram ni basa Uzzia. 
MAT.1.9	Uzzia ni basa Jotham, Jotham ni basa Ahaz, Ahaz ni basa Hezekia. 
MAT.1.10	Hezekia ni basa Manasse, Manasse ni basa Ammon, Ammon ni basa Josia. 
MAT.1.11	Babulon gede leng ne khahi langjao hi dongba ha, Josia ni basa Jekonia ode boni buphlungthu hajai ba.
MAT.1.12	Odehe, Babulon gede bonsi khahi langjao bani yaohon ha, Jekonia ni basa Selathiel ode Selathiel ni basa Jerubbabel oraha hajai ba. 
MAT.1.13	Jerubbabel ni basa Abiud, Abiud ni basa Eliakim, Eliakim ni basa Azor. 
MAT.1.14	Azor ni basa Zadok, Zadok ni basa Akhim, Akhim ni basa Eliud. 
MAT.1.15	Eliud ni basa Eleazar, Eleazar ni basa Matthan, Matthan ni basa Jakob. 
MAT.1.16	Jakob ni basa Josef, Mari ni basai; ebo Mari ni sao ha Jisu hajai ba, bo khe ning Krista thi ba.
MAT.1.17	Elei Abraham ni phrang David sosi jug jhibri, David ni phrang Babulon ha leng jaba sosibo jug jhibri, Babulon ha leng jahi Messia sosibo jug jhibri.
MAT.1.18	Jisu Krista hajaiba de edehe: Boni buma Mari, Josef jang dising jaoma ni sain hi deng ba. Thikhabo, bonsi yamsi-risi dongma ni sagang ha ning Bese Gathar jang sao khonggin jaba khe Mari tharmai la kha. 
MAT.1.19	Josef dormo subung jaba ni malai ni sagang ha bo grao khe lahi Mari khe sijima nangjaoya, odehe, phirik phirik negar ma bao ba. 
MAT.1.20	Ebo grao buthu khe bao hi dongba ha, Gabra ni saosi degla saomi ha nujao phai hi thi ba, Josef, ning Mari jang noh jaba khe da khin. Bo sao khonggin jayaba de Bese Gathar jang se ja ba thi hi tharmai lah. 
MAT.1.21	Bo nana miyah hajai ri ma, ode boni bumu khe Jisu deng lah. Bode jar ni subung buthu khe phap ni phrang sogo ginyaba se.
MAT.1.22	Gabra ni gorasali ni khuh jang thilang ba, 
MAT.1.23	Nai lah, mathla gathar sao khonggin ja ma, nana miyah mai ma; ode boni bumu khe Immanuel thi hi nisi deng ma thi hi sainthiyaba grao gibi japhai phu mane khlai hi khrip olei japhai ba se (Immanuel-ni ortho de jini ha Madai dong pha du thiyaba se).
MAT.1.24	Odehe, Josef thuhi dongyaba baija hi Gabra ni degla boni ha grao riba lai bo dang la kha; ode Mari khe bo noh ja kha. 
MAT.1.25	Thikhabo, nana miyah maiyasi de bonsi yamsi-risi jaya; ode boni bumu khe Jisu deng kha.
MAT.2.1	Raja Herod, raja jahi dongba ha, Juda raji ni Bethlehem nogor ha, Jisu hajai ba. Boha sainja ni phrang gonokrao Jerusalem ha phai hi sing ba, 
MAT.2.2	Judarao ni raja hajai phayaba braha dong? Sainja ni phrang boni sathrai khe jing nu hi, bokhe khlim ma ne jing phai ba, thi hi bonsi thi ba.
MAT.2.3	Raja Herod ebo grao khe khna ba jang khah waimu nang ba, ode Jerusalem ni khrip subungbo bo jang baosi gamang lai ba. 
MAT.2.4	Odehe, Jonthaimarao, Dara khe slingriyarao, subung buthu khe longthim hi bonsi khe bo sing ba, Krista la braha hajai ma?
MAT.2.5	Bonsi boni ha, Juda raji ni Bethlehem ha, gorasali elei rebyaba dong:
MAT.2.6	O ning Juda raji ni Bethlehem,
MAT.2.6	Juda nogor buthu ni bising ha ning khasi daothao ja phuya;
MAT.2.6	Bedethikhade, ani subung Israel sarao khe naiso-nuso ginyaba de,
MAT.2.6	Nini phrang se baigo ma, thi hi bonsi thi ba.
MAT.2.7	Yaohon ha Herod gonokrao khe longkhao hi sathrai nujaoba ni bubli khe ragao sisi sing hi thi ba, 
MAT.2.8	Thang, nana ni balam ha hamsisi sing tha; ode, angbo bokhe khlim mane khlai hi nisi nu kha ning a ne khna ri phin, thi hi bonsi khe Bethlehem ha haiha kha.
MAT.2.9	Odehe, bonsi raja ni grao khe khna hi thang la kha. Sainja ni phrang sathrai nuyaba de nana dongyaba krosao bujui ha songthaoba nuya si bonsi ni sagang sagang thang pha lang ba. 
MAT.2.10	Bonsi sathrai khe nu hi gabang khaja kha. 
MAT.2.11	Odehe, noh ha hapsing hi boni buma Mari niha, nana khe nu dada, yasgu thu hi bonsi khlim ba. Ode, bonsi jar jar ni don bubim buthu khe khuru hi khajama ni yaosandi-gajao, murra, athor bonthane bonsi ri ba.
MAT.2.12	Odehe, bonsi Herod ni ha thangphinya mane khlai hi saomi ha thijaoyaba grao dongba ni, lama gibin gede jar ni nolei ha bonsi thangphin la kha.
MAT.2.13	Odehe, bonsi thang la bani yaohon ha, Gabra ni degla saosi saomi ha nujao phai hi Josef khe thi ba, Baija hi nana jang boni buma khe lang hi, Egypt raji ha khailang lah; ode, ning khe ang thiphinya si, oraha ning dong lah. Bedethikhade, nana khe Herod sthai mane smai du.
MAT.2.14	Odebani, baija hi, hor ha ning nana jang boni buma khe lang hi Egypt ha bo thang la kha. 
MAT.2.15	Gabra ning gorasali ni khuh ha thi ba, Ani basa khe Egypt ni phrang longhun ma, thiyaba sophai phu mane khlai hi oraha ning bonsi dong ba.
MAT.2.16	Odehe, Herod khe gonokrao thokhi kha thi hi bo tharmai ba jang hamsi ning thamsi baigo hi, subung haiha hi, bubli ha gonokrao khe ragao sisi grao singphlaba lai, Bethlehem ni khrip haphai ha nana miyah nokha maithai gin ni phrang bakhla ni khrip khe bonsi dainthai thar ba.
