MAT.1.1	Lhibro de l’ourige de Jasus Cristo, filho de Dabide, filho de Abraan.
MAT.1.2	Abraan fui l pai d’Eisaac, Eisaac fui l pai de Jacó, i Jacó fui l pai de Judá i de sous armanos. 
MAT.1.3	Judá, de Tamar, tubo a Farés i a Zara, Farés fui l pai de Esron, Esron fui l pai de Aran. 
MAT.1.4	Aran fui l pai de Aminabade, Aminabade fui l pai de Naaçon, Naaçon fui l pai de Salmon. 
MAT.1.5	Salmon, de Raabe, tubo a Booç, Booç, de Rute, tubo a Oubede, Oubede fui l pai de Jessé, Jessé fui l pai de l rei Dabide. 
MAT.1.6	L rei Dabide, de la mulhier de Ourias, fui l pai de Salomon. 
MAT.1.7	Salomon fui l pai de Roboan, Roboan fui l pai de Abias, Abias fui l pai de Asa. 
MAT.1.8	Asa fui l pai de Josafate, Josafate fui l pai de Joran, Joran fui l pai de Ouzias. 
MAT.1.9	Ouzias fui l pai Joatan, Joatan fui l pai de Acaç, Acaç fui l pai de Eizequias. 
MAT.1.10	Eizequias fui l pai de Manassés, Manassés fui l pai de Amon, Amon fui l pai de Josias. 
MAT.1.11	Josias fui l pai de Jeconias i de sous armanos, al tiempo de l çterro para Babilónia.
MAT.1.12	Apuis de l çterro para Babilónia, Jeconias fui l pai de Salatiel i Salatiel fui l pai de Zorobabel. 
MAT.1.13	Zorobabel fui l pai de Abiude, Abiude fui l pai de Eiliaquin, Eiliaquin fui l pai de Azor. 
MAT.1.14	Azor fui l pai de Sadoc, Sadoc fui l pai de Aquin, Aquin fui l pai de Eiliude. 
MAT.1.15	Eiliude fui l pai de Eileazar, Eileazar fui l pai de Matan, Matan fui l pai de Jacó.
MAT.1.16	Jacó fui l pai de Jesé, home de Marie que tubo a Jasus, que le cháman Cristo.
MAT.1.17	Assi, son catorze giraçones zde Abraan até Dabide, catorze giraçones zde Dabide até al çterro para Babilónia i zde l çterro para Babilónia até Cristo outras catorze.
MAT.1.18	Anton, l nacimiento de Cristo fui assi: Marie, la mai del, era moça de Jesé i antes que stubíran a morar juntos eilha sentiu que staba preinha de l Sprito Santo. 
MAT.1.19	Jesé, l home deilha, cumo era justo i nun la querie çfamar, resolbiu deixá-la sien que naide se dira de cuonta. 
MAT.1.20	Andaba el cun esta matacion i apareciu-le un anjo de l Senhor an suonhos, dezindo-le: «Jesé, filho de Dabide, nun tengas miedo de recebir a Marie, tue mulhier, puis l que neilha se girou ye cousa de l Sprito Santo. 
MAT.1.21	Eilha bai a parir un filho i bás-le a poner l nome de Jasus, puis el salbará l sou pobo de ls pecados.»
MAT.1.22	Todo se passou assi pa que se cumprira l que dezira l Senhor pul porfeta: 
MAT.1.24	Quando Jesé spertou, fizo tal i qual cumo le habie mandado l anjo de l Senhor i aceitou la sue mulhier. 
MAT.1.25	I, sien que antes tubira drumido cun eilha, tubo un filho i puso-le l nome de Jasus.
MAT.2.1	Apuis de Jasus nacer, an Belen de la Judeia, al tiempo de l rei Harodes, houbo uns magos que benírun a Jarusalen 
MAT.2.2	i preguntórun: «Adonde stá l Rei de ls judius nacido por estes dies? Nós bimos la sue streilha ne l Ouriente i benimos pa lo adorar.»
MAT.2.3	Quando fui sabedor destas cousas, l rei Harodes quedou mui albrotado i, cumo el, toda la cidade de Jarusalen. 
MAT.2.4	Anton, mandou ajuntar todos ls xefes de ls saçardotes i ls scribas de l pobo i preguntou-le adonde iba a nacer l Messias. 
MAT.2.5	Eilhes respundírun-le: «An Belen de la Judeia, cunsante fui screbido pul porfeta: 
MAT.2.6	.»
MAT.2.7	Anton Harodes mandou chamar, daparte, ls magos, para saber al cierto quando le habie aparecido la streilha. 
MAT.2.8	Apuis, ambiou-los a Belen, dezindo-le: «Ide i anformai-bos bien subre l menino. Quando lo achardes abisai-me lhougo para you ir tamien alhá a adorá-lo.»
MAT.2.9	Apuis que oubírun l rei, botórun-se al camino. I la streilha, que habien bido ne l Ouriente, iba delantre deilhes, até parar mesmo porriba l sítio adonde staba l Nino. 
MAT.2.10	Al ber outra beç la streilha, ls magos quedórun mui cuntentos. 
MAT.2.11	Quando antrórun na casa bírun l Nino cula mai del, Marie, drobórun-se até la tierra delantre del i adorórun-lo. Apuis, abrírun ls sous tesouros i ouferecírun-le ouro, ansénsio i mirra. 
MAT.2.12	Habendo sido abisados an suonhos pa que nun tornáran por casa de Harodes, eilhes bolbírun pa la sue tierra por outro camino.
MAT.2.13	Apuis de eilhes se habéren ido ambora, un anjo de l Senhor apareciu-le a Jesé nun suonho i dixo-le: «Alhebanta-te, agarra l nino i la mai del, scapa-te pa l Eigito i queda alhá até que you te diga, puis Harodes ha de ir a saber de l nino pa l matar.» 
MAT.2.14	El agarrou cul nino i la mai del i scapou-se pa l Eigito pul meio la nuite 
MAT.2.15	i quedou alhá até que Harodes se morriu, para que se cumprira l que l Senhor habie dezido pul porfeta: 
MAT.2.16	Harodes, al ber que habie sido anganhado puls magos, quedou mui anrabiado i mandou matar todos ls ninos, de dous anhos para baixo, que habie an Belen i an todo l sou termo, cunsante l tiempo que ousmara pula anformaçon de ls magos. 
MAT.2.17	Ende cumpriu-se l que fura dezido pul porfeta Jeremias:
MAT.2.19	Apuis de se morrer Harodes, l anjo de l Senhor apareciu-le a Jesé, nun suonho, ne l Eigito, 
MAT.2.20	i dixo-le: «Alhebanta-te, agarra cul nino i la mai del i torna pa la tierra d’Eisrael, puis yá se morrírun ls que le querien tirar la bida al nino.» 
MAT.2.21	El alhebantou-se, agarrou l nino i la mai del i tornou pa la tierra d’Eisrael. 
MAT.2.22	Mas al oubir dezir que era Arquelau que reinaba na Judeia apuis la muorte de l pai, Harodes, tubo miedo de tornar para alhá. Anton, nun suonho, recebiu nuobas ordes de Dius i fui-se pa la region de la Galileia. 
MAT.2.23	Quedórun ende a morar, nũa tierra chamada Nazaré. Assi se cumpriu l dito de ls porfetas: 
MAT.3.1	Por aquel tiempo, apareciu Juan Batista a pregar pul zerto de la Judeia, dezindo: 
MAT.3.2	«Fazei peniténcia porque l reino de ls cielos stá acerca.» 
MAT.3.3	Este ye aquel que fui anunciado pul porfeta Eisaías, quando dixo: 
MAT.3.4	Juan traie ũa bestimienta feita de lhana de camelo i un cinto de piel alredror ls quadriles i quemie sartigalhos i miel de l monte. 
