MAT.1.1	Dies ist das Buch der Geschichte Jesu Christi, des Sohnes Davids, des Sohnes Abrahams.
MAT.1.2	Abraham war der Vater Isaaks. Isaak war der Vater Jakobs. Jakob war der Vater Judas und seiner Brüder. 
MAT.1.3	Juda war — durch Thamar — der Vater des Perez und Serah.
MAT.1.4	Ram war der Vater Aminadabs. Aminadab war der Vater Nahessons. Nahesson war der Vater Salmas. 
MAT.1.5	Salma war — durch Rahab — der Vater des Boas. Boas war — durch Ruth — der Vater Obeds. Obed war der Vater Isais. 
MAT.1.6	Isai war der Vater des Königs David.
MAT.1.7	Salomo war der Vater Rehabeams. Rehabeam war der Vater Abias. Abia war der Vater Asas. 
MAT.1.8	Asa war der Vater Josafats. Josafat war der Vater Jorams. Joram war der Vater Usias.
MAT.1.9	Usia war der Vater Jotams. Jotam war der Vater des Ahas. Ahas war der Vater Hiskias. 
MAT.1.10	Hiskia war der Vater Manasses. Manasse war der Vater Amons. Amon war der Vater Josias. 
MAT.1.11	Josia wurde der Vater Jechonjas und seiner Brüder zur Zeit der Wegführung nach Babylon.
MAT.1.12	Nach der Wegführung nach Babylon wurde Jechonja der Vater Sealthiels.
MAT.1.13	Serubabel war der Vater Abiuds. Abiud war der Vater Eljakims. Eljakim war der Vater Asors. 
MAT.1.14	Asor war der Vater Zadoks. Zadoks war der Vater Achims. Achim war der Vater Eliuds. 
MAT.1.15	Eliud war der Vater Eleasars. Eleasar war der Vater Matthans. Matthan war der Vater Jakobs. 
MAT.1.16	Jakob war der Vater Josefs, des Mannes der Maria. Maria aber ist die Mutter jenes Jesus, der den Namen Christus trägt.
MAT.1.17	Alle Geschlechter von Abraham bis David betragen vierzehn. Auch von David bis zu der Wegfnhrung nach Babylon sind vierzehn Geschlechter. Ebenso sind vierzehn Geschlechter von der Wegfnhrung nach Babylon bis auf den Messias. 
MAT.1.18	Mit Christi Geburt verhielt es sich so: Als seine Mutter Maria mit Josef verlobt war, da zeigte sich's, noch ehe sie zusammenzogen, daß sie vom Heiligen Geist empfangen hatte. 
MAT.1.19	Josef aber, ihr Verlobter,
MAT.1.20	Als er dies erwog, da erschien ihm im Traume ein Engel des Herrn und sprach zu ihm: "Josef, du Sohn Davids, scheue dich nicht,
MAT.1.21	Und sie wird einen Sohn gebären, dem sollst du den Namen Jesus
MAT.1.22	Dies alles ist geschehen, damit sich jenes Wort erfülle, das der Herr durch den Mund des Propheten gesprochen hat: 
MAT.1.23	Siehe, die Jungfrau wird empfangen und einen Sohn gebären, und seinen Namen wird man nennen Immanuel,
MAT.1.24	Als Josef von seinem Schlaf erwachte, tat er, wie ihm der Engel des Herrn befohlen hatte, und führte seine Verlobte als Eheweib heim. 
MAT.1.25	Aber er verkehrte nicht mit ihr, bis sie einen Sohn geboren hatte.
MAT.2.1	Als Jesus in den Tagen des Königs Herodes
MAT.2.2	"Wo ist der König der Juden?
MAT.2.3	Als dies dem König Herodes zu Ohren kam, erschrak er,
MAT.2.4	Da berief er alle Hohenpriester und Schriftgelehrten des Volkes
MAT.2.5	Sie antworteten ihm: "Zu Bethlehem in Judäa. Denn so steht geschrieben in den Worten des Propheten: 
MAT.2.6	Und du, Bethlehem im Lande Juda, du bist durchaus nicht die geringste unter den Führerstädten. Denn aus dir soll mir ein Herrscher kommen, der wird als Hirte weiden mein Volk Israel."
MAT.2.7	Hierauf ließ Herodes die Sterndeuter in aller Stille
MAT.2.8	Dann wies er sie nach Bethlehem und sprach: "Zieht hin und forscht mit Sorgfalt nach dem Kinde; und habt ihr es gefunden, so gebt mir Nachricht, damit ich auch komme und ihm huldige."
MAT.2.9	Als sie dies von dem Könige vernommen hatten, machten sie sich auf den Weg.
MAT.2.10	Bei dem Anblick des Sternes wurden sie mit großer Freude erfüllt. 
MAT.2.11	Sie traten in das Haus und sahen das Kind bei Maria, seiner Mutter. Da fielen sie vor ihm nieder und huldigten ihm. Dann öffneten sie ihre Schatzbehälter und brachten ihm Gold, Weihrauch und Myrrhen als Geschenke dar. 
MAT.2.12	Im Traum erhielten sie
MAT.2.13	Als sie weggezogen waren, da erschien ein Engel des Herrn dem Josef im Träume und sprach zu ihm: "Auf, nimm das Kind und seine Mutter, flieh nach Ägypten und bleibe dort so lange, bis ich dir Nachricht gebe! Denn Herodes will das Kind in seine Gewalt bekommen, um es zu töten." 
MAT.2.14	Da stand er auf und nahm noch in derselben Nacht das Kind und seine Mutter und machte sich auf den Weg nach Ägypten. 
MAT.2.15	Dort blieb er bis zum Tode des Herodes. So erfüllte sich das Wort des Herrn durch den Propheten: Aus Ägypten hat ich meinen Sohn gerufen.
MAT.2.16	Als nun Herodes sah, daß ihn die Sterndeuter getäuscht hatten, ward er sehr zornig: er sandte Henker aus und ließ in Bethlehem und dem ganzen Umkreis dieses Ortes alle Knaben in dem Alter von zwei Jahren und darunter töten, nach dem Zeitpunkt, den er von den Sterndeutern genau erforscht hatte.
MAT.2.17	Damals erfüllte sich das Wort des Propheten Jeremia: 
MAT.2.18	In Rama hat man ein Geschrei gehört, lautes Weinen und Klagen: Rahel weint um ihre Kinder und will sich nicht trösten lassen; denn sie sind dahin.
MAT.2.19	Als aber Herodes gestorben war, da erschien in Ägypten ein Engel des Herrn dem Josef im Traum 
MAT.2.20	und sprach zu ihm: "Auf, nimm das Kind und seine Mutter und ziehe ins Land Israel!
MAT.2.21	Da stand er auf und nahm das Kind und seine Mutter und kam in das Land Israel. 
MAT.2.22	Als er aber hörte, daß Archelaus an Stelle seines Vaters Herodes in Judäa herrschte, trug er Bedenken, sich dort niederzulassen;
MAT.2.23	Dort nahm er Wohnung in einer Stadt, mit Namen Nazaret, damit die Worte der Propheten in Erfüllung gingen. Denn er
MAT.3.1	In jenen Tagen
MAT.3.2	"Ändert euern Sinn,
MAT.3.3	Er ist der Mann, vom dem der Prophet Jesaja gesprochen hat: In der Wüste ruft eine Stimme: "Bereitet dem Herrn den Weg, ebnet ihm die Pfade!"
MAT.3.4	Johannes aber trug ein Kleid von Kamelhaaren und um seine Hüften einen Ledergurt;
MAT.3.5	Da gingen die Leute aus Jerusalem, aus ganz Judäa und aus der ganzen Gegend um den Jordan zu ihm hinaus, 
MAT.3.6	ließen sich im Jordanflusse taufen und bekannten ihre Sünden.
MAT.3.7	Als er nun auch viele Pharisäer und Sadduzäer
MAT.3.8	So bringt den Frucht, wie sie der Sinnesänderung entspricht! 
MAT.3.9	Und laßt euch nur nicht beikommen, zu denken: 'Wir haben ja Abraham zum Vater.'
MAT.3.10	Schon liegt die Axt den Bäumen an der Wurzel; und jeder Baum, der nicht gute Frucht bringt, wird abgehauen und ins Feuer geworfen. 
MAT.3.11	Ich taufe euch mit Wasser, damit ihr euern Sinn ändert. Der aber nach mir kommt, hat größere Gewalt als ich, und ich bin nicht wert, ihm seine Schuhe nachzutragen:
MAT.3.12	Er hat schon die Wurfschaufel in der Hand und wird seine Tenne
MAT.3.13	Damals kam auch Jesus aus Galiläa an den Jordan zu Johannes, um sich von ihm taufen zu lassen. 
MAT.3.14	Der aber suchte ihn davon abzubringen, indem er sprach: "Ich hätte es nötig, mich von dir taufen zu lassen, und du kommst zu mir?" 
MAT.3.15	Doch Jesus antwortete ihm: "Laß mich nur! Denn so ziemt es uns,
MAT.3.16	In dem Augenblick aber, als Jesus nach seiner Taufe aus dem Wasser emporstieg, tat sich der Himmel über ihm auf, und er
MAT.3.17	Und eine Stimme aus dem Himmel sprach: "Dies ist mein geliebter Sohn,
MAT.4.1	Dann ward Jesus vom Geist in die Wüste geführt,
MAT.4.2	Und als er vierzig Tage und vierzig Nächte gefastet hatte,
MAT.4.3	Da trat der Versucher zu ihm und sprach: "Bist du Gottes Sohn, so befiehl, daß sich diese Steine hier in Brot verwandeln." 
MAT.4.4	Doch er antwortete: "Es steht geschrieben: Der Mensch wird nicht durch Brot allein am Leben erhalten, sondern durch alles, was ihm durch Gottes Allmachtswort bereitet wird."
MAT.4.5	Dann nahm ihn der Teufel mit sich in die heilige Stadt,
MAT.4.6	und sprach zu ihm: "Bist du Gottes Sohn, so stürze dich hinab,
MAT.4.7	Jesus aber erwiderte ihm: "Anderseits steht auch geschrieben: Du sollst den Herrn, deinen Gott, nicht versuchen."
MAT.4.8	Weiter nahm ihn der Teufel mit sich auf einen sehr hohen Berg. Von dort aus zeigte er ihm
MAT.4.9	und sprach zu ihm: "Dies alles will ich dir geben, wenn du vor mir niederfällst und mir huldigst." 
MAT.4.10	Da antwortete ihm Jesus: "Mir aus den Augen, Satan! Denn es steht geschrieben: Du sollst dem Herrn, deinem Gott, anbetend huldigen und ihn allein verehren."
MAT.4.11	Da verließ ihn der Teufel, und nun kamen Engel herbei und brachten ihm Speise. 
MAT.4.12	Auf die Kunde, Johannes sei verhaftet worden,
MAT.4.13	Er verließ Nazaret und nahm seine Wohnung in Kapernaum
MAT.4.14	So erfüllte sich der Ausspruch des Propheten Jesaja:
MAT.4.15	Das Land Sebulon und das Land Naphtali, das Gebiet nach dem Meere
MAT.4.16	- das Volk, das im Finstern saß, hat ein großes Licht gesehn, und denen, die in des Todes Land und Schatten wohnten, hat ein Licht geleuchtet. 
