GEN.1.1	Im Anfang schuf Gott die Himmel 
GEN.1.2	Und die Erde war wüst und leer, und Finsternis war über der 
GEN.1.3	Und Gott sprach: Es werde Licht! und es ward Licht. 
GEN.1.4	Und Gott sah das Licht, daß es gut war; und Gott schied das Licht von der Finsternis. 
GEN.1.5	Und Gott nannte das Licht Tag, und die Finsternis nannte er Nacht. Und es ward Abend und es ward Morgen: erster Tag. 
GEN.1.6	Und Gott sprach: Es werde eine Ausdehnung inmitten der Wasser, und sie scheide die Wasser von den Wassern! 
GEN.1.7	Und Gott machte die Ausdehnung und schied die Wasser, welche unterhalb der Ausdehnung, von den Wassern, die oberhalb der Ausdehnung sind. Und es ward also. 
GEN.1.8	Und Gott nannte die Ausdehnung Himmel. Und es ward Abend und es ward Morgen: zweiter Tag.
GEN.1.9	Und Gott sprach: Es sammeln sich die Wasser unterhalb des Himmels an einen Ort, und es werde sichtbar das Trockene! Und es ward also. 
GEN.1.10	Und Gott nannte das Trockene Erde, und die Sammlung der Wasser nannte er Meere. Und Gott sah, daß es gut war. 
GEN.1.11	Und Gott sprach: Die Erde lasse Gras hervorsprossen, Kraut, das Samen hervorbringe, Fruchtbäume, die Frucht tragen nach ihrer Art, in welcher ihr Same sei auf der Erde! Und es ward also. 
GEN.1.12	Und die Erde brachte Gras hervor, Kraut, das Samen hervorbringt nach seiner Art, und Bäume, die Frucht tragen, in welcher ihr Same ist nach ihrer Art. Und Gott sah, daß es gut war. 
GEN.1.13	Und es ward Abend und es ward Morgen: dritter Tag.
GEN.1.14	Und Gott sprach: Es werden Lichter an der Ausdehnung des Himmels, um den Tag von der Nacht zu scheiden, und sie seien zu Zeichen und zur Bestimmung von Zeiten und Tagen und Jahren; 
GEN.1.15	und sie seien zu Lichtern an der Ausdehnung des Himmels, um auf die Erde zu leuchten! Und es ward also. 
GEN.1.16	Und Gott machte die zwei großen Lichter: das große Licht zur Beherrschung des Tages, und das kleine Licht zur Beherrschung der Nacht, und die Sterne. 
GEN.1.17	Und Gott setzte sie an die Ausdehnung des Himmels, um auf die Erde zu leuchten, 
GEN.1.18	und um zu herrschen am Tage und in der 
GEN.1.19	Und es ward Abend und es ward Morgen: vierter Tag.
GEN.1.20	Und Gott sprach: Es wimmeln die Wasser vom Gewimmel lebendiger Wesen, 
GEN.1.21	Und Gott schuf die großen Seeungeheuer und jedes sich regende, lebendige Wesen, wovon die Wasser wimmeln, nach ihrer Art, und alles geflügelte Gevögel nach seiner Art. Und Gott sah, daß es gut war. 
GEN.1.22	Und Gott segnete sie und sprach: Seid fruchtbar und mehret euch und füllet die Wasser in den Meeren, und das Gevögel mehre sich auf der Erde! 
GEN.1.23	Und es ward Abend und es ward Morgen: fünfter Tag.
GEN.1.24	Und Gott sprach: Die Erde bringe hervor lebendige Wesen nach ihrer Art: Vieh und Gewürm 
GEN.1.25	Und Gott machte das Getier der Erde nach seiner Art, und das Vieh nach seiner Art, und alles, was sich auf dem Erdboden regt, nach seiner Art. Und Gott sah, daß es gut war.
GEN.1.26	Und Gott sprach: Lasset uns Menschen 
GEN.1.27	Und Gott schuf den Menschen in seinem Bilde, im Bilde Gottes schuf er ihn; Mann und Weib 
GEN.1.28	Und Gott segnete sie, und Gott sprach zu ihnen: Seid fruchtbar und mehret euch und füllet die Erde und machet sie euch untertan; und herrschet über die Fische des Meeres und über das Gevögel des Himmels und über alles Getier, das sich auf der Erde regt!
GEN.1.29	Und Gott sprach: Siehe, ich habe euch gegeben alles samenbringende Kraut, das auf der Fläche der ganzen Erde ist, und jeden Baum, an welchem samenbringende Baumfrucht ist: es soll euch zur Speise sein; 
GEN.1.30	und allem Getier der Erde und allem Gevögel des Himmels und allem, was sich auf der Erde regt, in welchem eine lebendige Seele ist, habe ich alles grüne Kraut zur Speise gegeben.
GEN.1.31	Und es ward also. Und Gott sah alles, was er gemacht hatte, und siehe, es war sehr gut. Und es ward Abend und es ward Morgen: der sechste Tag.
GEN.2.1	So wurden vollendet der Himmel und die Erde und all ihr Heer. 
GEN.2.2	Und Gott hatte am siebten Tage sein Werk vollendet, 
GEN.2.3	Und Gott segnete den siebten Tag und heiligte ihn; denn an demselben ruhte er von all seinem Werk, das Gott geschaffen hatte, indem er es machte.
GEN.2.4	Dies ist die Geschichte 
GEN.2.5	und ehe alles Gesträuch des Feldes auf der Erde war, und ehe alles Kraut des Feldes sproßte; denn Jehova Gott hatte nicht regnen lassen auf die Erde, und kein Mensch war da, um den Erdboden zu bebauen. 
GEN.2.6	Ein Dunst aber stieg auf von der Erde und befeuchtete die ganze Oberfläche des Erdbodens. 
GEN.2.7	Und Jehova Gott bildete den Menschen, Staub von dem Erdboden, und hauchte in seine Nase den Odem des Lebens; und der Mensch wurde eine lebendige Seele.
GEN.2.8	Und Jehova Gott pflanzte einen Garten in Eden 
GEN.2.9	Und Jehova Gott ließ aus dem Erdboden allerlei Bäume wachsen, lieblich anzusehen und gut zur Speise; und den Baum des Lebens in der Mitte des Gartens, und den Baum der Erkenntnis des Guten und Bösen. 
GEN.2.10	Und ein Strom ging aus von Eden, den Garten zu bewässern; und von dort aus teilte er sich und wurde zu vier Flüssen. 
GEN.2.11	Der Name des ersten ist Pison; dieser ist es, der das ganze Land Hawila umfließt, wo das Gold ist; 
GEN.2.12	und das Gold dieses Landes ist gut; daselbst ist das Bdellion 
GEN.2.13	Und der Name des zweiten Flusses: Gihon; dieser ist es, der das ganze Land Kusch umfließt. 
GEN.2.14	Und der Name des dritten Flusses: Hiddekel; 
GEN.2.15	Und Jehova Gott nahm den Menschen und setzte ihn in den Garten Eden, ihn zu bebauen und ihn zu bewahren.
GEN.2.16	Und Jehova Gott gebot dem Menschen und sprach: Von jedem Baume des Gartens darfst du nach Belieben essen; 
GEN.2.17	aber von dem Baume der Erkenntnis des Guten und Bösen, davon sollst du nicht essen; denn welches Tages du davon issest, wirst du gewißlich sterben.
GEN.2.18	Und Jehova Gott sprach: Es ist nicht gut, daß der Mensch allein sei; ich will ihm eine Hülfe machen, seines Gleichen. 
GEN.2.19	Und Jehova Gott bildete aus dem Erdboden alles Getier des Feldes und alles Gevögel des Himmels, und er brachte sie zu dem Menschen, um zu sehen, wie er sie nennen würde; und wie irgend der Mensch ein lebendiges Wesen nennen würde, so sollte sein Name sein. 
GEN.2.20	Und der Mensch gab Namen allem Vieh und dem Gevögel des Himmels und allem Getier des Feldes. Aber für Adam fand er keine Hülfe seines Gleichen.
GEN.2.21	Und Jehova Gott ließ einen tiefen Schlaf auf den Menschen fallen, und er entschlief. Und er nahm eine von seinen Rippen und verschloß ihre Stelle mit Fleisch; 
GEN.2.22	und Jehova Gott baute aus der Rippe, die er von dem Menschen genommen hatte, ein Weib, 
GEN.2.23	Und der Mensch sprach: Diese ist einmal Gebein von meinen Gebeinen und Fleisch von meinem Fleische; diese soll Männin heißen, denn vom Manne ist diese genommen. 
GEN.2.24	Darum wird ein Mann seinen Vater und seine Mutter verlassen und seinem Weibe anhangen, und sie werden ein 
GEN.2.25	Und sie waren beide nackt, der Mensch und sein Weib, und sie schämten sich nicht.
GEN.3.1	Und die Schlange war listiger als alles Getier des Feldes, das Jehova Gott gemacht hatte; und sie sprach zu dem Weibe: Hat Gott wirklich gesagt: Ihr sollt nicht essen von jedem Baume des Gartens? 
GEN.3.2	Und das Weib sprach zu der Schlange: Von der Frucht der Bäume des Gartens essen wir; 
GEN.3.3	aber von der Frucht des Baumes, der in der Mitte des Gartens ist, hat Gott gesagt, davon sollt ihr nicht essen und sie nicht anrühren, auf daß ihr nicht sterbet. 
GEN.3.4	Und die Schlange sprach zu dem Weibe: Mit nichten werdet ihr sterben! 
GEN.3.5	Sondern 
GEN.3.6	Und das Weib sah, daß der Baum gut zur Speise und daß er eine Lust für die Augen und daß der Baum begehrenswert wäre, um Einsicht zu geben; und sie nahm von seiner Frucht und aß, und sie gab auch ihrem Manne mit ihr, und er aß. 
GEN.3.7	Da wurden ihrer beider Augen aufgetan, und sie erkannten, daß sie nackt waren; und sie hefteten Feigenblätter zusammen und machten sich Schürzen. 
GEN.3.8	Und sie hörten die Stimme 
GEN.3.9	Und Jehova Gott rief den Menschen und sprach zu ihm: Wo bist du? 
GEN.3.10	Und er sprach: Ich hörte deine Stimme im Garten, und ich fürchtete mich, denn ich bin nackt, und ich versteckte mich.
GEN.3.11	Und er sprach: Wer hat dir kundgetan, daß du nackt bist? Hast du gegessen von dem Baume, von dem ich dir geboten habe, nicht davon zu essen? 
GEN.3.12	Und der Mensch sprach: Das Weib, das du mir beigegeben hast, sie gab mir von dem Baume, und ich aß. 
GEN.3.13	Und Jehova Gott sprach zu dem Weibe: Was hast du da getan! Und das Weib sprach: Die Schlange betrog 
GEN.3.14	Und Jehova Gott sprach zu der Schlange: Weil du dieses getan hast, sollst du verflucht sein vor 
GEN.3.15	Und ich werde Feindschaft setzen zwischen dir und dem Weibe und zwischen deinem Samen und ihrem Samen; er wird dir den Kopf zermalmen, und du, du wirst ihm die Ferse zermalmen.
GEN.3.16	Zu dem Weibe sprach er: Ich werde sehr mehren die Mühsal deiner Schwangerschaft, 
GEN.3.17	Und zu Adam sprach er: Weil du auf die Stimme deines Weibes gehört und gegessen hast von dem Baume, von dem ich dir geboten und gesprochen habe: Du sollst nicht davon essen, so sei der Erdboden verflucht um deinetwillen: mit Mühsal sollst du davon essen alle Tage deines Lebens; 
GEN.3.18	und Dornen und Disteln wird er dir sprossen lassen, und du wirst das Kraut des Feldes essen. 
GEN.3.19	Im Schweiße deines Angesichts wirst du dein Brot essen, bis du zurückkehrst zur Erde, 
GEN.3.20	Und der Mensch gab seinem Weibe den Namen Eva, 
GEN.3.21	Und Jehova Gott machte Adam und seinem Weibe Röcke von Fell und bekleidete sie.
GEN.3.22	Und Jehova Gott sprach: Siehe, der Mensch ist geworden wie unser einer, zu erkennen Gutes und Böses; und nun, daß er seine Hand nicht ausstrecke und nehme auch von dem Baume des Lebens und esse und lebe ewiglich! 
