MAT.1.1	Awa ndiwo makholo a dzindza ya Yezu Kirixtu, Mwana wa Dhavidhi, Mwana wa Abharaamu.
MAT.1.2	Abharaamu abala Izaki,
MAT.1.2	Izaki abala Djakobo,
MAT.1.2	Djakobo abala Djudaa na abale ace.
MAT.1.3	Djudaa na nkazi wace Tamari abala Peresi na Zara,
MAT.1.3	Peresi abala Eziromu,
MAT.1.3	Eziromu abala Arau.
MAT.1.4	Arau abala Abhinadhabhi,
MAT.1.4	Abhinadhabhi abala Naasomi,
MAT.1.4	Naasomi abala Salomau.
MAT.1.5	Salomau na nkazi wace Raabhi abala Bhowazi,
MAT.1.5	Bhowazi na nkazi wace Ruti abala Obhedhi,
MAT.1.5	Obhedhi abala Djesi,
MAT.1.6	Djesi abala Mambo Dhavidhi.
MAT.1.6	Dhavidhi abala Salomau
MAT.1.6	na nkazi akhali wa Uriya,
MAT.1.7	Salomau abala Robhuwau,
MAT.1.7	Robhuwau abala Abhiya,
MAT.1.7	Abhiya abala Aza.
MAT.1.8	Aza abala Djosafati,
MAT.1.8	Djosafati abala Djoramu,
MAT.1.8	Djoramu abala Uziya.
MAT.1.9	Uziya abala Djotamu,
MAT.1.9	Djotamu abala Akasi,
MAT.1.9	Akasi abala Ezekiya.
MAT.1.10	Ezekiya abala Manase,
MAT.1.10	Manase abala Amoni,
MAT.1.10	Amoni abala Djosiya.
MAT.1.11	Djosiya abala Djekoniya
MAT.1.11	na abale ace,
MAT.1.11	pa midzidzi ikhadatapatwa mbumba ya madjuda kwenda ku
MAT.1.11	dziko ya Bhabhilonya.
MAT.1.12	Pa kubuluka kwawo pa kutapatwa ku dziko ya Bhabhilonya,
MAT.1.12	Djekoniya abala Salatiyeli,
MAT.1.12	Salatiyeli abala Zorobhabheli.
MAT.1.13	Zorobhabheli abala Abhiyudhi,
MAT.1.13	Abhiyudhi abala Eliyakimu,
MAT.1.13	Eliyakimu abala Azori.
MAT.1.14	Azori abala Sadhoki,
MAT.1.14	Sadhoki abala Akimu,
MAT.1.14	Akimu abala Eliyudhi.
MAT.1.15	Eliyudhi abala Eliazari,
MAT.1.15	Eliazari abala Matani,
MAT.1.15	Matani abala Djakobo.
MAT.1.16	Djakobo abala Zuze,
MAT.1.16	mamuna wace Mariya.
MAT.1.16	Mariya abalambo Yezu,
MAT.1.16	anacemerwa Kirixtu
MAT.1.17	Na tenepo, asagumanika makholo khumi na manai a dzindza ya madjuda, kutomera kuna Abharaamu mpaka kuna Dhavidhi. Kutomera kuna Dhavidhi mpaka kubuluka kwawo pa kutapatwa ku Bhabhilonya, asagumanika makholo khumi na manai. Pontho kubulukira ku Bhabhilonya mpaka kufikira pa kubaliwa kwa Kirixtu, asagumanika makholo khumi na manai.
MAT.1.18	Kubalwa kudacitwa Yezu Kirixtu ndi tenepa: Mariya, mai wace Yezu, pa n'dzidzi ukhabvundzirana iwo na mamuna wace Zuze, amuona mbali na pathupi mbadzati kudziwana na iye. Mbwenye ipi pyacitika na mphambvu za Nzimu Wakucena. 
