GEN.1.1	Deusũ nai inũ mai dami wakĩ eska wakĩ taewanikiaki. 
GEN.1.2	Mai hayariama hawa hayamahairakẽ Deusũ uiã dasibi henewãs uke merã dasibi meshui keyua dakakẽ habiatiãri Deusũ Yushĩ Pepa hene mamakishũ tũkash akaya
GEN.1.3	Deusũ shinãkĩ yuikĩ:
GEN.1.3	“Hau shabanũwẽ”, aka ma hawaira shaba inikiaki. 
GEN.1.4+GEN.1.5	Haska watã Deusũ uiã shaba pehaira dakakẽ hanushũ meshuri pashkatã ha dabe kenakĩ: “Shabaki”, ashũ meshuri kenakĩ: “Yameki”, atã ha dukũ 1 dia shabatiã hati Deusũ damiwakĩ taewanikiaki.
GEN.1.6+GEN.1.7	Ha katxu Deusũ damiwakĩ ana yuikĩ:
GEN.1.6+GEN.1.7	“Natukã watã hene pashkakĩ meribi watã hau haskanũwẽ”, anikiaki. Deusũ haska watã natukã wakĩ heneri pashkatã haska washũ meribi natukã namã hene washũ manaũriari nai anuri hene warianikiaki. 
GEN.1.8	Haska washũ natukã Deusũ kenakĩ:
GEN.1.8	“Naiki”, atã haska wakĩ 2 dia shaba Deusũ damiwakĩ taewanikiaki.
GEN.1.9	Haska washĩshũ Deusũ ana yuikĩ:
GEN.1.9	“Nai namanu hau henẽ itxayunũwẽ, mai metui uinubisirã”, aka nai namanua hene hanus itxai keyukẽ 
GEN.1.10	mai metu yẽkẽ dakakẽ Deusũ ha kenakĩ:
GEN.1.10	“Maiki”, ashũ heneri itxa Deusũ kenakĩ: “Henewãki”, ashũ uiã pekẽ 
GEN.1.11	Deusũ ana yuikĩ:
GEN.1.11	“Basi inũ yunu hesheya inũ hi hawẽ bimi hesheya ha mai metu anu hau dasibi benei keyunũwẽ”, ashũ 
GEN.1.12	haska wa maĩ basi benemakĩ yunu hesheya bestibu benemakĩ hi bestibu bimi hesheya benemakĩ dasibi ma benemakẽ Deusũ uiã pekẽ 
GEN.1.13	haska wakĩ 3 dia shaba Deusũ damiwakĩ taewanikiaki.
GEN.1.14	Haska dayakũkaĩkĩ Deusũ ana yuikĩ:
GEN.1.14	“Shaba inũ meshu tari meribi pashkakĩ nai anu hau txashati inũwẽ, shaba inũ, yame inũ, bari inũ, betsa betsapatiã tanakĩ unãmatirã. 
GEN.1.15	Nai anua mai hirabi anu txashapakeshãkanikiki”, ishũ 
GEN.1.16	Deusũ txashati ewapahaira dabe, bari inũ, ushe inũ, bishi itxapa damiwashũ ewapatũ hau shaba duawanunã, hatiumatũ hau yame duawanunã, 
GEN.1.17+GEN.1.18	mai hirabi anu txashapakemakĩ shaba duawamakĩ yame duawamakĩ shaba inũ yame tari shekakĩ meribi wakĩ nai anu Deusũ haska hanakeakeshũ uiã pekẽ 
GEN.1.19	haska wakĩ 4 dia shaba Deusũ damiwakĩ taewanikiaki.
GEN.1.20	Haska dayakũkaĩkĩ Deusũ hene yunukĩ:
GEN.1.20	“Habu hene merã hiweabũ dasibi damiwakĩ ha hamẽ imashanũwẽ”, iwanã, “Nai natukã anuari manaũriabu peiyaburi hau nuyabaunũbũwẽ”, ishũ 
