MAT.1.1	ibrāhīmaḥ santānō dāyūd tasya santānō yīśukhrīṣṭastasya pūrvvapuruṣavaṁśaśrēṇī|
MAT.1.2	ibrāhīmaḥ putra ishāk tasya putrō yākūb tasya putrō yihūdāstasya bhrātaraśca|
MAT.1.3	tasmād yihūdātastāmarō garbhē pērassērahau jajñātē, tasya pērasaḥ putrō hiṣrōṇ tasya putrō 'rām|
MAT.1.4	tasya putrō 'mmīnādab tasya putrō nahaśōn tasya putraḥ salmōn|
MAT.1.5	tasmād rāhabō garbhē bōyam jajñē, tasmād rūtō garbhē ōbēd jajñē, tasya putrō yiśayaḥ|
MAT.1.6	tasya putrō dāyūd rājaḥ tasmād mr̥tōriyasya jāyāyāṁ sulēmān jajñē|
MAT.1.7	tasya putrō rihabiyām, tasya putrō'biyaḥ, tasya putra āsā:|
MAT.1.8	tasya sutō yihōśāphaṭ tasya sutō yihōrāma tasya suta uṣiyaḥ|
MAT.1.9	tasya sutō yōtham tasya suta āham tasya sutō hiṣkiyaḥ|
MAT.1.10	tasya sutō minaśiḥ, tasya suta āmōn tasya sutō yōśiyaḥ|
MAT.1.11	bābilnagarē pravasanāt pūrvvaṁ sa yōśiyō yikhaniyaṁ tasya bhrātr̥ṁśca janayāmāsa|
MAT.1.12	tatō bābili pravasanakālē yikhaniyaḥ śaltīyēlaṁ janayāmāsa, tasya sutaḥ sirubbāvil|
MAT.1.13	tasya sutō 'bōhud tasya suta ilīyākīm tasya sutō'sōr|
MAT.1.14	asōraḥ sutaḥ sādōk tasya suta ākhīm tasya suta ilīhūd|
MAT.1.15	tasya suta iliyāsar tasya sutō mattan|
MAT.1.16	tasya sutō yākūb tasya sutō yūṣaph tasya jāyā mariyam; tasya garbhē yīśurajani, tamēva khrīṣṭam (arthād abhiṣiktaṁ) vadanti|
MAT.1.17	ittham ibrāhīmō dāyūdaṁ yāvat sākalyēna caturdaśapuruṣāḥ; ā dāyūdaḥ kālād bābili pravasanakālaṁ yāvat caturdaśapuruṣā bhavanti| bābili pravāsanakālāt khrīṣṭasya kālaṁ yāvat caturdaśapuruṣā bhavanti|
MAT.1.18	yīśukhrīṣṭasya janma kaththatē| mariyam nāmikā kanyā yūṣaphē vāgdattāsīt, tadā tayōḥ saṅgamāt prāk sā kanyā  pavitrēṇātmanā garbhavatī babhūva|
MAT.1.19	tatra tasyāḥ pati ryūṣaph saujanyāt tasyāḥ kalaṅgaṁ prakāśayitum anicchan gōpanēnē tāṁ pārityaktuṁ manaścakrē|
MAT.1.20	sa tathaiva bhāvayati, tadānīṁ paramēśvarasya dūtaḥ svapnē taṁ darśanaṁ dattvā vyājahāra, hē dāyūdaḥ santāna yūṣaph tvaṁ nijāṁ jāyāṁ mariyamam ādātuṁ mā bhaiṣīḥ|
MAT.1.21	yatastasyā garbhaḥ pavitrādātmanō'bhavat, sā ca putraṁ prasaviṣyatē, tadā tvaṁ tasya nāma yīśum (arthāt trātāraṁ) karīṣyasē, yasmāt sa nijamanujān tēṣāṁ kaluṣēbhya uddhariṣyati|
MAT.1.22	itthaṁ sati, paśya garbhavatī kanyā tanayaṁ prasaviṣyatē| immānūyēl tadīyañca nāmadhēyaṁ bhaviṣyati|| immānūyēl asmākaṁ saṅgīśvara̮ityarthaḥ|
MAT.1.23	iti yad vacanaṁ purvvaṁ bhaviṣyadvaktrā īśvaraḥ kathāyāmāsa, tat tadānīṁ siddhamabhavat|
MAT.1.24	anantaraṁ yūṣaph nidrātō jāgarita utthāya paramēśvarīyadūtasya nidēśānusārēṇa nijāṁ jāyāṁ jagrāha,
MAT.1.25	kintu yāvat sā nijaṁ prathamasutaṁ a suṣuvē, tāvat tāṁ nōpāgacchat, tataḥ sutasya nāma yīśuṁ cakrē|
MAT.2.1	anantaraṁ hērōd saṁjñakē rājñi rājyaṁ śāsati yihūdīyadēśasya baitlēhami nagarē yīśau jātavati ca, katipayā jyōtirvvudaḥ pūrvvasyā diśō yirūśālamnagaraṁ samētya kathayamāsuḥ,
