MAT.1.1	ibrAhImaH santAno dAyUd tasya santAno yIzukhrISTastasya pUrvvapuruSavaMzazreNI|
MAT.1.2	ibrAhImaH putra ishAk tasya putro yAkUb tasya putro yihUdAstasya bhrAtarazca|
MAT.1.3	tasmAd yihUdAtastAmaro garbhe perasserahau jajJAte, tasya perasaH putro hiSroN tasya putro 'rAm|
MAT.1.4	tasya putro 'mmInAdab tasya putro nahazon tasya putraH salmon|
MAT.1.5	tasmAd rAhabo garbhe boyam jajJe, tasmAd rUto garbhe obed jajJe, tasya putro yizayaH|
MAT.1.6	tasya putro dAyUd rAjaH tasmAd mRtoriyasya jAyAyAM sulemAn jajJe|
MAT.1.7	tasya putro rihabiyAm, tasya putro'biyaH, tasya putra AsA:|
MAT.1.8	tasya suto yihozAphaT tasya suto yihorAma tasya suta uSiyaH|
MAT.1.9	tasya suto yotham tasya suta Aham tasya suto hiSkiyaH|
MAT.1.10	tasya suto minaziH, tasya suta Amon tasya suto yoziyaH|
MAT.1.11	bAbilnagare pravasanAt pUrvvaM sa yoziyo yikhaniyaM tasya bhrAtRMzca janayAmAsa|
MAT.1.12	tato bAbili pravasanakAle yikhaniyaH zaltIyelaM janayAmAsa, tasya sutaH sirubbAvil|
MAT.1.13	tasya suto 'bohud tasya suta ilIyAkIm tasya suto'sor|
MAT.1.14	asoraH sutaH sAdok tasya suta AkhIm tasya suta ilIhUd|
MAT.1.15	tasya suta iliyAsar tasya suto mattan|
MAT.1.16	tasya suto yAkUb tasya suto yUSaph tasya jAyA mariyam; tasya garbhe yIzurajani, tameva khrISTam (arthAd abhiSiktaM) vadanti|
MAT.1.17	ittham ibrAhImo dAyUdaM yAvat sAkalyena caturdazapuruSAH; A dAyUdaH kAlAd bAbili pravasanakAlaM yAvat caturdazapuruSA bhavanti| bAbili pravAsanakAlAt khrISTasya kAlaM yAvat caturdazapuruSA bhavanti|
MAT.1.18	yIzukhrISTasya janma kaththate| mariyam nAmikA kanyA yUSaphe vAgdattAsIt, tadA tayoH saGgamAt prAk sA kanyA  pavitreNAtmanA garbhavatI babhUva|
MAT.1.19	tatra tasyAH pati ryUSaph saujanyAt tasyAH kalaGgaM prakAzayitum anicchan gopanene tAM pArityaktuM manazcakre|
MAT.1.20	sa tathaiva bhAvayati, tadAnIM paramezvarasya dUtaH svapne taM darzanaM dattvA vyAjahAra, he dAyUdaH santAna yUSaph tvaM nijAM jAyAM mariyamam AdAtuM mA bhaiSIH|
MAT.1.21	yatastasyA garbhaH pavitrAdAtmano'bhavat, sA ca putraM prasaviSyate, tadA tvaM tasya nAma yIzum (arthAt trAtAraM) karISyase, yasmAt sa nijamanujAn teSAM kaluSebhya uddhariSyati|
MAT.1.22	itthaM sati, pazya garbhavatI kanyA tanayaM prasaviSyate| immAnUyel tadIyaJca nAmadheyaM bhaviSyati|| immAnUyel asmAkaM saGgIzvara_ityarthaH|
MAT.1.23	iti yad vacanaM purvvaM bhaviSyadvaktrA IzvaraH kathAyAmAsa, tat tadAnIM siddhamabhavat|
MAT.1.24	anantaraM yUSaph nidrAto jAgarita utthAya paramezvarIyadUtasya nidezAnusAreNa nijAM jAyAM jagrAha,
MAT.1.25	kintu yAvat sA nijaM prathamasutaM a suSuve, tAvat tAM nopAgacchat, tataH sutasya nAma yIzuM cakre|
MAT.2.1	anantaraM herod saMjJake rAjJi rAjyaM zAsati yihUdIyadezasya baitlehami nagare yIzau jAtavati ca, katipayA jyotirvvudaH pUrvvasyA dizo yirUzAlamnagaraM sametya kathayamAsuH,
MAT.2.2	yo yihUdIyAnAM rAjA jAtavAn, sa kutrAste? vayaM pUrvvasyAM dizi tiSThantastadIyAM tArakAm apazyAma tasmAt taM praNantum aाgamAma|
MAT.2.3	tadA herod rAjA kathAmetAM nizamya yirUzAlamnagarasthitaiH sarvvamAnavaiH sArddham udvijya
MAT.2.4	sarvvAn pradhAnayAjakAn adhyApakAMzca samAhUyAnIya papraccha, khrISTaH kutra janiSyate?
MAT.2.5	tadA te kathayAmAsuH, yihUdIyadezasya baitlehami nagare, yato bhaviSyadvAdinA itthaM likhitamAste,
MAT.2.6	sarvvAbhyo rAjadhAnIbhyo yihUdIyasya nIvRtaH| he yIhUdIyadezasye baitleham tvaM na cAvarA|isrAyelIyalokAn me yato yaH pAlayiSyati| tAdRgeko mahArAjastvanmadhya udbhaviSyatI||
MAT.2.7	tadAnIM herod rAjA tAn jyotirvvido gopanam AhUya sA tArakA kadA dRSTAbhavat , tad vinizcayAmAsa|
MAT.2.8	aparaM tAn baitlehamaM prahItya gaditavAn, yUyaM yAta, yatnAt taM zizum anviSya taduddeze prApte mahyaM vArttAM dAsyatha, tato mayApi gatvA sa praNaMsyate|
MAT.2.9	tadAnIM rAjJa etAdRzIm AjJAM prApya te pratasthire, tataH pUrvvarsyAM dizi sthitaistai ryA tArakA dRSTA sA tArakA teSAmagre gatvA yatra sthAne zizUrAste, tasya sthAnasyopari sthagitA tasyau|
MAT.2.10	tad dRSTvA te mahAnanditA babhUvuH,
MAT.2.11	tato gehamadhya pravizya tasya mAtrA mariyamA sAddhaM taM zizuM nirIkSaya daNDavad bhUtvA praNemuH, aparaM sveSAM ghanasampattiM mocayitvA suvarNaM kunduruM gandharamaJca tasmai darzanIyaM dattavantaH|
MAT.2.12	pazcAd herod rAjasya samIpaM punarapi gantuM svapna IzvareNa niSiddhAH santo 'nyena pathA te nijadezaM prati pratasthire|
MAT.2.13	anantaraM teSu gatavatmu paramezvarasya dUto yUSaphe svapne darzanaM datvA jagAda, tvam utthAya zizuM tanmAtaraJca gRhItvA misardezaM palAyasva, aparaM yAvadahaM tubhyaM vArttAM na kathayiSyAmi, tAvat tatraiva nivasa, yato rAjA herod zizuM nAzayituM mRgayiSyate|
MAT.2.14	tadAnIM yUSaph utthAya rajanyAM zizuM tanmAtaraJca gRhItvA misardezaM prati pratasthe,
