GEN.1.1	In den beginne schiep God de hemel en de aarde. 
GEN.1.2	De aarde nu was woest en ledig, en duisternis lag op de vloed, en de Geest Gods zweefde over de wateren.
GEN.1.3	En God zeide: Er zij licht; en er was licht. 
GEN.1.4	En God zag, dat het licht goed was, en God maakte scheiding tussen het licht en de duisternis. 
GEN.1.5	En God noemde het licht dag, en de duisternis noemde Hij nacht. Toen was het avond geweest en het was morgen geweest: de eerste dag.
GEN.1.6	En God zeide: Daar zij een uitspansel in het midden der wateren, en dit make scheiding tussen wateren en wateren. 
GEN.1.7	En God maakte het uitspansel en Hij scheidde de wateren die onder het uitspansel waren, van de wateren die boven het uitspansel waren; en het was alzo. 
GEN.1.8	En God noemde het uitspansel hemel. Toen was het avond geweest en het was morgen geweest: de tweede dag.
GEN.1.9	En God zeide: Dat de wateren onder de hemel op één plaats samenvloeien en het droge te voorschijn kome; en het was alzo. 
GEN.1.10	En God noemde het droge aarde, en de samengevloeide wateren noemde Hij zeeën. En God zag, dat het goed was. 
GEN.1.11	En God zeide: Dat de aarde jong groen voortbrenge, zaadgevend gewas, vruchtbomen, die naar hun aard vruchten dragen, welke zaad bevatten, op de aarde; en het was alzo. 
GEN.1.12	En de aarde bracht jong groen voort, gewas, dat naar zijn aard zaad geeft, en geboomte, dat naar zijn aard vruchten draagt, welke zaad bevatten. En God zag, dat het goed was. 
GEN.1.13	Toen was het avond geweest en het was morgen geweest: de derde dag.
GEN.1.14	En God zeide: Dat er lichten zijn aan het uitspansel des hemels om scheiding te maken tussen de dag en de nacht, en dat zij dienen tot aanwijzing zowel van vaste tijden als van dagen en jaren; 
GEN.1.15	en dat zij tot lichten zijn aan het uitspansel des hemels om licht te geven op de aarde; en het was alzo. 
GEN.1.16	En God maakte de beide grote lichten, het grootste licht tot heerschappij over de dag, en het kleinere licht tot heerschappij over de nacht, benevens de sterren. 
GEN.1.17	En God stelde ze aan het uitspansel des hemels om licht te geven op de aarde, 
GEN.1.18	en om te heersen over de dag en over de nacht, en om het licht en de duisternis te scheiden. En God zag, dat het goed was. 
GEN.1.19	Toen was het avond geweest en het was morgen geweest: de vierde dag.
GEN.1.20	En God zeide: Dat de wateren wemelen van levende wezens, en dat het gevogelte over de aarde vliege langs het uitspansel des hemels. 
GEN.1.21	Toen schiep God de grote zeedieren en alle krioelende levende wezens, waarvan de wateren wemelen, naar hun aard, en allerlei gevleugeld gevogelte naar zijn aard. En God zag, dat het goed was. 
GEN.1.22	En God zegende ze en zeide: Weest vruchtbaar, wordt talrijk en vervult de wateren in de zeeën, en het gevogelte worde talrijk op de aarde. 
GEN.1.23	Toen was het avond geweest en het was morgen geweest: de vijfde dag.
GEN.1.24	En God zeide: Dat de aarde voortbrenge levende wezens naar hun aard, vee en kruipend gedierte en wild gedierte naar hun aard; en het was alzo. 
GEN.1.25	En God maakte het wild gedierte naar zijn aard en het vee naar zijn aard en alles wat op de aardbodem kruipt naar zijn aard. En God zag, dat het goed was.
GEN.1.26	En God zeide: Laat Ons mensen maken naar ons beeld, als onze gelijkenis, opdat zij heersen over de vissen der zee en over het gevogelte des hemels en over het vee en over de gehele aarde en over al het kruipend gedierte, dat op de aarde kruipt. 
GEN.1.27	En God schiep de mens naar zijn beeld; naar Gods beeld schiep Hij hem; man en vrouw schiep Hij hen. 
GEN.1.28	En God zegende hen en God zeide tot hen: Weest vruchtbaar en wordt talrijk; vervult de aarde en onderwerpt haar, heerst over de vissen der zee en over het gevogelte des hemels en over al het gedierte, dat op de aarde kruipt.
GEN.1.29	En God zeide: Zie, Ik geef u al het zaaddragend gewas op de gehele aarde en al het geboomte, waaraan zaaddragende vruchten zijn; het zal u tot spijze dienen. 
