MAT.1.1	Si Abraham gëlok nennë, Dabid gë oli, Jisu Kristo gë hürum ë. 
MAT.1.2	Abraham bü Isaak gë abbo ë, Isaak bü Jakob gë abbo ë, Jakob bü Judah gëla bük achë abür gadë lokë abbo ë. 
MAT.1.3	Okkë Tamar gëlok onam Paraj gëla Jerah gë abbo ë Judah. Okkë Paraj Hejron gë abbo ë, okkë Hejron Ram gë abbo ë. 
MAT.1.4	Ram bü Abinadab gë abbo ë, Abinadab bü Nahshon gë abbo ë, Nahshon bü Salmon gë abbo ë. 
MAT.1.5	Salmon gë oroh ë Boaj, bü Rahab gëlok onam ë, okkë Boaj gë oroh Obed bü Ruth gëlok, okkë Obed gë oroh ë Jese. 
MAT.1.6	Okkë Jese tebo Dabid gë abbo ë, Dabid gë oroh ë Solomon, bük annë Uriah gë nyimmë. 
MAT.1.7	Solomon bü Rehboam gë abbo ë, Rehboam bü Abijah gë abbo ë, Abija bü Asa gë abbo ë. 
MAT.1.8	Asa bü Jehoshapath gë abbo ë, Jehoshapath bü Jehoram gë abbo ë, Jehoram bü Ujjiah gë abbo ë. 
MAT.1.9	Ujjiah bü Jotham gë abbo ë, Jotham bü Ahaj gë abbo ë, Ahaj bü Hejekaiah gë abbo ë. 
MAT.1.10	Hejekaiah bü Manasseh gë abbo ë, Manasseh bü Amon gë abbo ë, Amon bü Josiah gë abbo ë. 
MAT.1.11	 Okkë Josiah bü Jekoniah gëla bük abür gadë lokë abbo ë, ëgë Babilon lo inrom gëdü kuë.
MAT.1.12	Babilon lo inrom gëro loku Jekoniah bü Shealtiel gë abbo ë, Shealtiel bü Jerubabbel gë abbo ë. 
MAT.1.13	Jerubabbel bü Abiud gë abbo ë. Abiud bü Eliakim gë abbo ë, Eliahkim bü Ajor gë abbo ë. 
MAT.1.14	Ajor bü Jedok gë abbo ë, Jadok bü Akim gë abbo ë, Akim bü Eliud gë abbo ë. 
MAT.1.15	Eliud bü Eliajar gë abbo ë, Eliajar bü Mathan gë abbo ë, Mathan bü Jakob gë abbo ë. 
MAT.1.16	Okkë da Jakob bü Jisu ne onë Mari gë nyilo Joseph gë abbo ë,
MAT.1.17	Ëmbë rünamë Abraham gëlok rüla Dabid gëlo bë, nyiloh hüru ürü gola appi go, okkë Dabid gëlok rüla Babilon lo inrom gëdoku lobë da ürü gola appi hürum go, okkë da inrom gëdoku lobë rüla Jisu gëlo bë nyiloh hürum ürü gola appi gobë da rüto.
MAT.1.19	Mük nyilo Joseph bü dërëk në nyi bë rünam lëga bë mü ëm nyiikë tako kaako lo hanyü paamo lüma ëmla Joseph bü kasila ëpak silëpë mëëto. 
MAT.1.20	Bük ëmbë mëëla duudak ëm, Rutum gë taayo lampoh gonnë yumalo kaarük sila sëmbë mento, “Dabid gë oroh Joseph, Mari ne no nokë nyimë bë laasëm boso yooka, lëga mük ungnga gënam asi Dëën Doü lokkë mum. 
MAT.1.21	 Mü ungnga ëm oroh gobë orë, okkë bük amin ëm Jisu ëmlaka, yo lëga bü aü gë nyi gaddëm rümur lokkëm tushü baalë rë.”
MAT.1.22	Sigi buppü sigi Rutum gë nyijük gadë lo agom menlük nam buppü ëm rüpü naabë rüto. 
MAT.1.23	 “Kaalaka, jürdi gonnë ungnga gërë okkë ëgum ungnga ëm Yaame gobë aajur ogar rë, okkë bük amin ëm Immanuel” ëmla arë, (Sëmbë mennam si Yürnë ngonuklo duumin gëdu).
MAT.1.24	Joseph yuma lokkë urëp dookula, taayo lampoh okë mennam chë bë rüto, okkë Mari ne nyimë bë namë lo laatoku. 
MAT.1.25	 Ëmbë namë lo nyimë bë ëmla Mari ne laado lachin, yadü lobë ungnga ëm ola amin ëm Jisu ëmla ama dü, ogo lobë nyimë nyilo jaa bë yupbam doobam maato.
MAT.2.1	Herod roja gë hüdak ogo, yadü lo Jisu ne Judia mooko gë Bethlehem ëmkolo aajur ogar badü, chaagoh peelë gë talë mooko lëga ëm chennë nyijük nyikok ëkë kaatabë Jerusalem lo aado la sëmbë takato, 
MAT.2.2	“Yo lodü Jius gaddëk roja bë rüdenë ungnga ëm aajur jurtu ko ë? Ngonu chaagoh peelë lokkë bük takar ëm kaatola okkë ngonu bü ëm kumtë bë indu na.”
MAT.2.3	Yadü lo sim agom sim, Herod roja tapabadü, bü la okkë bük nyi Jerusalem lokë duunë buppü ë lom go sito. 
MAT.2.4	Ogo bü nyi gadë lokë jüktë kogro okkë chennë paanë ru ëm makum paala hükato, Yo lodü Kristo ne aajur ogar deeko ë?
MAT.2.5	Judia lokë Bethlehem lo, Ëmla bulu bü ëm menjito, yo lëga bë ëgum Yürnë gë nyijük gaddë ekchola atu:
MAT.2.7	Okë kookü bë Herod bü nyijük nyikok gaddëm gogchen paala buluk lokë ëgë Takar ëgë yo chë lokë dü okkë yadü alo gobë rükadü bërok bë chenlük to. 
MAT.2.8	Bü bullëm Bethlehem bë indo bë tolük tola mento, “Inneka okkë dinchi ru bë ome ëm malük taaka, okkë yadü lo mapa rëdü ngomchin mentom tokuka, ngochin bü ëm inla kumdo bë.”
MAT.2.9	Bulu tëbo rutum gë agom ëm taro bë, aü gë bëdalokë inlen to, ogo buluk chaagoh lokë takar kaaku nammë bullëm incho doola yo lo ome ëm inpa tokudü ogo takar ë dootu toku. 
MAT.2.10	Yadü lo bulu takar ëm kaapa toku dadü, bulu mëëken kengngek toku. 
MAT.2.11	Namë lo aala kaanamë ome ëmla bük anë Mari ne kaapato, okkë bulu durga doola kumto, okkë bulu aü gë yëku yëra posum ëm taakokla buluk nëür jinyo bë jido bë gënam ain, namken në tel, okkë pakbum naanë asuk amuk ëm amen bë jito.
MAT.2.12	Okë kookü bë, bullëm Herod gëlo inkur yokuka ëmla Yürnë yumalo mentom nam ëm tala, bulu bëda angu gë inlaku aü mooko bë ingë toku.
MAT.2.13	Buluk inroku ëm, Yürnë gë Dëën lampoh gonnë yumalo Joseph ne menrük sila mento, “Gërëp tola, ome ëmla bük anë ëm ingë la Ijip bë keggë geka, ngok menku ma tëttë lobë, alo duucho toka, yo lëga, Herod bü ome ëm peesür doobë ëmla mendu.”
MAT.2.14	Ogo bü ome ëmla okkë anë ëm ingëla ayoh bë Ijip mooko bë inrom gëto. 
MAT.2.15	 Okkë Herod gë sima da lobë alo duutoku. Ëmbë rünam sigi Rutum bük nyijük gadëk lokë menlük nam agom, “Ijip lokë ngok Oroh ëm gogtuku,” ëmnam agom ëm buupü moto ku.
MAT.2.16	Ëmbë rüdu ëm, Herod bü ëm nyijük nyikok gaddë kubka nyi ëmla yadü lo chensi kaadü, bü majja bë marka, ogo bü nyijük nyikok gaddëk menrüh nammëm chenla doodola Bethlehem okkë dëgo baër lokë duunë dütak nyünyi në nyilo ome bë rünë takam ëm pakë kangam doobë kanam lükto.
MAT.2.17	Ëgë nyijük Jeremiah gëlo yo në agom go menbe dü buupü moka. 
MAT.2.18	 “Rama lokë kapnam riinam okkë attë ruunë mëëdür moso, siduh go tapato Raselchin aü gë aaji oloh duumanam lëga bë kappë riipë sila okkë yaddü lochin mëëken moen la duulüma.”
MAT.2.19	Herod gë sinyo robë Ijip alo yumalo Joseph ne Yürnë gë lampoh gonnë kaarük sila mento, 
MAT.2.20	“Gërëp dookula ome ëmla okkë anë ëm ingëla Israel mooko bë ingëla innë kuka. Yo lëga ome ëm pakë deenë gaddë sinyo ekuba.” 
MAT.2.21	Ëkë lëga bë bü gërëp dookula ome ëmla bük annëm ingë laku Israel mooko bë inkur toku.
MAT.2.22	Rülachin, Judia mooko ëm bük oroh Arkila rutum nam ëm rüsik du ëmla tala aalük kussëm boso to. Ogo yumalo Yürnë gë mencho jinam tala bü Galili mooko bë ingë toku. 
MAT.2.23	 Okkë ëmbë indola, Najarath ëmnam taon golo duulük gëtoku, ëmbë rüla nyijük gaddëk bü ëm mennam ë “Bü ëm Najarath lokkë ëmla nëmin rë,” ëmla menji nam agom ë jijja kai.
MAT.3.1	Ëmbë rëdu ogo Jon Baptis ëmnam go mooruk moosen mookolo niitin mogola mento. 
MAT.3.2	 “Mëëdek tokuka, lëga ë Yürnë gë mooko ë nëchi duuku.” 
MAT.3.3	 Nyijük Isaiah gë mencho nammë sigi bü maabë, “Nyomra lokë sidu dulen doola mento, Yürnë gë bëbü bëtë dendo ëm denda bë bü ëm denji toka.”
MAT.3.5	Jerusalem, Judia buppü lo okkë Jordon shibu baayür gë mooko buppü gë nyi gaddë büklo aato. 
MAT.3.6	Buluk rëmur duumur ëm mendër siku kolo, bü bullëm Jordon shibulo Baptis Jitoku.
MAT.3.8	Mëëmur mëënam lokë mëëdek kunam ahe ëm seji laka, 
MAT.3.9	 Okkë nonu aüëm mëëmur la mëërü sima bëka, “Ngonuk abbo ë Abraham ëmla,” Ngo nonnuëm mendu, Yürnë bü ülü gadë sokëchin Abraham gë aaji oloh ëmchin bülü bolo jilarë. 
MAT.3.10	 Yo yo në nësük nëmü ëdü alë në apü ahe seema duuna ëgum sütë süngur ë ngurpak paala mëlü mëor lo rompak doobë ëmla si na gütum ëm ajitu nammë. 
MAT.3.11	Nonuk aapukë, mëëdek kunam lëga bë ngo ishi sogo Baptis du, rülachin ngok kookü bë aadu në bü ngom pënamë torya në, ngo bük lësup ëm jaachin bëëji lama, bü nonnuëm Dëën Doü lokëla ëmë lokë Baptis jirë. 
