GEN.1.1	Abatelipuna elana Yabowaine labulabum ge panayawi i ginolil. 
GEN.1.2	He panayawi i enonovan ya, ge nigeya ga ana awa i mamasal i oola te sauga ya. Gogou kubwa wewel limwalimwanina i yabom, ge Yabowaine Yayaluwana i nononawanawa wewel pwatanaa.
GEN.1.4	Inoke Yabowaine i kite mwananal i waisi. Mwananal ge gogou i teli walel, 
GEN.1.5	yaka mwananal alana i tun “lan” ge gogou alana i tun “bulin.” He bulin i mowasi ge lan i mowasi,
GEN.1.7	Yabowaine hawawal i ginol yaka wewel i wali eluwe, etega i minaa hawawal pwatanaa ge etega i minaa gabulanaa. Inoke i gan i ola to. 
GEN.1.8	Yaka Yabowaine hawawal alana i tun “labulabum.” He bulin i mowasi ge lan i mowasi, lan eluwana to.
GEN.1.9	Yaka Yabowaine i ba, “Wewel toto labulabum gabulanaa ni tub pahipahi, inoke bilibili kekevana ni masal.” Inoke i gan i ola to. 
GEN.1.10	Yaka Yabowaine bilibili kekevana alana i tun “datu,” ge wewel i tub pahipahi alana i tun “hoga.” Inoke Yabowaine i kite i waisi.
GEN.1.11	Yaka Yabowaine i ba, “Bugul siusiunil ga nihi siun datuwa: mwawin bolo enowaliya pwatum ge ebwakil bolo enowaliya pwatumwina gaganina ali awa tomaha ge tomaha.” Inoke i gan i ola to. 
GEN.1.12	Bugul siusiunil hi siun datuwa: mwawin ali awa tomaha tomaha ge ebwakil ali awa tomaha tomaha. Inoke Yabowaine i kite i waisi. 
GEN.1.13	He bulin i mowasi ge lan i mowasi, lan etonina to.
GEN.1.14	Yaka Yabowaine i ba, “Mwananal ona ga nihi gan labulabumwa, heliya lan ge bulin nihi teli walel, nihi ola etotohi tal, lan, ge baliman kaiweliya, 
GEN.1.15	ge nihi yana labulabumwa panayawi nihi yane.” Inoke i gan i ola to. 
GEN.1.16	Yabowaine mwananal bwabwatal labui i ginolil, toto mwananalina bwabwatana lan ni logugui-an, ge toto mwananalina kekeisi bulin ni logugui-an. I ola al putum i ginolil. 
GEN.1.17	Yabowaine i telel labulabumwa panayawi nihi yane, 
GEN.1.18	lan ge bulin nihi logugui-an, ge mwananal ge gogou nihi teli walel. Inoke Yabowaine i kite i waisi. 
GEN.1.19	He bulin i mowasi ge lan i mowasi, lan esopalena to.
GEN.1.20	Yaka Yabowaine i ba, “Bugul bolo yawaliliya gaganil hoga ga nihi pakalaopop, ge bwasumu ga nihi youyou hawawala panayawi pwatanaa.” 
GEN.1.21	Yabowaine moti bwabwatal hot ge bugul yawaliliya gaganil bolo hi nawanawa hogaa ge hi pakalaopop, ali awa tomaha ge tomaha i ginolil. I ola al bwasumu bolo hi youyou ali awa tomaha ge tomaha i ginolil. Inoke Yabowaine i kite hi waisi. 
