MAT.1.1	Yesu Kristo, Owíe 
MAT.1.2	Abraham lɔ́kwɩɩ́ Isak. Isak lɔ́kwɩɩ́ Yakob. Yakob lɔ́kwɩɩ́ Yuda mʋa mʋ apio yinhɛ́
MAT.1.3	Yuda lɔ́kwɩɩ́ Peres mʋa Sera. Amʋ́ yín gyí Tamar. Peres lɔ́kwɩɩ́ Hesron. Hesron lɔ́kwɩɩ́ Ram. 
MAT.1.4	Ram lɔ́kwɩɩ́ Aminadab. Aminadab lɔ́kwɩɩ́ Nahson. Nahson lɔ́kwɩɩ́ Salmon. 
MAT.1.5	Salmon lɔ́kwɩɩ́ Boas. Boas mʋ yin gyí Rahab. Boas lɔ́kwɩɩ́ Obed. Obed mʋ yin gyí Rut. Obed lɔ́kwɩɩ́ Yisai. 
MAT.1.6	Yisai lɔ́kwɩɩ́ Owíe Dawid.
MAT.1.6	Owíe Dawid lɔ́kwɩɩ́ Salomo. Salomo mʋ yin gyí ɔtsɩ ɔkʋá tɛkɩ ogyi Uria mʋ ka. 
MAT.1.7	Salomo lɔ́kwɩɩ́ Rehabeam. Rehabeam lɔ́kwɩɩ́ Abia. Abia lɔ́kwɩɩ́ Asa. 
MAT.1.8	Asa lɔ́kwɩɩ́ Yehosafat. Yehosafat lɔ́kwɩɩ́ Yoram. Yoram lɔ́kwɩɩ́ Usia. 
MAT.1.9	Usia lɔ́kwɩɩ́ Yotam. Yotam lɔ́kwɩɩ́ Ahas. Ahas lɔ́kwɩɩ́ Hiskia. 
MAT.1.10	Hiskia lɔ́kwɩɩ́ Manase. Manase lɔ́kwɩɩ́ Amon. Amon lɔ́kwɩɩ́ Yosia. 
MAT.1.11	Yosia lɔ́kwɩɩ́ Yekonia mʋa mʋ apio yinhɛ́. Mʋ brɛ́sʋ́ bɛkɩtá Israelfɔ, hɩ́ɛ́ amʋ́ bɛɛ bʋyétsiá 
MAT.1.12	Amʋ́ Babilon yɔtɔ́ á, Yekonia lɔ́kwɩɩ́ Sealtiel. Sealtiel lɔ́kwɩɩ́ Serubabel. 
MAT.1.13	Serubabel lɔ́kwɩɩ́ Abihud. Abihud lɔ́kwɩɩ́ Eliakim. Eliakim lɔ́kwɩɩ́ Asor. 
MAT.1.14	Asor lɔ́kwɩɩ́ Sadok. Sadok lɔ́kwɩɩ́ Akim. Akim lɔ́kwɩɩ́ Elihud. 
MAT.1.15	Elihud lɔ́kwɩɩ́ Eleasar. Eleasar lɔ́kwɩɩ́ Matan. Matan lɔ́kwɩɩ́ Yakob. 
MAT.1.16	Yakob lɔ́kwɩɩ́ 
MAT.1.17	Mʋ́ sʋ tsú Abrahamsʋ bɔtʋ Owíe Dawidsʋ bʋgyi anáin ɩlɩ́ntɔ dúana. Tsú Dawidsʋ bɔtʋ brɛ́á bɔyɔ Babilon ɔmátɔ́ ɛ́ bʋgyi anáin ɩlɩ́ntɔ dúana. Asa tsú amʋ́ Babilon yɔtɔ́ bɔtʋ Kristo, (ɔhá ámʋ́ʋ́ Bulu ladá mʋ ofúli amʋ) kwɩɩ́sʋ́ ɛ́ bʋgyi anáin ɩlɩ́ntɔ dúana.
MAT.1.18	Ɔkpa ánfɩsʋ Yesu Kristo kwɩɩ́ lɔtsʋn nɩ. Bɔpʋ 
